Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
79,1336.41,2736.7,2457.82,0.488329,230.047,0,437.088,6.28048,155.125,16.8113,1593.27,73.0573,225.013,441.179,0,661.058,2.31307,301.375,20.9684,760.236,95.8998,415.716,0.79715,0,75.1374,1.03767,0.672363,5.90229,1204.57,24.4835,0.233705,
80,1335.55,2457.95,2641.04,0.543361,187.104,0,322.564,6.71079,156.867,14.562,1526.27,58.6744,185.189,450.443,0,588.352,1.72209,398.909,22.8744,900.957,77.1552,455.027,0.79715,0,75.1374,1.23597,0.672363,5.89204,1204.47,17.6801,0.233705,
81,1335.55,3342.16,3718.63,0.399607,256.142,0,551.105,6.77344,212.894,23.7712,1966.71,73.9157,250.847,488.895,0,878.79,2.16375,509.797,36.004,1474.51,81.3858,479.182,0.79715,0,73.9638,0.380872,0.672363,5.89204,1204.57,23.6836,0.233705,
82,1331.33,2938.48,2557.03,0.453066,224.783,0,550.044,6.76555,175.152,17.7325,1660.02,83.2497,220.737,428.092,0,809.886,2.50883,330.356,25.8544,1026.18,114.815,417.621,0.79715,0,75.1374,0.417825,0.675078,4.00843,1204.57,16.0022,0.233705,
83,1331.33,3002.37,3189.53,0.443426,168.616,0,481.976,6.37631,168.201,22.4842,1911.44,81.266,162.007,367.834,0,789.085,2.07909,409.69,34.7608,1405.19,106.963,356.929,0.79715,0,73.5796,0.412712,0.675078,5.89204,1204.57,24.9051,0.233705,
84,1330.3,2609.86,2686.69,0.509723,154.891,0,436.491,6.85245,164.781,16.1878,1628.72,48.998,152.939,367.037,0,748.308,1.39672,370.756,25.7727,1048.05,47.4874,363.914,0.79715,0,71.4362,3.49101,0.675078,5.88429,1204.56,17.7253,0.233705,
85,1329.75,2706,3001.45,0.491408,211.392,0,432.822,6.30414,139.831,16.1871,1617.13,74.4692,207.863,472.962,0,754.597,2.08023,420.629,25.2122,1083.82,100.38,466.667,0.79715,0,67.8054,0.598654,0.599492,5.88429,1204.56,17.4737,0.233705,
86,1329.75,2658.58,2747.98,0.500173,164.16,0,446.931,6.36972,91.4214,19.107,1707.05,61.9011,161.636,396.735,0,781.517,1.97857,333.077,29.1741,1136.64,74.0429,391.86,0.874441,0,73.5796,0.268435,0.599492,5.88429,1204.56,17.4737,0.253552,
87,1329.75,2567.9,2147.96,0.517835,153.089,0,490.756,6.15442,133.358,15.0601,1549.08,69.6988,150.7,349.497,0,773.946,2.18768,299.995,22.1276,841.05,84.1611,348.393,0.664998,0,73.5796,0.558786,0.599492,5.88429,1204.56,12.4182,0.208264,
88,1329.75,2568.14,2375.22,0.517787,199.473,0,381.097,6.96981,151.228,14.4854,1564.28,56.7634,193.846,430.07,0,624.175,1.93584,340.907,20.9742,831.876,76.2458,427.178,0.664998,0,75.796,2.9997,0.599492,5.88073,1204.56,12.4182,0.208264,
89,1329.75,2183.17,1738.01,0.609092,146.513,0,358.665,6.43458,105.398,9.99484,1362.45,48.66,145.054,330.285,0,589.699,1.0217,234.059,14.8947,499.823,87.7503,340.413,0.664998,0,75.986,2.47292,0.599492,4.91074,1204.56,7.43875,0.208264,
90,1329.75,2491.44,2408.02,0.533726,172.705,0,396.778,6.63971,110.272,15.2667,1559.71,59.9958,170.079,407.536,0,625.517,2.34796,313.055,24.0045,908.363,84.899,403.359,0.664998,0,75.986,0.623641,0.599492,5.87794,1204.56,9.99067,0.208264,
91,1329.75,2714.45,2628.52,0.489877,159.068,0,455.248,5.65828,109.419,20.6292,1736.08,70.6577,157.697,319.336,0,709.608,2.34094,254.029,31.5761,1172.06,100.393,317.173,0.664998,0,79.6062,0.62256,0.599492,5.87794,1204.56,9.99067,0.208264,
92,1329.11,2655.27,3004.31,0.500555,119.333,0,391.985,7.19647,119.786,18.2515,1803.45,82.7976,112.476,350.019,0,626.341,2.26029,311.098,30.4184,1554.95,138.93,324.269,0.664998,0,77.9153,1.9172,0.599492,5.8795,1204.51,9.99067,0.208264,
93,1329.11,2331.69,2375.91,0.570019,94.4562,0,295.064,6.12038,115.996,15.8768,1658.78,57.332,88.0688,291.01,0,557.12,1.94353,328.436,27.4751,1234.24,99.1626,270.23,0.664998,0,77.9153,0.125099,0.599492,3.12845,1204.51,12.4182,0.208264,
94,1329.11,2596.08,2724.3,0.511968,149.462,0,357.715,6.65594,150.499,17.854,1709.3,60.3794,144.218,367.769,0,642.609,2.28313,361.824,29.0171,1197.89,103.906,357.446,0.703311,0,25.5218,0.879528,0.588377,5.86534,1204.51,8.3523,0.253552,
95,1328.71,2432.32,2469.49,0.546271,143.857,0,420.896,6.01147,92.875,15.5492,1556.81,53.3287,142.993,376.483,0,771.669,1.97469,270.642,25.0451,962.968,99.0607,375.691,0.703311,0,81.1249,0.405754,0.588377,5.86534,1204.51,11.6982,0.253552,
96,1328.71,2398.71,2373.73,0.553925,160.011,0,314.726,6.55931,177.451,13.6825,1510.59,59.0858,156.61,404.142,0,553.987,2.13776,401.729,18.5223,709.483,96.9023,401.984,0.745511,0,79.9321,0.513388,0.588377,5.86534,1204.51,12.4182,0.222841,
97,1328.22,2543.99,2918.59,0.522101,114.363,0,365.312,6.87152,149.862,16.9191,1707.83,70.9475,111.884,369.631,0,652.113,1.81821,422.179,30.9205,1291.71,130.719,363.987,0.745511,0,81.1249,1.42957,0.588377,5.86744,1204.51,12.4182,0.222841,
98,1327.65,2472.25,2303.21,0.53702,123.909,0,428.671,6.59372,145.334,15.0948,1571.22,58.7893,122.63,295.238,0,690.341,2.34164,328.204,22.6849,892.166,92.1704,294.468,0.712104,0,81.337,1.37476,0.599492,5.88248,1204.48,16.1284,0.216482,
99,1327.65,2556.73,2282.78,0.519274,145.582,0,437.935,6.04077,135.841,15.8317,1596.02,74.1428,145.335,345.768,0,693.175,1.96011,303.846,24.5902,934.409,117.455,346.624,0.712104,0,80.1448,0.136713,0.651026,5.88248,1204.48,14.2312,0.216482,
100,1327.65,2413.47,2355.32,0.550098,124.796,0,357.657,6.05053,147.336,14.5415,1582.6,54.664,125.83,338.718,0,621.745,2.09376,402.46,23.4934,1007.4,104.048,336.92,0.590174,0,80.8145,0.227726,0.651026,5.88248,1204.48,14.2312,0.216482,
101,1327.65,2655.11,2420.32,0.500034,202.443,0,445.984,5.72451,129.325,16.3794,1578.92,76.1347,200.204,404.348,0,731.6,1.82423,323.134,22.1637,867.988,124.07,402.584,0.712104,0,80.8145,0.791963,0.651026,5.88248,1204.48,16.1284,0.216482,
102,1327.65,2404.31,2547.39,0.552195,147.729,0,326.206,5.78843,144.034,14.8377,1579.38,42.089,144.239,340.818,0,608.074,2.13032,421.648,24.6688,1069.8,59.6433,335.042,0.712104,0,80.8145,0.337094,0.577814,5.87603,1204.48,14.5332,0.199781,
103,1327.65,2794.83,2801.42,0.475037,135.9,0,499.942,5.64959,81.0709,22.151,1830.45,85.3119,134.35,341.762,0,803.226,1.6153,261.588,35.1308,1250.39,138.378,340.356,0.712104,0,80.8145,1.37342,0.562467,5.89298,1204.48,18.2522,0.195902,
104,1327.65,2423.73,2182.69,0.54777,140.98,0,422.266,5.86451,105.726,14.5152,1531.3,63.2593,139.82,313.963,0,728.924,1.74184,278.15,23.3587,885.819,117.488,313.128,0.538834,0,80.8145,1.01796,0.562467,5.39763,1204.48,10.6399,0.195902,
105,1327.54,2051.07,2134.14,0.647245,99.201,0,237.195,5.65269,54.3678,13.298,1497.19,45.8867,98.2787,362.052,0,551.705,1.67886,283.919,24.6385,1005.98,80.5433,355.241,0.538834,0,80.3639,0.0737747,0.562467,5.90268,1204.48,15.9413,0.195902,
106,1327.54,2401.82,2554.75,0.552725,102.64,0,296.889,6.26714,135.077,17.4906,1683.39,60.9388,99.1198,285.231,0,534.867,2.4492,389.002,29.4462,1166.37,105.255,277.038,0.538834,0,81.2591,0.666208,0.562467,5.90268,1204.47,19.0277,0.195902,
107,1327.54,2469.37,2534.77,0.537604,96.891,0,362.25,5.64267,93.6643,20.0054,1750.37,45.1766,95.3683,264.363,0,662.507,1.49091,291.614,33.7204,1307.59,60.0283,261.808,0.538834,0,81.2591,0.358732,0.562467,5.89602,1204.47,19.2831,0.195902,
108,1327.49,2813.12,3170.36,0.471894,140.27,0,473.831,5.98248,159.858,21.3918,1820.3,54.1709,137.311,320.76,0,822.451,2.28149,392.276,35.7171,1441.42,89.3069,314.139,0.538834,0,83.6395,1.06729,0.562467,5.89602,1204.47,5.77369,0.251007,
109,1327.49,2629.07,2497.04,0.504929,137.633,0,417.498,5.5739,81.128,20.6223,1762.93,68.3097,135.374,304.987,0,684.663,1.72512,256.209,32.356,1233.71,99.2857,304.352,0.597428,0,83.6395,0.633699,0.582621,0.655779,1204.47,20.1283,0.199081,
110,1327.38,2223.37,2225.68,0.597011,105.883,0,313.664,5.84282,143.17,12.4888,1503.55,36.2883,102.485,306.507,0,598.73,1.75408,355.682,21.9766,902.873,43.6525,303.887,0.597428,0,83.6395,1.55165,0.529248,5.89602,1204.47,6.0318,0.199081,
111,1327.38,2694.35,2503.94,0.492652,156.778,0,515.044,5.84035,91.6098,18.4398,1664.31,82.384,159.946,354.603,0,765.711,2.80231,279.823,27.9969,1004.34,139.328,367.701,0.597428,0,83.6395,0.638243,0.529248,5.89602,1204.47,19.9398,0.199081,
112,1327.38,2517.72,2363.04,0.527214,162.716,0,469.011,5.55916,149.117,13.9963,1493.63,63.583,160.11,340.965,0,780.579,2.01849,304.149,21.2314,801.083,105.993,338.167,0.666493,0,55.2725,1.08006,0.529248,5.89602,1198.26,12.2508,0.199081,
113,1327.38,3244.3,3000.68,0.409141,256.074,0,595.955,5.49488,201.443,22.7909,1826.05,84.4081,252.088,487.663,0,829.663,2.61809,404.495,29.8602,1098.18,122.106,473.315,0.666493,0,39.1111,0.584063,0.529248,5.89602,1204.47,19.9398,0.199081,
114,1327.38,2835.01,2857.08,0.468209,189.476,0,534.011,5.93668,151.701,18.6165,1679.02,69.0069,187.238,440.653,0,839.888,1.98371,373.675,28.8738,1142.24,120.897,423.544,0.666493,0,74.2818,0.613991,0.529248,4.89854,1204.47,19.9398,0.199081,
115,1327.36,2719.2,3056.94,0.488145,177.586,0,419.768,6.41128,167.592,16.1782,1705.09,58.5536,168.015,420.303,0,766.168,2.39396,446.166,23.625,1132.41,112.613,397.28,0.660636,0,18.6225,0.920155,0.529248,5.89602,1204.48,19.9398,0.199081,
116,1327.15,2236.03,2078.71,0.59353,107.881,0,336.922,5.7288,125.514,13.2148,1495.06,45.6902,106.025,334.977,0,572.351,2.02431,335.333,18.8479,743.954,63.6723,332.5,0.578963,0,80.3178,0.464452,0.529248,5.90128,1204.46,19.9398,0.199081,
117,1327.13,2519.19,2634.17,0.526807,90.0535,0,368.593,5.77513,75.5794,21.2549,1789.39,82.5843,85.9578,323.544,0,654.708,2.2507,290.112,35.6745,1304.38,137.034,313.819,0.578963,0,80.3178,0.870801,0.529248,5.90128,1204.46,20.7214,0.199081,
118,1326.97,2521.54,2964.21,0.526254,177.089,0,343.309,5.76024,164.531,14.6415,1584.01,58.3552,173.838,438.928,0,648.902,1.71242,455.247,25.7318,1114.82,97.7321,432.475,0.578963,0,80.3178,1.68366,0.529248,5.90031,1204.4,19.6645,0.213785,
119,1326.97,2565.06,2554.63,0.517324,157.613,0,387.263,6.0243,106.114,18.1584,1667.65,66.4474,155.793,396.657,0,639.192,1.90095,304.586,27.9519,1053.46,115.055,391.612,0.662312,0,83.8905,1.4795,0.529248,5.90031,1204.46,20.7214,0.213785,
120,1326.97,2621.09,2697.51,0.506266,155.259,0,461.038,5.76273,163.226,15.7204,1608.81,58.3561,152.921,373.931,0,801.702,2.13859,369.872,24.9459,966.246,102.481,370.855,0.662312,0,83.8905,0.3521,0.55561,5.90031,1204.46,21.4926,0.246075,
121,1326.97,2368.75,2462.31,0.560197,154.436,0,314.66,6.05139,85.9699,16.1248,1574.82,63.9049,152.788,377.113,0,624.783,1.88105,309.969,26.1791,1030.5,103.173,373.746,0.690078,0,84.2495,0.321918,0.569402,5.90031,1204.46,21.4,0.246075,
122,1326.83,2900.57,2897.48,0.457437,154.225,0,428.675,5.9322,104.292,25.2768,1950.11,80.2214,151.832,313.763,0,662.996,2.0679,318.148,38.1723,1403.74,142.816,309.827,0.629583,0,84.2495,0.570352,0.569402,5.54143,1204.46,17.8475,0.244191,
123,1326.83,2439.64,2269.81,0.543862,145.537,0,469.577,5.39871,100.108,14.1728,1497.03,63.9594,143.85,334.205,0,766.066,0.971932,247.906,22.6211,776.718,111.424,330.956,0.666293,0,84.2495,0.961615,0.569402,5.89894,1204.46,18.8937,0.244191,
124,1326.83,2381.73,2131.26,0.557085,127.43,0,330.693,5.68371,98.9371,16.7928,1614.68,61.6155,125.896,311.58,0,578.71,2.08721,259.817,27.7919,1063.43,102.953,310.189,0.671822,0,67.7662,0.445122,0.569402,5.89894,1204.46,21.4,0.213061,
125,1326.75,2274.18,2322.4,0.583397,111.95,0,329.14,5.80434,61.7966,16.2911,1568.17,69.8808,111.147,322.644,0,624.1,1.45055,222.629,26.6974,1001.31,124.258,322.402,0.649604,0,83.2615,1.83603,0.501284,5.89894,1204.46,21.4,0.200694,
126,1326.73,2419.61,2481.47,0.548322,123.397,0,336.673,5.25508,107.936,17.8043,1654.16,53.4264,120.957,323.329,0,618.043,1.35506,277.849,30.0192,1154.69,91.4799,317.903,0.649604,0,84.3926,1.05579,0.501284,5.89894,1204.46,21.8627,0.178826,
127,1326.61,2626.21,3030.15,0.50514,162.623,0,347.431,6.15638,179.484,17.8168,1683.1,70.3895,159.214,392.504,0,596.505,1.88755,446.966,29.2228,1230.29,120.055,384.136,0.614956,0,84.3926,3.10851,0.484497,5.89641,1204.46,20.9151,0.178826,
128,1326.6,2721.05,2990.46,0.487531,192.744,0,407.877,6.03967,177.35,15.1876,1675.64,57.3677,188.848,431.028,0,700.891,2.37403,442.734,24.0782,1134.45,97.1501,424.426,0.614956,0,84.3926,0.528084,0.484497,5.89641,1204.46,4.40634,0.178826,
129,1326.6,2350.15,2126.5,0.564473,116.665,0,392.821,5.5865,96.8175,15.5955,1551.39,55.3558,115.917,293.003,0,620.317,2.07444,291.585,21.7888,807.406,97.4709,291.613,0.599654,0,84.3926,0.658658,0.450065,5.89159,1204.51,20.9151,0.178826,
130,1326.47,2468.46,2574.99,0.537367,172.01,0,394.894,5.36024,99.8725,15.9363,1558.2,51.2589,170.93,418.204,0,685.712,1.45279,273.962,24.3355,896.083,86.1327,423.783,0.596244,0,84.2966,0.608283,0.450065,5.88876,1204.46,17.8325,0.164165,
131,1326.47,2914.07,2783.89,0.455195,213.74,0,435.911,6.11907,136.477,21.9537,1791.29,96.4636,212.117,412.498,0,662.336,2.22767,282.158,30.6625,1129.18,144.184,398.501,0.584838,0,84.2966,0.795716,0.436279,5.88876,1204.46,20.9151,0.162126,
132,1326.47,2978.75,3122.47,0.445311,201.187,0,406.84,6.41036,372.046,18.5518,1706.09,69.826,197.799,420.226,0,636.825,4.12368,1564.31,26.8471,1099.43,95.6625,411.653,0.543649,0,84.1584,0.56348,0.477405,5.89236,835.379,20.898,0.162126,
133,1326.47,2824.07,2718.12,0.469702,199.351,0,416.955,6.08628,184.006,19.1818,1722.24,79.9595,196.288,409.646,0,652.006,2.33674,442.41,27.7953,1071.33,115.613,406.792,0.543649,0,84.0185,0.582288,0.477405,5.89236,1204.44,20.898,0.159925,
134,1326.42,2490,2830.06,0.532698,163.555,0,348.576,5.93632,155.593,15.0822,1583.07,58.775,159.415,416.72,0,635.624,1.62903,390.06,25.2828,1069.19,97.8282,413.426,0.543649,0,84.0185,2.0683,0.475343,5.89236,1204.44,20.898,0.159925,
135,1326.42,2744.04,2688.76,0.483382,187.834,0,449.975,6.04681,167.125,17.433,1662.94,67.4168,185.268,360.524,0,688.777,2.05478,380.13,25.3491,1040.54,115.944,357.905,0.519296,0,83.9059,0.376182,0.435286,5.88947,1204.46,17.6328,0.159925,
136,1326.42,2287.52,2179.2,0.57985,122.944,0,380.904,5.50908,66.4654,14.3796,1508.98,65.881,122.455,300.575,0,734.076,2.20047,211.823,23.8028,877.247,111.799,312.741,0.5383,0,84.0185,0.449025,0.435286,5.88947,1204.46,20.898,0.14626,
137,1326.36,2506.19,2510.45,0.529235,141.938,0,337.392,5.94757,169.002,16.0469,1641.36,58.0524,136.447,366.348,0,596.478,2.32844,402.972,25.8778,1091.66,100.65,357.919,0.488573,0,84.1206,0.84834,0.435286,5.88785,1204.35,20.898,0.14626,
138,1326.31,2785.18,2804.62,0.476202,213.503,0,409.292,5.98586,193.23,16.8301,1669.42,65.5888,211.334,401.433,0,677.573,2.09563,411.65,26.1037,1074.22,119.254,398.987,0.488573,0,74.5628,1.05696,0.435286,3.77206,1204.35,7.53305,0.14626,
139,1326.31,2323.39,2066.32,0.57085,80.0213,0,472.788,5.33808,73.6781,15.0657,1536.3,61.6985,78.5032,255.417,0,810.302,2.0235,259.421,24.6416,941.333,100.952,243.676,0.456218,0,83.6933,0.140171,0.435286,5.88785,1204.35,22.0899,0.14626,
140,1326.19,2630.11,3074.51,0.504235,138.849,0,429.615,5.92318,125.447,18.7526,1724.39,50.9354,136.194,363.625,0,820.247,1.68394,398.285,31.3513,1325.12,72.0138,360.144,0.456218,0,83.6933,2.20273,0.435286,5.88785,1204.35,22.0899,0.14626,
141,1326.19,2480.5,2374.54,0.534647,118.033,0,495.07,5.92334,40.6281,17.1283,1615.45,70.798,117.467,289.366,0,897.46,2.17539,159.658,27.1317,1026.57,115.588,288.823,0.488573,0,83.4259,0.659873,0.435286,5.8833,1204.35,22.4206,0.14626,
142,1326.19,2144.76,2186.91,0.618341,57.8108,0,321.348,5.33814,84.5778,14.6504,1556.23,48.705,56.0982,271.724,0,661.199,1.71324,311.83,26.6018,1064.98,80.824,264.586,0.488573,0,83.6933,0.222178,0.435286,5.8833,1204.35,22.6507,0.14626,
143,1326.19,2211.34,2311.93,0.599724,126.459,0,325.661,5.52457,121.56,11.7363,1444.14,52.8057,123.451,367.277,0,642.349,1.28465,328.194,19.0901,767.956,99.9527,360.427,0.479617,0,84.1206,1.36686,0.431081,5.87663,1204.35,22.6507,0.14626,
144,1326.14,2366.18,2751.57,0.560458,154.944,0,349.892,5.92791,131.317,13.941,1505.97,51.4943,152.693,434.783,0,704.103,1.48672,387.306,20.6354,809.832,96.117,429.209,0.479617,0,84.361,3.00555,0.425356,5.87984,1204.35,22.598,0.149766,
145,1326.14,2295.32,2122.96,0.577758,88.1519,0,355.857,5.66835,47.7249,17.1097,1612.83,80.7162,87.2643,246.745,0,671.973,2.24263,185.443,28.1029,1057.68,134.202,244.698,0.440546,0,84.9584,0.0680888,0.418591,5.88394,1204.35,22.598,0.149766,
146,1326.14,2184.92,2127.06,0.606951,104.837,0,366.063,5.30718,106.29,11.7194,1427.47,60.6406,102.589,312.316,0,655.659,1.35566,306.111,17.3272,585.954,111.526,309.93,0.440546,0,84.9584,0.641438,0.418591,2.91661,1204.38,22.4263,0.149766,
147,1326.13,2641.9,2414.59,0.501961,204.652,0,436.67,6.06155,102.463,17.0289,1604.99,66.6201,203.417,418.565,0,731.098,2.41928,265.696,23.4501,769.163,112.364,418.307,0.440546,0,84.9584,0.352945,0.425356,5.88394,1204.4,18.6009,0.148744,
148,1326.03,2596.25,2580.43,0.510749,79.669,0,428.073,5.93838,89.1249,21.6988,1822.55,72.2346,76.9635,260.38,0,745.01,2.23015,294.532,35.1546,1329.02,125.525,256.592,0.440546,0,84.9584,0.303171,0.425356,5.88394,1204.4,22.4263,0.148031,
149,1326.03,1973.35,1516.2,0.671968,104.002,0,283.213,5.78075,100.531,9.09576,1336.16,34.033,100.539,274.538,0,493.817,1.65446,262.338,15.6975,332.695,42.259,275.281,0.440546,0,84.9584,1.08578,0.425356,5.88394,1204.39,22.4711,0.148031,
150,1325.95,2341.15,2305.77,0.566368,130.031,0,390.616,5.75446,85.4505,14.5802,1534.21,52.3806,128.124,306.082,0,739.55,2.06317,266.718,23.791,889.801,70.236,302.743,0.468033,0,84.7431,0.359481,0.432883,5.88554,1204.39,17.9447,0.148031,
151,1325.95,2443.81,2596.28,0.542576,157.08,0,428.858,5.41315,128.101,13.0311,1512.09,49.4166,149.817,403.31,0,766.323,1.64798,341.554,19.7405,901.772,69.5288,385.104,0.460084,0,84.8875,0.518813,0.432883,5.88414,1204.38,22.6004,0.138594,
152,1325.95,3000.08,2822.78,0.441972,169.886,0,523.753,5.3596,138.392,23.6882,1909.11,60.8101,169.078,363.279,0,844.884,2.36728,347.921,36.3886,1404.29,71.5486,363,0.460084,0,43.8516,0.0678649,0.426587,5.88414,1204.38,22.6004,0.138594,
153,1325.95,2523.54,2519.68,0.525434,136.903,0,501.019,5.74619,131.574,14.2036,1526.17,72.9667,134.948,325.024,0,854.75,2.15394,305.887,23.0972,891.231,125.076,323.975,0.442095,0,84.8943,1.00203,0.426587,5.88414,1204.38,22.6004,0.138594,
154,1325.95,2739.25,2771.7,0.484056,166.826,0,497.738,5.77057,102.286,19.9909,1726.16,54.7185,165.762,381.437,0,839.668,2.2766,293.88,28.4123,1139.81,82.6124,373.017,0.442095,0,84.867,1.12084,0.426587,5.8835,1204.36,22.679,0.138594,
155,1325.95,2873.24,2835.61,0.461483,162.209,0,478.26,5.82631,105.568,23.5306,1869.93,66.5886,161.328,346.145,0,771.187,2.01915,245.75,35.6732,1320.44,101.422,344.968,0.412025,0,84.8663,1.04165,0.426587,5.8835,1204.36,21.678,0.139937,
156,1325.87,2779.12,2683.66,0.477083,190.56,0,435.971,5.92128,167.387,19.0538,1700.85,72.8349,186.538,412.274,0,682.847,2.25777,398.964,28.2977,1159.1,111.863,402.992,0.396104,0,84.867,0.349513,0.426587,5.8835,1204.36,13.3098,0.139937,
157,1325.87,2051.57,1667.75,0.646272,71.2059,0,320.286,5.67666,87.7943,12.2739,1430.65,54.3356,69.339,220.194,0,579.62,1.9782,271.943,17.9643,638.983,92.8782,217.426,0.396104,0,84.4694,0.562466,0.445207,5.8835,1204.36,22.4192,0.139937,
158,1325.86,2543.43,2562.92,0.521286,123.834,0,471.623,6.15678,111.489,17.475,1621.9,69.1073,121.848,301.301,0,795.253,2.28166,319.72,26.8372,1019.48,114.29,298.445,0.412025,0,84.4694,0.854804,0.438788,5.2078,1204.36,18.0541,0.139937,
159,1325.86,2639.84,2633.08,0.502249,159.503,0,478.611,5.99361,173.317,14.69,1585.54,67.5461,154.636,383.615,0,835.039,2.09423,402.367,23.1801,974.15,105.429,362.593,0.412025,0,43.8308,1.23966,0.437322,5.8835,1204.34,22.5692,0.139937,
160,1325.86,2263.91,1980.13,0.585648,82.8664,0,461.419,5.47326,122.551,12.2794,1461.73,36.27,81.3235,222.736,0,797.551,1.70072,287.607,18.8016,754.939,53.0856,224.938,0.412025,0,84.4694,1.68429,0.446455,4.07417,1204.34,8.72223,0.139937,
161,1325.86,2317.58,2333.65,0.572086,101.167,0,374.061,5.52934,67.5516,15.996,1588.94,63.6562,100.679,275.284,0,754.82,1.65089,214.164,28.409,1064.69,107.533,277.833,0.412025,0,84.4694,0.536203,0.446455,5.8835,1204.34,22.533,0.149709,
162,1325.7,2671.23,2808.58,0.496286,156.71,0,477.476,5.81762,120.88,17.7812,1676.76,60.749,155.056,399.487,0,826.816,1.98858,335.569,27.2756,1030.05,101.169,402.361,0.460466,0,84.8943,0.983626,0.445732,5.88536,1204.34,22.533,0.149709,
163,1325.7,2021.51,1625.38,0.655794,75.0181,0,367.759,5.66096,73.7431,10.5256,1374.65,40.317,73.8349,241.842,0,709.586,1.71353,241.695,18.1855,729.584,48.0157,256.729,0.478334,0,84.8943,0.822769,0.445732,5.88296,1200.11,22.4921,0.152867,
164,1325.7,2617.4,2798.5,0.506494,166.854,0,354.648,5.79538,148.009,17.4833,1685.34,77.8665,161.404,442.063,0,613.561,2.22472,391.053,29.3818,1170.29,138.428,432.869,0.428936,0,40.1236,0.466067,0.439647,5.88296,1204.34,22.4921,0.152867,
165,1325.7,2323.78,2541.96,0.570491,100.196,0,400.26,5.44377,53.9477,16.1544,1592.85,55.2448,99.6814,328.01,0,808.286,1.47032,205.523,29.1436,1134.76,95.647,317.37,0.428936,0,85.4456,0.516572,0.441841,5.88296,1204.34,22.5493,0.145201,
166,1325.7,2134.65,2406.9,0.621038,92.3894,0,268.863,5.50472,85.8244,13.9881,1536.91,41.8875,89.2761,278.832,0,560.864,1.55703,309.98,25.2066,1096.88,75.4938,269.016,0.428936,0,85.4456,0.542143,0.445732,5.88296,1204.33,22.5493,0.141067,
167,1325.7,2691.04,2611.78,0.492633,161.874,0,436.306,5.31096,149.084,18.3549,1701.29,59.3944,159.43,384.487,0,714.202,2.11198,361.078,30.068,1164.86,77.4295,361.593,0.450533,0,85.5882,0.0981648,0.439279,4.38904,1204.33,22.5372,0.141067,
168,1325.7,2864.76,3086.25,0.46276,199.025,0,502.69,5.26576,144.345,19.7979,1727.42,69.9814,196.235,418.355,0,841.502,1.7141,345.9,29.9905,1183.74,105.355,411.185,0.450533,0,85.5882,0.295155,0.445732,5.88429,1204.33,22.5372,0.141067,
169,1325.7,2953.66,2559.49,0.448831,191.252,0,593.503,6.12009,171.323,18.287,1715.6,69.0899,188.492,369.678,0,864.203,2.17496,366.554,27.3131,1052.22,114.845,365.877,0.482958,0,83.1189,0.639703,0.453092,5.54985,1204.33,10.5204,0.141067,
170,1325.65,2714.84,2484.19,0.488299,159.586,0,473.867,5.0614,181.672,17.0388,1664.22,57.9366,155.455,364.399,0,759.237,1.95031,367.258,25.2034,990.788,94.7292,363.779,0.486014,0,85.4449,0.450094,0.453092,5.88429,1204.33,17.8122,0.141067,
171,1325.65,2529.56,2309.73,0.524065,160.264,0,389.571,5.7412,108.66,16.8545,1621.32,68.6972,158.448,370.075,0,722.82,2.08647,290.639,26.0615,1021.61,121.951,367.613,0.486014,0,43.0226,1.71881,0.487466,5.88429,1204.33,17.7814,0.141067,
172,1325.65,2939.54,3219.56,0.450973,197.843,0,461.983,5.75015,204.919,20.3491,1795.56,60.714,192.424,458.027,0,783.047,1.97272,477.483,31.5557,1319.86,96.6126,452.739,0.487435,0,85.4449,1.03163,0.487466,5.88429,1204.33,22.5372,0.141067,
173,1325.65,2520.45,2545.18,0.525959,174.817,0,395.969,5.54587,102.043,16.7322,1588.27,64.0201,173.059,412.358,0,686.265,2.25151,348.738,23.7522,903.766,106.934,407.767,0.49159,0,85.4449,1.04704,0.48617,5.8851,1204.33,22.3744,0.145551,
