Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.half_track_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.half_track_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.half_track_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.toe_angle_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,
0,53.2251,99.2227,32.1051,0.53642,1.38531,68.2361,2.06592,1.15841,0.28423,2.41003,21.7998,0.537276,1.34555,1.48529,30.177,1.35217,1.24386,0.270167,3.02234,29.9849,0.620131,1.5689,0.280674,27.5867,0.0172917,0.105317,0.0203562,0.0554584,11.152,0.0236794,0.178451,
1,53.2251,94.6596,76.4808,0.562278,1.24205,53.7092,2.6183,1.0424,4.61037,1.83452,27.5905,0.402675,1.6096,0.502558,30.8894,1.51194,0.780036,10.1613,1.85058,71.0324,0.31213,0.894796,0.235423,18.5672,0.0172917,0.105317,0.0127792,0.0442906,8.32525,0.0236794,0.251865,
2,53.2251,74.9115,20.454,0.710506,1.08167,41.903,2.6909,1.21464,5.77266,1.20066,18.8147,0.277031,1.95619,0.38046,21.6119,1.60348,0.92407,8.88544,1.69929,11.2546,0.232004,1.02765,0.321023,18.5672,0.0172917,0.0605729,0.0408948,0.0201999,8.32525,0.0236794,0.251865,
3,53.2251,101.602,147.072,0.523861,0.990033,42.4774,2.51382,1.16035,5.8469,1.32636,45.1535,0.274567,1.85864,0.465133,22.9108,1.57436,0.927169,9.32787,1.46223,144.624,0.242869,1.20476,0.233128,22.2006,0.0172917,0.0605729,0.0408948,0.0201999,7.96831,0.0236794,0.251865,
4,53.2251,123.56,378.367,0.430764,0.973385,36.7081,1.95531,0.87134,6.22324,1.22092,73.9095,0.21761,1.48033,0.315133,17.5853,1.54406,0.620122,9.61753,1.26912,374.179,0.243872,1.00874,0.241342,27.2488,0.0172917,0.105317,0.0136947,0.0359194,8.07071,0.0236794,0.221589,
5,53.2251,75.6152,32.0174,0.703894,1.02967,39.3734,2.0262,1.05089,6.07254,1.49558,22.8171,0.226684,1.52308,0.426922,24.6109,1.53991,0.916492,10.9088,1.58622,52.2502,0.266837,1.03639,0.325653,17.6526,0.0172917,0.105317,0.0136947,0.0359194,7.86943,0.0229256,0.221589,
6,53.2251,69.5678,27.4736,0.765082,1.05568,37.5132,2.03517,0.885763,5.39155,1.32887,19.8743,0.207886,1.27542,0.358547,23.5236,1.5218,0.815159,10.1375,1.34765,9.15925,0.248047,0.788978,0.339507,16.0389,0.0172917,0.105317,0.0136947,0.0359194,4.71446,0.0229256,0.221589,
7,53.2251,69.0324,27.1138,0.771016,0.998752,36.1839,1.86182,0.953327,4.19816,1.51984,21.8645,0.191,1.26106,0.329317,20.2052,1.49119,0.877672,7.69343,1.80652,11.9523,0.214395,0.759632,0.39382,26.4906,0.0172917,0.105317,0.0108714,0.0359194,8.9574,0.0229256,0.251865,
8,52.9088,67.7011,29.7743,0.781505,1.02171,38.1347,1.47336,0.764207,2.09808,1.01568,21.8981,0.195081,1.10018,0.385247,24.9545,1.3645,0.753152,4.301,1.04856,11.3302,0.2675,0.79129,0.343567,26.6712,0.0172917,0.0626294,0.0108714,0.0359194,8.09216,0.0229256,0.217602,
9,52.9088,73.4326,39.7944,0.720508,1.05458,40.69,1.60303,0.791901,3.51296,1.37633,22.8979,0.231671,1.27425,0.429714,28.1816,1.49119,0.803201,7.87282,1.82965,19.4482,0.300117,0.942395,0.23229,23.7848,0.0172917,0.0626294,0.0108714,0.0259842,7.98407,0.0322852,0.238522,
10,52.8178,74.5549,47.0887,0.708442,1.00487,37.1954,1.4455,0.644511,5.05564,0.968459,26.8698,0.203496,1.16716,0.373738,21.8708,1.53846,0.753177,10.8443,1.25915,35.5614,0.235206,0.908173,0.26099,21.1713,0.0172917,0.0356695,0.0108714,0.0259842,8.16952,0.0322852,0.238522,
11,52.8178,73.8571,35.5598,0.715136,1.08407,40.7933,1.47354,0.672779,6.66566,1.43353,20.402,0.244084,1.08807,0.432979,28.9479,1.51122,0.6891,12.2814,1.75523,13.0432,0.304289,0.735406,0.34766,13.6457,0.0305215,0.0356695,0.0136947,0.0320561,8.03094,0.0322852,0.251865,
12,52.8178,72.3893,35.7914,0.729636,1.07125,42.001,1.40393,0.718538,3.43512,1.09345,21.3935,0.236867,1.03563,0.427391,28.0768,1.67042,0.868897,8.09755,1.68217,12.4912,0.303909,0.869594,0.322787,27.5478,0.0305215,0.0907027,0.0136947,0.0320561,8.06046,0.0322852,0.251865,
13,52.6738,120.621,362.387,0.436689,1.01286,37.9411,1.45306,0.687974,5.55071,1.07444,71.5757,0.222832,1.10204,0.391553,24.5159,1.67517,0.757509,10.8176,1.49118,360.786,0.293471,0.938009,0.241,15.2283,0.011174,0.0394328,0.0136947,0.0320561,5.68771,0.0322852,0.251865,
14,52.6738,78.0738,42.1374,0.674666,1.08773,44.502,1.54146,0.585491,5.18171,1.31164,22.3969,0.271686,1.19521,0.461923,31.2912,1.73427,0.661384,10.0269,1.79556,52.5231,0.338279,0.98642,0.233064,17.8125,0.011174,0.0394328,0.0136947,0.0320561,8.14595,0.0322852,0.251865,
15,52.6471,80.602,64.766,0.653174,0.89897,35.1039,1.40984,0.555552,5.06804,1.2981,35.1212,0.17961,0.966726,0.350943,21.665,1.66519,0.707596,12.2428,1.68963,55.4505,0.250783,0.858844,0.243348,12.7426,0.011174,0.0394328,0.0136947,0.0320561,10.5742,0.0302433,0.251865,
16,52.5629,102.889,222.967,0.510869,1.0523,42.3907,1.24064,0.591955,3.23915,1.17514,51.9839,0.244634,0.970717,0.505805,32.2882,1.61656,0.842787,8.05068,1.63032,216.462,0.347244,0.952418,0.240437,12.6955,0.011174,0.0394328,0.0136947,0.0320561,8.03673,0.0302433,0.251865,
17,52.5629,62.2535,23.5886,0.844335,0.936488,31.4738,0.962083,0.502375,3.97856,0.942225,22.5718,0.128615,0.75757,0.269361,15.771,1.32774,0.709828,10.471,1.45385,31.1033,0.186986,0.682221,0.363234,23.3114,0.011174,0.0394328,0.013083,0.0188696,8.28924,0.0248394,0.282979,
18,52.2482,78.8147,94.3526,0.662924,0.962229,36.6035,1.05011,0.545427,3.48997,1.09777,34.0632,0.179732,0.822863,0.372299,24.5423,1.33879,0.72143,9.93904,1.62941,86.154,0.269612,0.691163,0.249933,21.3251,0.011174,0.0394328,0.00657189,0.0188696,1.29142,0.033932,0.282979,
19,52.0441,99.4808,168.94,0.523158,0.992257,40.263,1.17088,0.573085,4.4737,1.04346,49.7905,0.222139,0.951736,0.439077,27.189,1.38219,0.617004,10.6154,1.57631,161.911,0.307687,0.962085,0.238375,17.7902,0.011174,0.0446509,0.00657189,0.0320561,7.71041,0.0244351,0.282979,
20,52.0441,77.6093,44.574,0.670591,0.922366,38.0685,1.39226,0.699821,5.50279,1.30301,28.4727,0.200061,1.0478,0.391838,22.3423,1.62117,0.781217,11.1584,1.95424,35.8225,0.252295,1.14704,0.232828,18.8419,0.0437783,0.0693156,0.00657189,0.0320561,4.6396,0.033932,0.282979,
21,52.0441,75.6286,36.9507,0.688154,1.0116,41.8107,1.4358,0.837658,4.72446,1.24924,23.1063,0.23113,1.22167,0.468685,28.7466,1.62167,1.01247,9.93233,1.64795,14.2997,0.318804,1.24429,0.338033,13.5431,0.0437783,0.0693156,0.00657189,0.0320561,7.94511,0.033932,0.282979,
22,52.0441,81.1843,63.4789,0.641062,1.01988,40.7683,1.45852,0.700295,3.77057,1.09909,31.0527,0.217041,1.09788,0.481479,30.3082,1.70876,0.898325,9.39192,1.72493,50.0649,0.322728,1.2401,0.225424,21.1886,0.0437783,0.0430698,0.00657189,0.0320561,10.1261,0.0119525,0.282979,
23,52.0441,76.0991,43.8286,0.683899,1.06091,44.0769,1.29133,0.535193,3.36021,1.00824,23.469,0.247142,1.05024,0.496575,34.327,1.6885,0.733087,8.97519,1.61551,20.5869,0.365041,1.15124,0.233237,22.0623,0.0437783,0.0430698,0.00657189,0.0320561,5.79514,0.033932,0.282979,
