Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
263,195.616,431.421,1020.33,0.453422,16.673,51.3098,5.74822,39.7466,25.5039,5.18206,0,67.4324,4.11589,5.37461,51.9284,158.406,57.1847,331.369,28.9062,85.3002,45.6092,3.92985,0,103.775,1.31437,20.8053,336.41,302.092,3.41442,0.386603,0.437085,3.98502,14.4184,4.20576,0,31.7079,3.20494,0.959517,0.918262,88.2129,
264,195.616,436.643,1140.2,0.447999,13.6448,63.2889,6.34081,35.2932,22.7566,4.65371,0,86.0832,4.31619,4.7768,64.0775,131.412,44.2517,384.552,29.3841,50.6977,40.2068,3.22057,0,193.315,1.88769,20.2134,385.162,244.61,3.41442,0.386603,0.437015,9.49147,14.5752,2.04683,0,45.1874,3.89056,0.959517,0.918262,88.1221,
265,195.616,516.589,1433.45,0.378668,22.6787,84.3452,6.84433,32.1175,30.263,5.00919,0,85.3358,4.18979,9.5662,84.9959,151.244,81.3891,403.984,33.2947,17.6558,66.4892,3.56086,0,189.243,1.42621,36.7793,404.472,289.461,3.41442,0.386603,0.437011,8.48449,16.1979,4.20576,0,31.447,3.89056,0.959517,0.918262,88.2129,
266,195.591,485.73,1403.55,0.402675,13.7455,91.662,4.43176,32.6024,26.5749,4.69937,0,85.2949,4.09518,4.72278,92.8652,125.036,47.6166,503.866,22.5296,12.453,43.165,2.6623,0,188.57,1.24826,16.7406,507.341,185.583,3.41442,0.385198,0.436792,9.41154,16.2251,2.20021,0,40.4952,2.88547,0.959517,0.917063,88.2129,
267,195.575,355.77,848.095,0.549723,11.9963,38.4413,3.80659,37.4897,19.5891,4.77631,0,58.9488,4.223,3.18639,39.0328,134.28,46.8333,266.513,24.8787,71.4191,20.1229,3.04046,0,139.717,2.55464,15.5906,271.693,245.68,3.41442,0.384997,0.436792,8.29836,14.7568,4.20593,0,28.5944,3.03975,0.960117,0.916979,88.2129,
268,195.575,347.435,876.919,0.562911,8.63208,37.7376,3.11444,34.2791,18.6058,4.58947,0,77.3916,4.13887,3.52877,38.313,117.104,28.8294,256.93,14.9323,30.9557,16.3715,1.98976,0,173.192,1.43461,14.7458,257.196,164.85,3.39829,0.384997,0.436792,8.2347,11.4808,4.20593,0,45.1835,3.89186,0.958729,0.916979,88.1768,
269,195.573,419.909,1117.56,0.465752,11.3033,56.331,5.32955,32.6151,22.1204,4.76573,0,90.2599,4.34978,5.20073,56.9199,130.714,39.7715,325.529,30.3536,18.6489,31.6355,3.21988,0,231.846,2.89308,22.0589,323.919,241.07,3.39829,0.384997,0.436978,1.56051,16.2251,0.243746,0,32.021,2.84205,0.958729,0.916979,88.2015,
270,195.573,473.258,1307.2,0.413248,13.8762,96.4725,3.5818,31.3913,23.4386,4.42602,0,77.3056,4.13988,3.27914,97.5947,117.753,51.5872,505.61,22.4898,11.0131,33.9046,1.89944,0,173.41,2.60626,12.4808,503.312,161.946,3.39829,0.384997,0.436978,8.45236,16.2251,0.113877,0,32.6391,1.94246,0.958729,0.916979,88.2015,
271,195.573,679.326,1703.65,0.287893,19.13,145.552,11.1745,35.5884,30.7218,5.13503,0,104.641,4.63149,10.402,146.984,165.367,54.9436,566.036,47.2261,58.3614,61.3836,3.64489,0,229.898,3.17344,44.9014,562.92,296.497,3.39829,0.384997,0.436899,6.90296,16.2122,4.20593,0,30.9098,3.50905,0.958729,0.916222,60.882,
272,195.573,298.625,619.619,0.654913,11.5391,10.929,3.70117,30.5779,21.4102,4.74147,0,67.1705,4.23464,3.94455,11.454,128.922,49.4548,152.036,27.4102,5.72724,37.7386,3.77931,0,162.725,2.66042,20.2506,145.81,284.608,3.39829,0.384997,0.436899,10.3608,16.2001,3.83113,0,31.2839,3.89139,0.958729,0.916222,88.2015,
