Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,476.164,1986.44,872.575,0.239708,111.356,54.5071,129.869,33.9229,134.814,12.731,0,455.025,5.79159,64.5294,54.4985,929.393,127.419,65.9619,156.249,105.45,108.793,15.1009,2.03475e-79,546.956,6.66982,72.7857,63.8534,1000.53,9.06036,0.830849,2.25185,10.918,12.9843,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
1,476.164,1666.81,627.497,0.285675,106.959,108.701,131.046,27.8407,130.595,8.46787,0,327.551,5.50002,62.8189,108.68,648.648,63.2048,189.396,85.5943,23.0882,84.0079,7.4656,0,236.974,3.64793,45.421,185.396,552.566,8.90046,0.830849,6.37646,11.46,12.9843,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
2,476.164,1535.34,762.933,0.310137,101.614,163.464,133.738,32.9628,126.363,6.80379,0,270.316,5.54557,63.6802,163.453,467.397,65.7405,279.148,89.022,23.2482,84.7077,4.4358,0,170.547,3.44154,46.9964,278.973,394.259,8.90046,0.830849,6.37646,10.8487,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
3,476.164,1434.87,507.42,0.331851,116.498,166.363,128.608,35.561,110.979,6.12077,0,254.198,5.09839,56.9468,166.339,388.163,72.8156,232.532,83.5045,23.9607,73.6288,3.75344,0,160.399,3.51998,43.853,231.745,298.229,8.90046,0.830849,6.37646,13.4477,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
4,476.164,1339.92,502.008,0.355367,110.064,154.939,119.652,34.1154,108.506,5.62539,0,226.547,5.22319,51.7405,154.896,368.613,65.3825,202.976,81.9861,22.8447,71.3317,3.50609,0,147.664,3.76818,41.3467,203.893,276.348,8.90046,0.830849,6.37646,13.4477,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
5,476.164,1335.09,644.502,0.356653,110.205,164.708,112.311,34.0775,107.535,5.18898,0,235.928,5.04584,51.823,164.697,343.572,63.9425,250.33,75.961,22.4123,76.002,3.65896,0,160.23,3.61845,43.7328,248.687,266.575,8.90046,0.830849,6.37646,8.15695,11.5692,0.0619661,0,22.5121,0.024921,0.680701,1.87716,34.6084,
6,476.164,1273.39,539.517,0.373934,105.185,162.875,111.256,33.9457,101.387,5.20429,0,213.736,4.87755,47.8523,162.868,324.203,59.5086,245.48,73.2997,22.0127,71.7035,3.14399,0,144.79,3.63562,39.4005,245.495,243.588,8.90046,0.830849,6.37646,14.2529,11.5692,0.0619661,0,22.5121,0.024921,0.680701,1.87716,34.6084,
7,476.164,1240.33,912.148,0.3839,100.561,166.545,104.949,35.1726,95.5905,5.0248,0,217.23,5.21244,46.0004,166.904,297.143,61.6144,390.496,75.2677,22.3839,72.4617,3.5698,0,144.223,4.2514,39.874,392.516,247.487,7.14315,0.830849,6.37646,6.18965,11.5692,0.0619661,0,22.5121,0.024921,1.54206,1.84855,34.6084,
8,476.164,1114.57,732.733,0.427218,95.1347,133.214,105.516,34.8395,82.8922,4.55544,0,214.006,4.56654,40.787,133.505,265.555,63.7739,326.573,74.1201,21.3376,64.5238,3.41027,0,179.016,3.49521,34.3538,332.332,203.579,8.90046,0.830849,6.37646,10.0554,11.5692,0.076637,0,26.4886,0.024921,1.54206,1.63815,34.6084,
9,476.164,1123.9,786.021,0.423672,95.5238,162.221,100.589,46.6381,77.3944,4.88359,0,195.012,4.61932,39.6114,162.3,235.107,66.505,301.875,72.9071,111.927,62.177,3.61327,0,130.379,4.21819,34.2293,302.15,223.435,8.90046,0.830849,6.37646,6.85758,11.5692,0.122174,0,26.4886,0.024921,1.54206,1.63815,34.6084,
10,476.164,1004.61,305.752,0.473979,94.7925,117.627,95.9371,35.0651,81.3576,4.15554,0,213.582,4.00053,38.6229,117.65,201.821,62.684,121.793,62.3525,22.0975,68.4906,3.01085,0,135.822,3.21974,34.1412,123.718,137.581,8.90046,0.830849,6.37646,18.1346,11.5692,0.122174,0,26.4886,0.024921,1.54206,1.63815,34.6084,
11,476.164,1061.3,798.219,0.448661,88.3184,147.737,102.938,41.0967,70.5275,4.72025,0,210.874,4.40471,35.313,148.107,207.266,55.7257,341.584,71.0756,50.5974,57.7041,3.69453,0,156.341,3.31731,34.0899,340.581,196.32,8.90046,0.830849,2.31182,15.6212,11.5692,0.122174,0,26.4886,0.024921,1.54206,1.63815,34.6084,
12,476.164,872.309,178.929,0.545867,79.8241,88.1883,99.1852,34.7455,61.2453,4.10661,0,206.228,4.2634,29.8877,88.2352,176.4,59.4393,95.8007,66.8825,19.0165,48.9951,2.78332,0,130.098,3.21918,26.5634,92.2476,111.434,8.94031,0.830849,6.37646,19.2308,11.5366,0.122174,0,26.4886,0.024921,1.54206,1.63815,32.0314,
13,444.747,879.028,641.902,0.505953,87.8672,96.1794,95.7301,32.9194,59.0434,4.0159,0,199.821,4.01735,25.9595,96.2318,177.243,64.2332,172.698,62.9224,15.523,58.6141,2.79113,0,177.089,3.16263,26.1785,172.651,156.498,6.90796,0.830849,6.37646,9.20011,11.5692,0.235658,0,16.9864,0.0104758,1.46779,1.63815,31.5755,
14,444.747,865.102,653.627,0.514098,86.8602,92.2823,89.6255,31.4847,57.0292,3.89505,0,187.375,3.78554,27.271,92.3208,193.172,63.0423,203.05,64.7522,14.1337,49.1982,3.56112,0,137.916,2.77237,26.5188,203.404,231.046,4.09048,0.830849,6.37646,8.53875,11.5692,0.0906941,0,16.9864,0.0104758,1.46779,1.63815,31.5755,
15,419.018,811.722,761.473,0.516209,85.2677,100.453,90.9787,32.2666,50.4102,3.72316,0,166.673,4.14086,23.7178,100.801,153.289,60.075,318.931,63.9275,13.7347,45.9716,2.04683,0,114.88,2.92278,25.0455,321.113,98.9244,4.09048,0.830849,6.37646,16.309,11.3074,0.386817,0,16.9864,0.0104758,1.65909,1.63815,31.5755,
16,405.605,830.149,932.007,0.488593,85.1891,100.721,83.0202,30.2979,52.2688,3.85385,0,179.131,4.71442,24.8165,100.848,165.29,62.4603,280.06,60.4491,5.87699,47.9115,2.67391,0,182.52,3.16239,27.3571,280.534,192.339,4.09048,1.0238,6.37646,7.1684,11.5692,0.42791,0,16.9864,0.0104758,1.06418,1.63815,31.5755,
17,350.882,680.438,260.24,0.515671,84.6265,54.4839,70.2601,30.1754,47.607,3.69177,0,151.701,4.46179,21.3774,54.5243,157.529,57.8806,65.1901,46.0753,4.83278,47.9348,2.63358,0,102.542,2.7862,25.9366,60.8685,176.418,6.90796,1.0238,4.48305,13.7811,11.5692,0.42791,0,16.9864,0.0104758,1.65909,1.63815,31.5755,
18,251.637,655.474,223.193,0.3839,81.7866,50.5465,69.3252,32.1179,41.8303,3.58187,0,164.112,4.9159,18.0974,50.6143,138.547,49.2059,44.5586,48.5824,19.608,37.2462,1.60697,0,163.266,3.0336,18.6799,44.9825,68.5934,6.90796,1.0238,4.2665,23.8441,12.1145,0.42791,0,16.9864,0.0104758,1.32247,1.63815,31.5755,
19,251.637,746.888,892.499,0.336914,80.9204,95.392,67.803,29.8791,49.6863,3.63996,0,146.169,4.84542,21.9228,95.7919,150.837,51.0707,340.933,44.784,4.46388,55.2164,2.3433,0,173.19,2.86,29.5126,342.102,112.091,6.0498,1.0238,4.2665,18.4251,12.1145,0.42791,0,16.9864,0.0104758,1.49977,1.63815,31.5755,
20,251.637,757.199,1128.96,0.332326,80.5118,106.853,67.2415,30.0946,50.737,3.52206,0,142.357,4.78957,19.9542,107.512,143.627,49.2703,452.631,47.2111,4.58888,59.1395,1.34838,0,157.494,2.84336,21.7394,456.629,77.55,6.0498,0.816696,4.2665,11.6306,12.1145,0.42791,0,16.9864,0.0104758,1.70428,1.63815,31.5755,
21,251.637,634.676,405.719,0.396481,76.742,42.3814,63.1777,29.8688,43.8871,3.97012,0,130.992,5.14411,17.9985,42.4874,178.027,45.9662,77.3959,44.0766,5.3557,47.3917,3.92063,0,134.965,2.85303,22.8403,76.8191,269.947,6.0498,0.816696,4.2665,11.4596,12.1145,0.42791,0,25.5529,0.0467389,1.70428,1.63815,31.5755,
22,251.637,546.723,218.369,0.460264,70.1583,38.36,55.9112,43.2906,37.6725,3.57625,0,99.5363,5.00059,15.0526,38.4787,139.686,56.5593,32.7498,39.672,132.973,32.5057,1.67916,0,69.6043,2.72819,15.5902,32.6237,72.2103,3.97872,0.816696,0.958171,23.8441,12.2279,0.42791,0,21.9288,0.0467389,1.70428,1.63815,31.5798,
23,251.637,509.581,109.65,0.493812,63.7708,37.7794,47.9377,30.1728,34.744,3.46278,0,97.4903,5.16535,13.4907,37.903,137.664,46.1069,31.4324,36.3814,14.4453,31.505,1.22072,0,59.7963,2.46027,14.3657,31.3314,52.2237,3.97872,0.816696,0.958171,25.5125,12.2279,1.66807,0,21.9288,0.165143,1.70428,1.63815,31.5798,
24,251.637,516.391,363.9,0.487299,54.3508,42.6322,45.0268,29.645,34.1358,3.40215,0,112.021,5.14244,12.78,42.7497,134.506,45.1982,74.5064,35.5535,2.3322,35.9343,0.923163,0,145.732,2.26726,14.7334,73.7921,48.5926,3.97872,0.816696,0.958171,25.9072,12.2718,0.616279,0,21.9288,0.165143,1.70428,1.63815,31.5798,
25,251.637,660.274,987.682,0.38111,59.9827,92.0547,36.1533,51.2853,35.8949,3.95727,0,110.243,5.26679,13.9144,92.4984,159.023,66.0105,359.638,30.7829,196.558,41.3109,2.48662,0,110.406,2.34369,21.0121,355.997,159.084,3.97872,1.0238,0.958171,13.4877,12.2718,1.83969,0,21.9288,0.165143,1.70428,1.95565,31.5798,
26,251.637,555.745,750.625,0.452792,49.4735,57.2204,40.4441,39.4319,28.7917,3.93858,0,103.347,5.50348,10.4124,57.387,159.795,53.7585,229.321,47.5325,100.704,24.8032,2.84377,0,116.579,2.13756,13.9986,230.742,202.659,3.97872,1.0238,0.958171,7.50262,12.2718,1.83969,0,21.9288,0.165143,1.70428,1.95565,31.5798,
27,251.637,566.846,811.045,0.443924,42.3077,69.4839,34.0483,31.7369,30.6857,3.78119,0,122.374,6.08357,9.85515,69.6188,146.871,36.2889,224.227,36.7871,23.5663,37.3324,1.93323,0,209.885,2.22475,9.57567,222.879,143.627,3.97872,1.0238,0.958171,7.83183,11.7463,1.32649,0,21.9288,0.165143,1.27481,1.95565,31.8261,
28,251.637,598.938,1191.64,0.420139,42.1361,101.51,27.6881,29.5009,33.9765,3.76532,0,92.9072,5.90498,11.0508,102.211,148.286,37.0281,456.73,19.3863,3.74087,55.6302,2.22959,0,142.177,2.09699,21.9006,457.079,173.047,3.97872,1.02976,1.96636,13.0667,11.7463,1.5629,0,21.9288,0.165143,1.27481,1.97573,31.8261,
29,251.637,531.653,945.268,0.473311,41.3548,74.8653,26.9888,29.648,29.2811,3.81774,0,84.5723,6.12859,11.9642,75.186,147.846,49.2127,274.639,21.8493,3.59123,30.3759,1.72712,0,160.529,2.07057,23.9118,278.505,151.366,3.97872,1.02976,0.628588,11.4758,11.7463,2.01851,0,21.9288,1.13996,1.00141,1.97573,32.8602,
30,231.346,412.462,433.655,0.56089,31.2178,45.1144,26.3334,29.7208,26.167,3.67372,0,57.7823,6.18035,9.22387,45.2728,131.775,20.6079,164.2,27.372,2.63453,13.6645,1.04909,0,34.2325,2.95685,7.20803,163.782,96.211,3.97872,0.902696,0.628588,9.1861,11.3846,2.25946,0,27.9444,1.13996,1.00141,1.51491,32.8602,
31,231.346,359.994,50.7105,0.642637,29.6095,26.6685,22.2636,30.0375,27.6878,3.64423,0,57.0235,6.21968,9.91498,26.8441,120.081,15.0486,27.4058,14.4224,1.69504,15.0583,0.642896,0,24.7739,2.00449,7.67459,27.2363,35.2857,3.97872,0.902696,0.628588,27.1711,11.7463,2.52961,0,27.9444,1.13996,1.00141,1.51491,32.8602,
32,231.346,467.653,864.342,0.494695,30.6915,63.8494,18.7268,29.4988,26.9807,3.93037,0,66.4148,6.13689,9.30991,64.0798,148.034,24.2388,282.621,13.812,3.38563,18.8944,2.28634,0,95.4401,2.08011,8.86481,278.114,188.234,3.97872,0.902696,0.336365,8.37144,12.3404,2.16217,0,27.9444,0.411831,1.00141,1.51491,32.8602,
33,231.346,367.393,243.121,0.629695,28.3433,21.8464,20.0156,40.5832,26.0033,3.84295,0,61.5329,6.24986,8.70908,22.0654,128.201,21.5048,45.3369,24.556,89.6979,14.6312,1.59819,0,83.3675,2.17134,6.70961,38.8803,64.1633,3.97872,0.615482,0.489641,26.1817,12.3404,1.81078,0,28.3207,0.411831,1.27481,1.45606,32.8602,
34,231.346,412.637,689.315,0.560652,29.8068,41.6421,17.0659,30.4631,26.6127,3.95128,0,67.1887,6.12098,8.83821,41.8825,139.065,41.1012,206.134,19.1428,12.8156,18.4274,2.2122,0,107.544,2.08329,8.05137,204.304,151.909,3.97872,0.615482,0.372752,8.2703,12.0452,2.5412,0,31.5377,0.411831,1.27481,1.45606,63.2129,
35,231.346,453.752,956.978,0.50985,28.6396,59.2184,17.31,29.7511,27.0964,4.073,0,70.5413,6.37284,8.40782,59.515,142.827,30.3622,285.787,21.4402,3.42386,25.8107,2.41108,0,145.458,1.93078,6.91798,284.752,199.707,3.97872,0.615482,0.489641,8.06131,12.1797,2.5412,0,31.5377,0.411831,1.27481,1.45606,54.2364,
36,231.346,498.572,940.312,0.464016,31.2265,53.2646,18.4212,32.1887,30.5782,4.41172,0,94.9322,6.76408,11.4398,53.5611,161.784,40.0401,240.396,29.1559,21.6028,35.7811,3.19508,0,202.457,2.91057,17.2969,240.648,243.497,3.97872,0.615482,0.489641,9.14607,12.1797,2.72246,0,31.5377,0.411831,1.27481,1.45606,63.2129,
37,214.398,477.803,1018.01,0.448717,26.6523,62.3044,18.701,32.9833,31.866,4.29639,0,78.5091,6.9411,13.9373,63.0514,138.56,28.0677,324.746,38.9692,29.642,49.6423,2.47762,0,167.577,2.9613,36.0319,327.294,155.164,4.64714,0.615482,0.489641,9.7004,12.1797,2.72246,0,31.5377,0.411831,1.27481,1.45606,57.4124,
38,214.398,483.534,1155.25,0.443398,28.7934,89.7628,15.4827,30.175,25.6218,3.91662,0,67.6646,6.60819,7.80058,90.6456,117.063,43.8757,457.065,23.9548,3.81486,16.3196,0.692614,0,108.375,1.74245,8.13878,460.778,79.7209,4.64714,0.615482,0.489641,13.1623,12.4402,1.43625,0,31.5377,0.411831,1.27481,1.45606,57.7346,
39,214.398,354.99,398.265,0.603955,25.0694,17.4332,12.2752,33.6183,26.6147,4.44587,0,66.5954,6.26423,8.7496,17.7675,136.156,35.0856,73.883,12.5108,30.023,31.3129,3.28117,0,146.734,1.72061,15.4868,74.3761,207.004,5.6389,0.615482,0.489641,11.6127,12.3368,2.85236,0,31.9451,0.411831,1.27481,1.45606,57.7346,
40,214.398,368.162,398.69,0.582347,28.632,21.7125,13.495,40.7667,28.0254,4.23919,0,78.4342,6.37293,9.69267,22.0351,114.756,45.6578,56.8305,20.1552,69.7643,32.045,1.72469,0,145.254,1.82682,15.8186,56.2803,67.6679,5.6389,0.615482,0.489641,27.7417,12.4402,2.85236,0,32.4039,0.411831,1.01741,1.45606,57.7346,
41,214.398,404.556,756.007,0.529959,25.7469,47.2871,16.1039,32.4408,29.0276,4.3258,0,60.8286,5.85199,7.93564,47.6312,127.376,41.3231,240.216,34.0067,22.231,39.1722,1.9453,0,98.5897,2.1093,9.04498,237.087,159.783,6.32977,0.615482,0.489641,9.26393,12.4402,2.85236,0,32.4039,0.411831,1.01741,1.45606,57.7346,
42,214.398,451.742,958.542,0.474603,24.9055,49.308,12.8171,30.1984,31.1314,4.77127,0,76.0222,5.90245,10.7465,49.7192,156.219,28.3173,246.57,15.661,4.35314,45.3945,3.81971,0,165.897,1.91592,24.5381,246.428,283.774,6.32977,0.615482,0.489641,9.21415,12.4402,2.99362,0,32.4039,0.411831,1.14028,1.45606,57.7346,
43,214.398,420.935,797.796,0.509337,26.965,45.1295,15.6852,32.3808,29.3084,4.47633,0,75.5326,6.09018,9.39858,45.5362,130.432,44.7203,231.739,36.3021,12.6858,26.5475,2.44544,0,165.35,3.12474,14.7843,231.938,169.605,6.32977,0.615482,0.769338,6.20071,12.4402,2.919,0,32.4039,0.411831,1.14028,1.45606,57.7346,
44,214.398,432.61,708.247,0.495592,28.5842,48.8504,12.2929,31.4386,31.3178,4.43449,0,78.3218,6.06964,11.0329,49.2517,131.015,57.5087,205.858,24.2844,10.8772,41.4381,2.45481,0,177.273,2.09163,23.2656,205.263,197.697,6.32977,0.615482,0.769338,11.1251,12.4402,3.27555,0,31.956,0.411831,1.14028,1.45606,57.7346,
45,214.398,507.525,1093.3,0.422438,31.0169,75.5223,11.2915,30.5421,29.6287,4.86864,0,75.4223,6.14536,11.2241,76.2889,155.575,60.4704,379.286,22.6907,4.76269,36.0518,3.80314,0,146.723,1.92167,27.6617,378.19,278.703,6.32977,0.615482,0.795353,9.91032,12.4402,3.27555,0,33.2887,0.635785,1.14028,1.45606,48.952,
46,214.398,511.845,1108.14,0.418872,33.1054,67.0026,16.3154,30.1748,33.1731,4.81404,0,81.8693,6.34397,10.3499,67.7658,160.931,65.3603,357.876,45.5745,4.76878,51.6116,4.33953,0,153.243,3.04194,23.9442,360.775,312.676,6.32977,0.615482,0.795353,10.5062,12.4402,0.536341,0,30.6957,0.635785,1.14028,1.45606,57.7346,
47,214.398,314.326,446.018,0.682088,22.1547,19.968,7.15143,40.0041,27.4629,4.26048,0,55.1868,5.94173,7.11354,20.4563,104.626,41.8183,122.896,12.3602,91.4829,39.2567,1.27054,0,82.776,1.80639,17.1589,121.97,94.0535,6.32977,0.615482,0.795353,16.8959,12.4402,3.39687,0,31.3093,0.635785,1.14028,1.45606,57.7346,
48,214.398,445.475,1037.63,0.481279,22.7596,65.5714,7.85187,31.2051,34.0065,4.56985,0,71.1696,5.89511,7.6058,66.0755,128.765,36.6767,325.367,13.5714,13.0648,57.1097,2.81453,0,113.567,1.72772,12.6591,325.477,221.058,6.32977,0.615482,0.663595,7.00622,12.4402,1.5305,0,34.5511,1.99676,1.14028,1.45606,57.7346,
49,214.398,439.333,1025.98,0.488008,25.3772,62.9266,9.00277,33.4017,34.4038,4.55682,0,73.8706,5.91524,8.33356,63.7572,117.788,40.9917,379.097,17.7132,20.9583,56.0012,2.10109,0,165.536,1.96822,21.6411,381.847,159.282,6.17792,0.615482,0.728729,8.78942,12.4402,3.60345,0,34.5511,1.30408,1.12757,1.45606,57.7346,
50,214.398,473.581,1223.28,0.452717,24.8716,91.2509,10.8109,31.0016,26.8754,4.29331,0,70.9589,5.97526,8.41331,92.443,106.687,47.6954,483.391,25.1913,6.13594,30.1853,1.0904,0,139.285,1.90159,21.0975,483.191,100.326,6.17792,0.926521,0.728729,6.26532,12.4402,0.0184136,0,33.1642,1.99676,0.982352,1.67932,52.0207,
51,214.398,384.037,906.862,0.558273,26.1002,46.6585,7.60413,31.8594,25.5789,4.58204,0,65.6147,5.54357,6.21882,47.2241,117.053,54.8859,282.337,13.5703,11.4693,20.9305,2.11286,0,146.55,1.563,11.253,282.134,171.174,6.17792,0.926521,0.728729,8.91364,12.9746,3.81139,0,31.4761,1.99676,0.982352,1.67932,63.9354,
52,214.398,454.477,869.16,0.471746,32.2315,34.715,17.0775,33.389,35.0441,4.972,0,116.41,6.34446,12.0418,35.2914,126.96,62.4201,203.911,46.2659,12.8935,60.2264,3.10235,0,296.05,3.70601,33.7772,204.909,182.726,6.17792,0.926521,0.728729,7.48087,11.9407,3.82463,0,30.7015,0.628455,0.982352,1.67932,41.9962,
53,214.284,515.24,1438.83,0.415891,24.6785,95.6989,10.347,40.4282,24.8157,4.4508,0,92.697,5.64401,4.83307,96.9579,114.689,45.696,516.654,30.3275,99.6028,34.264,1.48448,0,233.996,1.88825,12.4716,520.57,129.024,5.36425,0.926521,0.620515,0.663764,12.9746,3.82463,0,31.9874,1.90328,0.982352,1.67932,63.9354,
54,213.732,389.527,904.046,0.548696,21.8827,46.4688,8.05292,37.6715,22.547,4.72999,0,64.6102,5.87078,4.5196,47.1192,126.055,41.936,289.47,16.4614,49.7053,16.4185,2.66635,0,110.832,2.07367,6.10566,294.593,207.925,5.36425,0.926521,0.504691,7.39319,13.0528,3.83606,0,30.1752,2.08594,0.982352,1.67932,63.9354,
55,206.57,546.946,1311.62,0.37768,27.0756,112.938,9.64779,32.88,26.8848,4.6173,0,77.4769,5.55455,7.44864,113.843,128.579,44.4886,466.321,20.0255,28.0891,41.9199,2.31112,0,172.664,1.97729,19.9119,468.024,202.663,5.36425,0.780174,0.620515,7.5293,13.0528,3.87833,0,30.851,0.733688,0.982352,1.48376,25.0396,
56,206.57,502.641,1064.57,0.41097,35.9285,62.0781,12.8509,33.1509,33.2248,5.0757,0,84.4986,5.96681,13.762,62.77,153.334,73.0947,280.218,34.7074,19.4863,63.6279,3.78134,0,185.853,3.03688,44.7311,280.301,294.061,5.36425,0.72856,0.620515,7.25078,13.0528,3.81874,0,30.7693,2.08594,0.982352,1.48376,38.1283,
57,206.57,354.431,949.387,0.582823,20.7868,38.2853,5.10772,30.7741,21.6433,4.39757,0,72.7601,5.12805,5.28986,39.2509,111.007,40.0589,326.299,8.92024,3.16807,27.8037,2.26393,0,195.802,1.25067,15.53,331.289,181.167,6.17792,0.72856,0.620515,13.2081,13.0528,3.61414,0,31.9874,1.25461,0.982352,1.48376,63.9354,
58,206.57,372.178,807.412,0.555031,21.2391,34.5573,6.9545,37.1074,27.2938,4.6672,0,71.2626,5.41041,6.55747,35.3199,121.809,30.6415,213.494,13.4455,51.7289,47.5412,2.44787,0,165.638,1.34167,24.7083,214.853,186.141,6.17792,0.72856,0.607004,10.7835,13.0528,3.71045,0,30.0496,2.59745,0.982352,1.48376,63.9354,
59,206.57,442.999,1127.71,0.4663,22.3811,81.3593,10.3794,37.467,23.5045,4.49728,0,54.8284,5.60762,4.77743,82.519,115.677,34.7996,462.587,33.2652,53.7982,33.8168,1.56042,0,72.6426,2.47131,10.3765,466.331,121.452,6.17792,0.72856,0.607004,13.6189,13.1565,3.90925,0,31.9874,2.59745,0.982352,1.48376,63.9354,
60,206.57,541.852,1333.42,0.38123,31.5318,74.8116,8.87406,30.2507,27.2226,5.14141,0,109.667,5.29608,7.36759,75.4201,166.268,68.7573,356.214,40.564,8.79914,47.8004,3.92748,0,277.306,1.20805,25.2766,356.224,330.994,6.17792,0.72856,0.607004,6.84918,13.1565,3.90925,0,31.9874,2.59745,0.982352,1.48376,63.9354,
61,205.828,299.079,535.086,0.688206,17.8868,16.1023,5.82786,34.1787,21.3462,4.57966,0,60.0544,5.47413,3.86585,16.7727,112.99,24.6149,129.85,13.3086,24.3766,19.2707,2.39276,0,125.735,1.38296,7.38429,128.447,161.61,6.17792,0.72856,0.607004,10.73,13.0512,3.86512,0,28.6057,2.59745,0.982352,1.48376,63.9354,
62,205.828,412.44,1091.08,0.499049,24.9579,62.0815,5.91191,30.4188,22.1861,4.43625,0,73.9846,5.50338,5.00562,62.8472,115.107,57.9852,333.257,16.245,5.34939,30.3494,1.87089,0,178.042,1.48626,15.0411,327.591,176.4,6.17792,0.72856,0.607004,7.58638,13.0512,2.07196,0,31.9874,2.59745,0.982352,1.48376,63.9354,
63,205.828,501.877,1185.56,0.410116,27.3665,82.0645,11.6807,33.1306,31.2388,4.75595,0,84.6379,5.72572,10.4219,83.2274,127.627,51.9825,420.871,42.3014,14.7941,58.8334,2.15437,0,212.091,2.49147,35.6772,421.746,174.978,7.92444,0.72856,0.607004,8.61651,13.0512,3.93754,0,28.4416,2.59745,0.982352,1.48376,63.9354,
64,205.828,315.355,618.918,0.652685,16.596,23.4679,6.75852,31.1582,24.7686,4.22559,0,73.8921,5.2958,6.13545,24.19,98.8672,19.657,187.519,29.3557,4.61649,47.2983,0.761012,0,178.597,1.1238,23.0136,187.745,62.2199,5.98264,0.636288,0.607004,15.257,13.0512,2.73196,0,31.9874,2.59745,0.982352,1.48376,63.9354,
65,205.828,444.534,1140.47,0.46302,19.28,77.9582,6.27461,32.4346,22.8023,4.46427,0,78.7107,5.40125,5.68043,78.9966,112.531,29.553,408.862,20.6714,18.827,26.2373,1.63559,0,169.427,1.40133,15.641,411.301,133.597,5.98264,0.636288,0.635221,9.76987,13.0512,2.34737,0,31.9874,0.494522,0.982352,1.48376,63.9354,
66,205.828,449.78,977.894,0.457619,28.6351,46.023,11.2252,35.3778,32.7279,4.74596,0,106.396,5.55699,9.92833,46.7985,122.364,65.7551,254.391,45.1361,27.5712,61.4883,2.48184,0,263.052,1.61955,32.4829,256.527,167.621,5.98264,0.636288,0.635221,8.32231,13.0512,3.74879,0,31.3372,3.11009,0.982352,1.48376,63.9354,
67,205.828,429.616,1023.44,0.479097,26.4449,44.1527,6.8081,32.6753,26.0007,4.90827,0,88.4112,5.44275,6.04252,44.9126,143.817,63.2365,276.634,21.3241,18.224,46.7831,3.44809,0,224.402,1.51264,18.3942,277.44,261.375,5.98264,0.636288,0.770126,8.40652,13.0512,3.91558,0,31.7815,3.36924,0.982352,1.48376,63.9354,
68,205.828,466.245,1248.68,0.441459,21.6804,95.1117,8.52927,30.4682,22.1899,4.25567,0,67.6783,5.57808,4.9686,96.39,109.395,46.7223,486.067,29.1065,4.07274,34.894,1.16099,0,155.931,2.71692,22.3357,484.055,118.995,5.98264,0.636288,0.717155,5.1639,13.0429,2.61365,0,32.4095,3.7856,0.970548,1.48376,63.9354,
69,205.828,342.182,675.191,0.601516,22.5618,20.6286,6.78288,42.3972,19.6845,4.73903,0,66.0032,5.31364,4.24447,21.3588,128.468,47.0127,148.686,28.9766,110.087,13.0754,2.96771,0,149.162,1.16054,12.8055,148.742,222.142,5.87087,0.6982,0.832898,11.2947,13.0512,3.99867,0,30.8186,3.25421,0.970548,1.48376,63.9354,
70,205.828,373.11,884.826,0.551654,23.6597,33.9122,6.71911,38.9437,21.8705,4.55898,0,80.0193,5.31796,3.97747,34.6682,119.463,60.9413,228.122,28.275,71.3435,26.6247,2.30531,0,208.531,1.40964,9.48414,228.085,165.172,5.98264,0.6982,0.832898,8.49726,13.0512,3.77311,0,37.3865,3.13022,0.970548,1.48376,63.9354,
