Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.51613,35.2685,5.75772,14.4171,2.42499,0.97876,0.257111,0.0589649,0,46.0841,1.91929,4.83259,1.2285,31.7126,5.69191,
1,0.51511,35.2702,5.75817,14.4216,2.42249,0.979808,0.258019,0.0576788,0,46.07,1.9167,4.82518,1.22757,31.7179,5.70889,
2,0.516082,35.2694,5.75801,14.4217,2.42605,0.977141,0.259231,0.0559433,0,46.0885,1.92035,4.82421,1.22858,31.7159,5.68888,
3,0.515745,35.2701,5.75821,14.424,2.42793,0.972044,0.260267,0.0557231,0,46.0941,1.92226,4.82139,1.227,31.7182,5.68307,
4,0.517677,35.2686,5.75766,14.4129,2.42076,0.986967,0.256648,0.0560419,0,46.0883,1.91499,4.83971,1.22957,31.7121,5.68837,
5,0.516978,35.2685,5.75779,14.4189,2.42577,0.977177,0.259673,0.0555913,0,46.0763,1.92008,4.82952,1.22972,31.7133,5.70118,
6,0.515043,35.2703,5.75806,14.4196,2.43139,0.973723,0.252769,0.0577536,0,46.0983,1.92582,4.82722,1.22565,31.7167,5.67896,
7,0.515515,35.2697,5.75806,14.4223,2.42729,0.974853,0.259043,0.0561649,0,46.071,1.92161,4.8231,1.22777,31.7165,5.70833,
8,0.516803,35.2685,5.75769,14.4164,2.42331,0.982158,0.259154,0.056962,0,46.0741,1.91756,4.83346,1.22956,31.7124,5.70347,
9,0.516556,35.2695,5.75801,14.4213,2.42856,0.974216,0.258675,0.0550426,0,46.074,1.92291,4.82503,1.2284,31.7159,5.70363,
10,0.515645,35.2693,5.75802,14.4216,2.42602,0.974876,0.259154,0.0576234,0,46.0621,1.92031,4.82552,1.22865,31.7161,5.71709,
11,0.516999,35.27,5.75822,14.4241,2.42475,0.977492,0.258975,0.0575813,0,46.1064,1.91901,4.8205,1.22978,31.7182,5.6705,
12,0.518347,35.2688,5.75784,14.4171,2.42635,0.977145,0.259007,0.0561428,0,46.0928,1.92069,4.83212,1.23033,31.7139,5.68193,
13,0.516052,35.2709,5.75841,14.4251,2.42464,0.976509,0.25727,0.0581808,0,46.0533,1.9189,4.8188,1.22792,31.7205,5.72643,
