Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
130,21.5327,39.3499,124.4,0.547212,0.422861,2.33973,0.479098,0.325846,19.8728,0.0661819,1.37517,0.0796337,3.221,3.20925,5.73447,0.775466,1.44845,0.0259187,16.6292,1.86915,0.743159,51.1153,0.434581,9.26156,0.318797,23.5815,24.4428,22.6913,0.729682,0.574975,0.24215,0.00494224,0.205319,0.262206,12.467,0.00165428,0.0666093,0.00853144,0.000708316,0.000382062,0.155606,0.671247,1.36416,
131,21.5201,56.4368,171.472,0.381313,0.422427,3.04113,0.644521,0.369202,26.6244,0.118489,2.35797,0.211818,7.15202,7.12173,6.12496,0.824858,1.42321,0.0474285,15.2379,2.13641,0.475717,69.0856,0.601127,11.906,0.918561,38.2446,38.518,1.40822,0.811455,0.438045,0.108737,0.00494224,0.202942,0.262206,12.5073,0.00165428,0.0664744,0.00835146,0.000708316,0.000382062,5.73172,0.671247,1.08746,
132,21.5161,152.18,343.087,0.141386,0.461397,10.1051,0.987964,0.583543,64.3455,0.565183,11.3789,0.239653,26.5431,26.3253,7.03755,1.6185,1.988,0.166221,27.9579,2.37143,0.813904,139.769,1.46372,31.4133,0.658905,74.9077,78.6574,4.2079,2.58915,1.9709,0.0817966,0.00484264,0.202942,0.262206,12.5076,0.00179491,0.0664744,0.00830734,0.000708316,0.000382062,2.2759,0.670466,1.36465,
133,21.5161,116.861,292.287,0.184118,0.451164,5.67167,1.09816,0.427524,48.2549,0.445978,6.74527,0.24789,19.9958,19.9268,10.7657,1.25793,1.57176,0.131909,21.3349,3.7117,0.496237,137.14,1.36343,22.8139,0.904216,62.5564,62.0933,31.8524,1.87337,0.929797,0.182219,0.00488091,0.202759,0.257456,12.5076,0.00194224,0.0660355,0.00830734,0.000963009,0.000382062,5.77329,0.670466,1.26765,
134,21.5144,76.6894,227.67,0.28054,0.460506,5.00451,0.578315,0.535357,28.3319,0.363455,3.57116,0.135143,13.3458,13.2428,8.40965,1.23978,1.47099,0.136448,17.6379,1.58165,1.16244,66.3413,1.24398,16.8366,0.49308,60.3181,60.1042,13.1844,2.09636,0.501284,0.426021,0.00488642,0.202759,0.257456,12.5076,0.00194224,0.0661728,0.00830734,0.000581403,0.000496099,2.3855,0.670973,0.950985,
135,21.5144,55.7385,167.891,0.385989,0.431411,2.4945,0.807483,0.350935,32.2094,0.150552,2.22641,0.181945,4.22548,4.16217,6.28277,0.825803,1.38961,0.0343466,12.5363,2.93303,0.496643,95.7203,0.716435,10.7345,1.10426,22.1933,22.3507,3.00574,0.94426,0.321002,0.426066,0.00481103,0.202759,0.257456,12.5439,0.00183158,0.0661912,0.00830734,0.000581403,0.000496099,5.77329,0.668975,0.489527,
136,21.5082,77.8641,180.593,0.276228,0.421418,8.6605,1.03036,0.444614,30.6772,0.317904,5.30358,0.283944,8.96118,8.96369,9.88514,1.33866,1.5759,0.0809675,31.734,2.66897,0.551984,58.7212,0.969006,19.9379,1.05488,33.453,33.5114,27.0535,2.28037,1.01922,0.0755787,0.00463961,0.202759,0.257456,12.5634,0.00183158,0.0662308,0.00830734,0.000581403,0.000496099,4.44293,0.66961,0.753618,
137,21.5008,43.2157,151.801,0.497523,0.428599,0.817813,0.241383,0.315966,19.7282,0.133635,1.27652,0.0710145,6.05508,6.0236,5.89465,0.8021,1.42718,0.0166636,9.5812,0.239671,0.356133,49.8335,0.888682,9.32596,0.427897,42.3747,42.2086,3.67118,1.03469,0.450656,0.42623,0.00463961,0.199171,0.257456,12.5634,0.0017062,0.0625928,0.00832659,0.000581403,0.000496099,5.79797,0.663162,1.36507,
138,21.5008,84.7884,235.722,0.253582,0.43739,5.57702,0.78226,0.445349,39.9665,0.31875,3.71387,0.210596,12.3168,12.3153,6.34175,0.972226,1.39056,0.116626,19.8347,2.33267,0.655391,99.7813,1.08609,14.0956,0.756116,56.3833,56.4334,2.06917,1.10088,0.27017,0.102294,0.00463961,0.198516,0.261329,12.5633,0.00170988,0.0625928,0.00832659,0.000581403,0.000496099,5.77307,0.663162,0.456223,
139,21.4869,106.26,281.729,0.202211,0.437513,7.07591,0.873149,0.747937,49.6499,0.539545,8.23977,0.189783,14.5113,14.314,7.04989,1.10641,1.52464,0.107799,28.0434,2.36169,1.79236,125.591,1.63204,26.2987,0.665735,60.6805,60.3545,4.54372,1.36127,0.684833,0.25489,0.00446796,0.198516,0.255757,12.561,0.00160824,0.0625928,0.00831555,0.000581403,0.000496099,5.77307,0.663162,0.75393,
140,21.4869,92.3269,289.05,0.232726,0.459433,5.03967,0.728791,0.424126,44.2957,0.239231,4.67765,0.0900047,13.9368,13.7658,5.98604,1.15347,1.53018,0.169127,24.7906,2.46013,0.678991,135.28,1.01253,21.9059,0.378394,56.8515,56.2799,1.63039,1.91078,0.990549,0.426144,0.00446796,0.198516,0.255757,12.5799,0.00160824,0.0625928,0.00830609,0.000581403,0.000496099,2.75399,0.663162,1.08709,
141,21.486,104.559,260.781,0.205492,0.440709,8.1991,0.393324,0.484767,45.2199,0.3528,4.89269,0.266554,17.6125,17.4601,6.58815,1.06353,1.58493,0.105475,25.6548,0.816888,0.7356,107.894,1.098,16.9218,0.947474,63.1266,63.1151,2.54907,1.24868,0.687427,0.0590649,0.00446796,0.198516,0.255757,12.5922,0.00160824,0.0625928,0.00830609,0.00193329,0.000689296,5.76959,0.663162,1.36515,
142,21.4792,56.7226,146.104,0.378672,0.426312,4.04018,0.606694,0.312608,25.817,0.210377,3.23309,0.105752,6.54171,6.48529,6.45918,0.997249,1.48716,0.0596461,16.7983,1.83926,0.246561,70.1744,0.902736,14.9033,0.457262,29.1862,28.9702,3.4384,1.33335,0.653648,0.118362,0.00446205,0.19727,0.256022,12.5707,0.00160824,0.0625928,0.00830609,0.00150204,0.000498504,5.76959,0.663162,1.36571,
143,21.4762,48.204,146.258,0.445528,0.422941,2.02693,0.346418,0.351257,22.8438,0.183732,1.56275,0.0606813,5.9624,5.94963,6.15649,0.987885,1.34908,0.0349709,10.2143,1.03266,0.427309,53.9468,0.947247,8.21881,0.250827,37.0161,36.9762,1.68551,1.5703,0.225761,0.186935,0.00444448,0.0429413,0.256022,12.5551,0.00160824,0.0625928,0.00831555,0.00150204,0.000498504,5.76103,0.65961,0.140093,
144,21.4744,94.1603,290.763,0.228062,0.46061,10.9226,0.940741,0.389008,47.2966,0.188627,6.41676,0.408007,9.40037,8.42965,6.26802,0.908898,2.13042,0.176338,47.8595,2.96871,0.741979,145.793,0.800237,25.2907,1.91341,41.9002,38.7414,2.2086,1.18354,3.26109,0.348099,0.00444448,0.195327,0.257274,12.5551,0.00160824,0.0625928,0.00829819,0.000856951,0.000498504,5.76959,0.65961,1.36564,
145,21.4744,70.2631,202.688,0.305628,0.428451,4.38957,0.91285,0.343271,26.837,0.280395,4.02093,0.269906,11.8601,11.7778,6.64099,0.986217,1.51566,0.0703641,21.3912,3.26552,0.382184,68.0976,1.09483,16.9183,1.07139,53.1008,53.1959,3.56794,1.3123,0.881847,0.128547,0.00444448,0.192456,0.257274,12.5432,0.00157656,0.0626245,0.00831692,0.00191255,0.00101947,5.76959,0.655734,1.36583,
146,21.4659,61.2295,194.949,0.350581,0.440221,3.25847,0.538309,0.400431,31.4983,0.144932,1.44256,0.100517,7.57655,7.51343,6.13648,0.788896,1.39041,0.0763669,21.1071,2.13626,0.685094,96.4105,0.744822,7.40778,0.521173,40.9723,40.8181,1.75048,0.681135,0.18611,0.425842,0.00444448,0.192456,0.25632,12.5551,0.00157656,0.0639418,0.00831692,0.00250386,0.00177501,5.73751,0.655525,1.36571,
