Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1511.72,4430.65,1037.41,0.341197,321.106,0,237.426,2785.57,445.293,7.0545,265.196,313.201,55.7968,408.531,3.04981e-05,282.697,1084.64,465.622,6.45433,292.124,392.824,66.6469,15.8692,0,3.21008,1210.8,22.0905,0.308715,18.081,15.7967,3.18211,
1,1511.72,3931.56,886.42,0.38451,321.085,0,199.212,2365.67,425.72,6.76565,249.296,318.044,45.7686,198.401,0,139.52,942.279,270.031,2.94544,153.232,194.521,32.6909,33.6683,0,3.21008,1210.8,5.85193,0.308715,18.081,33.6371,3.18211,
2,1511.72,3660.93,980.498,0.412934,344.773,0,180.498,2042.22,479.617,6.94239,231.872,340.55,34.4654,196.299,0,136.95,726.096,281.349,2.59995,162.909,192.915,28.6129,33.6683,0,3.21008,1210.8,8.25208,0.308715,18.081,33.6371,2.94149,
3,1501.29,3319.11,962.827,0.452317,326.216,0,157.56,1835.58,411.11,6.86345,227.524,323.903,30.3594,217.618,0,122.991,614.049,241.291,2.50335,168.258,215.695,22.7918,3.49581,0,3.21008,1210.8,8.25208,0.308715,18.081,1.60073,2.94149,
4,1501.29,2937.46,758.802,0.511085,266.146,0,154.766,1665.81,336.651,6.47335,217.187,264.646,25.786,178.955,0,119.342,481.258,215.014,2.33762,160.306,178.311,19.7292,2.74986,0,3.21008,1209.9,2.46622,0.308715,18.081,1.60073,2.94149,
5,1501.29,2723.53,1086.21,0.55123,241.007,0,154.698,1553.92,295.143,6.57202,210.273,239.655,22.2674,200.283,0,116.552,565.869,248.37,2.28262,151.612,198.399,18.7309,2.74986,0,3.21008,1209.9,2.46622,0.308715,18.081,1.60073,2.6539,
6,1375.81,2457.94,832.475,0.559741,196.692,0,161.506,1458.17,219.703,6.90409,200.812,195.707,18.4454,159.95,0,132.042,448.926,170.926,2.17244,155.732,161.327,16.9862,2.74986,0,0.833747,1209.9,1.55385,1.9147,18.081,1.60073,2.6539,
7,1375.81,2271.51,790.361,0.605681,156.68,0,134.943,1370.32,218.088,6.96188,214.69,154.988,14.8397,165.435,0,111.399,312.119,204.283,2.10624,171.433,165.011,11.5321,1.56342,0,0.833747,1209.48,1.55385,1.9147,20.499,0.724453,0.28964,
8,1375.81,2274.05,1642.22,0.605007,150.699,0,127.329,1342.59,164.036,6.91173,317.606,149.862,15.011,204.939,0,120.925,303.937,149.566,1.97648,1111.36,205.009,11.8752,1.56342,0,0.833747,1205.95,1.55385,1.67958,20.499,0.724453,2.6539,
9,1375.81,2093.54,1051.04,0.65717,100.749,0,123.842,1373,161.516,7.15774,209.194,102.714,15.3664,116.671,0,131.099,455.851,298.396,1.91299,277.519,125.36,13.5128,1.56342,0,0.833747,1205.95,1.55385,0.895663,20.499,0.724453,2.6539,
