Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.0892229,31.2915,4.40028,0.483358,14.5778,3.55927,0.235642,0.00368003,0,46.3652,3.15769,1.12281,0.211118,78.2777,7.87908,
1,0.088948,31.2913,4.40026,0.484931,14.5777,3.55853,0.235015,0.00431487,0,46.3652,3.15695,1.1228,0.210885,78.2786,7.87906,
2,0.0893829,31.2916,4.40029,0.483577,14.5778,3.55929,0.234547,0.00452078,0,46.3652,3.15772,1.12281,0.21158,78.2773,7.87907,
3,0.0894618,31.2916,4.40029,0.483225,14.5778,3.55938,0.235546,0.00379626,0,46.3651,3.15781,1.1228,0.211304,78.2774,7.87925,
4,0.0893858,31.2915,4.40028,0.485809,14.5779,3.55811,0.236197,0.00327088,0,46.3652,3.15652,1.12283,0.211156,78.2775,7.87913,
5,0.0893089,31.2916,4.40028,0.483754,14.5778,3.55918,0.234732,0.00442221,0,46.3652,3.15761,1.12282,0.211475,78.2775,7.87906,
6,0.0893774,31.2915,4.40028,0.485177,14.5778,3.55838,0.235846,0.00353641,0,46.3652,3.1568,1.12279,0.211373,78.2777,7.87904,
7,0.0893971,31.2913,4.40027,0.483546,14.5777,3.55918,0.235361,0.00394228,0,46.3652,3.1576,1.12279,0.211311,78.278,7.87919,
8,0.0893274,31.2915,4.40028,0.483303,14.5778,3.55942,0.235662,0.00372866,0,46.3652,3.15785,1.12282,0.211245,78.2776,7.87917,
9,0.089365,31.2918,4.4003,0.483308,14.578,3.55931,0.235904,0.00343177,0,46.3652,3.15774,1.12284,0.211816,78.2768,7.8791,
10,0.0893984,31.2917,4.40028,0.485019,14.5777,3.55838,0.235421,0.00373166,0,46.3652,3.1568,1.12276,0.211967,78.2774,7.87905,
11,0.0895307,31.2917,4.40029,0.485302,14.5776,3.55825,0.235863,0.00345241,0,46.3652,3.15667,1.12273,0.211987,78.2771,7.87905,
12,0.0892439,31.2917,4.40029,0.483798,14.5778,3.55915,0.235219,0.00395307,0,46.3652,3.15758,1.12281,0.211754,78.2772,7.87907,
13,0.0892321,31.2917,4.40027,0.483616,14.5776,3.55918,0.235007,0.004105,0,46.3652,3.15761,1.12274,0.211634,78.278,7.87898,
14,0.0894877,31.2917,4.40029,0.483504,14.5776,3.55929,0.235197,0.00404739,0,46.3652,3.15772,1.12275,0.211713,78.2773,7.87914,
15,0.0893156,31.2914,4.40027,0.483785,14.5776,3.55914,0.236234,0.00324564,0,46.3652,3.15756,1.12276,0.211179,78.2782,7.87908,
16,0.0893447,31.2914,4.40027,0.48346,14.5776,3.55934,0.2355,0.00376642,0,46.3652,3.15777,1.12275,0.211318,78.2782,7.87904,
17,0.0893637,31.2914,4.40026,0.485287,14.5775,3.55833,0.235482,0.00383085,0,46.3651,3.15674,1.12271,0.211321,78.2785,7.87924,
18,0.0893001,31.2915,4.40028,0.483479,14.5777,3.55925,0.236349,0.00327323,0,46.3651,3.15768,1.12275,0.21141,78.2778,7.87916,
19,0.0894856,31.2917,4.40029,0.483485,14.5781,3.55925,0.235369,0.00389774,0,46.3652,3.15767,1.12288,0.211734,78.2769,7.8791,
20,0.0893294,31.2916,4.40028,0.485128,14.5777,3.55853,0.235502,0.00378644,0,46.3652,3.15695,1.12279,0.211405,78.2777,7.87909,
21,0.0893057,31.2914,4.40028,0.483629,14.5778,3.55928,0.235553,0.00378442,0,46.3651,3.15771,1.12281,0.211222,78.2779,7.87931,
22,0.0894047,31.2917,4.40029,0.485167,14.5778,3.55836,0.235346,0.0039646,0,46.3651,3.15678,1.1228,0.211851,78.2773,7.87916,
23,0.0891028,31.2917,4.40028,0.484445,14.5778,3.55875,0.236236,0.00319586,0,46.3652,3.15717,1.1228,0.211542,78.2779,7.87902,
24,0.0894297,31.2918,4.40029,0.483666,14.5779,3.55914,0.235333,0.00384729,0,46.3652,3.15757,1.12283,0.212084,78.277,7.87903,
25,0.0893822,31.2915,4.40028,0.485042,14.5778,3.55847,0.235587,0.00383914,0,46.3651,3.15689,1.1228,0.211407,78.2778,7.87921,
26,0.0891132,31.2916,4.40027,0.485013,14.5776,3.55853,0.235763,0.00348277,0,46.3652,3.15695,1.12275,0.211475,78.2783,7.87909,
27,0.0895467,31.2917,4.40029,0.483412,14.5778,3.55926,0.235347,0.00387514,0,46.3652,3.15769,1.1228,0.211846,78.2773,7.87904,
28,0.089485,31.2916,4.40028,0.484783,14.5778,3.55853,0.235554,0.00375789,0,46.3652,3.15695,1.12277,0.211781,78.2775,7.87912,
29,0.0894717,31.2918,4.40029,0.483727,14.5778,3.55913,0.235328,0.00385311,0,46.3652,3.15756,1.12278,0.212028,78.2771,7.87903,
30,0.0894856,31.2915,4.40028,0.483711,14.5777,3.55923,0.236137,0.00332553,0,46.3651,3.15766,1.1228,0.211387,78.2776,7.87919,
31,0.0895165,31.2917,4.40028,0.485749,14.5775,3.55815,0.235,0.00421237,0,46.3652,3.15656,1.12272,0.211922,78.2776,7.879,
32,0.0894879,31.2917,4.40029,0.485177,14.5777,3.55839,0.23545,0.00393362,0,46.3652,3.15681,1.12277,0.211922,78.2772,7.8791,
33,0.0894973,31.2916,4.40029,0.483707,14.5779,3.55926,0.235211,0.00397994,0,46.3652,3.15768,1.12283,0.211665,78.2773,7.87916,
34,0.0893812,31.2916,4.40027,0.483269,14.5775,3.55941,0.235604,0.00377788,0,46.3652,3.15783,1.12273,0.211592,78.278,7.87905,
35,0.0894169,31.2915,4.40027,0.483703,14.5775,3.55925,0.235904,0.0034906,0,46.3651,3.15768,1.12274,0.211419,78.2781,7.87917,
36,0.0896104,31.2917,4.40029,0.48375,14.5778,3.55914,0.234671,0.00446788,0,46.3652,3.15757,1.12281,0.211936,78.2772,7.87909,
37,0.089404,31.2917,4.40029,0.484332,14.5778,3.55891,0.23507,0.00435851,0,46.3652,3.15733,1.12282,0.211749,78.2772,7.87909,
38,0.0893775,31.2916,4.40028,0.484213,14.5777,3.5589,0.236289,0.0032614,0,46.3652,3.15732,1.12277,0.211611,78.2777,7.87913,
39,0.0894651,31.2916,4.40027,0.485749,14.5775,3.55812,0.234933,0.00425875,0,46.3652,3.15653,1.12272,0.211864,78.2779,7.87907,
40,0.0893558,31.2916,4.40028,0.484961,14.5777,3.55842,0.236924,0.00286217,0,46.3652,3.15684,1.12277,0.211522,78.2778,7.87903,
41,0.0895456,31.2918,4.40028,0.483651,14.5774,3.55918,0.234791,0.0043691,0,46.3652,3.15761,1.12267,0.21198,78.2779,7.87897,
