Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,0.306333,2.87245,1208.57,1.35448,0.151741,5.36261,0.031815,
1,0.307727,2.87327,1208.57,1.35472,0.152911,5.36244,0.0305184,
2,0.310057,2.87238,1208.57,1.35506,0.152107,5.36218,0.0290373,
3,0.309059,2.87241,1208.57,1.35566,0.151392,5.36217,0.0298576,
4,0.306521,2.87287,1208.57,1.35537,0.153038,5.36203,0.0309641,
5,0.306862,2.8733,1208.57,1.35472,0.154258,5.3624,0.0301013,
6,0.309064,2.87354,1208.57,1.3556,0.151018,5.36228,0.0300069,
7,0.307453,2.8734,1208.57,1.35503,0.149886,5.36207,0.0330708,
8,0.309919,2.87333,1208.57,1.35523,0.152409,5.36223,0.0289446,
9,0.307996,2.87211,1208.57,1.35713,0.153981,5.36245,0.0290924,
10,0.307625,2.87236,1208.57,1.35674,0.151691,5.3621,0.0308129,
11,0.309422,2.87266,1208.57,1.35547,0.152555,5.36193,0.0291647,
12,0.30711,2.87471,1208.57,1.35453,0.153071,5.36234,0.0307394,
13,0.306919,2.87251,1208.57,1.35639,0.154439,5.36222,0.0297633,
14,0.308035,2.87282,1208.57,1.3558,0.153669,5.36245,0.0298786,
15,0.308912,2.87262,1208.57,1.35696,0.151286,5.36229,0.0301044,
16,0.306403,2.8738,1208.57,1.35458,0.154009,5.36225,0.0304688,
17,0.307632,2.87239,1208.57,1.35676,0.149005,5.36209,0.0334915,
18,0.308049,2.87571,1208.57,1.35512,0.15159,5.36235,0.030928,
19,0.307026,2.87305,1208.57,1.35612,0.154306,5.36246,0.0299531,
20,0.306983,2.87332,1208.57,1.35503,0.152867,5.36203,0.030687,
21,0.307982,2.87217,1208.57,1.35834,0.150284,5.36231,0.0314419,
22,0.308053,2.87226,1208.57,1.35583,0.152818,5.36218,0.0305477,
23,0.307834,2.87352,1208.57,1.35639,0.152752,5.36226,0.0296078,
24,0.306084,2.87283,1208.57,1.35792,0.152034,5.36215,0.0313626,
25,0.308902,2.87195,1208.57,1.35786,0.152346,5.36221,0.0295411,
26,0.306717,2.87337,1208.57,1.35636,0.153768,5.36237,0.0307532,
27,0.307678,2.87505,1208.57,1.35563,0.150855,5.36229,0.0314065,
28,0.307989,2.87244,1208.57,1.355,0.151641,5.36221,0.0313862,
29,0.306417,2.87535,1208.57,1.35458,0.154485,5.36235,0.0299523,
30,191.051,8.93349,1567.58,138.378,285.963,18.221,285.921,
31,0.308958,2.87342,1208.57,1.35729,0.152355,5.36225,0.0295272,
32,592.368,0.632995,3558.58,496.599,1223.48,72.9058,1224.21,
33,0.307268,2.87277,1208.57,1.35665,0.152536,5.36231,0.0302102,
34,1459.21,11.3582,4134.36,85.2477,1752.57,79.5724,1738.92,
35,1714.25,9.28828,4506.14,142.317,657.695,17.2983,473.012,
36,523.376,5.34064,2300.94,243.056,448.956,48.6932,434.709,
37,356.163,4.2968,1952.09,114.071,361.969,114.702,359.341,
38,34.1639,10.8146,5396.17,544.665,30.3689,114.002,30.2053,
39,675.771,13.2388,1662.4,246.927,214.256,9.98845,145.744,
40,647.198,10.5329,2391.08,243.072,543.642,49.0081,536.415,
41,0.307704,2.87246,1208.57,1.35572,0.149398,5.362,0.0322661,
42,0.307139,2.87028,1208.57,1.35488,0.151068,5.36216,0.0318641,
43,0.308199,2.87242,1208.57,1.35423,0.151763,5.36218,0.0303411,
44,0.309615,2.87215,1208.57,1.35464,0.152698,5.36246,0.0293081,
45,0.306832,2.87209,1208.57,1.35615,0.152104,5.3623,0.0315501,
46,1477.97,7.6318,3850.3,22.0397,1358.22,15.3373,1228.4,
47,0.309307,2.87209,1208.57,1.35867,0.151208,5.36223,0.0299382,
48,0.309071,2.87321,1208.57,1.354,0.152102,5.36229,0.0296049,
49,0.306691,2.87576,1208.57,1.35523,0.153098,5.36215,0.0306737,
