Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
113,16.0298,42.6406,130.923,0.375929,22.7519,2.95953,3.30765,0.171065,0.164363,0.418712,0.493163,3.25528,0.0554724,7.26871,0.66057,1.13424,64.0087,3.19424,15.7063,0.79585,0.498102,1.38301,0.0459276,17.4213,0.227981,37.1208,0.309069,0.397407,10.9495,2.47314,0.12777,0.005783,0.0663377,0.134029,0.303191,0.0137984,0.00702744,0.00183523,0.602582,0.271323,
114,16.0298,44.1563,196.793,0.363025,26.5229,3.2797,2.57979,0.116019,0.691883,0.3312,0.510149,4.20769,0.0863668,4.00795,0.63547,1.1872,108.842,5.55725,17.1733,0.743414,4.36529,1.35933,0.124547,29.246,0.436979,28.3491,0.21806,0.604803,10.9495,2.47314,0.127315,0.00578566,0.0659802,0.133941,0.492236,0.0137984,0.0209326,0.00183523,0.600238,1.09958,
115,16.0275,66.1205,202.089,0.242399,40.2342,3.80566,1.0776,0.278719,0.145008,0.78898,0.509142,6.8669,0.122061,10.509,0.655313,1.12789,124.797,6.39047,4.87031,1.08098,0.369239,3.16084,0.128583,30.1033,0.432391,48.3882,0.215947,0.278851,10.9494,2.47246,0.128827,0.0057796,0.0658551,0.133944,0.183723,0.0137984,0.020907,0.000798021,0.602582,0.642707,
116,16.0275,53.8977,162.227,0.29737,31.3766,3.4381,3.84273,0.232095,0.218731,0.278093,0.49087,5.0877,0.112547,6.9724,0.638923,1.20891,87.4222,4.45783,17.2703,0.939205,0.599476,0.77823,0.0401517,20.7549,0.41531,38.6566,0.158977,0.444014,10.9494,2.47403,0.128842,0.0057796,0.0658551,0.131616,0.277627,0.013941,0.0199671,0.000798021,0.602633,1.09958,
117,16.0268,118.548,265.046,0.135192,60.1328,4.26271,9.7174,0.576809,0.457575,0.871201,0.491531,12.2556,0.46019,26.9605,0.862744,1.49878,127.439,6.94564,25.3017,1.51208,0.956433,2.60967,0.0993402,38.959,1.31171,76.246,0.706588,1.39757,10.9495,2.47686,0.128589,0.0057796,0.0658551,0.133944,0.143036,0.013941,0.0209326,0.000798021,0.602633,1.09958,
118,16.0268,78.2242,162.823,0.204883,40.0865,4.90726,4.81475,0.324639,0.343931,1.04664,0.49461,11.347,0.449117,12.3404,0.716973,1.35239,100.571,6.42854,12.6688,0.89228,0.769606,2.10809,0.124805,24.6881,1.04632,38.0631,0.470412,0.938274,10.8521,0.699368,0.0650577,0.00557882,0.0441576,0.13139,0.0469307,0.0126168,0.019353,0.000798021,0.291937,0.244967,
119,16.0268,80.7684,224.477,0.198429,47.9265,3.17901,6.41457,0.437035,0.39953,1.57343,0.507134,4.59654,0.296984,13.2211,0.710822,1.50577,143.535,2.0482,21.6774,1.22272,1.05665,4.73206,0.128974,15.205,0.911779,55.1952,0.295782,1.59438,10.9205,2.47685,0.118429,0.00446375,0.0658551,0.107119,0.354358,0.011234,0.0210063,0.000798021,0.572758,1.00101,
120,16.0227,61.9666,226.689,0.25857,37.6945,3.2591,4.1411,0.149289,0.264583,0.644261,0.525309,3.99818,0.147479,9.27331,0.62732,1.24221,132.033,4.45703,20.4723,0.755839,0.990421,3.10208,0.17143,20.1754,0.616598,49.0471,0.145671,0.923244,10.9494,2.47533,0.128842,0.0057796,0.0658551,0.134123,0.492153,0.0140169,0.0201125,0.000798021,0.603203,1.09958,
121,16.0227,77.9064,194.798,0.205666,41.5661,4.23432,6.19297,0.302268,0.268458,0.916481,0.47794,7.92876,0.213479,13.7183,0.753251,1.33408,109.754,6.56382,20.4966,0.990585,0.804316,3.27002,0.124722,30.2144,0.697945,50.9465,0.495017,1.04629,10.949,2.47265,0.128842,0.0057796,0.0657405,0.133462,0.0505428,0.0139363,0.021272,0.000798021,0.603191,1.08352,
122,16.0227,74.596,203.282,0.214793,40.3436,3.54827,5.51668,0.195645,0.20773,0.904439,0.510909,6.20477,0.113102,15.0111,0.734882,1.30486,113.046,4.75469,19.1842,0.68153,0.583247,2.81758,0.0729909,23.2125,0.367562,59.3257,0.451434,1.18384,10.9502,2.47533,0.128842,0.00576985,0.0657405,0.133462,0.492017,0.0139363,0.0219793,0.000798021,0.60301,1.09904,
