Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
143,16.01,66.2049,199.082,0.241824,41.0778,3.86527,3.09848,0.168936,0.155791,0.675258,0.49548,6.20544,0.226575,8.38002,0.700365,1.15552,121.601,5.49664,12.2742,0.656482,0.437769,2.24896,0.0208652,24.3419,0.990859,36.67,0.406838,0.251931,10.9457,2.4815,0.129549,0.00578492,0.0655391,0.133369,0.458111,0.0169005,0.0221795,0.00050194,0.603223,1.09967,
144,16.01,79.5542,194.181,0.201246,34.2605,4.02206,7.62939,0.396886,0.30836,0.62482,0.48186,8.99643,0.162014,20.4897,0.763033,1.41915,78.6459,6.51981,23.9904,1.24057,0.749629,1.61035,0.0973979,30.0722,0.597527,67.8048,0.489399,1.39001,10.9457,2.09907,0.129549,0.00578492,0.0655391,0.133696,0.0578811,0.017058,0.0228092,0.000483721,0.603223,0.672186,
145,16.0096,34.5502,129.772,0.463371,20.3424,2.94127,1.74345,0.0683043,0.129314,0.17454,0.498479,2.21501,0.033746,4.6346,0.65595,1.11319,66.8864,3.33491,11.2888,0.545296,0.444257,0.525367,0.0428538,16.692,0.102498,34.8682,0.372415,0.314779,10.9451,2.4815,0.129549,0.00578492,0.0656402,0.13354,0.492712,0.017058,0.0228721,0.000483721,0.603223,1.09967,
146,16.0095,63.6021,188.656,0.251713,36.3536,3.59404,2.80951,0.204971,0.279821,0.733432,0.504753,4.87696,0.165981,12.2491,0.709244,1.12074,103.815,4.39452,11.2604,0.809368,0.869805,2.46883,0.0595882,19.1872,0.59168,56.6767,0.420809,0.219152,10.9451,2.48412,0.13048,0.00580116,0.0656293,0.13354,0.492745,0.0169775,0.0228721,0.000473256,0.603801,0.279103,
147,16.0095,56.7112,162.26,0.282298,24.5133,3.20122,5.35029,0.229509,0.267316,0.522912,0.476666,5.02766,0.248015,14.8124,0.689541,1.37234,57.7879,4.26433,22.216,0.91715,0.84607,1.56083,0.0891683,22.0266,0.919511,58.5935,0.391649,1.1299,10.9451,1.09635,0.130483,0.0058001,0.0656017,0.133696,0.0283471,0.0176957,0.0228557,0.000473256,0.603801,1.10021,
148,16.0095,59.9692,183.676,0.266961,29.1967,3.24413,3.37189,0.216747,0.7576,0.883838,0.48666,5.16054,0.254259,14.4619,0.655767,1.27919,81.0657,5.16642,13.2832,0.885649,4.49632,3.08034,0.0468698,25.2414,1.16832,61.9979,0.239203,0.821411,10.945,0.917844,0.130463,0.0058001,0.0655866,0.133743,0.166471,0.018356,0.0228557,0.000473256,0.603801,1.10033,
149,16.0094,50.6393,144.067,0.316147,29.6609,3.80258,1.9363,0.354542,0.175863,0.455174,0.492183,5.1012,0.0597938,6.72097,0.730201,1.14955,86.6912,5.329,7.37035,1.38911,0.55231,1.44084,0.111309,20.1283,0.144518,32.1851,0.529154,0.290588,10.945,2.48445,0.130476,0.0058001,0.0655582,0.133472,0.0607357,0.0184135,0.0228557,0.000473256,0.603801,1.10033,
150,16.0094,105.271,465.307,0.152078,70.6156,3.0952,5.02656,0.291827,0.437644,0.583883,0.470887,4.77291,0.110145,18.052,0.684617,1.13004,364.846,3.63771,25.1085,1.14856,1.97148,1.95552,0.0912317,20.6187,0.46956,72.8515,0.320211,0.211943,10.9447,2.48428,0.130328,0.00582013,0.0655582,0.133743,0.0502907,0.0184135,0.0225694,0.000473256,0.603801,1.0286,
151,16.0085,49.5285,157.424,0.323219,29.7748,3.10535,3.99332,0.211188,0.159128,0.77611,0.514666,4.479,0.0956675,4.48088,0.656017,1.28235,120.918,3.2363,16.8414,0.837679,0.379813,3.08931,0.143259,17.9328,0.328894,23.5952,0.295853,0.970922,10.9437,2.48419,0.130234,0.00582013,0.0655582,0.133507,0.392659,0.0181583,0.0228557,0.000517533,0.603727,0.470333,
152,16.0085,45.3831,117.401,0.352743,19.2875,3.30916,1.77756,0.240046,0.18554,0.254815,0.483497,4.38244,0.160356,13.448,0.675806,1.17834,39.3284,3.73279,8.06869,1.00664,0.477768,0.690288,0.0534763,17.3093,0.610218,53.4576,0.293789,0.361193,10.9437,2.48419,0.130437,0.00579222,0.0655582,0.133507,0.210252,0.0181583,0.0228059,0.000527908,0.603637,1.10032,
153,16.0085,57.9739,167.336,0.276133,36.6298,3.00258,1.39493,0.231213,0.205635,0.651092,0.49735,3.96997,0.16631,9.41428,0.660878,1.14988,108.504,3.06767,5.86837,0.954402,0.632494,2.56834,0.084812,15.6905,0.854353,47.2335,0.246089,0.298527,10.9437,2.48419,0.130315,0.00578958,0.0655475,0.133507,0.0968368,0.0184135,0.0228059,0.000527908,0.603619,1.08872,
154,16.008,34.2222,94.0495,0.467766,18.9662,2.89926,1.85483,0.243961,0.160541,0.332093,0.486228,2.57566,0.0802747,4.75342,0.658299,1.21144,45.4909,2.72515,8.62015,1.16511,0.471846,1.14644,0.049395,13.5932,0.368226,31.1862,0.319339,0.546244,10.9437,2.48419,0.130395,0.00580828,0.0655475,0.133507,0.149533,0.0179729,0.0228059,0.000527908,0.603768,1.10032,
155,16.0078,30.5953,102.105,0.523213,22.4448,2.5283,0.680332,0.0809319,0.143063,0.305837,0.500482,1.15035,0.126907,0.877438,0.659693,1.09718,80.4982,0.305679,4.01546,0.547404,0.543441,1.19924,0.0549543,7.93538,0.727074,7.15399,0.384581,0.115746,10.9432,2.48419,0.130409,0.00579167,0.0655766,0.133391,0.492812,0.0185103,0.0228059,0.000531739,0.604027,0.927423,
156,16.0074,57.3709,134.375,0.279016,27.5404,3.08087,4.40546,0.341115,0.242428,0.556968,0.460027,5.49785,0.163029,13.1799,0.660879,1.24194,53.9589,3.6563,13.2738,1.06189,0.536267,1.51454,0.114644,18.0838,0.595642,48.4967,0.245722,0.668351,10.9425,1.31627,0.130544,0.00579167,0.0655837,0.133507,0.0408674,0.0185619,0.0228059,0.00049212,0.405585,0.831567,
157,16.0072,33.4214,121.892,0.478951,20.7878,3.34303,0.321112,0.128457,0.133003,0.27743,0.492885,3.92252,0.034835,2.2373,0.645872,1.09708,69.5258,6.00921,3.70327,0.881739,0.470864,1.00117,0.0325293,27.3266,0.0795494,19.1006,0.288065,0.146846,10.9414,2.48371,0.130544,0.00579167,0.0655837,0.133507,0.49001,0.0186323,0.0231959,0.000490917,0.604084,0.928517,
158,16.0072,40.5315,120.163,0.394931,20.3391,2.9654,2.87049,0.0737478,0.163064,0.25301,0.489902,3.07994,0.0367954,8.44827,0.695521,1.11627,46.3285,3.01772,13.651,0.396951,0.474835,0.590241,0.032464,15.8255,0.0859463,41.0501,0.447954,0.248055,10.9414,2.48371,0.130544,0.00579142,0.065621,0.133573,0.273345,0.0187633,0.0232493,0.000490917,0.604084,0.320895,
159,16.0071,30.0501,98.2964,0.532681,21.4499,2.53593,0.212894,0.0576308,0.139036,0.241883,0.50464,0.786055,0.0290581,2.33414,0.632598,1.12631,73.4734,0.361787,2.05635,0.361444,0.513079,0.753296,0.0830163,5.55065,0.0391089,17.4024,0.204376,0.181547,10.9413,2.48366,0.130501,0.00579142,0.065621,0.133443,0.492903,0.0192012,0.0232493,0.000490193,0.603761,1.10003,
160,16.007,63.454,192.326,0.252261,36.8719,4.10778,2.31878,0.302944,0.300312,0.568848,0.497589,8.48245,0.0951744,7.96917,0.728797,1.21029,114.259,6.67946,8.33004,1.2576,0.865102,2.22973,0.0840195,33.3988,0.25975,36.9701,0.442679,0.593623,10.9413,2.48366,0.130603,0.00579142,0.0656176,0.133443,0.286526,0.0192012,0.0232503,0.000487211,0.604154,0.598134,
161,16.0067,51.7705,178.563,0.309185,28.9424,2.97801,3.03599,0.188406,0.182814,0.196388,0.50301,2.65038,0.0990326,11.0772,0.686882,1.23006,102.143,2.67774,16.6514,0.912104,0.758602,0.48003,0.134442,13.7973,0.455306,54.6583,0.404071,0.697854,10.9404,2.48341,0.130634,0.00579142,0.0656005,0.133443,0.118269,0.0192012,0.0232503,0.000487211,0.604303,1.10003,
162,16.0065,124.191,313.853,0.128886,67.7209,5.1194,7.01634,0.388231,0.290163,1.08834,0.53205,16.0183,0.170731,23.617,0.764958,1.46485,175.427,8.53718,23.4173,1.13932,0.789841,3.08232,0.209157,52.4837,0.45807,72.6441,0.512721,1.44668,10.9404,2.48341,0.130748,0.00579519,0.0655804,0.133443,0.201286,0.0197696,0.0233595,0.000487211,0.604303,1.02109,
163,16.0065,26.3344,72.2907,0.607818,15.0868,2.59851,0.69383,0.0513852,0.110769,0.300393,0.488676,0.144089,0.0662158,5.04871,0.639626,1.10534,47.4631,0.802305,3.93944,0.459572,0.330493,1.16517,0.0527234,8.80276,0.304332,40.3955,0.273102,0.357514,10.9404,2.48341,0.130748,0.00585562,0.0655723,0.133443,0.275368,0.0197696,0.0233102,0.000490917,0.604122,1.1,
164,16.0063,43.293,133.714,0.36972,27.7869,2.52889,1.68059,0.168201,0.149833,0.35569,0.4895,2.29878,0.0922742,5.94433,0.683417,1.11453,83.449,0.233545,7.58534,0.899834,0.430255,1.53832,0.0201725,11.0496,0.400334,34.0454,0.401198,0.0708922,10.9401,2.4832,0.130673,0.00583815,0.0655166,0.133311,0.353055,0.0195338,0.0233658,0.00049924,0.603918,1.1,
165,16.0061,79.3148,191.683,0.201805,34.3459,4.03288,6.70464,0.281834,0.390031,0.376554,0.479171,8.57464,0.132369,21.9362,0.762319,1.29825,82.7888,6.01415,20.6599,0.862775,1.17484,0.959519,0.102499,27.586,0.357717,72.1825,0.533536,0.779678,10.9398,2.23963,0.130673,0.00583815,0.0655166,0.133324,0.0444535,0.0204474,0.02335,0.00049924,0.603918,0.225755,
166,16.0061,90.6442,205.698,0.176582,56.3689,4.29415,4.62118,0.53693,0.280189,1.15792,0.511004,8.22104,0.224734,12.2836,0.844836,1.29967,141.364,5.55349,14.0796,1.47096,0.721217,3.14563,0.148205,23.397,0.599442,46.6835,0.672768,0.741805,10.9398,2.4832,0.130586,0.00582947,0.0655166,0.133324,0.0346697,0.0212687,0.0233501,0.00049924,0.6035,0.990763,
167,16.0057,32.9105,90.479,0.48634,19.0377,2.51456,1.42942,0.189328,0.154998,0.59594,0.477899,1.87001,0.0923982,4.77245,0.651707,1.12403,49.2894,1.53434,6.67001,0.983963,0.447982,2.51964,0.0817135,9.19643,0.364303,31.9828,0.378451,0.309111,10.9392,2.48308,0.130789,0.00582947,0.0655144,0.133324,0.0757632,0.0209386,0.0233474,0.00049924,0.604122,0.552211,
168,16.0057,66.9608,187.585,0.239031,27.2375,3.99343,5.28631,0.385444,0.407334,0.806879,0.479061,7.84142,0.235858,18.2428,0.747756,1.29701,62.9843,7.3131,21.2907,1.31428,1.42844,2.36362,0.0802878,33.4341,0.79449,70.6946,0.544481,0.696871,10.9392,2.48308,0.130789,0.00582947,0.0655144,0.133324,0.03993,0.0212687,0.0233474,0.000502205,0.604122,1.09998,
169,16.0057,109.897,309.514,0.145643,55.4959,4.60283,5.8023,0.394152,2.42913,0.583526,0.520131,9.17856,0.184783,28.6078,0.752852,1.34463,174.976,6.65469,17.5153,1.17486,14.9466,2.56014,0.24917,30.4495,0.73384,86.4838,0.489794,0.933437,10.9391,2.48302,0.130814,0.00585904,0.0655166,0.1331,0.316266,0.0212687,0.0203808,0.000502205,0.60414,1.09998,
170,16.0057,33.8565,124.952,0.472751,18.9165,3.0148,1.14183,0.120856,0.101735,0.199473,0.494893,2.43625,0.0506338,5.59939,0.65801,1.1221,58.1947,4.06648,7.94095,0.847359,1.97908,0.599181,0.027853,18.1386,0.195045,43.9256,0.385108,0.26982,10.9392,2.48305,0.130814,0.00590202,0.0655709,0.133314,0.493018,0.0212687,0.0233474,0.000511491,0.60414,1.09998,
171,16.0057,30.3463,100.382,0.527434,20.1278,2.489,1.91484,0.0732747,0.131038,0.237676,0.494573,1.06766,0.0501085,1.95093,0.627471,1.18197,64.293,0.202915,12.4427,0.472898,0.456122,0.729909,0.0100871,7.30412,0.186164,13.892,0.162541,0.576441,10.9392,2.48303,0.130814,0.00590202,0.0655819,0.132987,0.493018,0.0212687,0.0234114,0.000472626,0.604149,1.09998,
172,16.0056,47.8563,160.066,0.334451,25.8207,2.57553,3.27866,0.107703,0.258421,0.462124,0.496842,1.7583,0.0806113,11.0861,0.619155,1.31215,81.3325,0.475975,15.48,0.561579,1.00746,1.70163,0.092805,8.42475,0.329199,54.489,0.119354,1.05439,10.9392,2.48305,0.130921,0.00591939,0.0655819,0.13326,0.130838,0.0236432,0.0234114,0.000472626,0.49223,1.09998,
173,16.0056,89.2393,234.658,0.179356,43.0694,3.69172,9.90391,0.402396,0.39714,0.658352,0.530131,8.53975,0.282378,19.4767,0.759912,1.52748,126.418,5.06249,32.2746,1.26722,1.13573,1.78797,0.194978,27.7271,0.966129,67.6104,0.493613,1.5235,10.9392,2.48305,0.130921,0.00590774,0.0655819,0.133185,0.221441,0.0234334,0.023412,0.000472626,0.604073,1.1,
174,16.0056,41.6436,128.363,0.384346,22.1974,2.93727,1.82566,0.151119,0.171153,0.308482,0.494148,2.62522,0.0727652,9.08989,0.645079,1.12535,59.8434,3.00836,11.1233,0.757596,0.576605,0.924255,0.0483765,13.9574,0.332362,45.8345,0.289687,0.26224,10.9392,2.48302,0.130907,0.00590774,0.0655726,0.13338,0.35844,0.0234334,0.0234056,0.000472626,0.603956,0.571046,
175,16.0055,28.9739,90.777,0.55241,16.8961,2.48005,0.815267,0.0484069,0.117043,0.303924,0.487957,0.816852,0.0255493,5.25772,0.620725,1.1043,42.1961,0.0221813,4.8241,0.313479,0.361893,1.19074,0.0368193,5.76441,0.0140421,37.2008,0.115847,0.0355976,10.9393,2.32478,0.130907,0.0059007,0.0655364,0.133421,0.233942,0.0234334,0.0234056,0.000522071,0.603958,1.09993,
176,16.0053,117.103,270.756,0.136678,56.3091,4.47079,7.92682,0.58274,0.54331,1.40306,0.503714,11.2861,0.229554,31.6935,0.841432,1.31245,131.592,6.96497,23.714,1.56651,1.45458,4.54477,0.219553,32.7639,0.665748,91.4402,0.680752,0.798579,10.9392,1.74939,0.130907,0.00588641,0.0655364,0.133509,0.113442,0.0234334,0.0234056,0.000540275,0.603958,0.931413,
177,16.0053,45.6297,145.831,0.350766,18.8663,3.51353,3.26829,0.152093,0.119671,0.569245,0.485588,4.75124,0.198836,11.8346,0.638803,1.23141,46.3472,5.1602,15.6814,0.861195,0.405757,2.36748,0.0425735,24.3375,1.0378,62.4459,0.27458,0.655955,10.9392,2.48308,0.131018,0.00588641,0.0655364,0.133509,0.233437,0.0240515,0.0233727,0.000516415,0.604277,1.09988,
178,16.0053,28.8713,90.0602,0.554367,19.4248,2.59235,1.19596,0.0795278,0.0778139,0.24611,0.500579,1.35436,0.02523,1.64505,0.646512,1.08298,59.3975,0.842467,7.4537,0.519712,0.0851496,0.847685,0.0541525,9.80448,0.140751,15.0298,0.294316,0.190692,10.9392,2.4831,0.13104,0.00586276,0.0655572,0.13353,0.493126,0.0240515,0.0233727,0.000516415,0.604277,0.244973,
179,16.0053,118.133,244.981,0.135485,68.8794,4.92542,7.27846,0.578353,0.363629,1.22456,0.496576,12.1384,0.313904,19.7452,0.872218,1.31697,151.497,6.49679,18.2905,1.47468,0.807559,3.39227,0.127182,31.7971,0.942342,65.4822,0.663543,0.770462,10.9392,2.4831,0.131077,0.00586276,0.0655572,0.133639,0.0640146,0.0241096,0.0166403,0.000516415,0.604382,0.09501,
180,16.0053,51.6671,175.048,0.309777,30.7105,3.54459,3.32595,0.248855,0.143312,0.239422,0.504846,3.9189,0.101522,7.0238,0.670014,1.2353,105.334,5.21395,16.462,1.2327,0.462235,0.854557,0.0867456,20.7447,0.399593,44.6914,0.377932,0.666328,10.939,2.48306,0.131038,0.00586276,0.0655572,0.133639,0.462852,0.0241096,0.0233727,0.000516415,0.604311,1.09988,
181,16.0052,52.1555,146.824,0.306876,23.7143,3.48122,3.15173,0.174991,0.170507,0.572484,0.473906,4.68668,0.113925,13.8208,0.640203,1.15473,58.2179,4.32708,12.0525,0.680026,0.455189,1.87697,0.0850987,18.995,0.396654,56.0658,0.16977,0.254057,10.939,2.48306,0.131047,0.00586276,0.0655709,0.133649,0.103596,0.0242588,0.0233727,0.000516354,0.604374,1.09988,
182,16.0052,74.8122,223.934,0.213939,49.2524,3.81016,6.40938,0.304055,0.13621,0.613463,0.519823,7.33779,0.347862,4.00782,0.722561,1.35066,148.674,6.33083,23.7536,1.0716,0.24868,1.81666,0.168309,33.4018,1.27119,19.2297,0.481126,1.17723,10.939,0.803111,0.131047,0.00587162,0.0655709,0.133649,0.336598,0.0242588,0.0233634,0.000513088,0.604394,0.937238,
183,16.0051,53.5089,196.44,0.299111,28.4689,3.68603,3.46182,0.147802,0.160276,0.686625,0.50787,8.45199,0.244668,5.7978,0.659606,1.23554,94.1588,6.84049,13.8416,0.579838,0.38792,2.64364,0.104784,48.1773,1.04214,33.2329,0.247963,0.74838,10.939,2.48306,0.131096,0.00585473,0.065561,0.133641,0.241005,0.0243173,0.0233576,0.000502362,0.604394,0.461815,
184,16.0051,35.7849,101.667,0.447259,20.6437,3.18039,3.30438,0.147221,0.14374,0.606477,0.489914,2.59241,0.160373,2.59004,0.630307,1.29603,56.0924,3.41563,16.4501,0.708498,0.398756,2.87257,0.0721061,13.9442,0.789002,15.2103,0.159802,1.105,10.939,2.48306,0.131096,0.00586643,0.065561,0.133659,0.0721225,0.0243353,0.0233576,0.000500589,0.604399,1.09983,
185,16.005,74.7199,193.077,0.2142,38.7795,3.92627,4.3534,0.408162,2.26858,0.678591,0.493286,7.65639,0.169827,13.9455,0.721108,1.31935,115.693,5.48828,18.791,1.32147,14.2506,2.01927,0.166957,25.0291,0.600158,50.3701,0.423791,1.16372,10.9392,1.32053,0.131096,0.00586643,0.0655395,0.133679,0.154932,0.0243353,0.0233576,0.000500589,0.604399,0.948916,
186,16.005,63.3177,189.085,0.252773,32.2793,3.9415,2.68364,0.221318,0.199459,0.826669,0.487126,7.39145,0.293788,13.1147,0.649767,1.229,92.2641,5.81869,12.3613,0.893948,1.61767,2.91115,0.0464599,30.2802,1.23341,53.3708,0.195726,0.609179,10.9392,2.48314,0.131096,0.00588469,0.0655395,0.133679,0.167233,0.0242491,0.0232872,0.000500589,0.6044,1.0998,
187,16.005,49.8931,169.58,0.320785,23.9469,3.64191,4.47372,0.183446,0.204636,0.479531,0.494261,7.05793,0.263947,7.05685,0.677267,1.41271,65.1946,6.21627,18.1215,0.706604,0.58749,2.12382,0.0610823,35.1624,1.09897,43.1372,0.330065,2.06407,10.9393,2.37004,0.131113,0.00585386,0.0655395,0.133679,0.183876,0.0243081,0.0232507,0.000500589,0.604397,1.03991,
188,16.005,70.5789,226.879,0.226767,49.4514,3.38979,3.12171,0.289167,0.257114,0.658144,0.537636,4.51365,0.227089,6.19689,0.716267,1.22005,167.215,5.12321,18.4948,1.1809,0.902824,2.43272,0.238786,23.2866,0.927689,31.9647,0.451721,0.848064,10.9393,2.48318,0.131089,0.00584755,0.0655437,0.133648,0.3593,0.0243178,0.0232507,0.000493332,0.604376,0.914211,
189,16.0049,82.1487,428.691,0.194829,35.8307,3.38691,2.34323,0.176763,25.011,0.405552,0.51858,6.55931,0.102599,6.01131,0.658799,1.1439,161.163,6.44661,12.4794,0.900064,174.282,1.72605,0.243863,40.5392,0.424542,32.7861,0.274479,0.360717,10.9392,1.64649,0.131089,0.00587935,0.0655205,0.133755,0.0849736,0.024343,0.0232507,0.00048787,0.604376,0.803785,
190,16.0049,38.4824,110.464,0.415901,16.8438,2.97603,2.54966,0.208176,0.13867,0.349518,0.485341,2.66446,0.107478,10.3445,0.64986,1.16491,34.8039,3.46781,13.5489,1.00761,13.205,1.08049,0.066832,14.7033,0.445624,50.7402,0.226415,0.442883,10.9392,2.35712,0.131104,0.00594192,0.0655127,0.133759,0.0801019,0.0243085,0.0233142,0.000483688,0.604432,1.0998,
191,16.0048,31.8196,110.703,0.502986,17.0529,3.06042,0.567622,0.0563406,0.123018,0.176602,0.497134,3.31474,0.0644632,5.14278,0.610903,1.15276,42.7737,4.03964,3.52008,0.382038,0.402274,0.315347,0.0303027,23.0321,0.287531,36.2145,0.0570605,0.370454,10.9392,2.48315,0.131108,0.00597944,0.0655127,0.133774,0.493139,0.0243063,0.0233142,0.000478137,0.604447,1.0998,
192,16.0048,46.627,150.031,0.343253,27.7775,3.19613,1.11555,0.141866,0.156575,0.408704,0.489139,3.01881,0.0753626,8.5142,0.632072,1.10104,82.9883,3.51605,5.41184,0.87049,0.457345,1.53752,0.0280874,14.8143,0.294343,43.4854,0.246638,0.0539886,10.9392,2.48315,0.131118,0.00597944,0.0655057,0.13378,0.300824,0.0243063,0.0233142,0.000478137,0.268493,1.04848,
193,16.0048,59.8491,168.46,0.267419,26.4023,3.94907,5.91222,0.37319,0.173956,0.891341,0.499735,7.11314,0.544006,11.8567,0.766341,1.36715,69.7204,6.41167,19.6835,1.28938,0.403614,3.63238,0.107186,29.4376,2.16307,48.83,0.601315,0.9584,10.9391,2.48315,0.131116,0.00602878,0.0655037,0.133775,0.303011,0.0243219,0.0233142,0.000475542,0.604454,1.09981,
194,16.0048,99.662,258.361,0.16059,53.7998,4.37575,5.88649,0.355385,0.363633,0.673678,0.518262,10.6143,0.147866,20.9347,0.691552,1.30051,139.469,7.36357,20.1463,1.10768,0.997765,2.69177,0.139481,35.1963,0.498259,70.8503,0.314272,0.672336,10.9391,2.48315,0.131116,0.00602878,0.0655037,0.133741,0.198255,0.0243219,0.0233142,0.000475542,0.604459,1.09981,
195,16.0048,119.357,535.866,0.134091,93.5722,3.54578,5.43232,0.244207,0.284704,0.645941,0.538721,5.1113,0.125885,7.85228,0.679258,1.3246,434.298,4.35456,29.5677,1.01478,0.870364,2.39743,0.230613,20.6147,0.472642,51.9471,0.345456,1.22765,10.9391,2.48314,0.131112,0.00604849,0.0655037,0.133731,0.49314,0.0243219,0.0233613,0.000475542,0.604444,1.0998,
196,16.0047,47.8542,150.716,0.334448,26.2963,3.28576,3.781,0.2771,0.176695,0.831544,0.477955,4.69579,0.16287,5.91826,0.681364,1.26957,100.805,4.13162,18.8788,1.1266,0.45655,4.28758,0.0921026,19.6129,0.552027,30.0763,0.354517,1.14899,10.939,0.620547,0.131112,0.00604849,0.0655037,0.133741,0.0490858,0.0243267,0.0233526,0.000473588,0.604444,0.455663,
197,16.0047,31.8716,111.067,0.502163,17.7638,3.09656,0.429925,0.127038,0.122387,0.148768,0.495561,2.9051,0.0684424,4.98399,0.622863,1.1072,48.2545,4.30623,2.33086,0.859107,0.399879,0.104694,0.0242866,20.3306,0.315334,34.8445,0.141011,0.170338,10.939,2.48311,0.131121,0.00602937,0.0655037,0.133741,0.493141,0.02435,0.0233613,0.000473588,0.604444,1.0998,
198,16.0047,36.0601,98.5296,0.443835,15.8143,3.02681,1.27292,0.0931578,0.126481,0.371834,0.487084,3.30298,0.0492863,9.60469,0.691031,1.2195,28.079,2.99371,5.63026,0.468721,0.304847,1.41329,0.0471249,16.0417,0.141986,48.7839,0.43146,0.638435,10.939,2.48311,0.131108,0.00602937,0.0654997,0.13378,0.16365,0.0242779,0.0233551,0.00047341,0.604444,1.0998,
199,16.0047,32.9962,86.0929,0.485046,18.3167,2.52457,1.36046,0.163155,0.155025,0.284191,0.48252,2.05433,0.159177,5.75325,0.648637,1.09415,37.8157,0.336028,6.08458,0.792967,0.438445,0.790791,0.0640586,10.0488,0.686719,30.5135,0.22425,0.162958,10.939,2.48313,0.131128,0.0060485,0.0654977,0.133783,0.0424073,0.0243369,0.0233459,0.00047341,0.60446,0.449055,
200,16.0047,91.5413,275.862,0.174836,48.5057,3.44892,6.15574,0.226837,0.230502,0.597232,0.526561,6.9538,0.104438,22.8844,0.639515,1.26763,151.081,5.90069,22.6426,0.755511,0.637759,2.07336,0.210982,29.6639,0.326811,76.7675,0.237687,0.901821,10.939,1.15193,0.131126,0.00607367,0.0654921,0.133789,0.232832,0.0243369,0.0233459,0.000472812,0.0718107,0.98223,
