Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
70,14.9295,63.5572,177.541,0.234899,0.391075,11.4813,37.3392,0.515367,4.70941,0.83385,0.891373,6.63168,0.415532,0.348376,0.29883,41.9657,104.732,0.931121,10.789,0.321772,1.83257,24.6734,0.0711404,0.526173,0.0145878,0.0795183,9.60039,0.0923409,0.611111,0.289531,0.00999051,0.0348694,0.130395,0.0492745,
71,14.9295,39.7428,114.955,0.375654,0.294174,8.33592,19.1401,0.416342,4.93435,0.955133,0.705142,4.23012,0.41945,0.312041,0.260091,42.0752,46.1681,0.831808,15.3448,0.530302,1.17558,18.4579,0.0371354,0.439065,0.0145878,0.0795183,9.83853,0.0902946,0.611111,0.337436,0.0442438,0.0224414,0.35751,0.0373897,
72,14.9295,60.0121,145.676,0.248776,0.606334,15.4016,31.8176,0.562818,5.14496,0.886848,0.897338,3.92691,0.393374,0.374329,1.16841,56.147,72.8508,1.01728,15.1472,0.298583,2.48265,12.6199,0.0764022,0.543084,0.0220116,0.0795183,9.83853,0.0902946,0.611111,0.274182,0.0442438,0.0681809,0.0373045,0.0373897,
73,14.9295,33.6498,76.5901,0.443674,0.344011,5.19401,18.1684,0.418317,3.98512,0.903298,0.516491,3.42833,0.416557,0.275256,0.333881,21.0829,32.9186,0.570687,13.2904,0.277816,0.685388,14.6963,0.078457,0.470878,0.0220116,0.0795183,9.83853,0.0902946,0.611111,0.337436,0.0347838,0.0441703,0.184775,0.0373897,
74,14.9295,45.6803,116.411,0.326827,0.506872,7.31862,22.8802,0.553642,4.50918,0.902692,0.720644,7.59269,0.424558,0.271193,1.55993,21.9856,50.5155,1.07525,12.7898,0.323253,1.51392,29.5977,0.171859,0.488999,0.0157807,0.0795183,9.76685,0.0902946,0.611111,0.337436,0.0314408,0.012162,0.0234333,0.0373897,
75,14.9295,29.6967,77.6971,0.502735,0.305564,6.19471,17.0143,0.375924,1.97431,0.854311,0.486994,1.8374,0.412526,0.240615,0.32945,28.1392,39.6772,0.618556,2.65746,0.323628,0.590917,9.11261,0.0297253,0.340912,0.0220116,0.0795183,9.83853,0.0902946,0.611111,0.337436,0.0314408,0.0581774,0.284791,0.0373897,
76,14.8399,26.5138,57.0761,0.559706,0.309967,3.49955,14.9823,0.391042,3.68921,0.90233,0.36125,1.76868,0.410883,0.198609,0.19057,12.4073,23.354,0.387497,13.9921,0.273752,0.314071,6.72413,0.0285667,0.235638,0.0220116,0.177548,9.62039,0.0902946,0.611111,0.337436,0.0314408,0.0691413,0.296668,0.0353096,
77,14.5392,69.8786,204.049,0.208064,0.400343,18.3132,33.1846,0.549681,5.50962,1.02384,0.888711,9.3179,0.425517,0.265134,0.406216,64.157,90.06,1.00685,15.7604,0.652986,2.67973,35.0819,0.103075,0.39984,0.0137513,0.177548,9.17283,0.0902946,0.611111,0.337436,0.0314408,0.0691413,0.29002,0.0332255,
78,14.5392,29.5775,80.5656,0.491562,0.433712,6.1019,14.1434,0.40187,3.78695,0.879049,0.411231,2.80474,0.423131,0.19147,0.993775,31.2923,27.0367,0.604817,14.2653,0.29266,0.667979,16.7958,0.0235395,0.230697,0.0137513,0.177548,9.17283,0.0902946,1.19189,0.286796,0.0314408,0.0349082,0.355206,0.0373897,
79,14.5392,49.431,219.337,0.294131,0.417933,8.72637,30.1154,0.410982,4.03231,0.934481,0.933816,3.21855,0.450227,0.190971,0.90463,46.9964,131.275,0.554327,16.1957,0.658007,3.62084,17.8713,0.210081,0.150118,0.0137513,0.177548,9.17283,0.0875365,0.768664,0.337436,0.0243604,0.0643385,0.387254,0.0373897,
80,14.5392,48.829,136.698,0.297757,0.341967,8.71373,26.1851,0.605517,7.30091,0.906297,0.755839,3.34641,0.423831,0.249474,0.313278,32.817,79.6117,1.20861,22.2132,0.316763,1.92232,12.3388,0.0416651,0.486305,0.0137513,0.177548,9.17283,0.0802309,0.82872,0.402194,0.0243604,0.0546745,0.387254,0.0327146,
81,14.5392,55.7408,181.716,0.260835,0.305638,6.11705,33.8776,0.544503,7.28224,1.28484,0.669008,4.93446,0.437083,0.288367,0.42392,24.7276,131.317,1.06579,22.519,1.97509,1.50465,17.984,0.221093,0.5515,0.0193367,0.177548,9.17283,0.0893034,0.973161,0.438507,0.0243604,0.0438858,0.0495167,0.0373897,
82,14.5392,23.4373,44.0157,0.620343,0.321489,5.60882,10.7993,0.424298,2.52511,1.01278,0.39552,1.76434,0.40959,0.176125,0.543531,26.293,15.6824,0.689503,7.5078,0.257773,0.471778,9.50073,0.0450115,0.190567,0.0193367,0.278864,9.17283,0.0893034,1.04182,0.438507,0.0243604,0.0346358,0.17677,0.0388803,
83,14.5392,95.3476,216.769,0.152486,0.70411,19.473,55.4594,0.704847,8.32807,1.25397,1.02539,7.5817,0.441068,0.376028,1.50367,61.044,132.245,1.11698,20.7531,0.648041,2.17928,21.8463,0.118353,0.653769,0.0193367,0.278864,9.17283,0.0893034,1.148,0.463832,0.0442438,0.0177486,0.310863,0.0388803,
