Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
117,13.6995,41.5126,115.97,0.330008,0.508268,13.2118,17.6422,0.362197,5.42263,1.05483,0.595676,2.09207,0.409294,0.213696,1.07176,57.6644,37.3591,0.871868,17.9168,0.379247,2.17831,8.95636,0.0481264,0.388906,0.0110194,0.144013,9.17283,0.0947003,1.02937,0.37151,0.0225649,0.0116162,0.094853,0.0388803,
118,13.2329,60.4254,180.776,0.218995,0.288655,12.7875,37.1369,0.305014,5.23011,1.04422,0.437427,2.52886,0.420061,0.246691,0.347427,54.3916,110.36,0.632092,15.5671,0.412072,0.859351,11.3099,0.0931733,0.472657,0.00655219,0.0303948,9.0238,0.0849194,1.23983,0.436367,0.0225649,0.0116162,0.146539,0.0388803,
119,13.2329,73.1218,199.858,0.180971,0.376384,19.7596,37.1565,0.460366,4.61694,1.1046,0.61513,8.37634,0.407025,0.248946,0.622541,64.9093,94.066,1.03554,10.3883,0.525986,1.43953,28.9729,0.0496852,0.392123,0.0110194,0.0303948,9.0238,0.0921357,0.952367,0.436367,0.0181997,0.0116162,0.157934,0.0419831,
120,12.9984,48.1628,168.639,0.269884,0.28534,10.9288,25.5354,0.333312,4.39989,0.986709,0.629104,4.44911,0.413601,0.201578,0.432873,51.0814,86.4594,0.858026,13.1406,0.320805,2.03846,23.7525,0.0369992,0.418902,0.0110194,0.0303948,9.0238,0.0947614,1.19395,0.227472,0.0225649,0.0116162,0.315704,0.0439245,
121,12.9984,47.7826,166.349,0.272031,0.283779,11.4096,25.646,0.318687,4.01956,1.14141,0.919787,3.39441,0.43876,0.210674,0.529786,48.7606,95.6122,0.651615,11.5252,1.28036,2.6098,13.0971,0.173704,0.305853,0.0110194,0.0303948,8.99602,0.094976,1.394,0.3224,0.0225649,0.0116162,0.171951,0.0460726,
122,12.9984,71.2177,284.53,0.182516,0.353127,4.56131,51.9813,0.417827,5.97636,1.93196,0.638966,4.64664,0.459569,0.250599,0.680551,25.0226,215.555,1.00478,20.1307,6.78214,1.90134,17.9186,0.313639,0.521621,0.0110194,0.0303948,9.0238,0.094976,1.394,0.341714,0.0225649,0.0116162,0.296866,0.0460726,
123,12.8294,53.8474,177.605,0.238254,0.392355,10.4445,32.6822,0.392476,4.92087,1.06286,0.695775,2.63431,0.419318,0.202758,1.06095,45.0161,119.051,0.904019,17.0547,1.07017,2.34693,9.96361,0.132377,0.345547,0.0110194,0.0664495,9.0238,0.094976,1.12804,0.341714,0.00487017,0.00590691,0.0565207,0.0460726,
124,12.8294,41.1603,132.829,0.311693,0.247067,8.09395,23.3328,0.366099,3.81113,0.959514,0.644223,3.11599,0.40769,0.181835,0.374188,41.1152,70.9139,0.9002,10.8285,0.376845,2.40688,14.9258,0.0405429,0.475179,0.0110194,0.0664495,9.0238,0.0976656,1.32479,0.341714,0.0213395,0.0116162,0.140523,0.0402012,
125,12.8294,27.3146,92.8287,0.469688,0.186695,1.86077,19.2644,0.216565,2.47043,0.889524,0.368121,1.50898,0.416141,0.133059,0.332516,6.45611,68.852,0.411369,5.65786,0.42472,1.2803,9.47225,0.0131406,0.269164,0.0110194,0.0664495,9.0238,0.0907071,1.09611,0.341714,0.0213395,0.0129421,0.401768,0.0402012,
126,12.7583,100.918,220.07,0.126422,0.348942,18.8967,58.5622,0.592106,10.3476,0.929367,0.811928,9.6435,0.444939,0.34095,0.719785,56.3202,136.766,1.11516,24.6346,0.60797,1.72938,25.6153,0.148663,0.704591,0.0123363,0.132127,9.0238,0.0941642,1.1461,0.155881,0.0213395,0.0241178,0.0876504,0.0402012,
127,12.7583,64.174,179.221,0.198807,0.214206,11.0489,38.1173,0.442293,4.94103,0.877912,0.914303,6.98299,0.408422,0.226678,0.350442,44.4372,104.399,1.02883,12.5903,0.53091,2.36018,24.7319,0.0624199,0.497166,0.0136692,0.132127,9.0238,0.0941642,1.355,0.219577,0.0155809,0.0151369,0.112455,0.0476052,
128,12.7583,70.1293,239.807,0.181925,0.276313,10.2928,48.4281,0.382454,3.40614,1.15021,0.989827,4.5653,0.458583,0.179523,0.65959,43.2329,173.564,0.939131,8.03699,2.38429,4.59618,18.6477,0.258982,0.390926,0.0129937,0.132127,9.00253,0.0941642,1.35685,0.219577,0.0213395,0.0245572,0.401768,0.0476052,
129,11.8268,77.7914,204.687,0.152032,0.36237,22.1417,34.3357,0.533925,10.0549,1.07983,1.04523,7.6083,0.40476,0.224686,0.851926,78.0272,92.932,1.18535,33.2942,1.72438,2.69175,23.7229,0.10384,0.427285,0.0129937,0.132127,8.88322,0.0919196,1.25109,0.199626,0.0136182,0.0210595,0.0393838,0.0527126,
130,11.8268,30.9797,122.32,0.381759,0.175812,4.03703,20.403,0.271595,2.54528,0.723624,0.255435,2.02087,0.429098,0.117983,0.325854,28.9736,78.7469,0.860627,8.32824,0.608303,1.0344,14.4335,0.0897373,0.245806,0.0129937,0.132127,8.88322,0.0938083,1.27482,0.21116,0.0136182,0.0210595,0.401748,0.0527126,
131,11.8268,51.3607,185.851,0.230269,0.212703,12.9744,27.1739,0.357032,2.72893,0.625766,0.496974,6.18474,0.428844,0.177381,0.469255,59.5177,86.6013,1.05755,6.22356,0.27743,2.19892,29.8677,0.0562845,0.388905,0.0129937,0.132127,8.88322,0.0941642,1.39264,0.21116,0.0136182,0.0210595,0.39102,0.0527126,
132,11.8268,73.1015,205.315,0.161786,0.270232,22.3177,34.3341,0.458859,7.11836,0.680134,0.717223,6.54423,0.412309,0.248385,0.861894,77.2069,92.0952,1.11126,20.3905,0.538086,2.51336,24.37,0.0761728,0.563895,0.0118364,0.132127,8.88322,0.0941642,1.39264,0.18425,0.0136182,0.0210595,0.10144,0.0490131,
133,11.8268,46.2088,162.381,0.255942,0.10078,10.8343,26.088,0.33038,4.36687,0.567974,0.432487,2.92454,0.425655,0.137767,0.213965,52.3325,82.7874,1.00832,15.2515,0.373443,1.52228,14.5674,0.0553627,0.351464,0.0118364,0.132127,8.88322,0.0941642,1.40237,0.18425,0.0136182,0.0210595,0.405156,0.048283,
134,11.8268,123.98,338.375,0.0953927,0.274831,27.5992,74.7327,0.527425,7.20135,1.36921,1.70109,9.76274,0.466011,0.345202,0.62735,80.3487,240.376,1.08725,21.2209,4.69711,5.41719,33.0581,0.403067,0.835546,0.0118364,0.132127,8.88322,0.0941642,1.41618,0.159697,0.010147,0.0209972,0.148195,0.047938,
135,11.8268,43.3526,151.435,0.272804,0.0890488,6.35933,27.8872,0.363332,3.92174,0.586592,0.213977,3.30116,0.43025,0.199938,0.226716,40.9467,95.0832,1.12443,13.1484,0.806958,1.60255,17.2104,0.0738402,0.581164,0.0118364,0.123852,8.88322,0.0941642,1.41618,0.17417,0.010147,0.0209972,0.402337,0.047938,
136,11.8268,25.2597,86.5114,0.468208,0.130075,3.99675,14.3461,0.221873,4.08513,0.47584,0.195416,1.2797,0.421216,0.107592,0.258599,23.5193,36.1469,0.614557,17.5702,0.222152,0.724015,8.5474,0.0209677,0.199476,0.011467,0.101562,8.81293,0.0954539,1.32967,0.173903,0.010147,0.0210595,0.405993,0.0463178,
137,11.8268,31.4977,95.1727,0.375481,0.247449,5.48967,13.6607,0.305654,5.59581,0.506189,0.111418,5.04927,0.417436,0.114091,1.10034,33.6916,22.7868,0.884985,20.0195,0.261266,0.141209,24.3512,0.0611791,0.147477,0.0114889,0.0869918,8.81293,0.0954539,1.39816,0.173903,0.010147,0.0210595,0.0924905,0.0463178,
138,11.8268,20.7519,56.0338,0.569912,0.232654,3.15844,10.7294,0.194018,3.13569,0.462564,0.183747,2.1316,0.41091,0.11292,1.10089,18.3441,10.1227,0.410427,11.4512,0.274225,0.69139,14.464,0.0398207,0.178624,0.0114334,0.0869918,8.81293,0.0954539,1.37623,0.173903,0.0136182,0.0210595,0.138937,0.0463178,
139,11.8268,53.6405,176.322,0.220482,0.126324,3.39511,39.402,0.385249,4.48023,0.531945,0.551727,4.0587,0.447258,0.261993,0.237135,13.5233,131.967,0.957919,12.0521,0.520876,2.29639,18.4524,0.172372,0.681644,0.0115093,0.0800366,8.81293,0.0954539,1.37403,0.173903,0.00172901,0.0210595,0.230366,0.0511836,
140,11.8268,48.8561,162.009,0.242073,0.172939,4.51698,31.1343,0.281284,6.03397,0.561049,0.429574,5.10009,0.435508,0.190425,0.365718,19.9238,106.33,0.590174,18.2239,0.631005,1.85328,22.3854,0.0887871,0.417847,0.0115093,0.0800366,8.81293,0.0950362,1.33301,0.17417,0.0136182,0.0210595,0.406651,0.0501057,
141,11.8268,42.4439,130.033,0.278644,0.241533,7.67482,25.3302,0.352316,2.99762,0.443776,0.887389,3.9192,0.427671,0.169377,0.987032,38.8141,78.2896,0.85348,6.65009,0.298058,3.78707,15.2882,0.0460575,0.312111,0.0115093,0.0800366,8.81293,0.0964114,1.39603,0.17417,0.0136182,0.0162304,0.40119,0.0510118,
142,11.8268,37.5041,122.828,0.315346,0.113612,2.88601,27.9126,0.230194,3.52682,0.405928,0.532519,1.31131,0.417416,0.167771,0.267989,14.9757,91.6927,0.550606,9.82195,0.259133,2.36004,6.99198,0.0217728,0.358245,0.0115093,0.0800366,8.81293,0.0964114,1.36387,0.17417,0.0136182,0.0171836,0.292955,0.0511836,
143,11.8268,47.9013,146.224,0.246899,0.169209,12.7224,23.2334,0.295069,5.95611,0.466461,0.394855,4.0478,0.406638,0.209419,0.5637,50.0046,64.0118,0.721341,18.292,0.519295,1.38351,17.0661,0.0482203,0.476936,0.0115093,0.0800366,8.88322,0.0964114,1.34185,0.156155,0.0136182,0.0210595,0.196423,0.0527819,
144,11.7208,54.4526,183.007,0.215248,0.15627,7.09835,36.0693,0.317814,4.75178,0.44488,0.724559,4.25919,0.430929,0.199533,0.526314,33.9918,121.68,0.798612,12.8841,0.496846,2.72416,17.6271,0.125085,0.462301,0.011337,0.0747149,8.88322,0.0953601,1.34196,0.156155,0.0136182,0.0210595,0.0389557,0.0527819,
145,11.7208,41.9909,123.489,0.279127,0.148462,9.38202,20.3018,0.349123,6.64608,0.442893,0.422744,3.61981,0.423195,0.254743,0.453481,42.8579,48.8343,0.922192,20.4891,0.461031,1.51766,15.8211,0.105545,0.644598,0.011357,0.0747149,8.88322,0.0953601,1.37994,0.159771,0.0136182,0.0210595,0.0253809,0.0527819,
146,11.6071,46.4861,142.274,0.249689,0.283473,12.2151,23.2243,0.375257,3.42523,0.431261,0.673782,5.28374,0.415022,0.159019,0.958726,50.719,67.028,1.02234,8.56729,0.46612,2.58592,23.1137,0.0445492,0.293105,0.0114854,0.0747149,8.88322,0.0953601,1.4144,0.158228,0.0136182,0.0210595,0.13023,0.0507893,
147,11.5958,36.4058,128.023,0.318516,0.121123,5.63722,21.7205,0.284063,5.12959,0.398336,0.202172,2.34171,0.420128,0.151024,0.474378,29.7603,73.6894,0.841664,17.7794,0.485277,0.941461,14.0304,0.0878993,0.281584,0.0114854,0.0747149,8.67519,0.0953601,1.40992,0.151984,0.0136182,0.0210595,0.0538247,0.0507893,
148,11.5958,49.2998,148.496,0.235211,0.127809,5.21234,34.6654,0.343349,4.17402,0.450217,0.796765,2.87693,0.422558,0.230332,0.395258,24.1363,109.145,0.889583,12.4647,0.606015,3.10389,11.5001,0.0904067,0.599783,0.0114854,0.0592147,8.67519,0.0953601,1.42951,0.15463,0.0136182,0.0210595,0.234184,0.0507893,
149,11.4329,51.2948,157.545,0.222887,0.175643,8.952,26.4455,0.399804,6.76185,0.384387,0.142782,7.38536,0.434811,0.21263,0.652742,34.7361,82.0876,1.13946,21.4274,0.321754,0.423858,31.0789,0.0925793,0.460817,0.0115093,0.0592147,8.5505,0.0953601,1.36552,0.15463,0.0136182,0.0210595,0.405484,0.0596785,
150,11.4329,24.6714,89.3401,0.463407,0.0579307,0.694922,17.3869,0.149247,3.15156,0.344115,0.15246,2.18443,0.425444,0.124382,0.117781,8.43266,59.3021,0.281227,11.7779,0.420567,0.626515,15.4724,0.065026,0.166687,0.011591,0.0564171,8.5505,0.0953601,1.37562,0.15463,0.0136182,0.0208377,0.409953,0.0549221,
151,11.3158,60.808,197.863,0.18609,0.118723,11.7845,34.0751,0.425454,5.4784,0.403602,0.866477,7.00718,0.445395,0.203197,0.396983,54.8185,105.082,1.2407,17.2741,0.671586,3.74207,31.5372,0.157142,0.411198,0.0112198,0.0564171,8.5505,0.0953601,1.42774,0.159771,0.0136182,0.0210595,0.337011,0.0549221,
152,11.3158,47.0294,157.343,0.24061,0.138254,6.4792,31.0278,0.400471,3.87927,0.446032,0.446624,3.56685,0.435907,0.209043,0.422412,34.8115,100.666,1.1622,10.8279,0.717048,1.78584,15.3825,0.122271,0.430173,0.0112198,0.0564171,8.5505,0.0953601,1.44944,0.173825,0.0136182,0.0194188,0.26449,0.0549221,
153,11.3158,22.9036,55.1506,0.494061,0.0688027,1.39395,14.7062,0.200052,3.60925,0.344224,0.254021,1.74708,0.407582,0.1724,0.244284,7.66094,29.7955,0.449165,10.3405,0.315936,1.31743,8.38347,0.0506279,0.340719,0.0118595,0.0564171,8.5505,0.0953601,1.40987,0.173825,0.0226544,0.0241158,0.156473,0.0549221,
154,11.1555,51.1806,179.604,0.217963,0.0689552,8.08769,29.7672,0.310428,6.98873,0.357288,0.317101,4.62838,0.434115,0.22078,0.227577,39.6282,105.006,0.897869,22.121,0.396908,1.35359,20.5338,0.0991488,0.494452,0.0119751,0.0276382,8.5505,0.0949182,1.37908,0.173825,0.0226544,0.0179475,0.410341,0.0709484,
155,11.1555,38.9775,134.532,0.286204,0.0434666,9.30401,21.1004,0.262722,4.73006,0.372129,0.160024,2.42034,0.416838,0.167556,0.116265,44.575,60.6169,0.792665,16.1688,0.50225,0.667874,14.526,0.0190639,0.298273,0.0114666,0.0228791,8.65874,0.0949182,1.46115,0.169631,0.0234911,0.0179475,0.411325,0.0709484,
156,11.1388,48.1129,144.913,0.231514,0.290189,13.4202,25.8994,0.381629,3.47922,0.39311,0.743806,2.87243,0.414437,0.218465,1.18273,52.6615,68.9287,1.03414,10.1694,0.565348,3.56396,11.4233,0.0110307,0.431453,0.0114666,0.0228791,8.63759,0.0949182,1.44596,0.140554,0.0239285,0.0179475,0.34953,0.0709484,
157,11.1388,60.5979,196.392,0.183815,0.10224,13.1559,36.8206,0.397128,4.04218,0.705137,0.516524,4.18971,0.441257,0.227188,0.38604,54.067,121.611,1.11804,11.1977,1.99108,1.9812,17.5297,0.15198,0.483874,0.0114769,0.0228791,8.64533,0.0949182,1.4451,0.140554,0.0239285,0.0223349,0.408983,0.0826798,
158,11.1388,80.2644,241.935,0.138776,0.284664,20.398,38.7511,0.442901,6.34972,0.346403,0.775786,12.2209,0.429465,0.265512,1.14544,68.409,114.743,1.09795,16.9514,0.558092,2.67129,49.1129,0.11712,0.546705,0.0110885,0.0228791,8.64074,0.0949182,1.45921,0.140554,0.0240578,0.0240857,0.153295,0.0826798,
159,11.1388,63.4712,209.873,0.175494,0.12173,16.8589,30.562,0.397636,6.91993,0.356831,0.339044,7.2836,0.433588,0.197953,0.451321,67.2073,87.893,1.14162,23.9652,0.605837,1.26076,39.0055,0.0771118,0.379437,0.0110885,0.0228791,8.64074,0.0949182,1.43905,0.138987,0.0240578,0.0237653,0.411325,0.0826798,
160,11.1388,45.3219,136.361,0.245771,0.0496766,6.77251,27.4031,0.41822,4.95246,0.350809,0.354505,4.32384,0.410163,0.286602,0.181444,33.5112,78.4642,1.22579,15.402,0.532596,1.31682,19.4813,0.0546066,0.718193,0.0110885,0.0276382,8.64533,0.0949182,1.42637,0.140554,0.0240578,0.0220879,0.0721614,0.0696642,
161,11.1388,41.0061,159.12,0.271637,0.112398,6.73221,24.3118,0.293436,3.47979,0.259119,0.370122,4.80416,0.426626,0.216472,0.544561,35.7572,102.515,0.911647,12.9803,0.273616,1.7347,31.6029,0.0892824,0.540215,0.0110517,0.0276382,8.59315,0.0949182,1.43737,0.140554,0.0240578,0.0216035,0.389453,0.0816178,
162,11.1388,62.2919,204.791,0.178816,0.183294,14.0116,36.9078,0.391042,5.08921,0.373897,0.846056,3.88287,0.432117,0.173996,1.01068,56.5515,118.17,1.10729,16.6044,0.756717,3.49273,17.4177,0.0945155,0.293792,0.0110885,0.0276382,8.59315,0.0949182,1.3925,0.140554,0.0240578,0.0211562,0.411325,0.0826798,
163,11.1388,36.9657,105.814,0.301328,0.0560823,4.69402,20.94,0.339636,5.01526,0.302717,0.474111,4.56101,0.400203,0.182724,0.236891,20.714,55.1207,0.929372,15.9989,0.460975,2.34672,18.9483,0.07105,0.354328,0.0110885,0.0276382,8.54099,0.0949182,1.42156,0.140554,0.0240578,0.0211562,0.0148917,0.070628,
164,11.1388,82.7444,225.552,0.134617,0.178296,13.2556,52.5734,0.449065,6.98399,0.444977,0.453142,7.69045,0.438937,0.276649,0.662396,52.1539,148.544,1.09269,18.9929,0.783281,1.73996,26.1953,0.150155,0.595043,0.00853502,0.0276382,8.59224,0.0949182,1.42341,0.140554,0.0240578,0.0211562,0.124215,0.070628,
165,11.0697,33.1054,106.949,0.334379,0.0649752,8.34996,15.2693,0.208922,4.1435,0.249031,0.32279,3.91135,0.416503,0.168983,0.296409,45.265,45.8566,0.529746,13.7352,0.318903,1.44589,18.9287,0.0682049,0.322192,0.0117191,0.0276382,8.59224,0.0949182,1.46115,0.140554,0.0255581,0.0211562,0.149495,0.070628,
166,11.0669,41.8139,149.976,0.264669,0.0887948,11.2536,20.7411,0.271407,3.80853,0.429848,0.415593,4.20452,0.41369,0.186857,0.413234,54.6819,58.765,0.806614,11.4964,1.2891,2.06524,20.4404,0.00394136,0.442757,0.0117688,0.0276382,8.59224,0.0949182,1.46115,0.140554,0.0243386,0.0191258,0.397177,0.070761,
167,11.0367,21.2912,70.27,0.518371,0.0350707,4.54707,10.8649,0.110698,3.07088,0.218104,0.124565,1.78779,0.406851,0.125269,0.110345,31.339,16.9204,0.0770046,11.0663,0.204237,0.646252,12.3101,0.0521739,0.134649,0.0115098,0.0174459,8.59224,0.0949182,1.46115,0.140554,0.0248129,0.0184998,0.0450098,0.070761,
168,11.0186,40.9017,117.438,0.269391,0.125605,11.1194,21.4443,0.319,2.92393,0.306097,0.341927,3.73436,0.403368,0.183704,0.589666,44.3938,50.2426,0.87529,6.49595,0.466091,1.49366,15.4716,0.054741,0.30385,0.011153,0.0174459,8.58554,0.0949182,1.46115,0.140276,0.0233561,0.0220388,0.0630393,0.070761,
169,11.0186,46.3483,149.148,0.237734,0.106951,6.92259,30.1214,0.275746,3.87642,0.32701,0.382387,3.70474,0.419497,0.21148,0.412346,41.3669,93.3612,0.721465,10.3642,0.567222,1.52146,15.4348,0.0774676,0.497147,0.0115098,0.0174459,8.5824,0.0949182,1.39264,0.138538,0.0246997,0.0220388,0.0975901,0.070761,
170,11.0186,28.1133,86.6102,0.391935,0.237349,5.97484,14.5663,0.306557,2.59216,0.268084,0.286582,3.30925,0.415007,0.157141,1.1845,31.8523,37.3386,0.989876,6.92593,0.398866,1.20948,16.0502,0.00935441,0.25872,0.0113405,0.0174459,8.56844,0.0949182,1.40862,0.140276,0.0216333,0.0220388,0.402082,0.0579892,
171,11.0101,25.8153,102.762,0.426496,0.0552346,5.26806,15.8509,0.215902,2.13873,0.236192,0.213671,1.25447,0.411001,0.171086,0.291885,36.1126,50.5913,0.779442,4.5476,0.375838,1.26207,8.83527,0.0228358,0.439211,0.0114628,0.0174459,8.56844,0.0949182,1.44705,0.140276,0.0243978,0.0207526,0.253901,0.070761,
172,11.0101,63.2941,160.877,0.173952,0.176518,21.4176,22.5766,0.501772,6.13758,0.369099,0.746434,10.7092,0.39532,0.264,0.558121,70.2575,48.5347,1.25961,16.408,0.541512,2.31614,47.7919,0.0822089,0.47646,0.0114628,0.0174459,8.55679,0.0972616,1.46347,0.140276,0.0232316,0.0211325,0.068815,0.076949,
173,10.9764,39.0063,138.297,0.2814,0.0690301,10.7343,21.2725,0.237072,2.87824,0.244257,0.263694,2.73303,0.410861,0.163265,0.324951,53.2258,64.6975,0.694796,7.53045,0.380387,1.45393,14.0796,0.037175,0.28143,0.0114497,0.0174459,8.55679,0.0971975,1.47291,0.140554,0.0245458,0.0205033,0.186293,0.076949,
174,10.9764,24.7095,95.3083,0.444217,0.0485178,4.50297,14.806,0.189129,2.32813,0.227977,0.184852,1.87766,0.406691,0.137531,0.21924,31.3654,43.8851,0.6015,5.86315,0.371923,1.10022,12.8935,0.0518592,0.198725,0.0112832,0.0174459,8.55679,0.0966909,1.45841,0.146079,0.0234971,0.0205033,0.0449959,0.0999541,
175,10.9587,48.2114,150.451,0.227306,0.0934651,7.85018,28.2547,0.283164,5.98998,0.341937,0.482463,4.29337,0.421348,0.200838,0.395789,32.9077,89.1797,0.745709,20.0297,0.685317,2.16462,16.7715,0.0966649,0.382135,0.0112832,0.0169907,8.55679,0.0968257,1.46773,0.155421,0.0233953,0.0205033,0.0169293,0.0999541,
176,10.9367,53.9686,176.187,0.202649,0.112931,6.3394,30.7156,0.344707,6.16046,0.313317,0.448648,8.90731,0.420808,0.205459,0.547073,32.1409,106.475,1.01295,19.7468,0.631596,1.79226,35.6462,0.0920338,0.40779,0.0112832,0.0169907,8.56635,0.0968257,1.46501,0.155421,0.0231531,0.0205033,0.102996,0.0999541,
177,10.9367,65.8665,200.173,0.166044,0.251638,8.14295,45.5333,0.378759,4.80753,0.450451,0.573601,5.03002,0.437203,0.261132,1.09226,40.8323,140.923,0.974985,14.8835,0.978717,2.70556,18.414,0.138344,0.546732,0.0114497,0.0145711,8.56635,0.0968257,1.47291,0.15195,0.0243266,0.0197961,0.212659,0.0999541,
178,10.9367,32.9373,153.161,0.332046,0.102297,4.86808,22.6215,0.187024,2.3207,0.254528,0.395116,1.61722,0.423968,0.146883,0.621819,33.6528,98.1337,0.601809,6.29951,0.596175,2.57017,11.5456,0.0739702,0.291026,0.0113835,0.0145711,8.56635,0.0968257,1.45998,0.150463,0.0243266,0.0221548,0.411924,0.0999541,
179,10.9367,64.7399,193.306,0.168933,0.150144,15.9469,35.2524,0.403181,5.20144,0.276879,0.523985,6.3254,0.411914,0.247661,0.571647,59.2062,101.908,1.04044,12.6093,0.428873,1.82947,23.1781,0.0957923,0.501043,0.0114482,0.0145711,8.56546,0.0963865,1.46329,0.154578,0.0243266,0.0205621,0.047632,0.0999541,
180,10.9367,25.7795,103.174,0.424241,0.0354866,4.88345,16.812,0.140454,1.97534,0.229931,0.172636,0.980513,0.418388,0.131268,0.172934,34.0554,60.455,0.374992,4.67384,0.418396,1.04163,8.43512,0.0351936,0.194421,0.0114482,0.0134581,8.56546,0.0968257,1.45906,0.150293,0.024322,0.0206552,0.411025,0.0999541,
181,10.9224,57.8445,163.981,0.188823,0.239824,9.76993,33.7713,0.440886,5.89643,0.395434,0.547586,6.07685,0.408869,0.29741,1.05334,42.3617,93.8263,1.14126,15.371,0.696945,1.8407,19.1832,0.0801171,0.674283,0.0114482,0.0134581,8.55328,0.0968257,1.47126,0.147652,0.0241944,0.0206552,0.0858877,0.0999541,
182,10.9224,30.7399,138.063,0.355315,0.0191481,3.19978,20.7608,0.177142,2.95996,0.242013,0.266651,2.5388,0.423057,0.152547,0.189129,22.57,86.7031,0.575686,10.6383,0.538797,1.6749,17.5741,0.0673142,0.343235,0.0114482,0.00831884,8.55163,0.0968257,1.47126,0.147652,0.0243266,0.0206552,0.411981,0.0999541,
183,10.9224,51.1489,163.075,0.21354,0.20435,9.05583,28.0639,0.25799,4.51976,0.339578,0.496854,7.5764,0.420163,0.214098,1.17318,40.8199,93.0399,0.626768,13.5891,0.699484,2.45486,30.6406,0.0795164,0.454031,0.0114482,0.00831884,8.56125,0.0968257,1.46867,0.146997,0.0240985,0.0206552,0.188752,0.100712,
184,10.9224,34.8583,116.823,0.313336,0.117242,5.9281,20.1976,0.176995,4.88363,0.260289,0.600464,2.12956,0.404013,0.160352,0.60972,31.4088,59.0007,0.460932,17.1569,0.472643,2.87331,10.5839,0.0520407,0.315105,0.0114324,0.00831884,8.56125,0.0967971,1.44762,0.147652,0.0243266,0.0206552,0.104772,0.100712,
185,10.9224,37.0824,116.949,0.294543,0.0494823,10.3978,15.1999,0.369619,6.73707,0.297518,0.250568,3.20819,0.400956,0.171383,0.186163,52.2766,33.3618,1.09837,21.4456,0.548208,0.965637,12.6599,0.0666294,0.276286,0.0114324,0.00831884,8.56125,0.0967971,1.46293,0.150293,0.0243266,0.0206552,0.0672183,0.100712,
186,10.9224,35.7204,122.043,0.305774,0.0886669,9.74205,18.9339,0.205831,2.55342,0.265865,0.127317,3.23225,0.410709,0.160345,0.372532,48.602,50.7461,0.5543,6.76591,0.495949,0.562399,15.7043,0.063101,0.264375,0.0114324,0.00831884,8.56004,0.0967971,1.45801,0.150293,0.0242046,0.0206552,0.0329427,0.10236,
187,10.9224,54.9569,174.982,0.198744,0.112127,9.14122,38.6535,0.376729,2.83303,0.375085,0.7059,2.12697,0.432762,0.199619,0.463124,39.9962,124.225,1.10069,6.7039,0.865848,3.12983,9.58753,0.129631,0.414366,0.0114324,0.0109129,8.55119,0.0969592,1.46434,0.150293,0.0243266,0.019861,0.211964,0.10236,
188,10.9224,103.358,257.861,0.105675,0.347885,24.5851,56.2854,0.576023,9.94454,0.507452,1.21241,9.14745,0.443829,0.308027,1.13537,72.0909,146.727,1.39498,27.9318,1.0183,4.14267,29.4974,0.16592,0.622344,0.0114324,0.0109129,8.55371,0.0969577,1.46431,0.154236,0.0240917,0.0205117,0.121372,0.10236,
189,10.9224,40.4486,132.952,0.270031,0.0881918,8.57449,23.2786,0.398275,4.7669,0.364301,0.556169,1.78943,0.415134,0.217089,0.473584,47.2205,68.265,1.23839,16.8849,0.936231,2.36209,8.74262,0.0534185,0.465589,0.0114324,0.0109129,8.55404,0.0968398,1.46863,0.15025,0.0243266,0.0206552,0.237419,0.10236,
190,10.9224,57.0439,169.704,0.191473,0.284119,7.76372,31.6241,0.411571,7.18528,0.406091,0.410012,8.24856,0.435092,0.275374,1.2328,27.8902,105.043,1.11699,21.5148,0.96693,1.48842,29.684,0.148479,0.583229,0.0114324,0.00454122,8.54509,0.0968117,1.46958,0.154236,0.0243266,0.0206552,0.252054,0.10236,
191,10.9224,48.1052,182.135,0.227051,0.0853539,13.339,24.9543,0.252233,6.24032,0.447933,0.263078,1.92136,0.421758,0.179921,0.523404,64.5967,80.5782,0.800934,24.0927,1.80958,1.17151,12.6372,0.0412388,0.373956,0.0114324,0.00454122,8.55743,0.0968865,1.46445,0.151638,0.0243266,0.0206552,0.412566,0.10236,
