Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,3.59983,0.00038224,0.426183,0.00447664,33.9765,8.43507e-05,2.17386,0.0611726,2.4656,
1,3.59983,0.000382025,0.426183,0.00447961,33.9765,8.37826e-05,2.17386,0.0611774,2.4656,
2,3.59983,0.000382096,0.426185,0.00447782,33.9765,8.43446e-05,2.17386,0.0611771,2.46561,
3,3.59983,0.000382129,0.426189,0.00448434,33.9765,8.45463e-05,2.17386,0.0611794,2.4656,
4,3.59984,0.000382201,0.426185,0.00447227,33.9765,8.66286e-05,2.17386,0.0611711,2.4656,
5,3.59984,0.000382405,0.426181,0.00447339,33.9765,8.69904e-05,2.17386,0.0611752,2.4656,
6,3.59982,0.00038222,0.426189,0.00448775,33.9765,8.34596e-05,2.17386,0.0611852,2.4656,
7,3.59983,0.000382597,0.426184,0.00448441,33.9765,8.27113e-05,2.17386,0.0611768,2.4656,
8,3.59983,0.00038216,0.426181,0.00447619,33.9765,8.49258e-05,2.17386,0.061176,2.4656,
9,3.59984,0.000381986,0.426185,0.00448482,33.9765,8.43648e-05,2.17386,0.0611755,2.4656,
10,3.59983,0.000381888,0.426184,0.00447589,33.9765,8.49379e-05,2.17386,0.0611761,2.46559,
11,3.59983,0.000382294,0.426183,0.00449481,33.9765,8.18495e-05,2.17386,0.0611745,2.4656,
12,3.59983,0.000381925,0.426181,0.0044747,33.9765,8.59749e-05,2.17386,0.0611768,2.4656,
13,3.59983,0.000382039,0.426188,0.00447859,33.9765,8.36953e-05,2.17386,0.0611763,2.4656,
14,3.59983,0.000382214,0.426185,0.00447522,33.9765,8.57139e-05,2.17386,0.0611773,2.4656,
15,3.59983,0.000381972,0.426186,0.00447948,33.9765,8.48085e-05,2.17386,0.0611783,2.4656,
16,3.59984,0.000382182,0.426182,0.0044801,33.9765,8.46013e-05,2.17386,0.0611721,2.4656,
17,3.59983,0.000382398,0.426185,0.00447828,33.9765,8.43397e-05,2.17386,0.0611758,2.4656,
18,3.59983,0.000381924,0.426185,0.00448232,33.9765,8.45771e-05,2.17386,0.061176,2.4656,
19,3.59983,0.000382051,0.426187,0.00448603,33.9765,8.44171e-05,2.17386,0.0611755,2.4656,
20,3.59983,0.000382039,0.426184,0.00448683,33.9765,8.19777e-05,2.17386,0.0611729,2.4656,
21,3.59983,0.000382018,0.426189,0.00447807,33.9765,8.53391e-05,2.17386,0.0611783,2.4656,
22,3.59983,0.00038207,0.426186,0.00448087,33.9765,8.40694e-05,2.17386,0.0611758,2.4656,
23,3.59983,0.000382547,0.426184,0.00448484,33.9765,8.25041e-05,2.17386,0.0611748,2.4656,
24,3.59983,0.000382342,0.426187,0.00447829,33.9765,8.49037e-05,2.17386,0.0611759,2.4656,
25,3.59983,0.000382421,0.426185,0.00447681,33.9765,8.53938e-05,2.17386,0.0611759,2.4656,
26,3.59983,0.000382132,0.426188,0.00448008,33.9765,8.45814e-05,2.17386,0.0611775,2.4656,
27,3.59983,0.000382414,0.426183,0.00448029,33.9765,8.3537e-05,2.17386,0.0611758,2.4656,
28,3.59983,0.000382277,0.426185,0.00448423,33.9765,8.28946e-05,2.17386,0.0611756,2.4656,
29,3.59983,0.000381957,0.426184,0.0044778,33.9765,8.45599e-05,2.17386,0.0611756,2.4656,
30,3.59983,0.000382354,0.426185,0.00447947,33.9765,8.49089e-05,2.17386,0.0611782,2.4656,
31,94.3086,4.16557,55.642,8.26418,64.1299,0.164211,13.4197,1.82064,5.33745,
32,182.72,6.34044,11.2649,1666.83,26.4439,32.5851,5.8239,2.54374,3.61133,
33,187.851,8.22866,47.284,825.143,35.1931,16.4814,5.96523,3.23557,8.83365,
34,3.59983,0.000382129,0.426182,0.00448377,33.9765,8.45666e-05,2.17386,0.0611773,2.4656,
35,3.59983,0.000382317,0.426194,0.00448001,33.9765,8.35595e-05,2.17386,0.0611758,2.4656,
36,43.1326,5.51581,57.108,1641.15,22.893,32.1083,7.14616,1.86994,9.48486,
37,3.59983,0.000382097,0.426184,0.00448043,33.9765,8.37773e-05,2.17386,0.0611771,2.4656,
38,3.59983,0.000382203,0.426188,0.00447758,33.9765,8.55314e-05,2.17386,0.0611787,2.4656,
39,3.59982,0.000382247,0.426185,0.00447135,33.9765,8.53535e-05,2.17386,0.0611782,2.46561,
40,3.59983,0.000382161,0.426193,0.00447592,33.9765,8.54641e-05,2.17386,0.0611748,2.46561,
41,3.59983,0.000382371,0.426184,0.0044762,33.9765,8.53564e-05,2.17386,0.0611799,2.4656,
42,3.59983,0.000382216,0.426189,0.00447483,33.9765,8.55296e-05,2.17386,0.0611789,2.4656,
43,3.59983,0.000382179,0.426182,0.00448159,33.9765,8.37744e-05,2.17386,0.0611789,2.4656,
44,3.59983,0.000382189,0.426185,0.00448178,33.9765,8.46087e-05,2.17386,0.061175,2.4656,
45,3.59983,0.000382394,0.426189,0.00448422,33.9765,8.41093e-05,2.17386,0.0611759,2.4656,
46,3.59982,0.00038249,0.426185,0.0044849,33.9765,8.48468e-05,2.17386,0.0611883,2.4656,
47,3.59983,0.00038244,0.426185,0.00448608,33.9765,8.39069e-05,2.17386,0.061179,2.4656,
48,3.59983,0.000382443,0.426188,0.0044823,33.9765,8.50271e-05,2.17386,0.0611851,2.4656,
49,3.59983,0.000381918,0.426186,0.00449228,33.9765,8.1983e-05,2.17386,0.0611749,2.46561,
