Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.767825,32.4148,4.66553,1.55269,16.1342,3.61197,2.19085,1.35562,0,45.3896,3.12524,1.59192,1.52978,64.6983,14.1785,
1,1.1299,32.1316,4.61988,2.28109,15.5339,3.52477,0.923258,1.93811,0,45.9985,3.02676,1.41308,1.31481,66.9668,12.6652,
2,0.792584,31.9018,4.57134,0.847101,14.1516,3.2771,3.83269,1.08464,0,45.4384,2.78841,1.50277,1.06678,69.3062,13.4468,
3,1.51572,32.1483,4.6073,0.989755,15.1514,3.6173,2.00808,0.662249,0,45.2511,3.13132,1.22105,2.11871,67.5854,14.1687,
4,0.508643,32.1549,4.61222,2.06418,16.909,3.04537,1.69104,1.17647,0,47.1518,2.52941,2.13362,1.05469,67.4249,11.801,
5,1.07489,32.2159,4.64693,2.38764,16.8993,3.47336,2.71366,1.08357,0,46.4297,2.98331,1.98801,1.42676,65.6354,11.6161,
6,1.27285,32.324,4.61925,1.03075,14.8441,4.07747,2.20123,1.2356,0,45.5029,3.56659,1.2868,2.0751,66.9595,13.6332,
7,0.861468,32.2058,4.62954,3.27153,15.8693,3.86304,1.24251,0.716504,0,45.8965,3.35088,1.42873,1.26184,66.4659,13.8777,
8,0.602435,31.9713,4.58221,0.899766,14.4672,3.55086,4.07874,1.81733,0,46.9376,3.06359,1.39343,1.4109,68.7752,11.4379,
9,1.56452,32.2458,4.64956,1.93682,16.5383,3.78499,1.6186,0.91974,0,45.2125,3.28364,1.95186,1.87539,65.4942,14.1955,
10,0.554402,32.1739,4.59715,0.813713,14.302,4.24525,3.40016,1.55519,0,45.7562,3.73547,1.61493,1.28475,68.0092,13.233,
11,0.860822,32.3686,4.72815,1.40303,19.566,3.91095,1.9082,1.1415,0,45.502,3.41161,3.70976,1.25128,61.692,13.8315,
12,2.25577,32.3914,4.64795,0.787084,15.9926,4.08835,1.94818,1.11493,0,45.9958,3.57898,1.5565,2.55357,65.5485,12.8687,
13,1.37388,32.1192,4.57591,2.84591,15.124,3.40425,1.47493,0.610544,0,46.8385,2.91601,1.25128,1.85,69.2011,11.7551,
14,0.643618,32.1579,4.58339,1.2781,14.2191,3.92851,2.51589,1.03934,0,46.0777,3.42835,1.64248,1.50581,68.7129,13.7229,
15,1.38218,32.2838,4.61889,1.52348,14.8718,3.8812,0.535106,2.48295,0,45.0936,3.38045,1.23187,2.31662,66.9833,14.9832,
16,2.39482,32.101,4.59454,1.48301,14.853,3.58728,1.31652,0.98261,0,45.2765,3.10235,1.21966,2.56813,68.1781,14.001,
17,1.12124,32.2228,4.63829,1.52197,16.8442,3.99823,2.29133,0.206826,0,45.1185,3.49345,2.04864,1.41243,66.1017,14.7233,
18,0.51505,31.9205,4.58367,3.52083,14.7125,3.82704,2.04049,0.446222,0,45.0588,3.32648,1.34301,1.21867,68.6997,14.6268,
19,0.854959,32.3196,4.66288,1.52575,16.4125,3.77879,3.43489,1.6133,0,45.2619,3.27934,1.82121,1.51665,64.8408,14.6367,
20,0.598062,31.8838,4.58897,2.50674,15.206,3.32977,3.39057,1.50993,0,45.7109,2.84016,1.27478,0.976708,68.4924,13.7687,
21,0.925046,32.2983,4.63656,0.970267,17.2793,3.9651,1.87365,1.09427,0,46.1275,3.45278,2.31609,1.6976,66.2028,13.4214,
22,0.811182,32.2206,4.67653,3.33076,18.0615,2.97425,2.86711,0.913904,0,45.124,2.47609,2.74089,1.61305,64.2,14.2702,
23,0.747928,32.2967,4.6026,6.34234,14.7866,2.49966,1.90086,0.107015,0,45.7541,1.99233,1.22001,1.5772,67.799,14.7637,
24,1.84557,32.2047,4.64704,0.723509,16.8962,3.83815,1.66386,0.199756,0,47.2341,3.34358,2.12366,2.41402,65.6307,13.7467,
25,0.637223,32.1331,4.58256,1.26736,15.9064,3.9527,2.2392,1.27227,0,45.3092,3.45755,1.55761,1.49302,68.8875,14.0736,
26,1.35094,32.3106,4.64151,0.771121,16.6843,4.01408,3.53303,2.10734,0,45.8952,3.50681,1.91896,1.86098,65.9129,12.2761,
27,0.740217,32.0931,4.60662,1.89669,15.2951,3.80025,2.86958,2.02218,0,45.0866,3.30096,1.32469,1.40443,67.6055,14.8671,
28,0.371111,32.0785,4.59779,1.57101,14.8893,3.96755,3.42258,2.33827,0,45.5292,3.46457,1.2643,0.808991,68.0266,14.6829,
29,0.606119,32.0911,4.59468,0.97435,15.1848,4.21905,3.93944,1.61033,0,45.2715,3.71073,1.26111,1.37283,68.1992,14.0088,
30,2.05396,32.1079,4.63308,4.1857,16.1099,3.19031,1.69188,1.35611,0,45.5681,2.67966,1.61051,2.10689,66.3231,13.5008,
31,0.598951,32.0229,4.54997,1.87245,14.9801,3.80332,2.16307,0.514532,0,45.3876,3.30652,1.23271,1.40079,70.4987,14.7888,
32,2.12708,32.5777,4.70183,1.04289,17.7208,4.37326,2.36415,1.68364,0,46.8803,3.84975,2.73978,2.43475,62.952,11.6842,
33,0.765022,32.2511,4.65812,1.32153,18.8493,3.52062,1.33266,2.73599,0,45.5521,3.03222,3.30973,1.34452,65.1773,13.3122,
34,0.671962,32.4461,4.73975,1.25123,20.7449,3.02364,1.72036,3.84258,0,46.2569,2.50998,3.79596,1.40165,61.138,13.729,
35,2.02137,32.0164,4.57636,1.7515,14.7768,3.70764,2.58801,0.459047,0,45.1727,3.21335,1.23733,2.24585,69.1409,14.4439,
36,0.490146,32.3519,4.71554,1.21793,18.478,3.36776,3.81152,2.83117,0,44.9126,2.85962,3.04066,1.16841,62.2821,15.9004,
37,1.40098,32.2486,4.57585,1.17519,14.8849,3.97878,2.40288,1.19933,0,45.661,3.48433,1.22591,2.26735,69.1897,13.7354,
38,2.23331,32.3397,4.66756,2.40857,17.0338,3.92215,2.60179,0.765356,0,47.0648,3.41666,2.23508,2.56817,64.6092,11.5856,
39,0.781637,32.2182,4.60034,1.63022,15.6363,4.2304,3.82831,1.52919,0,46.0881,3.72609,1.43362,1.61248,67.9712,12.2126,
40,2.90762,32.1963,4.66514,1.7861,16.6232,4.09546,1.38207,1.34825,0,45.4239,3.59531,1.95026,2.95267,64.7446,13.8777,
41,2.62431,32.3927,4.6844,0.998969,17.6976,4.28019,2.16454,0.728334,0,45.356,3.77061,2.71709,2.94222,63.7981,13.4992,
42,1.02643,32.3102,4.56839,0.739427,14.3631,4.03872,2.53738,0.82589,0,44.6907,3.53454,1.51928,1.7786,69.5251,16.2746,
