Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,6395.42,4599.02,0.180171,366.32,744.106,17.2482,0,19.6972,3062.33,752.468,559.612,873.64,455.815,999.425,20.1099,0,20.8779,4133.68,1015.61,401.396,1261.37,10.8741,18.1445,0.637015,0,4.81395,665.89,18.2019,10.9317,13.2656,
1,1081.44,5055.13,1891.64,0.213929,357.425,566.998,17.9428,0,19.9186,2381.02,570.032,532.248,609.538,299.26,500.628,10.0767,0,7.78335,1135.52,507.472,393.134,595.899,10.8741,18.1445,0.637015,0,3.83374,665.89,18.2019,10.9317,13.2656,
2,1081.44,4586.92,1481.69,0.235766,339.988,479.911,18.0787,0,20.1476,2249.16,481.669,502.175,495.796,227.597,383.709,9.63236,0,8.39443,916.246,388.556,388.117,421.563,10.8741,18.1445,0.498936,0,3.83374,665.89,18.2019,10.9317,13.2656,
3,1081.44,4194.3,1193.77,0.257836,330.411,399.536,17.7214,0,20.6939,2149.04,400.922,464.5,411.469,224.664,314.998,9.34227,0,8.97555,896.663,314.541,352.02,336.792,10.8741,18.1445,0.498936,0,3.83374,665.89,18.2019,10.9317,13.2656,
4,1081.44,4070.24,1808.28,0.265694,310.017,378.579,17.2122,0,19.9636,2135.99,380.149,439.455,388.874,205.118,336.81,9.19853,0,9.44837,1162.27,342.347,344.058,398.063,10.8741,18.1445,0.498936,0,3.72762,665.89,18.2019,10.9317,13.2656,
5,1081.44,3788.42,1127.06,0.285459,309.589,356.609,16.2924,0,19.3658,1959.6,357.545,423.585,345.838,218.371,271.949,8.70876,0,9.64091,877.946,274.958,338.5,282.956,10.8741,18.1445,0.498936,0,3.72762,665.89,18.2019,10.9317,9.11793,
6,1081.44,3549.07,978.223,0.304711,298.617,345.083,14.9019,0,18.5091,1795.64,345.918,395.905,334.5,214.427,232.956,8.05769,0,9.96397,793.763,233.69,315.616,242.864,11.2185,14.6306,0.498936,0,3.72762,665.89,15.326,10.9317,9.11793,
7,1081.44,3393.25,1258.16,0.318703,289.226,329.787,13.7204,0,17.7661,1701.48,332.946,368.816,339.507,202.562,238.473,7.40711,0,10.3936,801.158,239.981,307.027,402.963,11.2185,2.87851,0.498936,0,3.72762,665.89,3.94379,10.9317,9.11793,
8,1081.44,3111.07,847.798,0.34761,279.72,309.593,12.5233,0,18.0114,1536.58,310.234,348.755,295.654,205.948,211.038,6.78455,0,10.5613,638.205,214.395,277.94,201.197,11.2185,2.87851,0.498936,0,3.72762,665.89,3.94379,10.9317,9.11793,
9,1081.44,2963.95,764.014,0.364865,264.561,301.242,11.5198,0,18.482,1432.64,301.873,349.918,283.705,207.921,200.584,6.10187,0,10.7804,555.919,201.162,277.678,198.086,11.2185,2.87851,0.203836,0,3.72762,665.89,3.94379,10.9317,6.65745,
