Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1809.75,4926.73,1105.99,0.367333,305.485,0,617.391,2893.39,423.482,7.09599,321.962,298.459,59.4731,394.331,3.03794e-05,712.999,3108.3,348.077,7.68697,378.482,380.083,70.4552,15.4317,0,16.1348,1210.8,21.8119,0.501,12.5473,15.3887,4.6863,
1,1809.75,4500.69,1012.71,0.402106,330.731,0,528.52,2543.2,418.083,7.02264,292.398,328.244,52.4948,227.139,0,332.033,1009.93,291.74,3.01586,221.04,225.792,31.9851,33.6683,0,16.1348,1210.8,46.2803,0.501,12.5473,33.6371,4.6863,
2,1809.75,4214.23,916.275,0.429439,298.863,0,486.672,2404.2,367.131,6.86177,302.575,297.316,50.6109,195.058,0,311.396,806.774,229.589,2.71259,262.345,192.369,26.4253,9.59509,0,16.1348,1210.8,19.1316,0.501,12.5473,9.06782,4.6863,
3,1809.75,4042.95,890.824,0.447632,323.298,0,529.049,2185.6,378.742,6.61473,252.49,322.084,45.0781,185.529,0,349.237,639.628,236.478,2.43809,189.594,184.411,22.4135,9.59509,0,16.1348,1210.8,13.3324,0.501,20.3611,9.06782,4.6863,
4,1809.75,3892.84,1305.77,0.464893,313.345,0,505.699,2087.98,354.955,6.85451,269.983,311.484,42.5374,251.959,0,342.773,692.167,313.411,2.58825,224.262,246.981,20.7465,5.38087,0,16.1348,1210.8,1.48429,0.501,35.2475,3.71572,4.6863,
5,1597.75,3655.23,1198.89,0.437114,274.847,0,446.905,2047.79,316.868,6.69775,247.473,273.136,41.5074,220.43,0,320.86,739.816,269.378,2.41341,183.553,215.327,21.6834,5.38087,0,16.1348,1210.8,1.48429,0.501,28.0319,3.71572,3.19644,
6,1597.75,3404.28,857.965,0.469335,267.96,0,395.33,1881.46,292.721,6.68482,255.615,267.2,37.3139,231.654,0,260.167,477.715,232.458,2.27893,190.183,230.454,17.6031,5.38087,0,16.1348,1210.8,1.48429,0.501,28.0319,3.71572,3.19644,
7,1597.75,3338.02,1945.67,0.478652,227.556,0,409.081,1833.63,240.933,6.77876,357.157,227.149,35.7322,179.58,0,302.78,543.086,204.64,2.19842,1442.11,178.71,18.5298,4.42764,0,16.1348,1210.8,1.48429,0.330718,11.043,2.79051,2.39765,
8,1597.75,3402.96,4216.11,0.469518,205.122,0,406.006,1746.49,207.054,6.92865,593.301,204.837,33.2246,173.382,0,293.475,518.956,199.582,1.95263,3758.75,173.299,17.3443,4.42764,0,16.1348,1145.47,1.48429,2.52968,11.043,1.4188,2.39765,
9,1597.75,3078.47,1253.21,0.519007,217.581,0,382.597,1776.51,196.695,6.79667,248.109,217.096,33.091,207.038,0,332.818,736.255,189.058,2.23136,408.775,206.458,22.8247,2.23262,0,16.1348,1145.47,1.48429,1.13612,11.043,1.4188,2.39765,
