Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
0,26.5704,103.394,26.4089,0.256981,7.11959,6.9765,57.4747,30.0363,1.78732,8.97183,2.02483,64.917,22.9251,0.856785,0.342329,3.04026,4.49492,1.19504,0.0669563,
1,18.7294,84.4032,27.9399,0.221903,6.33973,6.36079,39.7472,30.135,1.82054,3.91923,1.81991,30.4211,16.9497,1.00969,0.301315,3.04026,2.37841,3.5235,0.0669563,
2,17.9862,66.5862,27.0916,0.270119,5.57762,6.04903,25.6535,27.5374,1.76865,3.70268,1.55207,21.6511,15.2837,1.01698,0.297532,3.04026,0.792404,2.13117,0.292524,
3,16.3324,48.1822,27.6163,0.338973,4.61256,5.64733,15.4823,20.4886,1.95144,3.42388,1.34005,17.1046,17.1294,1.23792,0.297532,2.94502,0.792404,0.427828,0.564307,
4,15.3755,52.6105,53.068,0.292251,4.32834,6.05472,19.6068,20.535,2.08563,4.9831,1.90214,28.5284,23.2557,1.24976,0.123679,2.63244,0.792404,0.427828,0.238473,
5,14.4196,42.8972,53.9442,0.336143,4.63266,5.85223,12.6242,17.6711,2.11689,6.77764,1.64203,20.1273,30.6167,1.2483,0.123679,3.11849,0.502869,0.427828,0.350739,
6,12.6407,33.1715,32.0535,0.381071,3.0374,5.68563,10.9869,11.4899,1.97166,3.89503,1.25862,18.4327,20.3758,1.12821,0.0927971,3.11849,0.899119,0.350061,0.417173,
7,9.09803,25.9643,28.0253,0.350405,1.42331,5.57169,8.44532,8.72763,1.79635,1.93144,1.4109,13.8777,15.2781,0.903556,0.0388344,3.11849,0.811407,0.111849,0.417173,
8,9.09803,33.0748,43.8957,0.275074,2.49505,5.71866,11.3676,11.2633,2.2301,4.74428,1.37175,19.6694,22.2633,1.73015,0.0388344,3.04002,0.811407,0.111849,0.417173,
9,9.09803,37.551,62.9779,0.242284,2.25156,5.78364,16.8035,10.8441,1.86816,5.78911,1.78907,36.3933,26.395,1.17637,0.0388344,2.70241,0.811407,0.111849,0.348948,
10,6.99353,31.265,52.0431,0.223686,2.11566,5.54527,10.2866,11.5436,1.77388,5.33634,1.61465,22.5263,27.1903,1.01854,0.0388344,2.63067,0.811407,0.111849,0.417173,
11,6.99353,35.751,60.6318,0.195618,2.43928,5.19047,12.9024,13.2484,1.97048,6.56613,1.73007,26.3027,28.5528,1.37538,0.0388344,2.60754,0.811407,0.111849,0.502875,
12,6.99353,24.4738,38.2936,0.285756,1.96782,4.9062,7.80074,8.19804,1.60099,6.73753,1.60813,19.8558,22.084,0.928717,0.0388344,2.60754,0.811407,0.111849,0.502875,
13,6.99353,18.1624,23.8987,0.385055,1.42907,4.65417,7.04945,3.43732,1.59239,4.29027,1.77288,18.6827,5.42139,0.915444,0.0388344,2.60754,0.811407,0.111849,0.502875,
14,5.70408,20.858,41.6966,0.273472,2.22971,4.41597,5.95726,6.77032,1.48471,5.91636,1.62093,13.6721,23.5259,0.644306,0.0546818,2.60754,0.930152,0.0870436,0.621383,
15,5.70408,17.162,27.6895,0.332366,0.950059,4.11935,4.94195,5.64756,1.50311,2.91408,1.04379,12.0882,16.5232,0.829141,0.0346557,2.60754,0.930152,0.0870436,0.452655,
