Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
38,54.4847,121.371,18.5766,0.44891,74.072,0.992792,4.6283,0.835211,2.44688,0.103248,5.08437,16.3102,2.28021,12.9634,0.183319,1.47103,14.9801,0.605963,3.37507,0.251522,0.594385,0.0466286,4.76622,1.71237,1.85374,16.223,0.137527,0.604001,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.047124,0.41694,11.3956,0.0304801,0.613422,0.020521,0.178813,
39,54.4847,128.631,40.8599,0.423573,73.3804,0.794829,4.42038,0.716634,2.59471,0.105276,5.97362,16.1988,2.11475,20.7062,0.22085,1.4048,9.67394,0.5914,2.50308,0.302262,0.772667,0.0459728,6.57839,1.97904,1.73743,36.0167,0.149077,0.549862,23.5943,0.0304796,0.0916775,0.174278,0.627068,0.0301344,0.485399,11.3956,0.0367909,0.613422,0.0311139,0.178813,
40,54.4847,131.007,53.4773,0.41589,68.9448,0.689862,4.32062,0.786132,2.53593,0.1279,5.12904,17.3844,1.64445,28.0054,0.242036,1.19678,16.0334,0.486683,2.85333,0.26609,0.870077,0.0873755,5.9104,4.15543,1.48812,57.0697,0.142547,0.584021,9.76468,0.0305215,0.0916775,0.30673,0.365321,0.047124,0.70639,11.3956,0.0213983,0.613422,0.0370529,0.178813,
41,54.4847,150.413,105.541,0.362233,72.9416,0.94455,7.71075,0.820708,2.34038,0.117032,10.2621,16.3131,1.92483,35.089,0.283543,1.66589,15.9829,0.984481,20.7528,0.344321,0.892398,0.0722218,16.6401,3.3117,1.58847,69.2112,0.315168,1.48888,23.5943,0.0305215,0.0916775,0.30673,0.102091,0.00338962,0.70639,5.21447,0.0208254,0.613422,0.0370529,0.178813,
42,54.4847,153.653,158.038,0.354596,76.4361,0.803275,6.56306,0.915351,2.84257,0.131807,8.49381,16.649,1.60008,37.5041,0.26876,1.44491,45.6297,0.845175,11.4837,0.441272,1.74963,0.0579064,20.6957,2.42041,1.39668,93.749,0.316985,0.577793,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0756523,0.70639,5.66084,0.0367909,0.613422,0.0366816,0.178813,
43,54.4847,127.359,58.4799,0.427805,72.2421,0.830637,5.44018,0.832405,2.63512,0.125157,5.21787,16.6723,1.14975,20.5317,0.192218,1.48942,20.3807,0.876926,9.55357,0.350714,0.653971,0.0620596,7.92631,1.82766,1.21999,39.1639,0.208046,0.655058,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0735112,0.70639,8.96682,0.0367909,0.613422,0.0366816,0.178813,
44,54.4847,135.355,46.7893,0.402532,66.7074,0.684537,4.53776,0.756416,2.39716,0.13739,10.2263,17.2948,1.04096,30.0301,0.195024,1.34719,16.5814,0.551397,3.21357,0.249822,0.953607,0.0875973,9.54877,4.21739,0.791959,44.9737,0.129563,0.528448,22.0639,0.0305215,0.0916775,0.30673,0.311757,0.0209674,0.878658,11.5824,0.0367909,0.613422,0.0346673,0.223445,
45,54.4847,132.426,52.6996,0.411435,65.7625,0.606995,4.3106,0.708948,2.5576,0.140411,6.21442,17.1912,1.00353,32.2993,0.225798,1.40476,13.842,0.535475,2.75379,0.236246,0.933304,0.0731116,8.87629,2.89609,0.899205,55.1271,0.198377,0.463618,20.8816,0.0305215,0.0916775,0.30673,0.48699,0.0693279,0.551225,13.4977,0.0182883,0.613422,0.0289494,0.573821,
46,54.4847,132.575,156.588,0.410973,76.7811,0.624587,4.0306,0.797896,2.51354,0.132385,4.61541,16.6405,0.938466,23.9694,0.222629,1.30844,53.7478,0.640116,5.55874,0.422821,0.664049,0.102644,12.5868,2.04478,0.835148,87.093,0.427536,0.437237,23.5943,0.0305215,0.0916775,0.261281,0.627068,0.0718774,0.149822,10.3252,0.0182883,0.613422,0.0370529,0.422771,
47,54.4847,145.204,166.656,0.37523,70.4964,0.554791,3.92299,0.722027,2.44743,0.14253,5.11647,17.3181,0.879293,42.1063,0.212826,1.28458,37.1806,0.512733,3.11393,0.245752,0.926842,0.0772099,13.1514,2.47785,0.734155,122.252,0.282229,0.378883,18.3414,0.0305215,0.0916775,0.30673,0.402933,0.0704691,0.20308,13.4977,0.0182883,0.613422,0.0347504,0.573821,
48,54.4847,138.631,202.91,0.393019,69.9104,0.536404,4.82842,0.77378,2.41083,0.146474,4.52382,17.5519,0.797778,35.6247,0.199721,1.32718,37.4224,0.572421,12.5528,0.384802,0.795341,0.0741389,8.91209,1.96968,0.518594,145.275,0.184023,0.511615,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0864095,0.20308,15.1062,0.0182883,0.613422,0.0347504,0.700908,
49,54.4847,165.612,229.122,0.32899,81.3993,0.578655,4.46957,0.838422,2.57745,0.154092,5.84409,17.1611,0.861545,50.1494,0.256631,1.32183,86.3367,1.02765,5.30064,0.621578,2.00071,0.145388,9.04033,1.94168,0.794101,132.296,0.469901,0.35655,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0546182,0.20308,13.6095,0.0182883,0.613422,0.021292,0.455628,
50,54.4847,114.568,30.4909,0.475568,64.8136,0.713831,2.86156,0.718071,2.3745,0.136903,2.41309,17.2518,0.799966,21.0611,0.127622,1.29573,18.6064,0.618277,2.31467,0.251138,0.652987,0.0474285,2.37152,1.81298,0.599924,31.1097,0.16005,0.270996,23.5943,0.0305215,0.0916775,0.36849,0.627068,0.0918664,0.20308,14.6923,0.0182883,0.613422,0.0347504,0.700908,
51,54.4847,136.645,106.927,0.398732,67.2699,0.653126,3.82931,0.747295,2.33576,0.140941,7.19988,17.0062,0.774702,35.154,0.192406,1.34165,20.3957,0.625995,3.90857,0.306068,0.997636,0.0628493,14.5076,2.61127,0.509734,77.5104,0.276145,0.35476,23.5943,0.0305215,0.0916775,0.390116,0.231405,0.0130854,0.20308,8.4541,0.0204021,0.613422,0.0347504,0.700908,
52,54.4847,131.467,136.874,0.414438,80.457,0.576649,4.2988,0.708522,2.95791,0.154878,4.44248,16.9891,0.868853,18.4477,0.223299,1.34138,83.5126,0.686208,6.91521,0.317623,3.09671,0.15778,10.4595,2.81277,0.610422,42.4705,0.42377,0.344304,23.5943,0.0305215,0.0916775,0.380763,0.627068,0.0535114,0.20308,6.37009,0.00990689,0.613422,0.0347504,0.700908,
53,54.4847,104.488,17.1722,0.521444,61.8352,0.591431,2.40173,0.629214,2.24733,0.149276,2.76694,17.6489,0.888748,13.9606,0.139548,1.22919,16.8409,0.443136,2.50303,0.197714,0.913189,0.0531167,2.27498,2.39161,0.5366,18.3916,0.12029,0.276948,23.5943,0.0256483,0.0916775,0.284335,0.627068,0.0918664,0.169211,13.7824,0.0204021,0.613422,0.0204704,0.700722,
54,54.4847,121.186,47.7766,0.449595,60.8558,0.539094,2.85237,0.689941,2.19443,0.156805,3.55228,17.6781,0.900568,30.37,0.134668,1.26215,12.323,0.388686,1.99255,0.212334,0.706657,0.0652497,5.19879,2.91257,0.573873,48.4526,0.0828883,0.272662,21.9766,0.0305215,0.0916775,0.390116,0.24864,0.0918664,0.202674,13.7824,0.0262166,0.613422,0.0204704,0.700722,
55,54.4847,119.213,44.0868,0.457039,59.1717,0.526067,3.03205,0.658157,2.16637,0.162981,3.04241,18.1845,0.904392,30.0069,0.125069,1.23189,13.071,0.415551,1.92156,0.192736,0.633014,0.0673574,5.53017,3.09101,0.510061,46.2043,0.0715479,0.227709,17.213,0.0305215,0.0916775,0.390116,0.617698,0.0667152,0.148053,13.7824,0.0244482,0.613422,0.0204704,0.700722,
56,54.4847,132.302,174.907,0.41182,65.607,0.576819,3.61104,0.707168,2.43469,0.163931,4.70762,18.4481,0.823982,33.7844,0.2304,1.20703,36.0839,0.691599,6.24402,0.431724,1.58231,0.0675444,13.3067,3.61259,0.505958,122.377,0.345487,0.228089,23.5943,0.0305215,0.0916775,0.346148,0.627068,0.0918664,0.148053,9.26734,0.0501299,0.613422,0.0204704,0.697153,
57,54.4847,154.289,220.666,0.353135,70.1104,0.673372,6.89067,0.779756,2.27884,0.171746,8.41987,18.0405,0.923748,44.284,0.288205,1.42752,64.0288,0.941983,17.242,0.519458,1.23456,0.0979188,24.5102,2.56349,0.547623,130.585,0.539627,0.916883,23.5943,0.0305215,0.0916775,0.422462,0.595876,0.0918664,0.148053,11.5798,0.0215264,0.613422,0.0204704,0.700908,
58,54.4847,107.672,26.6536,0.506026,57.1445,0.45192,2.56179,0.648729,1.90341,0.175876,2.47026,18.7019,0.817756,21.5087,0.13705,1.14994,11.1409,0.403579,4.52606,0.205521,0.750469,0.0604846,2.05201,2.57964,0.516048,35.4189,0.173355,0.281569,23.5943,0.0305215,0.0916775,0.364631,0.293417,0.0918664,0.148053,14.6923,0.0501299,0.613422,0.0204704,0.353958,
59,54.4847,133.57,77.3566,0.407912,60.185,0.508009,4.98962,0.635914,1.88412,0.179736,7.28423,18.4288,0.987798,36.9929,0.165033,1.32888,22.7086,0.539754,13.8864,0.30147,0.826653,0.082336,13.2606,4.19731,0.669792,59.1718,0.173511,0.523437,15.995,0.0305215,0.0916775,0.364631,0.367229,0.0435455,0.148053,10.2419,0.0262896,0.613422,0.0204704,0.700908,
60,54.4847,149.169,209.085,0.365255,60.9363,0.550706,4.95768,0.682974,2.10061,0.194302,9.09944,18.1421,0.94418,50.0791,0.194718,1.28684,30.1969,0.445987,15.3537,0.362138,0.769618,0.145508,24.5055,4.42083,0.659294,143.233,0.26336,0.335623,12.3073,0.0305215,0.0916775,0.364631,0.627068,0.0769298,0.10017,13.1106,0.0262896,0.613422,0.0204704,0.700908,
61,54.4847,114.143,42.116,0.477338,53.6942,0.570752,2.65483,0.639023,1.81434,0.195353,2.11312,19.5829,0.8613,30.6664,0.190411,1.16038,16.523,0.436908,2.88156,0.188741,0.781871,0.0836312,4.38785,5.01232,0.521255,51.8545,0.146958,0.257343,12.3073,0.0305215,0.0916775,0.185775,0.090978,0.0733178,0.10017,14.4922,0.0262896,0.613422,0.0204704,0.52369,
62,54.4847,120.702,96.9238,0.451399,54.1215,0.699334,4.01622,0.649391,1.6791,0.191868,3.73929,19.1381,0.820238,34.1848,0.213202,1.2488,13.4478,0.737674,11.2838,0.282027,0.762771,0.0776199,9.77844,4.59115,0.503615,75.5325,0.173653,0.878095,12.3073,0.0305215,0.0916775,0.185775,0.192182,0.0183958,0.0526329,7.39436,0.0461594,0.613422,0.0204704,0.493442,
63,54.4847,152.528,214.01,0.357211,58.2683,0.579843,4.36983,0.611626,1.89112,0.200969,4.49098,19.6726,0.677228,60.3442,0.17225,1.24943,37.743,0.606456,10.3988,0.335377,0.99407,0.0796221,7.56174,4.29664,0.483504,165.243,0.141285,0.490957,12.3073,0.0305215,0.0916775,0.185775,0.357756,0.0560937,0.10017,14.6435,0.070132,0.613422,0.0204704,0.700908,
64,54.4847,182.141,265.664,0.299135,66.218,0.775223,6.22023,0.685645,2.12154,0.278175,11.3911,23.0404,0.849186,69.0754,0.271592,1.21469,101.56,1.03684,13.6112,0.575853,3.19399,0.171715,25.9319,11.8101,0.849683,157.188,0.504197,0.569133,12.3073,0.0305215,0.0916775,0.173843,0.354042,0.123517,0.10017,6.89802,0.0733737,0.613422,0.0204704,0.307841,
65,54.4847,112.06,44.2332,0.48621,48.0622,0.484488,2.97161,0.550316,1.28156,0.238992,5.63419,20.7344,0.82367,29.8697,0.191403,1.2174,23.4147,0.693672,5.25655,0.311209,0.724211,0.0904948,8.34539,5.44343,0.562025,55.6544,0.17824,0.442803,12.3073,0.0140977,0.0916775,0.185775,0.104542,0.101832,0.10017,11.7826,0.0733737,0.613422,0.0204704,0.700908,
66,54.4847,134.671,197.875,0.404577,55.1192,0.562633,3.63891,0.549531,1.35669,0.255524,6.71919,21.0984,0.956478,42.8301,0.246863,1.33757,68.8776,0.610119,7.23265,0.530131,0.873302,0.113542,14.3399,4.89144,0.715061,127.782,0.381905,0.847753,12.3073,0.0305215,0.0916775,0.177528,0.104542,0.13191,0.10017,12.3227,0.0499049,0.613422,0.0142752,0.695824,
67,54.4847,123.217,128.628,0.442183,55.6711,0.61886,4.22059,0.484966,1.74839,0.220424,2.94674,19.5567,0.906962,35.4322,0.181401,1.22915,56.1929,0.741555,10.4347,0.307142,2.81364,0.070581,7.29634,3.32546,0.626381,69.3805,0.226733,0.438927,23.5943,0.0305215,0.0916775,0.177528,0.104542,0.0148162,0.116472,8.25591,0.1025,0.613422,0.0231309,0.700908,
68,54.4847,124.31,238.512,0.438296,46.7014,0.580603,4.66414,0.988073,1.27665,0.245111,7.87741,19.9308,0.830483,39.707,0.216985,1.29163,25.0528,0.685788,16.74,3.55997,1.36234,0.0477024,31.788,3.59532,0.600396,166.652,0.381311,0.627674,23.5943,0.0305215,0.0916775,0.184299,0.104542,0.130616,0.116472,0.617148,0.0216951,0.613422,0.0196438,0.700908,
69,54.4847,122.455,151.353,0.444937,45.8302,0.475837,4.42966,0.495479,0.980022,0.265893,5.96783,20.5716,0.837266,41.0621,0.256521,1.28248,43.7546,0.678421,16.7205,0.531931,0.883489,0.0519513,12.2356,3.93804,0.665189,86.2445,0.45688,0.578008,11.4176,0.0305215,0.0916775,0.1434,0.0443358,0.200776,0.116472,8.16566,0.0216951,0.613422,0.0196438,0.700908,
70,54.4847,106.623,136.542,0.511003,56.0164,0.636164,3.3694,0.487726,1.04948,0.291088,5.60438,20.8377,0.743875,16.0632,0.230315,1.2934,77.3696,0.654286,9.36303,0.436838,0.910173,0.180632,24.1897,3.86454,0.650687,39.2853,0.371239,0.673644,23.5943,0.0305215,0.0916775,0.184299,0.104542,0.203123,0.0520774,8.7348,0.0216951,0.613422,0.0196438,0.806194,
71,54.4847,116.783,209.94,0.466548,54.0499,0.699672,4.07497,0.552345,1.01303,0.267522,3.59013,20.029,0.646004,30.37,0.246335,1.24392,73.5943,0.633282,14.5696,0.440902,0.895144,0.0766574,10.8443,2.34908,0.625663,124.56,0.56734,0.44808,23.5943,0.0305215,0.0916775,0.184299,0.104542,0.0546468,0.270595,9.94504,0.0281188,0.613422,0.02141,0.188505,
72,54.4847,113.021,181.734,0.482078,52.3817,0.71818,4.44905,0.558916,0.836128,0.306698,2.93601,21.3225,0.664976,27.3493,0.214659,1.28254,83.0725,0.80025,15.744,0.579973,0.666512,0.161917,5.47179,4.14927,0.828879,84.1392,0.369015,0.674727,11.8107,0.0305215,0.0916775,0.161559,0.104542,0.217235,0.270595,14.2412,0.0281188,0.613422,0.0347077,0.833049,
73,54.4847,106.119,173.576,0.513432,52.3841,0.652768,2.98673,0.644111,0.986013,0.287527,5.14432,20.6166,0.820387,20.1424,0.196546,1.25712,80.6479,0.818011,7.60604,0.732219,0.734822,0.119527,18.7671,2.05004,0.701769,69.1333,0.426232,0.267002,23.5943,0.0305215,0.0916775,0.161559,0.104542,0.241175,0.270595,10.1684,0.0224412,0.613422,0.0347077,0.729236,
74,54.4847,100.629,116.734,0.54144,50.6286,0.609072,3.62493,0.574864,0.986307,0.280563,5.82721,20.4297,0.529809,15.6928,0.203027,1.2424,72.9918,0.754826,10.5562,0.222936,1.39965,0.0622245,14.5095,3.05162,0.573437,40.1171,0.336922,0.253192,23.5943,0.0305215,0.0916775,0.161559,0.0794361,0.214077,0.0287907,3.7152,0.0208812,0.613422,0.0192939,0.769052,
75,54.4847,119.458,222.077,0.456101,53.3677,0.509401,3.51725,0.597355,0.777692,0.29418,6.1129,20.8541,0.477412,31.5411,0.217211,1.1914,85.4511,0.539029,11.145,0.352519,1.03845,0.123501,17.9588,2.66887,0.421113,137.129,0.328523,0.238377,10.4939,0.0305215,0.0916775,0.152791,0.0976165,0.221728,0.0287907,14.0192,0.0183756,0.613422,0.0415689,0.425128,
76,54.4847,215.157,462.627,0.253233,61.897,0.802396,7.21421,0.719572,1.84668,0.285814,14.0957,42.2992,0.690175,83.6485,0.31988,1.33752,94.6239,1.08615,19.6425,0.579581,4.01324,0.08107,38.1547,158.083,0.964543,241.481,0.511262,0.765883,12.6443,0.0305215,0.0916775,0.161559,0.0584563,0.0161176,0.0287907,3.25439,0.0183756,0.0946139,0.0415689,0.805923,
77,54.4847,170.671,322.545,0.319238,56.1412,0.578736,5.28453,0.684763,1.10417,0.296247,11.8368,20.6277,0.617764,71.8833,0.261097,1.35494,82.4535,0.924562,14.1276,0.769947,2.38086,0.0838496,26.5189,21.9673,0.589379,208.366,0.394729,0.444945,11.1666,0.0293246,0.0916775,0.161559,0.0766066,0.154763,0.0287907,7.532,0.0183756,0.0946139,0.024313,0.977883,
78,54.4847,113.088,168.45,0.481789,36.8836,0.42752,3.72901,0.555407,0.854788,0.294655,8.23725,22.4246,0.560911,37.6422,0.204521,1.27392,20.4693,0.497109,10.2576,0.265756,1.51951,0.0652597,16.8407,8.21555,0.592602,139.076,0.221374,0.491817,11.4298,0.0305215,0.0916775,0.161559,0.0481812,0.0632388,0.0287907,0.412944,0.0183756,0.0946139,0.0160423,0.854972,
79,54.4847,118.162,213.908,0.461103,50.5128,0.607299,4.75763,0.588656,0.79124,0.298214,6.37641,21.3538,0.561305,30.6648,0.297286,1.35219,95.3062,0.819048,17.8533,0.333188,1.7299,0.152459,23.7578,5.62914,1.03014,131.799,0.46761,0.912233,23.0251,0.0305215,0.0916775,0.161559,0.0336744,0.0497214,0.026918,8.86884,0.0183756,0.0946139,0.0415689,0.781088,
80,54.4847,83.5444,31.8807,0.652165,35.8893,0.457176,2.24618,0.567901,0.571765,0.285509,4.01329,21.1172,0.402221,16.4978,0.228171,1.26786,9.31297,0.341456,4.10413,0.260788,0.479565,0.0460844,7.90662,3.91408,0.44904,27.5294,0.213103,0.212465,11.5918,0.0170822,0.0916775,0.161559,0.0579555,0.202471,0.026918,13.0401,0.0183756,0.0946139,0.0415689,0.820434,
81,54.4847,90.6778,39.3086,0.600861,34.4976,0.352423,2.05666,0.508401,0.552852,0.292756,2.78064,21.6021,0.354212,26.2684,0.192514,1.21915,7.73626,0.221114,1.35324,0.15479,0.392586,0.0453014,5.07285,3.61859,0.351706,37.2247,0.138074,0.179298,10.7951,0.0305215,0.0916775,0.161559,0.0616738,0.213324,0.026918,15.9288,0.0183756,0.0946139,0.0415689,0.820434,
82,54.4847,199.727,370.226,0.272797,58.9665,0.780754,8.87736,1.16344,1.11553,0.329899,11.4358,23.0046,0.759592,91.2151,0.449801,1.62828,95.6902,1.1714,23.4698,3.39811,2.28336,0.150854,27.6205,8.13402,1.39259,224.834,0.69916,1.61793,10.7202,0.0305215,0.0916775,0.161559,0.0616738,0.198324,0.026918,9.05825,0.0179645,0.0946139,0.0415689,0.707817,
83,54.4847,142.104,303.855,0.383413,48.9941,0.480221,4.78897,0.661233,0.832249,0.306061,8.27905,22.7384,0.405377,52.9359,0.278452,1.40438,81.455,0.6267,21.3419,0.558375,1.28231,0.0735605,22.7945,6.10978,0.452149,187.444,0.54331,1.1325,10.5012,0.0305215,0.0916775,0.161559,0.0616738,0.240007,0.026918,14.8879,0.0183756,0.0946139,0.0415689,0.820434,
84,54.4847,133.958,260.973,0.406731,47.3885,0.512298,6.09334,0.573956,0.95134,0.288721,8.06031,20.4206,0.63223,47.3296,0.247106,1.45949,58.833,0.832843,20.6928,0.426855,1.6746,0.048185,18.1217,3.85599,0.671358,170.448,0.466207,1.68241,23.5943,0.0305215,0.0916775,0.161559,0.0616738,0.199424,0.026918,7.80936,0.0183756,0.0946139,0.0224337,0.783036,
85,54.4847,101.683,120.137,0.535828,44.9792,0.443689,2.87627,0.571951,0.787964,0.295766,7.0363,21.4359,0.45931,21.3756,0.189228,1.23199,64.3167,0.739294,6.02063,0.406833,1.79022,0.0750062,13.3418,4.99035,0.45668,51.2326,0.181154,0.448132,12.5036,0.0305215,0.0916775,0.161559,0.0616738,0.149113,0.026918,7.11066,0.0182288,0.0946139,0.0179039,0.7761,
86,54.4847,147.154,270.235,0.370257,61.8157,0.609944,5.44067,0.617406,1.24561,0.292366,7.87972,20.6357,0.495033,46.4326,0.323863,1.36522,100.238,0.882624,15.7333,0.476746,2.75657,0.0605947,22.4888,3.56234,0.672445,162.126,0.618422,1.10883,23.5943,0.0305215,0.0916775,0.161559,0.0616738,0.1432,0.026918,1.58677,0.0183756,0.0946139,0.0302467,0.786602,
87,54.4847,201.89,382.802,0.269874,66.5414,0.771555,7.27948,0.884098,1.37735,0.324637,15.043,21.0912,0.469618,86.366,0.351254,1.39008,117.706,1.376,20.2025,1.34555,2.43773,0.146382,37.5827,5.72579,0.431929,234.936,0.582666,0.803166,11.3151,0.0256697,0.0916775,0.161559,0.0683008,0.0369181,0.026918,4.78844,0.0183756,0.0946139,0.0202816,0.669003,
88,54.4847,123.223,276.317,0.442162,44.9936,0.540209,4.38075,0.643036,0.897714,0.301765,2.23932,21.8693,0.604743,45.263,0.188354,1.30171,59.5754,0.784662,17.2417,0.668542,1.69503,0.091027,11.1388,4.23486,1.06399,207.415,0.271301,0.679532,23.5943,0.0305215,0.0916775,0.161559,0.0683008,0.252465,0.026918,18.3566,0.0183756,0.0946139,0.0415819,0.820434,
89,54.4847,119.092,220.957,0.457502,49.5971,0.605461,2.65571,0.569627,0.732293,0.287106,4.56172,20.8359,0.604181,37.2134,0.276381,1.15306,74.6858,0.79233,6.8133,0.388455,1.37521,0.0945905,14.6413,2.79553,0.833467,135.508,0.413902,0.214148,23.5943,0.0305215,0.0916775,0.161559,0.0683008,0.0126095,0.026918,6.32825,0.0192874,0.0946139,0.0492504,0.401889,
90,54.4847,121.477,185.652,0.448518,45.8706,0.533757,4.43615,0.629518,0.776773,0.293434,7.8731,21.0379,0.516656,37.853,0.274975,1.38157,50.0964,0.915862,14.1746,0.395397,0.772211,0.0417572,20.6064,4.25685,0.675931,115.495,0.478221,1.02034,11.0753,0.0305215,0.0916775,0.247046,0.0251657,0.198891,0.026918,8.14659,0.0192874,0.0946139,0.0458828,0.435932,
91,54.4847,148.544,314.935,0.366791,51.6699,0.530572,6.95355,0.637302,0.880894,0.296003,6.57597,21.6087,0.367447,57.3405,0.319851,1.36378,71.4835,0.727883,20.675,0.502832,1.28206,0.0727041,20.0986,3.7013,0.402781,209.583,0.612003,0.91935,23.5943,0.0305215,0.0916775,0.247046,0.0683008,0.101124,0.026918,9.20827,0.0185878,0.0946139,0.0492504,0.820434,
92,54.4847,118.985,277.738,0.457912,51.5339,0.631528,5.31364,0.788376,1.0765,0.309744,5.83046,21.2995,0.517928,30.1004,0.257353,1.32576,91.1097,1.04833,15.2915,1.38303,1.87155,0.171902,16.1067,2.20498,0.755755,164.243,0.408733,0.642596,23.5943,0.0305215,0.0916775,0.247046,0.0683008,0.0235798,0.026918,13.1862,0.0185878,0.0946139,0.0438918,0.820434,
93,54.4847,99.3573,166.769,0.548372,37.5144,0.400732,4.86326,0.570836,0.715439,0.289793,3.85437,21.8632,0.332501,27.343,0.255096,1.35469,26.2302,0.657432,19.1383,0.377852,1.18783,0.0294979,12.3876,4.16911,0.460709,116.391,0.51155,1.36121,23.5943,0.0305215,0.0916775,0.247046,0.0527165,0.207367,0.00469421,6.91988,0.0185878,0.0946139,0.0492504,0.820434,
94,54.4847,115.659,194.459,0.471079,37.1104,0.451914,6.59562,0.548423,0.891471,0.306345,9.19711,22.0658,0.515037,36.285,0.224015,1.46826,24.9209,0.831178,24.3638,0.245998,1.54676,0.0738497,33.2909,3.82854,1.0436,110.316,0.345211,1.79623,11.7486,0.0305215,0.0916775,0.247046,0.0683008,0.162748,0.026918,12.9546,0.0185878,0.0946139,0.0492504,0.820434,
95,54.4847,115.847,194.471,0.470317,41.7501,0.455264,4.46855,0.567025,0.823961,0.28561,8.37731,21.1245,0.454375,36.0275,0.227057,1.28556,37.4595,0.984574,13.6825,0.402857,1.42018,0.0484141,16.6834,3.00505,0.627864,127.656,0.338235,0.747559,23.0743,0.0305215,0.0916775,0.24116,0.0617572,0.0547558,0.026918,13.3239,0.0185878,0.0946139,0.0303348,0.785552,
96,54.4847,78.9249,100.094,0.690337,35.9787,0.351657,1.58743,0.538866,0.703409,0.293927,3.17374,21.8003,0.359457,12.8236,0.177506,1.1363,23.7424,0.546231,3.39644,0.1856,1.11989,0.0197553,12.8671,1.83247,0.426576,65.1249,0.18163,0.208733,23.5943,0.0305215,0.0916775,0.247046,0.0615222,0.247356,0.026918,13.4926,0.0185878,0.0946139,0.0492504,0.61246,
97,54.4847,119.97,250.998,0.454151,53.5507,0.576061,5.98389,0.607278,0.982635,0.314904,6.66737,21.6242,0.369362,27.5932,0.336253,1.36459,93.0363,1.22723,19.5723,0.658183,2.51367,0.098909,21.8349,2.80784,0.548054,134.572,0.510903,1.00943,23.5943,0.0305215,0.0916775,0.247046,0.0307225,0.25488,0.01529,5.07887,0.0185878,0.613422,0.0492504,0.814009,
98,54.4847,120.141,284.302,0.453508,43.7836,0.372922,3.66211,0.516526,0.391034,0.304573,4.54973,21.6798,0.31146,42.9944,0.297848,1.27662,63.6398,0.828068,11.7476,0.30876,0.578784,0.0518518,16.7637,2.86503,0.430709,194.052,0.324864,0.697886,23.5943,0.0305215,0.0916775,0.247046,0.0344318,0.187147,0.01529,3.66789,0.0185878,0.613422,0.0492504,0.814009,
99,54.4847,107.439,224.744,0.507124,42.4532,0.380219,3.08257,0.556092,0.56851,0.296902,2.71938,21.9508,0.247043,33.7596,0.314502,1.10976,53.4517,0.93959,8.42569,0.45269,1.13126,0.0391568,8.71506,1.84272,0.294568,154.532,0.444329,0.199266,23.5943,0.0305215,0.0916775,0.247046,0.0344318,0.0555778,0.01529,11.9681,0.0180533,0.613422,0.0492504,0.795668,
100,54.4847,126.847,260.918,0.42953,55.4695,0.489271,4.05745,0.599121,0.808569,0.325906,4.15182,21.9298,0.367635,37.126,0.385708,1.13651,104.599,1.19974,12.7027,0.453622,2.465,0.122454,12.7867,2.0719,0.805735,150.268,0.48597,0.178285,23.5943,0.0305215,0.0916775,0.247046,0.0344318,0.281438,0.01529,13.0724,0.0185878,0.613422,0.0492504,0.630445,
101,54.4847,99.4758,203.43,0.547719,44.2551,0.236833,2.36064,0.605737,0.630829,0.320547,4.02855,22.6529,0.272715,22.618,0.296169,1.19779,95.587,0.440472,4.52352,0.795292,1.10355,0.108687,9.80283,3.33107,0.291743,98.1102,0.233348,0.219969,12.2471,0.0305215,0.0916775,0.29093,0.0344318,0.238352,0.01529,16.212,0.0185878,0.613422,0.0345374,0.729289,
