Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
153,0.522851,35.0613,5.69126,14.8727,2.50088,0.00033592,0.173193,0.0319323,0,46.2773,1.99952,3.76627,1.23341,31.1636,4.07308,
154,0.519181,35.0613,5.69125,14.8674,2.5002,0.000879923,0.173455,0.0320982,0,46.3114,1.99884,3.77348,1.23195,31.1637,4.04251,
155,0.51994,35.0626,5.69159,14.8701,2.5004,0.00141528,0.171595,0.0363325,0,46.2857,1.99903,3.77013,1.2321,31.1653,4.06146,
156,0.52315,35.0612,5.6912,14.8697,2.49952,0.00331916,0.172176,0.0332949,0,46.3051,1.99813,3.77029,1.23233,31.1634,4.04481,
157,0.524407,35.0602,5.69095,14.8669,2.50001,0.00219365,0.170903,0.0344777,0,46.2916,1.99865,3.77312,1.23334,31.1622,4.05864,
158,0.519231,35.0624,5.69155,14.8678,2.50002,0.00196119,0.172234,0.0345922,0,46.313,1.99864,3.77346,1.23159,31.1651,4.03608,
159,0.521128,35.0615,5.69125,14.8702,2.50057,0.00098657,0.169929,0.0357704,0,46.2778,1.9992,3.76933,1.23135,31.1637,4.07503,
160,0.52155,35.0619,5.69144,14.8785,2.50132,0.00387399,0.170173,0.0353939,0,46.2912,1.99996,3.75957,1.23238,31.1644,4.05602,
161,0.521735,35.0614,5.69125,14.8681,2.50074,0.000834817,0.171335,0.0348739,0,46.3161,1.99938,3.77186,1.23192,31.1637,4.03449,
162,0.520085,35.0609,5.6911,14.8658,2.5005,0.000835907,0.172114,0.0337288,0,46.2967,1.99913,3.77531,1.23149,31.163,4.05699,
163,0.52001,35.062,5.69139,14.8692,2.49978,0.00289073,0.171395,0.0337196,0,46.2722,1.99841,3.77068,1.23191,31.1644,4.07983,
164,0.519092,35.0626,5.69164,14.8753,2.50131,0.00207545,0.173477,0.0340894,0,46.2806,1.99995,3.7639,1.23206,31.1654,4.0663,
165,0.522141,35.0614,5.69126,14.8697,2.50078,7.33288e-05,0.168863,0.0376021,0,46.2969,1.99943,3.77029,1.23231,31.1637,4.05346,
166,0.519077,35.0622,5.69146,14.8697,2.50036,0.0016895,0.171616,0.0344235,0,46.3264,1.999,3.7704,1.23138,31.1647,4.02554,
167,0.52198,35.0609,5.69111,14.8642,2.50055,0.00123164,0.170586,0.0382751,0,46.3155,1.99919,3.77735,1.23246,31.163,4.03171,
168,0.520089,35.0605,5.69104,14.8592,2.50015,0.00270997,0.171646,0.034148,0,46.2878,1.99878,3.78402,1.23304,31.1627,4.06223,
169,0.518684,35.0631,5.69172,14.8701,2.5003,0.00121778,0.171563,0.0348521,0,46.3266,1.99893,3.77061,1.23103,31.1659,4.02352,
