Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,62.8409,224.5,105.024,0.279915,26.2324,119.567,3.79266,12.2929,2.14193,43.8523,0.246031,13.2638,3.11032,28.2379,141.416,2.3318,12.7442,2.56117,79.7241,0.293163,16.1035,3.60435,2.11759,5.69629,0.0449434,0.836239,0.104201,12.5214,0.00654429,1.03303,0.647161,
1,62.8409,278.874,270.573,0.225337,29.9611,82.6951,4.38351,116.681,1.79007,27.2289,2.33138,10.6541,3.14948,13.1554,66.3604,2.64949,238.911,1.69691,24.7678,4.66769,8.70731,2.04675,2.11759,5.69629,0.0449434,0.846442,0.104201,10.7813,0.00654429,1.03303,0.665345,
2,62.8409,234.135,186.888,0.268396,25.1488,50.9675,3.97075,107.196,1.76149,31.3674,2.14477,8.6975,2.88022,12.957,47.122,2.45616,190.833,1.54487,19.2709,3.81321,8.28873,1.78576,2.11759,0.630156,0.0449434,0.846442,0.0972944,9.23061,0.00654429,1.03101,0.665345,
3,62.8409,252.793,201.223,0.248586,28.2096,55.6627,3.67334,120.531,1.82188,24.7426,2.41317,12.0339,3.70481,12.6822,35.8729,2.37627,191.902,1.63637,17.0752,3.90115,8.44511,2.21915,2.11759,4.93163,0.0449434,0.846442,0.0972944,11.3405,0.00654429,1.05881,0.665345,
4,62.8409,265.345,256.483,0.236827,26.8574,51.3724,3.93704,118.524,1.52554,47.9311,2.37215,9.1144,3.71099,13.121,35.4954,2.28625,194.839,1.04121,144.417,3.90494,7.33599,2.33442,2.11759,4.93163,0.0449434,0.846442,0.0972944,9.08147,0.00654429,1.05881,0.665345,
5,62.8409,286.278,304.262,0.21951,27.5686,51.2301,4.32305,158.788,1.30293,26.115,3.16566,9.7227,4.06242,13.0745,35.7362,2.65908,278.902,1.10949,26.4858,5.76585,6.67014,2.47316,2.11759,4.93163,0.0449434,0.846442,0.0665826,9.87976,0.00654429,1.05881,0.715463,
6,62.8409,237.107,177.974,0.265032,26.8112,50.5714,4.16888,111.179,1.42269,29.0577,2.22611,8.33823,3.33148,13.4925,45.5904,2.86193,188.992,1.14196,15.5044,3.38727,7.38905,1.94092,2.11759,3.64969,0.0449434,0.846442,0.0972944,12.6897,0.00654429,1.04255,0.914248,
7,62.8409,178.39,94.015,0.352267,25.8985,39.7473,3.88726,67.0146,1.449,27.2067,1.34211,8.25066,3.59385,11.7339,30.5097,2.58337,106.158,0.983051,11.3066,1.99405,6.88427,2.19702,2.11759,4.93163,0.0449434,0.846442,0.0972944,11.6531,0.00654429,0.980539,1.02864,
8,62.8409,142.442,55.6123,0.441166,21.6431,27.4027,3.57835,47.4082,1.3903,30.8039,0.949388,5.9739,3.29266,11.9831,23.9263,2.10624,58.7251,0.967472,11.8453,1.16588,6.46096,1.71873,1.71016,3.88793,0.0449434,0.846442,0.0972944,13.6513,0.00654429,0.993719,1.02864,
9,62.8409,179.207,245.772,0.350661,25.4139,47.8212,3.7276,59.2122,1.69795,31.3503,1.18087,5.89599,2.90677,14.0208,94.22,2.08608,166.771,1.40964,9.86229,3.31903,7.29895,1.76834,2.11759,4.81223,0.0461635,0.585213,0.0972944,10.1386,0.00654429,0.980863,0.637656,
10,62.8409,155.038,174.314,0.405325,22.399,23.8422,3.85626,57.3574,1.71081,37.6564,1.14673,4.36606,2.7033,12.6045,30.4737,2.64485,148.217,1.32122,31.1395,2.95723,5.135,1.47802,2.11759,4.81223,0.0461635,0.585213,0.0972944,9.32454,0.00654429,0.980863,0.973713,
11,62.8409,122.895,109.748,0.511337,20.4657,20.3414,3.55047,33.024,1.92885,36.7411,0.660511,3.29036,2.89276,9.96428,14.6472,1.98395,74.7835,1.31146,24.1925,1.49965,3.29969,1.13041,2.11759,4.83836,0.0461635,0.585213,0.104201,14.246,0.00645022,0.980863,0.973713,
