Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,487.254,3108.54,4610.65,0.156747,51.2966,126.999,165.17,4.36311,121.143,6.87164,604.956,572.671,0,474.502,3.66594,61.0055,51.3049,407.986,456.609,66.8448,151.603,1919.48,5.02313,147.826,8.66476,949.065,1264.83,1.08899e-103,300.503,4.08484,78.5797,64.2564,464.032,3469.94,0.459834,0.998583,11.8108,0.754162,11.9506,0.075781,0.000377273,0.000434748,0,19.6305,0.0304384,1.29711,1.09295,31.2397,12.5616,
1,487.254,2483.5,1219.42,0.196197,54.2462,123.28,58.3346,4.39053,117.802,6.78519,517.031,418.264,0,460.393,3.7053,60.2225,54.2538,395.163,209.624,49.0187,83.0978,210.55,2.49526,84.2758,4.59883,469.415,529.775,0,297.742,2.58945,50.7982,48.8546,336.399,516.218,0.459834,0.998583,11.8108,0.673481,11.9506,0.075781,0.000377273,0.000434748,0,19.6305,0.0304384,1.29711,1.09295,31.2397,12.5616,
2,487.254,2366.72,910.571,0.205878,67.7307,122.871,53.5498,4.37677,117.101,6.58269,475.952,378.6,0,453.634,3.69109,60.9596,67.7263,379.131,174.815,107.35,82.0296,146.702,2.50074,83.7425,4.48396,391.252,352.18,0,290.168,2.58867,50.5195,105.934,325.298,242.798,0.459834,0.998583,11.8108,0.673481,11.9506,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.29711,1.09295,31.2397,12.5616,
3,487.254,2399.36,1383.62,0.203077,82.5444,122.895,53.5687,4.41279,116.019,6.57936,474.594,413.924,0,442.279,3.72506,60.4094,82.5428,377.443,158.425,160.239,81.139,146.622,2.50627,83.0134,4.46217,455.252,731.408,0,291.476,2.58613,49.786,160.26,322.676,138.412,0.459834,0.998583,8.87466,0.673481,11.3192,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.29711,1.09295,31.2397,12.5616,
4,487.254,2277.59,802.141,0.213934,71.7827,122.207,45.1892,4.33327,114.064,6.37212,444.787,370.704,0,437.095,3.64637,59.2891,71.7784,366.4,159.94,94.6323,80.5939,64.9419,2.51006,82.0545,4.41222,344.921,342.257,0,282.307,2.59061,48.6782,95.5944,315.252,141.218,0.459834,0.998583,11.8108,0.673481,11.9506,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.29711,1.09295,31.2397,12.5616,
5,487.254,2314.64,1329.08,0.210509,75.6859,121.58,45.4564,4.30136,112.781,6.27885,458.808,420.138,0,425.3,3.60957,59.342,75.6748,351.675,154.013,97.6205,80.0995,64.3024,2.50449,80.4033,4.30121,514.807,736.507,0,276.43,2.59624,47.9378,97.0043,305.297,110.176,0.459834,0.998583,11.8108,0.673481,11.9506,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.29711,1.09295,31.2397,12.5616,
6,487.254,2294.99,1234.74,0.212312,79.8592,119.746,47.3636,4.31162,112.089,6.38801,440.36,418.37,0,417.912,3.64479,58.9051,79.8467,351.695,154.497,112.535,80.1433,66.252,2.56548,79.9709,4.44259,419.518,764.045,0,269.125,2.66389,47.8707,111.86,303.412,112.555,0.459834,0.998583,11.5659,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,0.350546,1.09295,31.2397,12.5616,
7,487.254,2231.62,816.978,0.218341,87.0962,118.277,47.251,4.27733,112.324,6.17298,423.141,379.077,0,411.078,3.59802,58.6529,87.1524,338.545,154.98,179.042,80.1781,66.0944,2.52496,80.118,4.27328,332.372,383.057,0,263.797,2.61236,47.8629,179.37,284.182,111.291,0.459834,0.998583,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.29711,1.09295,31.2397,12.5616,
8,487.254,2206.83,740.451,0.220794,81.5811,116.588,48.8575,4.22624,113.084,6.20241,416.522,385.186,0,407.701,3.55124,59.8442,81.5707,326.665,155.246,104.738,79.7225,67.1582,2.52289,79.8763,4.21388,307.884,390.476,0,260.267,2.60773,48.1123,105.234,272.541,110.306,0.459834,0.998583,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.09295,31.2397,12.5616,
9,487.254,2182.33,709.13,0.223273,85.6164,115.856,48.9171,4.21599,111.158,6.27641,403.623,368.909,0,406.964,3.54453,59.3699,85.6058,326.265,156.006,122.617,79.8346,66.5172,2.51719,79.3959,4.29549,300.399,332.202,0,261.988,2.6002,48.2756,122.502,279.033,107.103,0.459834,0.998583,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.09295,31.2397,12.5616,
10,487.254,2162.91,686.952,0.225278,89.577,115.883,47.9864,4.23735,107.911,6.18747,394.59,365.843,0,403.168,3.54837,57.664,89.563,320.069,156.679,126.232,80.1859,61.3526,2.4875,78.3693,4.16242,293.05,329.397,0,261.915,2.56137,47.5513,125.629,266.701,112.679,0.459834,0.998583,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.09295,30.9971,12.5616,
11,487.254,2147.99,662.458,0.226842,89.6485,115.717,47.3626,4.24305,107.657,6.11419,389.796,369.6,0,397.697,3.54908,58.126,89.6344,312.969,155.874,120.513,79.7063,60.0253,2.49167,78.3406,4.07467,283.794,340.77,0,256.735,2.56594,47.4555,120.383,259.039,106.239,0.459834,0.998583,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.09295,30.9971,12.5616,
12,487.254,2099.62,577.753,0.232068,88.5584,115.284,46.7008,4.26764,108.009,6.07869,374.76,343.182,0,397.515,3.57206,58.5335,88.5486,307.942,156.667,120.228,79.5374,58.1321,2.46004,77.8822,4.04026,272.685,283.118,0,255.446,2.5157,47.5688,120.229,258.092,106.491,1.05814,1.50169,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,12.5616,
13,487.254,2092.06,581.802,0.232907,90.6756,116.27,44.7841,4.23073,105.837,5.96634,370.32,352.463,0,388.886,3.54373,57.1137,90.6642,303.843,157.463,115.349,79.8049,50.2497,2.46309,77.6677,4.00931,263.332,310.629,0,252.424,2.51703,47.3914,115.113,255.411,106.999,1.05814,1.50169,11.8327,0.673481,12.4363,0.0658595,0.000377273,0.000434748,0,19.6305,0.0223703,1.21754,1.51695,30.8645,7.80017,
14,487.254,2086.13,743.766,0.233568,92.4722,116.329,44.0045,4.28478,107.803,5.90258,366.289,349.364,0,385.857,3.59726,58.4119,92.4637,302.463,156.89,139.552,79.6038,49.3432,2.48627,78.1716,4.01613,301.719,399.108,0,253.66,2.53814,47.9309,139.464,257.896,105.928,1.05814,1.50169,8.62357,0.673481,12.4363,0.0630539,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,12.5616,
15,487.254,2118.93,1014.39,0.229953,94.499,115.418,44.0018,4.28406,107.78,5.8861,371.349,381.365,0,383.049,3.59934,58.5772,94.4825,299.139,155.503,127.693,79.8488,49.2456,2.48313,76.7631,3.97125,321.587,666.876,0,253.808,2.53247,47.7636,127.27,253.829,94.3807,1.05814,1.50169,11.8327,0.673481,12.4363,0.0630539,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,12.5616,
16,487.254,2081.22,693.52,0.234119,94.0166,115.016,44.4255,4.21779,106.809,5.95285,361.897,349.817,0,388.851,3.54124,58.086,94.0098,297.77,156.812,117.288,79.3048,49.385,2.45388,76.2681,4.06421,263.457,366.812,0,265.108,2.50216,47.3401,117.179,258.633,94.6567,1.05814,1.50169,11.3055,0.673481,12.4363,0.0630539,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,12.5616,
17,487.254,2066.05,640.599,0.235839,96.6609,114.664,43.7202,4.20527,106.751,5.76751,365.757,353.629,0,372.655,3.51599,58.2145,96.6515,291.234,152.621,128.924,79.0853,48.863,2.45348,77.9918,3.86848,288.303,342.916,0,250.773,2.50105,47.997,128.547,242.134,89.684,1.05814,1.50169,11.8327,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
18,487.254,2057.55,704.498,0.236813,94.827,116.155,44.5379,4.16383,107.009,5.83338,368.273,346.691,0,373.816,3.4743,59.2246,94.8231,282.087,156.632,117.542,80.1056,49.2011,2.44467,77.0598,3.8372,344.074,340.287,0,248.455,2.49738,48.4992,117.67,238.363,103.687,1.05814,1.50169,11.8327,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
19,487.254,2103.12,997.794,0.231681,114.881,112.371,49.3621,4.17726,106.169,5.91644,354.343,343.77,0,374.175,3.50241,57.7639,114.998,286.714,174.979,255.399,79.2707,103.976,2.4451,76.5525,3.91212,264.452,308.929,0,254.4,2.48936,47.8301,254.387,244.824,310.869,1.05814,1.50169,9.28568,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,29.2286,7.24407,
20,487.254,2016.39,572.746,0.241647,99.474,112.366,44.1309,4.21651,104.985,5.78168,347.873,335.983,0,368.709,3.53823,58.2806,99.471,278.164,153.419,131.03,78.9578,48.8673,2.47849,75.4939,3.7542,254.105,294.378,0,248.163,2.51771,47.6722,132.593,229.54,93.6878,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
21,487.254,2057.39,1042.71,0.236832,105.114,111.321,44.9616,4.1879,102.774,5.78091,366.992,359.243,0,362.545,3.50669,57.4957,105.105,272.336,156.025,144,78.9494,55.6283,2.44881,74.1067,3.73392,529.21,513.079,0,247.072,2.49294,47.4071,143.351,229.398,93.1684,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,28.4688,7.24407,
22,487.254,2025.24,842.75,0.240591,99.2457,111.594,45.8519,4.21958,104.067,5.80361,350.165,356.946,0,361.472,3.5406,58.3185,99.2436,272.217,152.554,125.823,78.7039,61.0565,2.45807,74.7999,3.76589,330.101,499.459,0,245.672,2.50427,47.7778,125.654,228.379,92.8609,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
23,487.254,1995.59,580.689,0.244165,106.536,110.495,42.9086,4.19049,102.315,5.81725,334.125,330.938,0,364.431,3.52734,57.3546,106.528,271.221,155.208,144.022,77.9249,34.5029,2.45886,74.3727,3.7109,241.819,289.566,0,248.285,2.50144,47.8548,143.184,225.604,93.6653,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.4573,0.0223703,1.42786,1.51695,30.8645,7.24407,
24,487.254,2037.08,1030.85,0.239192,105.03,111.863,42.8505,4.19452,102.259,5.81422,345.562,369.887,0,361.14,3.52322,57.863,105.043,267.572,154.48,149.61,78.3285,34.0878,2.46327,74.8571,3.69243,395.308,625.625,0,244.862,2.50552,48.1128,149.684,225.833,92.6206,1.05814,1.50169,11.0842,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
25,487.254,1981.15,615.858,0.245945,105.309,109.265,43.4117,4.18799,101.119,5.84953,330.144,344.811,0,352.82,3.52169,56.9954,105.306,263.833,154.576,129.271,76.6998,34.3679,2.47568,74.65,3.6894,259.488,359.403,0,242.626,2.51473,47.7601,129.118,219.017,92.0497,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.8645,7.24407,
26,487.254,1968.75,566.713,0.247494,102.652,107.938,42.6976,4.16823,99.674,5.66323,332.615,334.029,0,353.265,3.51077,55.6368,102.646,268.646,155.607,122.251,75.8584,34.4354,2.448,74.8848,3.72349,260.822,291.299,0,241.695,2.48197,47.3216,122.476,216.34,99.5807,1.05814,1.50169,13.4263,0.673481,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.9971,7.24407,
27,487.254,1950.27,581.554,0.249839,102.795,107.624,42.9913,4.15845,100.598,5.71291,325.425,331.112,0,349.153,3.50096,56.2155,102.792,263.047,155.146,124.929,75.7001,34.3643,2.44365,74.7256,3.69311,256.076,324.667,0,241.221,2.47371,47.2869,124.789,215.039,91.7349,1.05814,1.50169,13.4263,0.635232,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.9971,7.24407,
28,487.254,1962.79,1009.83,0.248246,103.608,107.967,42.8431,4.18309,99.9468,5.66856,328.768,350.701,0,342.071,3.52689,56.0659,103.599,259.414,154.426,120.579,75.9878,34.2145,2.44559,74.3923,3.66238,438.497,572.604,0,237.26,2.47735,47.175,120.364,212.1,91.1982,1.05814,1.50169,13.4263,0.635232,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.9971,7.24407,
29,487.254,2017.73,1329.3,0.241486,108.174,106.515,43.1288,4.17178,99.9632,5.73143,327.82,376.355,0,346.129,3.51133,55.8113,108.16,261.443,170.819,133.232,75.6711,34.2619,2.45239,74.2467,3.68378,390.213,727.854,0,240.612,2.47896,46.7638,132.424,210.932,341.893,1.05814,1.50169,13.4263,0.635232,12.4363,0.075781,0.000377273,0.000434748,0,19.6305,0.0223703,1.42786,1.51695,30.9971,7.24407,
30,487.254,1916.57,562.644,0.254233,100.847,106.526,43.4791,4.14506,98.3956,5.78615,315.879,327.84,0,341.876,3.49719,55.4153,100.842,254.528,157.51,117.185,75.2978,34.1832,2.43013,74.3684,3.6552,276.772,305.271,0,237.319,2.45507,46.7892,117.076,210.002,96.2969,1.05814,1.50169,13.4263,0.635232,12.4363,0.075781,0.000377273,0.000434748,0,18.7163,0.0223703,1.42786,1.51695,30.9971,7.24407,
31,487.254,1926.04,598.517,0.252982,111.9,103.622,44.1127,4.17492,96.7274,5.85729,303.749,325.167,0,344.499,3.52758,54.3865,111.883,260.448,155.989,145.546,74.0528,37.0793,2.45629,73.1636,3.72487,229.082,281.971,0,246.239,2.47822,45.8558,143.855,215.892,93.137,1.05814,1.50169,10.5553,0.635232,12.4363,0.075781,0.000377273,0.000434748,0,18.7163,0.0223703,1.42786,1.51695,30.9097,7.24407,
32,487.254,1928.39,1001.96,0.252674,105.473,102.983,43.8907,4.17859,97.3021,5.83859,318.724,350.245,0,329.265,3.54019,54.9946,105.461,251.15,155.348,124.621,73.6108,34.1426,2.45723,73.55,3.64436,430.733,599.899,0,234.514,2.47537,46.0259,125.311,203.407,93.2202,1.05814,1.50169,13.4263,0.58582,12.4363,0.075781,0.000377273,0.000434748,0,18.7163,0.0223703,1.34869,1.51695,30.9971,7.24407,
