Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,
0,1143.64,5253.31,3000.82,0.217699,64.3459,0,327.539,559.88,625.257,573.207,561.228,18.21,2523.64,73.8165,0,393.698,757.021,916.909,780.782,675.149,18.2406,3023,3.16289,0,27.1901,11.5564,12.4062,11.58,9.00812,3.93858,658.854,
1,1143.64,4481.67,1376.57,0.255181,62.5553,0,331.658,437.693,463.918,443.597,572.745,18.6496,2150.85,35.5732,0,216.724,370.328,424.208,396.573,376.306,7.93204,977.515,3.16289,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.93858,658.854,
2,1143.64,4265.71,1146.86,0.2681,64.4022,0,331.527,388.509,394.66,391.501,546.562,18.3341,2130.21,34.1913,0,209.819,301.634,324.949,309.487,375.901,8.60739,886.376,3.16289,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.2568,658.854,
3,1143.64,4015.28,1026.33,0.284821,60.7883,0,330.475,347.735,358.839,349.95,538.938,18.4787,2010.08,33.8383,0,207.337,256.628,281.011,259.612,381.095,9.00324,887.381,3.05154,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.2568,649.96,
4,1143.64,3875.96,1066.51,0.295059,55.5592,0,336.006,370.512,362.555,372.733,495.565,17.587,1865.44,32.5856,0,205.457,273.795,287.047,276.269,359.549,8.80911,858.983,2.65047,0,32.0016,5.30585,17.103,5.61782,9.00812,3.2568,649.004,
5,1032.46,3617.8,969.542,0.285384,52.6515,0,318.972,334.78,325.447,336.56,473.257,17.3268,1758.8,31.7295,0,207.412,239.338,244.464,241,360.266,8.87839,835.592,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,3.93858,649.004,
6,1032.46,3455.52,910.339,0.298786,48.7303,0,316.286,330.223,318.483,331.946,457.945,17.6163,1634.29,29.1963,0,212.154,230.815,227.345,232.911,352.597,9.18125,765.85,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,3.21432,649.004,
7,1032.46,3339.85,969.597,0.309134,46.1441,0,335.082,315.156,308.239,317.531,448.203,16.9797,1552.51,26.864,0,352.765,211.799,226.318,217.563,353.102,9.43823,710.753,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,2.6557,649.004,
8,1032.46,3174.53,810.838,0.325233,43.1419,0,315.83,293.873,297.97,294.813,456.878,16.1113,1455.91,24.0691,0,219.113,193.742,290.872,194.704,367.852,9.37158,613.436,2.65047,0,32.0016,5.30585,13.3121,5.61782,9.00812,2.6557,649.004,
9,1032.46,3163.08,976.904,0.32641,41.4825,0,308.478,314.838,306.417,317.331,435.333,16.4426,1422.76,21.5915,0,225.754,242.087,261.818,240.499,339.691,9.5719,572.09,2.65047,0,32.0016,5.30585,13.3121,5.61782,9.00812,2.6557,649.004,
10,1032.46,3004.71,763.254,0.343614,39.9985,0,295.642,280.251,273.442,281.683,451.862,16.6644,1365.17,21.1983,0,213.838,197.182,201.309,202.792,352.37,9.80124,529.279,2.65047,0,12.3385,5.30585,2.09824,5.61782,9.00812,2.6557,649.004,
11,1032.46,2860.14,723.76,0.360983,37.6781,0,293.985,263.788,252.79,265.185,434.195,16.6961,1295.82,19.0567,0,209.767,191.016,202.015,194.634,347.916,9.86608,459.012,2.65047,0,12.3385,5.30585,2.09824,5.61782,9.00812,2.6557,644.946,
12,1032.46,2746.61,637.231,0.375904,36.7169,0,288.006,246.509,234.68,247.824,418.768,16.4324,1257.67,17.3105,0,207.499,171.965,185.269,174.329,334.87,10.0386,402.691,2.65047,0,12.3385,5.30585,2.09824,5.61782,9.00812,2.6557,644.946,
13,1032.46,2629.34,592.369,0.39267,35.6379,0,281.664,232.429,205.821,233.675,399.792,16.2254,1224.1,16.3483,0,202.708,167.741,164.859,170.284,330.536,10.1307,363.333,2.65047,0,12.3385,0.607506,2.09824,1.40966,9.00812,2.6557,644.946,
14,1032.46,2808.62,3873.26,0.367605,35.0694,0,537.02,225.617,195.831,226.547,371.079,15.5426,1201.91,16.6233,0,3663.02,162.675,157.073,164.221,308.946,9.88783,381.488,2.65047,0,12.3385,0.607506,2.09824,1.40966,9.00812,2.56371,644.946,
15,1032.46,3056.48,7788.14,0.337794,34.1022,0,802.556,221.889,193.328,224.666,369.438,16.1561,1194.35,16.1571,0,7493.19,174.117,202.083,183.793,308.211,10.2554,457.728,0.541493,0,12.3385,0.607506,2.09824,1.40966,9.00812,2.32279,644.946,
16,1032.46,2491.78,1124.6,0.414347,33.3467,0,327.94,208.643,171.43,209.703,367.233,15.943,1157.54,15.6491,0,862.438,157.098,174.647,157.559,318.137,10.3256,377.04,2.65047,0,9.99363,0.607506,2.09824,1.40966,9.00812,2.6557,644.946,
17,1032.46,2381.13,703.736,0.433602,31.785,0,261.265,206.318,171.846,207.866,356.198,15.206,1130.65,14.9567,0,216.031,166.076,185.85,170.878,297.304,9.93849,338.736,0.585695,0,9.99363,0.607506,2.09824,1.40966,9.00812,2.6557,644.946,
18,1032.46,2444.24,2770.37,0.422405,31.3576,0,422.594,193.523,150.957,194.484,331.948,15.7891,1103.59,16.0096,0,2340.83,154.25,138.537,157.595,278.445,10.3335,355.48,0.585695,0,9.99363,0.607506,2.09824,1.40966,9.00812,2.6557,644.891,
19,1032.46,2226.03,489.694,0.463814,30.4724,0,254.05,193.024,145.455,193.672,311.103,16.057,1082.19,15.8441,0,258.847,140.42,122.415,140.221,242.356,10.3449,353.63,0.585695,0,9.99363,0.607506,2.09824,1.40966,9.00812,2.6557,644.891,
20,1032.46,2198.61,562.717,0.469597,28.8045,0,239.812,202.902,152.038,203.493,310.057,16.1894,1045.32,14.3729,0,176.389,167.305,128.807,165.971,238.449,10.6153,300.04,0.585695,0,9.99363,0.607506,2.09824,1.40966,15.1429,2.6557,644.891,
21,1032.46,2218.2,809.298,0.465449,28.7502,0,241.827,193.339,151.472,194.077,342.095,16.6217,1050.02,13.9677,0,186.42,155.051,183.644,156.451,305.692,10.6618,341.658,0.585695,0,9.99363,0.607506,2.09824,1.40966,15.1429,2.6557,644.891,
22,976.226,2163.34,1082.75,0.451259,28.2176,0,288.282,179.874,145.002,180.677,299.403,15.8959,1025.99,15.5354,0,724.124,131.823,153.891,133.07,243.017,10.2744,355.89,0.585695,0,9.99363,0.607506,2.09824,1.40966,15.1429,2.6557,644.891,
23,976.226,2023.21,395.244,0.482514,26.1554,0,218.214,186.309,136.837,187.093,278.986,16.7192,972.895,13.0754,0,158.546,134.354,119.154,132.869,216.482,10.6597,252.317,0.585695,0,9.99363,0.607506,2.09824,1.40966,15.1429,2.6557,644.891,
24,976.226,2002.38,556.047,0.487532,25.4197,0,217.146,180.746,141.213,181.656,274.63,16.1609,965.41,14.057,0,145.499,161.569,136.686,162.626,212.103,10.576,286.468,0.585695,0,2.68942,0.607506,2.09824,1.40966,15.1429,2.6557,644.891,
25,976.226,2049.39,1352.45,0.47635,24.6732,0,289.867,178.045,142.936,178.945,267.5,15.7666,951.658,13.6102,0,952.361,161.407,153.931,162.336,228.943,10.6362,297.62,0.585695,0,9.99363,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
26,976.226,1917.14,532.227,0.509209,23.701,0,215.948,170.115,135.713,169.453,264.737,15.4613,922.012,13.9098,0,176.898,137.203,145.692,130.785,229.897,10.8444,301.062,0.585695,0,9.99363,0.607506,0.807673,1.40966,15.1429,2.6557,644.891,
27,976.226,1908.51,550.448,0.511512,22.779,0,215.092,178.08,133.067,178.805,262.467,14.7669,903.453,12.3193,0,132.693,152.424,129.693,151.1,215.024,10.811,247.562,0.585695,0,9.99363,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
28,976.226,1969.68,1061.89,0.495627,23.6508,0,213.326,172.514,146.289,175.11,284.689,15.3475,938.753,17.3208,0,142.147,169.989,219.808,176.258,249.483,11.1316,488.851,0.585695,0,2.41448,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
29,976.226,1826.58,420.6,0.534457,20.9714,0,209.83,163.078,126.556,163.925,256.409,15.291,870.515,11.55,0,134.221,130.016,121.6,129.965,204.876,11.0164,227.04,0.585695,0,2.41448,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
30,976.226,1794.29,480.261,0.544074,20.754,0,203.572,161.574,118.537,162.377,251.225,14.5771,861.673,11.7043,0,130.134,130.988,105.996,131.093,202.301,10.6966,232.069,0.585695,0,2.41448,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
31,976.226,1893.8,1942.7,0.515487,20.5307,0,313.767,159.501,113.02,160.151,253.314,14.4038,859.108,13.1673,0,1576.25,158.384,107.58,158.102,231.487,10.9404,272.369,0.585695,0,2.41448,0.607506,1.64046,1.40966,15.1429,2.6557,644.891,
32,964.618,1814.84,1073.21,0.531517,19.833,0,188.652,168.692,148.378,169.17,245.592,14.5012,860.021,12.2294,0,171.828,235.124,368.268,236.207,189.486,10.8473,393.91,0.585695,0,2.41448,0.607506,1.64046,1.40966,17.5335,3.05245,524.472,
33,964.618,1698.85,403.09,0.567807,19.318,0,194.149,139.166,108.426,139.772,252.398,14.6537,830.965,12.242,0,118.554,115.873,97.5615,118.566,195.781,11.018,259.978,0.585695,0,4.91269,0.607506,1.64046,1.40966,17.5335,2.76986,644.891,
34,964.618,1699.7,580.095,0.567523,19.2923,0,182.928,138.878,110.483,139.722,259.086,14.3447,834.965,12.7487,0,106.35,134.6,111.413,134.982,236.355,11.0177,283.402,0.585695,0,4.91269,0.607506,1.64046,1.40966,17.5335,2.76986,644.891,
35,964.618,1715.46,747.263,0.56231,19.2233,0,184.044,145.235,122.724,146.039,243.632,14.6334,839.924,13.1256,0,115.944,156.965,143.54,156.925,206.439,11.0404,305.791,0.585695,0,4.91269,0.607506,1.64046,1.40966,17.5335,2.76986,646.469,
36,964.618,1736.08,877.82,0.555631,19.8771,0,182.099,141.764,120.8,142.817,247.835,14.5943,866.29,16.6287,0,105.097,139.03,161.228,141.41,227.685,10.92,434.52,0.585695,0,4.91269,2.77535,1.40374,3.16875,17.5335,2.76986,646.469,
37,964.618,1643.33,968.903,0.58699,17.7642,0,207.937,129.987,105.064,130.918,235.371,14.5232,801.766,10.6803,0,412.713,165.328,111.645,166.726,207.873,10.7575,209.887,0.585695,0,4.91269,2.77535,1.64046,3.16875,17.5335,2.76986,646.469,
38,964.618,1565.3,523.95,0.61625,17.5626,0,190.228,112.45,97.6132,113.36,222.444,14.3421,797.303,9.3243,0,241.841,80.2765,77.1502,80.8147,196.502,10.8888,175.172,2.34747,0,4.91269,2.77535,1.64046,3.16875,17.5335,3.08069,653.045,
39,964.618,1754.24,1638.51,0.549877,18.7547,0,259.017,128.184,118.577,131.248,235.686,13.9034,848.873,20.1787,0,1036.84,137.762,157.807,152.928,228.62,10.34,626.715,2.34747,0,4.91269,2.77535,1.64046,3.16875,17.5335,2.75341,653.045,
40,956.504,1567.84,885.132,0.610077,17.1102,0,159.233,122.434,110.455,124.056,221.813,13.8658,798.873,11.3125,0,125.24,160.098,164.602,163.297,245.842,10.5337,289.99,2.34747,0,4.91269,2.99676,1.64046,3.16875,17.5335,3.08069,653.045,
41,956.504,1610.1,1081.17,0.594065,17.1559,0,170.349,132.86,110.586,133.907,221.907,14.4567,808.88,13.2067,0,133.459,182.685,153.238,186.149,245.716,10.9311,396.869,2.34747,0,4.91269,2.99676,1.64046,3.16875,17.5335,3.08069,653.045,
42,956.504,2221.8,7908.76,0.430508,17.5044,0,839.094,115.171,93.2674,116.105,218.696,13.8835,808.084,15.3344,0,7355.35,137.806,91.8888,139.028,261.074,10.8475,380.818,2.34747,0,4.91269,0.647515,1.20862,1.53548,17.5335,2.60341,653.045,
43,956.504,1521.68,858.247,0.628586,15.3655,0,167.792,121.432,109.183,122.45,201.61,13.728,770.115,10.4321,0,686.07,142.819,163.204,142.803,232.75,10.4675,263.931,2.34747,0,4.91269,2.99676,1.35126,3.16875,17.5335,2.90638,653.045,
44,956.504,1457.71,614.056,0.656171,14.7148,0,151.368,115.056,93.429,116.102,203.089,13.9861,749.961,8.22108,0,83.7561,132.578,110.347,133.768,232.021,10.7301,166.356,2.56678,0,4.91269,3.35829,1.35126,3.48286,17.5335,2.58143,653.045,
45,948.996,2188.58,9024.02,0.433612,16.7226,0,780.564,129.284,107.8,130.821,207.422,13.97,802.001,14.9833,0,8767.21,187.465,168.665,187.805,250.68,10.6104,377.704,2.56678,0,4.91269,3.35829,1.35126,3.48286,17.5335,2.58143,655.182,
46,948.996,1541.95,1247.13,0.615452,15.865,0,149.884,123.507,118.615,125.602,190.828,14.0945,803.554,15.895,0,594.091,206.032,223.807,212.131,206.88,10.797,481.333,2.64532,0,4.91269,3.35829,1.35126,3.48286,17.5335,2.58143,655.182,
47,948.996,1449.65,756.687,0.654637,14.6119,0,158.773,112.59,87.6627,113.977,191.421,13.992,756.625,12.4835,0,131.31,162.779,88.4074,164.222,198.331,10.8409,292.644,2.64532,0,4.91269,3.35829,1.35126,3.48286,17.5335,2.58143,645.615,
48,923.172,1540.65,1526.9,0.59921,14.9592,0,223.485,118.102,98.0846,119.491,186.379,14.1134,766.035,11.679,0,930.135,185.61,139.909,185.557,199.427,10.9576,284.318,2.64532,0,4.91269,0.529328,1.35126,0.54885,17.5335,2.58143,655.182,
49,923.172,1418.66,783.772,0.650737,13.8477,0,149.354,107.807,90.4732,109.378,190.417,14.1591,743.219,9.7614,0,124.092,151.134,113.649,152.028,214.874,11.1279,215.9,2.64532,0,4.91269,0.529328,1.35126,0.54885,17.5335,2.58143,655.182,
50,872.398,1404.31,760.202,0.62123,14.8486,0,155.876,88.6286,82.2929,90.0298,182.342,13.6477,776.641,15.8351,0,147.852,103.497,103.037,103.237,153.734,11.0308,418.172,2.64532,0,4.91269,0.529328,0.729934,0.54885,17.5335,2.56633,655.182,
51,855.263,1397.19,993.409,0.612132,13.1626,0,136.121,89.8818,114.259,91.0604,193.073,13.4546,746.175,9.784,0,85.4192,121.662,573.954,121.378,230.048,10.9521,258.771,2.64532,0,4.2453,0.529328,1.35126,0.54885,17.5335,2.58143,655.182,
52,855.263,1460.87,1323.04,0.585449,13.5626,0,190.798,98.1626,88.3739,99.1189,202.105,13.0999,755.648,12.4851,0,685.865,167.094,148.029,166.252,239.857,10.6734,304.383,2.64532,0,4.2453,0.529328,0.580756,0.54885,17.5335,2.58143,641.914,
53,855.263,1581.23,4129.71,0.540885,12.3083,0,399.518,84.5109,76.0978,85.5786,191.372,12.9779,718.866,8.22343,0,3767.42,106.628,71.7397,107.964,223.31,10.5374,169.748,2.64532,0,4.2453,0.529328,0.580756,0.54885,17.5335,2.58143,654.895,
54,855.263,1262.6,466.886,0.677384,12.2469,0,125.73,81.9142,69.5211,82.8207,158.681,12.8509,718.834,10.0869,0,286.298,87.8919,56.5979,87.448,133.33,10.715,223.026,2.64532,0,4.2453,0.529328,0.580756,0.54885,17.5335,2.58143,654.895,
55,855.263,1448.53,1737.76,0.590435,13.9739,0,217.163,91.7737,81.2898,93.828,169.337,12.2853,768.881,16.3852,0,1142.89,165.263,140.215,168.84,186.489,10.2945,427.538,2.64532,0,4.2453,0.529328,0.580756,0.54885,17.5335,2.58143,654.895,
56,855.263,1236.85,618.429,0.691485,11.8586,0,123.642,73.5422,73.4089,74.523,157.102,11.9409,710.832,9.81657,0,146.961,82.1287,86.8818,80.266,151.592,10.2278,256.682,2.64532,0,4.2453,0.529328,0.580756,0.54885,17.5335,2.48647,654.895,
57,855.263,1282.43,839.215,0.666909,12.3417,0,117.978,86.0393,73.4772,86.9541,167.913,11.3025,726.423,11.6325,0,90.2126,118.917,126.207,118.435,220.437,9.6303,320.293,2.64532,0,4.2453,0.529328,0.580756,0.54885,22.1972,2.58143,654.895,
58,855.263,1311.12,1275.8,0.652316,12.5402,0,175.845,70.6947,65.353,71.5387,169.93,10.6835,734.533,13.1934,0,853.966,73.8301,66.5737,74.8151,203.486,9.39412,343.798,2.64532,0,4.2453,0.529328,0.580756,0.54885,21.5796,2.58143,654.895,
59,855.263,1548.16,3430.79,0.552438,12.911,0,400.179,70.2235,66.2659,71.0025,171.873,10.0171,745.69,15.8759,0,2916.22,75.9336,77.3176,75.9242,221.972,8.84388,418.04,2.64532,0,4.2453,0.529328,0.580756,0.54885,21.5796,2.36794,654.895,
60,855.263,1379.06,1246.16,0.620178,13.8002,0,127.808,94.1652,85.7889,96.2931,170.473,10.4055,780.328,18.3803,0,267.166,173.285,187.66,184.463,185.074,9.33189,550.702,2.64532,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.58143,609.104,
61,841.028,1772.65,6686.64,0.474447,12.9431,0,569.021,84.7299,80.0133,88.0005,171.716,10.1846,756.04,15.9551,0,6297.57,154.749,185.593,170.524,205.787,8.94453,475.136,2.64532,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.58143,654.895,
62,827.406,1241.19,1154,0.666622,11.2601,0,141.52,73.7136,63.219,74.7393,157.495,9.72574,709.519,10.8457,0,593.054,131.807,121.097,134.649,185.193,8.37653,280.969,2.68568,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.58143,654.895,
63,827.406,1234.86,713.744,0.670042,12.0886,0,112.546,72.5535,58.5149,73.4697,158.866,9.79092,737.026,13.1458,0,110.246,109.177,66.9317,108.91,179.905,8.6608,345.497,2.68568,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.58143,654.895,
64,827.406,1727.93,3813.08,0.478842,11.6669,0,486.205,101.864,95.9284,103.964,181.386,9.91034,737.006,11.6155,0,3098.28,249.842,233.318,253.932,275.234,8.53307,361.125,2.68568,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.27312,654.895,
65,827.406,1368.82,1475.3,0.604467,13.223,0,157.285,78.6293,75.1843,80.8238,179.348,10.0174,774.307,17.5697,0,715.942,157.747,155.311,162.994,273.971,8.71465,481.72,2.68568,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.72673,654.895,
66,827.406,1400.95,1777.46,0.590602,11.4618,0,239.237,81.578,74.0606,82.5851,175.186,9.95619,726.888,11.1676,0,1324.66,148.57,134.647,148.937,253.16,8.69445,310.189,2.68568,0,1.38535,0.529328,0.580756,0.54885,21.5796,2.72673,654.895,
67,806.325,1293.19,1096.82,0.623515,12.2706,0,103.17,85.0672,77.3257,87.0223,167.778,8.90552,751.653,14.4225,0,176.205,176.984,182.447,181.809,257.239,7.57093,409.457,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.5796,2.72673,654.895,
68,806.325,1466.58,1944.32,0.549798,11.9057,0,249.186,90.4789,75.7855,91.8379,187.476,9.08102,750.833,12.9098,0,1185.25,206.682,165.45,209.618,290.45,7.46438,360.374,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.5796,2.72673,655.551,
69,806.325,1306.22,1365.17,0.617299,11.8645,0,99.5053,84.5023,97.6696,87.7185,154.654,8.61447,761.687,14.8941,0,181.201,184.87,357.716,197.145,230.107,6.96594,519.784,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.72673,655.551,
70,806.325,1304.72,1221.55,0.618008,13.4727,0,95.3729,79.8296,68.5231,80.9981,168.377,8.85346,789.291,20.4179,0,125.373,153.196,141.124,156.262,250.661,7.49727,566.842,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.72673,655.551,
71,806.325,1299.37,1652.13,0.620552,11.5284,0,177.188,75.0749,66.3502,76.0005,144.052,8.50155,740.672,13.4312,0,1066.04,142.897,157.073,144.074,181.236,7.17968,378.94,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.89811,655.551,
72,806.325,1402.07,1866.93,0.575095,12.3784,0,192.318,92.8044,79.1716,94.0589,163.608,8.62544,759.11,15.0697,0,1089.51,216.333,173.96,215.538,241.805,7.40601,400.412,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,655.551,
73,806.325,1618.27,4618.44,0.498264,11.2882,0,476.313,75.4789,85.7484,76.6612,153.923,8.74895,730.108,12.9053,0,4007.1,152.576,319.844,153.577,214.874,7.48473,329.106,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,597.864,
74,806.325,1324.51,1277.54,0.608772,12.3519,0,102.687,96.253,88.3286,97.3839,150.93,8.52663,768.049,16.1324,0,372.385,237.842,200.275,238.151,191.034,7.10919,432.726,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,655.551,
75,806.325,1293.11,1491.1,0.623554,11.6232,0,146.509,84.6449,62.5631,85.5744,157.066,8.54568,736.586,12.7313,0,831.587,200.996,131.872,202.796,245.144,7.1279,323.313,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,655.551,
76,806.325,1265.26,1292.19,0.637279,11.4822,0,88.7066,86.4172,79.1576,87.6245,155.161,8.31256,748.399,13.6813,0,113.858,208.912,198.877,211.466,244.005,6.97845,437.819,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,655.551,
77,806.325,1199.29,1046.58,0.672333,11.3628,0,103.785,71.5537,62.1213,72.3509,137.687,7.76901,732.664,13.8254,0,250.889,163.292,109.365,164.912,216.252,6.6531,349.216,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.84654,655.551,
78,806.325,1157.35,859.977,0.696698,10.4498,0,73.1352,77.7896,59.2969,78.9218,141.251,7.53844,708.971,8.73622,0,55.7661,196.575,131.555,198.47,204.776,6.16246,252.486,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.43579,655.551,
79,806.325,1496.33,4615.72,0.538867,11.0246,0,406.365,70.3016,67.0861,72.691,134.699,7.98551,726.183,12.1501,0,4194.72,144.249,169.039,153.691,199.258,6.89121,322.293,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.89811,655.551,
80,806.325,1156.74,1035.21,0.697065,10.464,0,84.5384,71.2146,57.388,72.3038,128.473,7.67024,724.691,10.9784,0,329.639,177.86,152.42,181.961,217.056,6.57013,373.69,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.89811,655.551,
81,797.912,1203.06,1165.78,0.663234,11.2235,0,90.9207,79.7237,64.7718,81.075,130.904,7.81731,736.626,14.2466,0,126.149,214.015,174.863,218.393,229.269,6.65386,401.263,2.68568,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.89811,655.551,
82,797.912,1222.68,1163.41,0.652595,12.0412,0,86.4416,84.9953,69.0735,86.0921,116.556,7.54502,759.932,16.9785,0,104.394,209.977,159.864,211.181,145.235,5.98522,470.845,2.68163,0,1.38535,0.520824,0.580756,0.54885,21.3878,2.89811,656.523,
83,797.912,4085.11,41892.1,0.195322,9.7784,0,3059.84,56.8653,55.4549,57.7288,136.718,7.86248,700.865,8.56376,0,41669.8,102.873,107.935,106.983,243.377,6.42853,212.865,2.68163,0,1.38535,0.520824,1.82249,0.54885,21.3878,2.89811,656.523,
84,797.912,1269.43,1620.51,0.628559,11.8752,0,92.9638,78.5309,68.3831,81.4487,140.363,8.21851,787.648,17.741,0,2969.74,203.751,221.734,213.494,224.044,6.93477,869.041,2.68163,0,1.38535,0.520824,1.82249,0.54885,21.3878,2.44483,656.523,
85,797.912,1151.33,1015.15,0.693035,10.4422,0,129.381,51.2207,44.468,52.1108,136.57,7.67328,719.464,10.4823,0,573.752,91.9463,51.7733,94.0842,250.183,6.15403,283.343,2.68163,0,1.38535,0.520824,1.82249,0.54885,21.3878,2.89811,628.735,
86,797.912,1557.51,3482.48,0.512301,11.8477,0,397.23,76.9096,65.4961,78.6764,157.981,7.75676,761.607,15.019,0,2682.6,194.225,177.695,200.025,301.7,6.41444,422.729,2.68163,0,1.38535,0.520824,1.82249,0.54885,21.3878,2.67938,656.523,
87,797.912,1185.99,1184.24,0.67278,11.3572,0,118.927,64.4079,53.4532,65.2238,125.94,8.13429,738.549,14.969,0,560.252,146.489,93.7292,146.694,217.037,7.04573,392.265,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89811,656.523,
88,797.912,1230.41,1714.58,0.648493,10.7694,0,79.9867,75.512,77.7189,77.5369,121.64,7.50195,779.744,12.4175,0,107.491,243.307,290.075,252.075,185.628,5.90817,832.139,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.82902,656.523,
89,797.912,1389.65,2904.18,0.574184,12.6313,0,304.559,55.6615,51.369,57.0185,124.863,8.03717,775.507,19.202,0,2195.73,156.905,107.615,159.63,222.181,6.79492,517.78,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89811,656.523,
90,797.912,1233.75,1907.13,0.646736,10.0029,0,200.074,66.1016,57.5349,67.3232,114.869,8.39128,709.456,7.9581,0,1398.65,197.845,157.967,202.581,198.731,7.33786,263.171,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89811,656.523,
91,797.912,1113.01,928.271,0.716896,10.955,0,80.3498,55.925,61.5045,56.6349,111.007,7.97721,728.656,13.2947,0,161.163,148.33,157.602,149.701,181.345,6.90369,348.273,2.68163,0,1.38535,0.520824,1.82249,0.54885,23.7804,2.5839,656.523,
92,797.912,1195.04,1345.83,0.667687,11.2537,0,81.2608,71.1906,75.4869,73.8141,128.5,8.00673,745.526,14.4463,0,93.6288,223.435,220.62,228.393,234.828,6.89535,437.138,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.55182,656.523,
93,770.487,1192.41,1156.62,0.646162,12.298,0,93.1506,66.5734,64.0645,67.4651,112.666,8.02136,768.167,17.1927,0,147.026,175.957,177.767,177.132,138.981,7.03584,487.276,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89811,656.523,
94,770.487,1173.7,1562.36,0.656463,11.2611,0,143.157,53.5997,47.9213,54.3085,122.497,7.34527,733.605,15.0531,0,889.702,150.752,104.235,150.335,247.988,6.21913,391.868,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89117,656.523,
95,770.487,1188.43,2260.55,0.648323,9.79598,0,211.616,56.0015,46.1789,56.6852,109.683,7.54553,690.926,8.32192,0,1937.2,158.121,71.2558,157.603,179.154,6.6439,184.574,2.68163,0,1.38535,0.520824,1.82249,0.54885,26.754,2.89811,656.523,
96,770.487,1242.24,1981.9,0.620242,11.5761,0,210.199,51.5258,53.6622,52.4219,111.149,7.63028,744.072,16.1832,0,1477.93,146.861,141.453,147.318,202.852,6.70574,435.923,2.68163,0,1.38535,0.520824,1.01536,0.54885,26.754,2.89811,656.523,
