Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,
258,731.517,1373.71,3957.03,0.532511,9.98568,0,393.764,37.5984,28.0748,38.3854,121.29,4.75495,739.86,15.3567,0,3280.87,168.612,128.788,169.603,304.766,3.20734,403.769,4.44499,0,0.68414,0.62648,0.205378,0.797909,38.5524,2.94596,656.387,
259,731.517,1071.57,1967.55,0.682662,9.35605,0,132.32,39.4014,32.897,40.5627,91.1342,4.67549,721.218,12.6679,0,1364.48,176.249,127.316,178.881,194.78,2.92585,324.355,2.61008,0,0.68414,0.62648,0.205378,0.797909,38.5524,2.61236,656.387,
260,731.517,1291.78,2840.43,0.566285,10.0357,0,278.025,43.1895,45.3012,44.3453,108.81,5.33673,756.737,15.3247,0,1977.97,214.292,214.584,217.64,261.423,5.23635,441.959,4.44499,0,0.68414,0.62648,0.205378,0.797909,38.5524,2.91346,656.387,
261,731.517,1186.66,1950.16,0.616447,10.5795,0,96.5318,53.703,61.9587,56.4505,111.39,5.02888,791.022,16.5459,0,915.196,235.522,281.6,245.604,262.23,4.13878,566.855,4.44499,0,0.68414,0.62648,0.205378,0.797909,38.2509,2.94596,656.387,
262,731.517,1064.48,1328.3,0.687205,10.0027,0,23.8799,56.0711,57.0964,58.0967,101.133,5.09366,753.108,14.0907,0,100.517,222.075,248.369,229.337,239.037,4.39156,430.412,4.44499,0,0.68414,0.62648,0.205378,0.797909,38.5524,2.94596,656.387,
263,731.517,1061.81,1319.39,0.688936,9.55697,0,36.4886,51.573,59.0169,53.0222,105.533,4.74077,741.874,13.0688,0,130.767,211.818,279.113,215.215,247.351,3.0026,384.049,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.55386,656.387,
264,731.517,968.404,1243.04,0.755384,8.22808,0,78.6181,32.2601,28.2586,33.286,84.9559,4.71518,698.081,7.9894,0,712.913,143.378,140.719,145.841,196.728,3.39959,221.053,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.80284,656.387,
265,731.517,1168.93,1793.91,0.625799,10.5225,0,120.896,53.7016,46.3053,55.185,108.662,5.21522,768.444,16.5958,0,1062.94,220.982,191.07,220.731,247.549,4.32532,473.258,4.44499,0,0.68414,0.635364,0.205378,0.810187,37.6515,2.94596,656.387,
266,731.517,1085.88,1622.7,0.67366,10.2624,0,69.206,54.8932,49.5453,57.0534,88.9128,4.69942,751.312,16.7759,0,426.557,245.784,225.458,252.777,196.693,2.93197,457.515,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.387,
267,731.517,1009.38,1177.98,0.724721,9.70191,0,39.7233,49.8728,26.0399,50.6265,98.8411,4.69709,729.875,13.8715,0,158.675,214.661,133.487,215.776,245.252,3.02065,343.412,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.54438,656.387,
