Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
121,177.848,405.814,1194.87,0.438249,8.18174,74.2924,15.8385,33.2535,16.4958,5.1003,75.4322,74.455,0,2.6039,4.55143,95.6096,40.1711,424.574,11.7948,10.7966,18.5891,1.9675,426.688,142.149,0,1.57458,16.4949,191.4,1.25501,0.62691,4.60439,8.37364,12.7159,4.65119,1.49408,44.194,0,1.39733,1.31797,56.0087,
122,175.698,420.109,1090.77,0.41822,11.7919,71.1076,17.2012,32.1305,27.4727,5.09117,72.2877,67.7244,0,2.772,8.65816,103.871,50.5297,395.128,18.4448,4.08091,61.6868,2.76765,397.756,158.246,0,2.42021,35.4981,240.843,1.25501,0.62691,8.2975,11.2282,12.7159,2.46692,1.49408,27.5754,0,1.89809,1.31797,56.9,
123,175.698,366.067,1004.91,0.479961,10.3905,54.6764,13.6843,34.9625,18.2894,5.32264,55.7397,59.05,0,2.41837,4.96136,106.572,43.6989,368.459,6.62022,22.7461,31.6411,2.86488,371.041,94.4243,0,1.15432,17.5892,230.365,1.25501,0.62691,5.1187,9.21675,12.9739,4.66887,1.49408,28.3192,0,0.247722,1.31286,56.3675,
124,175.698,433.196,1074.22,0.405585,14.3606,69.5757,14.6109,33.8144,22.335,5.50402,70.5916,64.1413,0,2.69353,8.33266,127.236,55.9142,368.372,9.90021,17.493,37.2092,3.48079,370.136,107.134,0,1.87362,24.3422,282.798,1.25501,0.62691,8.10222,3.76507,13.016,0.792776,1.49408,28.9635,0,0.467242,1.31286,56.3675,
125,175.698,494.761,1241.54,0.355117,19.4195,87.3051,13.772,57.7613,22.4978,5.34976,88.2015,81.0894,0,2.76959,5.83202,110.763,75.3812,399.438,8.61313,209.885,34.5387,2.59964,399.968,185.37,0,2.16226,18.0911,222.412,1.25501,0.62691,7.78726,1.83225,13.016,2.4081,1.49408,24.1463,0,1.95286,1.31286,56.3675,
126,175.335,356.547,1091.32,0.491759,11.9239,54.8597,13.5157,32.7341,21.4411,4.82477,56.049,74.8325,0,2.5411,8.2163,75.6093,58.3847,370.717,10.9023,24.9327,51.8917,0.810551,373.876,172.139,0,0.984798,40.6588,113.166,1.25501,0.62691,7.20661,15.1107,10.7807,4.29372,1.49408,43.8932,0,1.95286,1.31286,54.9912,
127,175.335,353.633,974.289,0.495813,13.6511,37.5013,13.366,34.0317,18.8125,5.38968,38.2028,71.7144,0,2.56592,6.10418,112.293,61.5701,245.532,14.5277,18.6677,31.0021,3.28838,247.13,159.877,0,1.30789,21.1025,273.093,1.25501,0.62691,7.20661,6.76451,13.406,4.67116,1.49408,31.7394,0,0.894087,1.31286,56.3675,
128,175.335,419.012,1172.5,0.41845,11.3701,75.4733,13.9399,36.7812,20.7297,4.99197,76.5747,86.9445,0,2.74893,5.76602,83.6915,42.3881,427.72,15.9272,42.2535,32.5366,1.81195,430.133,214.418,0,1.84761,19.5453,116.928,1.25501,0.649508,7.20661,0.462978,13.4913,2.04562,1.51098,28.4719,0,0.304436,1.31286,56.1304,
129,175.335,440.008,1213.74,0.398483,11.0663,75.233,12.4064,63.4486,16.9802,5.06456,76.2683,80.9809,0,2.59834,4.42277,91.5386,52.6484,406.859,9.19912,311.622,20.7577,1.76419,409.092,182.484,0,1.30982,16.4119,170.727,1.25501,0.649508,2.45377,8.47309,13.5589,4.70195,1.11254,32.6133,0,0.331128,1.31286,30.8347,
130,171.527,409.29,1074.09,0.419085,10.8597,67.6192,12.8535,41.4466,17.8777,5.2772,68.6094,74.0578,0,2.77561,5.21866,102.694,40.4079,392.824,11.4155,95.4157,16.8174,2.69435,394.023,166.417,0,1.8257,15.7264,229.349,1.25501,0.648143,6.16918,8.83679,13.5589,4.70545,1.48055,32.9427,0,2.20356,1.31797,54.7977,
131,171.527,323.345,726.565,0.530477,11.5295,21.7595,13.0775,33.7051,20.9849,5.52726,22.5773,73.1245,0,2.84412,7.61136,110.604,48.7885,177.739,16.0609,13.5516,35.1731,3.53719,175.676,166.198,0,2.13165,26.5726,254.08,1.25501,0.586834,6.16918,11.5494,13.5589,4.70356,1.39685,26.1857,0,2.20356,1.29265,56.1304,
132,171.527,590.601,1513.13,0.290428,17.8702,104.699,13.6696,64.943,22.2762,5.55928,105.672,112.928,0,2.77144,5.63245,134.58,63.1718,477.816,14.7126,325.796,39.4101,3.40173,479.313,253.917,0,1.87415,13.923,293.107,1.31667,0.586834,6.16918,6.19475,13.6268,2.65398,1.39685,44.7512,0,1.19836,1.29265,56.1304,
133,171.527,294.58,769.022,0.582277,7.23273,26.1461,11.408,34.0075,21.3143,4.89202,26.9941,77.1333,0,2.59828,7.44157,75.4121,33.8392,211.547,7.55057,33.3051,48.9118,1.34129,212.607,193.476,0,1.26047,33.8378,126.638,1.31667,0.586834,6.16918,14.2684,13.5891,0.36832,1.39685,44.7512,0,2.20356,1.29265,56.1304,
134,171.527,241.441,638.618,0.710431,3.78162,26.3909,10.1873,32.573,17.2102,4.77889,27.2397,49.2854,0,2.49116,3.22002,64.2829,20.5429,248.602,3.56053,3.54818,29.6537,0.117104,249.641,39.9033,0,0.942267,11.1168,51.3087,1.30825,0.586834,6.16918,0.282361,13.5891,4.70356,1.39685,44.7512,0,2.20356,1.29265,55.9017,
135,171.527,348.179,940.922,0.492641,10.5727,44.2696,12.8551,33.6987,18.9132,5.2101,45.0009,76.2571,0,2.60101,5.51376,93.2869,51.1971,287.262,18.1061,10.8708,32.6127,2.40691,287.305,179.568,0,1.31384,19.7392,207.257,1.30825,0.586834,6.16918,7.16025,13.5891,4.70356,1.39685,30.855,0,1.91468,1.29265,56.3041,
136,170.622,342.784,840.705,0.497753,10.6369,30.7556,10.2613,34.6243,21.46,5.22261,31.5388,89.1923,0,2.44606,7.49403,99.1523,43.3213,206.824,6.75027,18.6568,40.6036,2.55402,207.438,219.876,0,1.12335,25.2869,215.673,1.30825,0.578433,1.75456,11.7808,13.5891,2.85978,1.32229,30.7161,0,0.128504,1.29265,56.909,
137,170.622,325.462,930.674,0.524244,11.8858,45.4474,9.99619,35.0677,16.0628,4.88409,46.3987,76.4431,0,2.45259,2.86719,73.9568,61.3026,336.221,6.00292,25.5861,15.0131,1.00537,338.29,178.098,0,0.609459,5.46279,92.7533,1.30825,0.578433,3.33668,12.5412,13.5891,3.36705,1.32229,44.7512,0,0.434943,1.29265,56.909,
138,170.622,349.23,983.493,0.488565,9.92646,54.9797,10.806,34.3813,18.3789,5.01401,56.0833,70.5049,0,2.59337,5.9034,80.6589,50.7355,377.65,10.2766,15.5205,29.3753,1.40297,380.595,138.869,0,1.35085,20.8316,129.468,1.28638,0.578433,6.16918,11.0807,13.5891,4.01629,1.32229,24.1861,0,0.512059,1.29265,56.3552,
139,170.622,422.596,1352.24,0.403747,12.5258,85.2865,11.9448,33.4865,21.8147,5.14991,86.5792,64.5097,0,2.67871,4.86734,93.753,54.6738,485.945,20.9519,14.087,44.9013,2.15198,489.309,134.089,0,1.88237,17.7694,188.346,1.30801,0.570086,4.15959,2.80243,13.6945,4.70356,1.29022,30.6996,0,1.64006,1.29265,56.789,
140,170.622,331.879,875.598,0.514108,8.37326,41.2644,9.48854,33.4213,18.0111,5.27793,42.1398,61.4141,0,2.75219,7.16978,102.567,39.8811,274.452,6.1084,12.2732,22.7729,2.62046,275.523,112.417,0,1.78048,26.338,237.009,1.30825,0.570086,5.36254,10.7541,13.7271,4.74669,1.29022,40.7334,0,1.11308,1.35818,56.789,
141,170.622,361.687,1039.14,0.471739,8.14866,42.2906,12.6466,36.0477,20.1118,5.15689,43.2024,96.153,0,2.75482,6.30271,88.8716,35.7294,276.043,23.5655,33.8976,40.1869,1.97003,277.144,244.957,0,1.53817,29.1364,179.3,1.30825,0.570086,5.36254,7.82088,13.6887,4.75508,1.29022,45.648,0,2.22979,1.35818,56.789,
142,170.622,262.382,519.224,0.650281,8.8108,27.2251,10.3028,32.9212,20.7977,4.75735,27.9543,59.2202,0,2.6571,6.6084,61.1268,46.7066,169.894,16.4404,4.36605,43.4776,0.614545,169.906,100.144,0,1.36004,30.9233,39.6903,1.30998,0.543647,5.36254,22.9068,13.8413,0.195196,1.29022,31.3304,0,2.238,1.35818,35.1383,
143,170.229,400.737,1026.61,0.42479,9.13329,48.9889,10.6614,32.6525,21.5598,5.41723,49.7652,98.9427,0,2.8448,6.07134,114.7,34.6147,284.839,16.7093,6.43968,37.1008,3.17173,285.196,226.166,0,1.91075,20.4746,270.633,1.30998,0.543647,5.36254,8.75953,13.8413,4.75965,1.29022,45.6316,0,1.23085,1.05129,56.789,
144,170.229,441.878,1307.5,0.385241,14.8472,80.2458,10.3719,32.4034,24.6348,5.11079,81.2725,91.169,0,2.86643,7.62341,91.3327,66.3394,419.005,17.412,4.9589,50.1898,1.92096,421.152,229.544,0,2.58628,27.9699,198.463,1.30998,0.543647,5.07709,9.18206,13.8413,4.75992,1.29022,31.4911,0,0.821104,1.35818,50.4444,
145,170.229,314.557,834.123,0.541172,9.2066,21.4755,7.58718,32.1382,15.7633,5.46549,22.2211,82.2195,0,2.43256,2.53692,113.51,52.7312,209.85,6.57823,3.84296,11.7878,3.94892,209.998,209.259,0,0.826799,4.66135,315.891,1.30998,0.543647,4.78785,8.54842,14.0656,4.75992,1.29022,45.6316,0,0.471938,1.35818,56.6386,
146,170.229,360.964,905.959,0.471596,16.9426,32.0314,9.56298,32.5568,22.5334,5.43866,32.7946,85.3184,0,2.6302,7.59988,113.556,75.0114,216.753,15.7873,4.72173,48.0981,3.62984,216.814,184.054,0,2.16927,34.5344,298.689,1.30998,0.51801,4.78785,8.70825,14.1311,2.42225,1.23542,45.6316,0,0.595244,1.40778,56.6386,
147,169.948,289.112,803.023,0.587827,7.04689,21.8722,7.39128,33.0696,16.8012,5.25904,22.6228,74.0524,0,2.54116,3.22638,95.229,35.497,200.91,8.91159,7.91492,17.4141,2.958,201.103,194.049,0,1.36232,9.21456,241.65,1.32414,0.51801,4.78785,8.77714,14.1311,4.76356,1.23542,40.3448,0,1.678,1.40778,56.6386,
148,169.948,417.773,1301.58,0.406795,5.30572,74.4892,7.87596,33.179,19.9879,5.10945,75.6467,95.9537,0,2.5724,5.73022,91.9223,22.4204,433.412,10.9624,10.3186,29.822,2.06872,430.52,249.091,0,1.61904,20.6303,192.774,1.31888,0.51801,1.48393,7.43354,14.1311,2.31805,1.23542,45.6316,0,0.498699,1.40778,56.6386,
149,169.948,447.634,1369.71,0.379658,11.4996,94.6982,7.70119,31.9104,25.1671,5.27338,95.7782,62.7006,0,2.47427,2.59408,107.837,57.1412,471.239,9.7306,4.58447,55.1275,2.62714,473.279,118.321,0,1.18638,4.5595,251.717,1.3073,0.513353,4.3012,8.46212,14.1311,4.77057,1.22076,31.4535,0,2.1308,1.40778,56.6386,
150,169.43,536.027,1483.55,0.316085,19.191,101.457,11.1579,31.6743,24.9363,5.63391,102.887,87.0574,0,3.09851,11.2559,137.678,71.819,496.859,21.6779,5.38757,45.1112,4.03666,500.693,180.275,0,3.51308,39.0893,342.519,1.3073,0.513353,4.3012,8.53588,14.1998,4.77057,1.22076,31.9174,0,1.97247,1.40778,56.6386,
151,169.43,282.031,633.179,0.60075,12.01,17.441,7.58235,32.5715,18.7858,5.02743,18.1522,82.3099,0,2.34591,4.10283,81.7017,61.5869,141.869,13.0907,2.5344,35.7276,2.60243,142.535,209.524,0,0.994206,17.2818,200.742,1.3073,0.513353,4.3012,11.5975,14.263,0.169298,1.22076,45.6316,0,1.41141,1.40778,56.6386,
152,169.425,311.548,872.745,0.543818,10.559,31.8136,8.38352,34.1375,20.3535,5.05686,32.5071,78.8442,0,2.42765,4.79426,82.6704,51.1858,224.16,14.5615,13.3638,36.8408,2.01945,224.132,199.402,0,1.09659,15.4419,161.44,1.3073,0.457325,4.3012,9.45341,14.263,0.248891,1.08463,28.4905,0,0.534682,1.40778,56.6386,
153,169.181,262.307,467.135,0.644975,6.03956,2.78047,6.76452,35.5091,18.9239,5.43883,3.45952,72.7749,0,2.45461,3.88095,104.281,25.2461,31.369,6.86757,27.6727,30.608,3.65866,31.3317,155.009,0,1.02263,13.7748,278.498,1.3073,0.457325,4.3012,11.4779,12.6532,4.76774,1.08463,45.7493,0,2.23948,1.40778,56.6386,
154,169.181,404.998,1181.6,0.417734,13.72,74.2595,7.15873,31.8924,17.7599,5.19044,75.0529,68.8417,0,2.71896,4.33593,104.067,62.2423,371.867,7.80438,5.65638,23.0952,2.32808,362.699,150.322,0,2.03349,16.4372,233.927,1.3073,0.457325,3.48716,8.54927,13.9835,4.76223,1.08463,24.4231,0,2.26043,1.40729,56.7542,
155,168.547,414.153,1114.75,0.406967,11.518,66.6217,8.99425,36.3048,19.7207,5.40448,67.5785,77.7792,0,2.65505,4.75837,112.818,50.1776,391.014,18.4197,35.182,23.88,3.16715,393.255,139.127,0,2.25461,11.9563,253.57,1.3073,0.457325,3.37949,9.21893,14.3269,4.71578,1.08463,46.0339,0,1.76539,1.40778,56.6674,
156,168.537,393.229,1201.36,0.428598,9.88236,64.069,8.76376,32.1653,24.0711,5.23289,64.9549,78.2578,0,2.50587,4.68113,98.645,48.8355,387.967,18.7429,4.60436,54.481,3.18398,389.596,171.846,0,1.2463,17.7743,257.702,1.3073,0.457325,3.37949,10.7266,14.3269,0.525002,1.08463,45.8823,0,2.23862,1.40778,57.0523,
157,168.537,350.334,1075.43,0.481076,9.64296,59.7133,7.28638,32.2196,15.1794,4.93646,60.6817,74.1498,0,2.51766,2.7002,81.3065,53.0648,374.603,12.1611,3.1314,9.92241,1.57016,377.05,194.279,0,1.24796,6.01722,158.976,1.29901,0.457325,3.37949,9.24823,13.985,1.30653,1.08463,44.8088,0,2.24423,1.40778,56.925,
158,168.537,487.374,1272.08,0.345807,17.2604,85.3041,7.76937,32.4654,26.4456,5.45661,86.3121,100.908,0,2.65194,7.65752,115.143,66.366,420.685,11.7046,5.55264,50.7021,3.25083,423.043,231.85,0,1.85931,27.9088,260.772,1.3073,0.457325,3.37949,8.79387,14.3281,4.77057,1.08463,45.8823,0,0.537886,1.40778,56.925,
159,168.537,383.696,1123.56,0.439247,10.5641,64.7535,8.89343,32.397,21.1174,4.86268,65.631,87.3364,0,2.77567,5.39174,79.9731,45.2645,369.345,17.7873,4.76711,40.1663,1.0702,371.396,215.006,0,2.12196,17.3636,119.867,1.3073,0.466049,3.37949,8.85555,14.3757,2.15709,1.11137,41.2559,0,2.24423,1.40778,56.3264,
160,168.432,388.226,1083.56,0.433852,10.2672,59.7185,8.47026,37.442,21.5222,5.16111,60.7369,89.9199,0,2.58714,4.62276,87.7778,40.2406,384.446,19.8048,45.3884,36.9148,2.14143,387.345,221.524,0,1.86519,13.7757,161.577,1.3073,0.466049,3.37949,8.6683,14.3757,4.5804,1.11137,30.0471,0,0.225074,1.42963,56.8763,
161,167.994,343.705,1022.42,0.488774,13.3578,53.9794,6.5901,33.9406,23.2665,5.18379,54.9517,55.4064,0,2.5761,5.63898,88.8135,60.6444,374.144,10.9642,13.9855,46.5856,2.29139,376.889,73.8076,0,1.66102,20.6825,171.64,1.3073,0.466049,3.27554,7.90873,14.3757,4.49161,1.11137,28.5538,0,1.26673,1.42963,56.8763,
162,167.889,434.208,1095,0.386656,18.6612,60.2171,8.32817,40.2988,26.1802,5.44075,60.868,90.1625,0,2.65382,7.01207,114.385,69.7252,303.029,17.4615,55.2342,60.4724,2.98898,303.052,193.356,0,1.90154,23.3693,242.009,1.28077,0.466049,3.27554,9.04311,13.9554,0.389581,1.11137,31.5809,0,0.932426,1.42963,56.925,
163,167.889,251.397,469.116,0.667826,6.13619,4.36732,6.41498,32.5693,20.8669,5.40149,5.01492,59.2539,0,2.43498,6.05297,102.884,33.7489,60.4476,13.3736,8.4592,40.061,3.50487,59.2107,98.192,0,1.07554,27.7575,268.34,1.28077,0.466049,3.27554,11.453,14.3757,4.75793,1.11137,31.7545,0,2.24423,1.26093,56.925,
164,167.53,345.878,1111.34,0.48436,5.17961,54.5389,5.71176,32.7158,22.9035,5.09106,55.4862,73.4022,0,2.44909,3.89236,84.5076,32.6462,382.337,10.1876,5.03405,46.9751,2.14525,384.625,166.586,0,1.10808,13.9116,169.017,1.28077,0.501723,2.27642,8.81516,14.2333,4.04889,1.16608,46.1537,0,1.1351,1.42963,56.925,
165,167.53,262.364,538.757,0.638539,4.20474,12.2493,5.93185,36.5955,18.4525,5.15018,12.9082,79.2486,0,2.54056,3.05329,82.0294,18.2559,118.672,11.1066,41.1977,28.8901,2.65762,118.879,191.1,0,1.33562,7.63799,201.616,1.28077,0.501723,2.86822,11.4693,14.3933,4.77212,1.16494,46.1537,0,2.26008,1.42963,28.3506,
166,167.53,804.033,4613.98,0.208361,12.7866,38.5737,7.70427,472.654,22.3068,5.35549,39.211,94.3162,0,3.09189,4.26605,103.768,53.2894,234.55,19.6115,4398.04,32.1964,3.22809,234.572,226.357,0,3.31428,11.6577,245.705,1.27143,0.494574,2.86822,8.51883,14.4294,1.33961,1.1204,31.8485,0,2.26804,1.43143,56.8014,
167,167.53,347.634,928.853,0.481914,10.0699,43.4742,5.84111,34.521,23.1217,5.26248,44.1834,78.1118,0,2.44405,7.33965,93.2642,40.2615,276.674,9.09748,132.841,46.3796,2.28251,277.73,172.865,0,1.19173,29.4514,192.949,1.27143,0.494574,2.86822,8.66297,14.4809,4.77039,1.1204,28.2902,0,1.16446,1.43143,42.7088,
168,167.469,281.128,781.128,0.595702,7.17367,24.1887,5.92149,40.6227,20.8968,5.16181,24.8141,62.4793,0,2.60391,5.05033,82.2157,35.6036,210.266,14.9896,72.0095,36.5888,2.19657,210.149,114.447,0,2.19955,18.4561,169.131,1.28077,0.494574,2.86822,6.70916,14.4954,4.76797,1.1204,30.6584,0,1.84587,1.33054,55.9867,
169,167.241,255.052,397.1,0.655714,13.4247,6.39386,5.99052,35.7491,23.95,5.25531,7.04996,68.2872,0,2.59661,7.45251,78.902,56.6966,32.265,12.1662,17.3177,45.2878,2.2025,32.3665,108.197,0,1.75362,26.8164,105.775,1.28077,0.474397,2.86822,30.6044,14.5258,4.76797,1.11771,46.1847,0,1.5486,1.33054,56.8518,
170,167.241,423.936,1027.65,0.394496,14.4633,48.5776,5.36778,33.103,26.7391,5.77862,49.2485,102.305,0,2.27617,9.16191,126.915,53.6276,259.848,6.94803,9.34853,50.5515,3.98368,260.103,234.403,0,0.411876,29.7348,296.045,1.28077,0.474397,0.873276,9.6515,14.5237,4.76797,1.11771,46.1847,0,0.429537,1.33054,28.0837,
171,166.973,312.223,632.851,0.534788,10.8984,24.9009,6.26446,34.1913,21.2473,4.93401,25.5066,104.06,0,2.65354,4.91818,72.648,50.0047,141.669,15.4913,13.8513,34.047,1.57934,141.621,259.107,0,2.23761,16.1117,91.6053,1.28077,0.474397,2.83857,17.2645,14.5237,1.13849,1.11771,46.1847,0,1.87524,1.33054,57.0229,
172,166.973,499.201,1448.07,0.33448,12.1863,96.2209,7.68211,32.3704,27.5761,5.31448,97.1672,98.7536,0,2.81409,10.9834,108.133,47.9939,466.789,22.5849,8.10354,56.5149,2.69043,468.383,236.713,0,2.50332,38.1467,244.123,1.28077,0.474397,2.83857,2.00323,14.5237,1.79742,1.10531,42.6686,0,2.05842,1.32158,57.0665,
173,166.973,347.86,831.321,0.48,16.2484,33.7094,6.19536,33.278,29.603,5.37252,34.307,78.0053,0,2.57688,9.12094,99.4434,68.4516,228.784,11.7382,6.53896,65.9968,3.16561,228.766,175.835,0,1.67185,37.5592,255.13,1.30944,0.45158,2.83857,7.30235,14.5567,4.66459,1.07693,27.8775,0,0.369207,1.32158,52.5964,
174,166.973,501.297,1544.15,0.333082,7.25878,59.3734,6.36398,148.697,24.2264,5.34191,59.9991,78.2526,0,2.42746,7.67837,101.678,28.3001,295.728,15.457,1166.89,48.0731,2.86595,295.828,166.112,0,0.983147,28.9736,236.115,1.31919,0.44664,2.82442,9.26608,14.5567,4.76797,1.06517,43.1868,0,0.687441,1.32158,34.7299,
175,166.973,432.442,1406.67,0.386117,8.60337,93.8025,7.05746,32.0979,26.638,4.91895,95.0563,76.2744,0,2.66678,6.10578,79.2206,38.6736,522.592,19.9563,116.13,58.6241,0.960332,524.367,177.157,0,2.34404,24.9979,123.691,1.31919,0.44664,2.73033,1.13978,14.5567,3.13956,1.06517,32.7858,0,2.264,1.32158,56.7489,
176,166.973,321.316,882.844,0.519654,11.3343,23.6869,5.38689,34.5748,23.7405,5.33297,24.3056,87.3191,0,2.45541,5.13088,98.0484,57.3331,214.779,11.8404,20.3696,46.5309,2.922,215.055,231.891,0,1.32077,19.2226,233.399,1.32005,0.44664,2.73033,8.86608,14.5567,4.77349,1.06517,40.4352,0,0.415541,1.32158,57.0665,
177,166.973,471.511,1380.77,0.354123,14.2233,89.9303,9.62197,32.8333,24.747,5.46448,91.1154,76.1612,0,2.82208,8.74699,115.845,56.9221,497.296,27.3631,8.95544,54.7476,3.74613,500.912,178.477,0,2.54209,33.279,293.347,1.32005,0.44664,2.73033,9.60869,14.5716,4.77349,1.06517,28.4444,0,2.264,1.32158,42.7018,
178,166.973,319.622,827.784,0.522408,10.152,33.8392,4.15799,35.5485,20.5196,5.22271,34.4442,78.3088,0,2.49216,4.16594,90.7706,47.4726,238.293,7.61727,21.3018,30.7815,2.32331,238.42,197.941,0,1.64555,12.3653,173.984,1.31252,0.44664,1.4382,8.58915,14.5716,2.86836,1.06517,28.6262,0,0.189819,1.32158,57.0665,
179,166.699,264.346,781.289,0.63061,6.36656,22.7973,4.23433,32.7539,20.5791,4.99603,23.4181,68.3998,0,2.36457,4.03506,74.4017,35.0423,206.574,8.62338,5.15499,40.0048,1.66712,206.548,160.046,0,0.799741,17.8692,150.652,1.31252,0.45158,2.60992,8.8529,14.5716,4.77349,1.06914,46.1704,0,1.2228,1.32158,57.0665,
180,166.699,286.367,864.8,0.582118,6.15608,33.8401,5.10196,36.9794,18.8563,4.97505,34.7628,68.3884,0,2.6026,3.29639,71.4079,30.231,321.927,11.9884,37.9835,24.3877,1.27194,325.023,127.396,0,1.82019,9.78302,77.2371,1.28555,0.45158,2.60992,20.6207,14.6239,4.76478,1.04738,46.1704,0,2.25243,1.29704,57.0665,
181,166.699,425.671,1007.92,0.391616,13.1892,38.4965,8.01129,35.2998,32.9346,5.976,39.058,94.8215,0,2.69204,10.4269,144.765,49.4884,235.929,21.9024,22.803,70.1325,4.35218,235.783,225.386,0,1.84399,35.7157,340.579,1.30019,0.45158,2.59077,6.92283,14.6248,4.76478,1.04738,30.1967,0,1.70543,1.29704,57.0665,
182,166.699,460.369,1297.28,0.3621,8.09749,103.247,5.27331,32.5374,21.8355,5.06735,104.441,80.5573,0,2.5924,5.70376,91.0169,32.0331,521.518,11.2866,7.72937,41.641,2.36419,525.019,153.959,0,1.80806,23.1112,149.208,1.30019,0.429052,1.13007,3.30551,14.6241,1.07569,1.00464,32.0785,0,0.926891,1.29433,57.1701,
183,166.699,371.362,1020.34,0.448887,14.9956,42.8165,4.74805,33.7056,24.568,5.46531,43.4529,82.2358,0,2.4978,5.4971,111.379,69.3567,277.446,10.7585,13.9974,46.4772,3.14356,277.809,209.85,0,1.55662,17.6524,265.329,1.30019,0.429052,2.59077,9.29982,14.6248,4.76714,1.00464,40.4019,0,0.924521,1.29223,56.757,
184,166.699,289.841,537.369,0.575141,7.72271,22.6497,5.34186,35.7689,22.529,5.05162,23.2122,87.7477,0,2.66604,5.65803,71.4933,25.9924,123.135,14.101,18.4869,38.2817,1.48118,123.066,207.774,0,2.58608,17.0823,75.2826,1.27401,0.429052,2.58115,26.8782,14.6391,3.29072,1.00464,40.0572,0,0.374868,1.29223,57.1821,
185,166.68,352.461,1098.86,0.472903,11.3597,47.3249,4.29566,31.8746,15.6485,5.26445,47.9967,82.2854,0,2.57938,2.3417,101.49,58.7836,314.172,10.376,4.3433,10.0966,2.8857,314.743,209.558,0,2.21892,4.36194,255.024,1.27401,0.429052,2.50981,3.27366,13.3367,4.76714,1.00464,46.1503,0,1.49136,1.29223,57.1412,
186,166.483,567.536,1543.79,0.293344,18.6082,113.634,6.41676,39.2612,29.418,5.46031,114.866,110.797,0,2.79948,7.74289,118.53,63.1668,549.308,14.0379,65.8878,59.0989,3.18865,552.916,269.244,0,2.31667,26.2845,260.989,1.27401,0.429052,2.50981,1.81077,14.6391,2.56542,1.00464,32.6959,0,0.598241,1.29223,57.1412,
187,166.483,405.064,1148.43,0.411004,13.0813,75.9689,4.13521,35.4215,22.4773,4.99698,76.9684,80.6886,0,2.3978,5.62074,83.3077,53.7041,424.505,7.5206,33.7063,40.6297,1.68974,427.113,175.745,0,1.15806,22.7748,150.339,1.27866,0.429052,2.50981,1.29421,14.6391,0.465579,1.00464,46.1503,0,1.43299,1.29223,57.1412,
188,166.382,286.384,479.957,0.580975,12.4211,6.35431,4.28819,39.26,21.2816,5.36311,6.91774,84.4845,0,2.49386,5.96947,97.5503,54.1902,77.4581,6.10521,37.9602,32.4401,2.87342,77.7813,193.952,0,1.49383,18.863,201.847,1.26097,0.429052,2.38913,13.0265,14.6651,2.35344,1.00464,31.806,0,0.491442,1.31578,57.1412,
189,166.382,458.111,1173.14,0.363192,11.0837,82.8977,5.50486,33.3783,22.5516,5.5132,83.5719,82.9554,0,2.47428,8.84294,119.337,41.6953,369.338,18.3675,15.3559,42.9631,3.00502,369.776,178.807,0,1.48312,29.567,275.834,1.27866,0.429052,2.38913,8.692,14.6603,4.76905,1.00464,28.3493,0,0.70959,1.30938,57.1412,
190,166.382,322.517,1027.37,0.515887,7.72803,55.1847,3.40181,34.028,21.6523,5.01905,56.0487,52.4892,0,2.42535,4.0464,80.4931,42.6274,391.602,4.48616,18.4034,46.0871,1.99309,393.883,59.9159,0,1.09515,15.2396,164.12,1.27866,0.429052,2.38913,9.06585,14.6462,1.20116,1.00464,30.8188,0,1.21312,1.37538,57.1412,
