Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
74,194.588,357.88,930.819,0.543724,9.73989,43.8733,23.3553,32.8853,18.0951,5.02705,44.8819,74.7397,0,2.15084,6.66947,96.4618,12.4899,275.26,7.54791,6.05804,28.1209,2.14143,275.898,175.123,0,1.55,19.3242,183.134,1.30026,0.89335,18.7118,9.18283,12.3827,4.49179,2.08044,39.4596,0,0.234195,1.57296,52.8994,
75,194.588,431.049,1161.62,0.451428,14.7018,73.9024,23.9549,32.6952,20.0652,4.94184,75.3419,77.4589,0,2.35414,9.07898,96.5536,40.5911,409.827,9.15423,4.6479,36.5943,1.79138,412.83,199.154,0,2.53657,34.2871,162.401,1.30026,0.89335,18.7118,10.5961,12.3827,3.60378,2.08044,32.6315,0,0.234195,1.57296,53.4137,
76,194.588,393.234,936.998,0.494839,18.3778,60.0924,24.1466,34.5137,18.6058,5.08136,61.0192,62.3293,0,2.30085,4.22023,102.546,58.6198,303.729,18.429,21.6517,24.7297,2.40665,303.837,101.639,0,1.89624,7.18844,202.5,1.43029,0.89335,18.7118,8.52005,12.3827,1.73291,2.08044,31.3377,0,0.372814,1.40514,53.4137,
77,194.588,443.553,1053.95,0.438702,19.6143,41.8638,25.6403,34.1845,28.0615,5.52208,43.0165,105.256,0,2.39315,10.9238,127.076,50.7667,332.556,18.8781,11.6979,58.2829,4.21939,333.811,269.617,0,2.56641,32.1987,297.367,1.43029,0.89335,18.7118,10.6813,12.3827,1.17075,2.08044,33.3897,0,0.138304,1.57296,53.4137,
78,194.588,465.751,1427.43,0.417793,14.9838,99.8103,23.118,32.7071,20.7319,4.81421,101.565,71.8592,0,2.20893,6.71787,87.2343,42.3703,544.324,8.42196,5.1782,39.3095,1.09348,549.278,168.819,0,2.49772,19.5963,125.237,1.43029,0.89335,13.4667,9.87992,12.3827,4.39011,2.08044,28.4347,0,0.080922,1.55978,50.8185,
79,194.588,377.755,1026.46,0.515116,14.3731,44.7428,24.3161,35.4759,17.4975,5.10105,45.6705,82.8773,0,2.35591,4.05219,101.292,41.6182,290.196,14.6197,22.5052,21.8478,2.34152,290.515,205.186,0,2.5767,6.29624,196.371,1.43029,0.720899,17.8661,7.77077,12.3827,4.41323,1.71322,39.4596,0,0.372814,1.55978,53.4137,
80,194.588,361.383,822.947,0.538452,12.6692,34.7284,24.8871,33.8053,24.104,5.15729,35.6929,75.5748,0,2.30824,10.5213,101.935,36.3051,212.024,16.3057,8.96842,48.1743,2.81153,212.754,150.697,0,1.94981,34.6523,224.078,1.43029,0.720899,18.7118,9.71833,12.3827,4.42084,1.71322,30.87,0,0.304929,1.55978,53.4137,
81,194.588,456.31,1105.2,0.426437,21.695,72.6324,24.6621,35.3857,26.3336,5.31642,73.8533,64.4802,0,2.30773,9.29969,120.344,64.8073,407.244,18.3487,21.3675,52.1583,3.08551,409.958,107.823,0,2.36301,25.6828,252.706,1.43029,0.720899,18.7118,9.08141,12.3827,3.56762,1.71322,31.9104,0,0.199535,1.55978,53.4137,
82,194.239,337.446,943.953,0.575616,10.3803,43.9756,22.4993,32.4615,18.3959,4.95455,44.866,61.9968,0,2.10028,4.08276,91.7327,43.5884,284.119,6.88895,4.46205,30.7763,2.01263,284.469,114.792,0,1.08225,7.83233,194.069,1.43029,0.720899,18.7118,8.62416,12.3827,4.42684,1.71322,39.4414,0,0.473036,1.55978,52.5534,
83,194.239,376.324,934.42,0.516149,13.564,49.2867,21.9632,33.7286,21.1594,5.04734,50.1484,78.8035,0,2.1169,6.0387,94.467,48.3385,279.252,3.37552,12.2959,38.5022,2.10805,279.234,180.936,0,1.43096,16.6393,190.399,1.43029,0.720899,14.4479,8.71804,12.3827,4.47996,1.71322,41.2903,0,0.473036,1.55978,45.6974,
84,190.134,419.955,1158.39,0.452748,15.4483,59.2792,22.9977,32.2545,21.5817,5.33519,60.2133,74.3395,0,2.42372,8.7507,117.331,54.1123,312.894,9.41414,4.14887,42.8723,3.24376,312.98,194.133,0,2.78984,32.2796,264.373,1.43029,0.720899,14.498,7.10488,12.3827,4.50789,1.71322,31.0779,0,0.473036,1.55978,52.7823,
85,190.134,402.848,1000.74,0.471974,20.0094,48.6161,22.7359,34.9628,26.9467,5.36711,49.5232,72.2462,0,2.01933,10.1168,110.304,64.0832,285.855,7.51446,17.842,61.4903,3.02399,286.101,166.17,0,1.06086,33.0562,222.416,1.43029,0.720899,17.5201,8.82229,12.3827,4.53227,1.71322,30.7932,0,0.20156,1.55978,40.0913,
86,190.134,396.621,962.366,0.479384,13.1623,45.9941,24.7336,34.0441,20.4627,5.41084,46.9519,73.8236,0,2.42739,9.05815,120.552,46.5274,280.832,16.7208,14.8868,38.9911,3.34647,281.38,125.922,0,2.66515,28.7058,264.272,1.43029,0.720899,17.1404,7.20548,12.3827,4.35354,1.71322,40.6663,0,0.635984,1.55978,50.6075,
87,190.134,337.244,821.609,0.563788,14.1962,25.0013,22.4211,42.4873,19.815,5.17117,25.9001,81.6565,0,2.32492,5.3245,92.9456,53.8944,203.586,6.79186,86.3025,28.3135,2.46163,203.693,208.807,0,2.0498,14.1366,168.33,1.43029,0.720899,16.5224,8.62148,12.3827,4.45875,1.71322,40.0578,0,0.635984,1.55978,49.2534,
88,189.188,345.591,797.373,0.547434,14.2465,36.3779,21.4355,34.0199,19.8114,5.12039,37.2184,67.0733,0,2.04404,6.03743,102.206,49.9374,228.747,7.98593,18.4836,32.816,2.64046,228.718,124.237,0,1.26607,18.8011,224.214,1.43029,0.720899,0.357708,8.47767,12.3827,2.39239,1.71322,31.9819,0,0.438301,1.45454,49.7521,
89,189.188,357.858,1007.22,0.528668,8.32785,56.084,21.9875,32.8871,19.0781,4.99992,57.2255,61.0823,0,2.24384,4.69595,89.246,28.4598,374.847,8.18101,4.40009,24.7184,1.98477,377.303,86.2947,0,1.69116,10.2957,163.507,1.43029,0.720899,16.8797,8.05558,12.3827,4.50301,1.71322,41.8052,0,0.635984,1.45454,49.7521,
90,189.188,446.849,1231.4,0.423382,16.7485,74.5538,23.1077,32.6379,20.2308,5.33242,75.8231,69.879,0,2.3948,9.16163,116.98,59.8945,406.704,13.7468,7.03672,29.0591,2.96176,409.675,136.448,0,1.93883,27.9701,264.063,1.43029,0.720899,16.7436,6.97219,12.3827,4.52176,1.71322,30.9466,0,0.635984,1.45454,49.7521,
91,187.975,416.903,1050.04,0.450884,12.9438,55.4611,23.3128,36.4575,20.276,5.43186,56.5978,80.6663,0,2.55948,8.05264,115.144,40.2073,363.75,17.7518,29.2131,30.1246,3.76905,366.262,155.28,0,2.76645,23.5767,284.795,1.43029,0.720899,6.19057,9.13767,12.3827,4.52176,1.71322,31.6106,0,0.635984,1.55978,49.7521,
92,187.975,472.526,1070.1,0.397809,19.0465,69.4976,23.2825,36.0813,22.9872,5.46194,70.4057,92.6689,0,2.49976,9.47338,121.121,58.0935,314.3,15.2652,26.3448,39.0087,2.83775,314.712,221.706,0,2.8582,23.7332,251.774,1.43029,0.794731,3.00067,9.4899,12.3827,4.52176,1.80903,29.4881,0,0.2375,1.55978,47.6504,
93,187.975,391.028,958.246,0.480721,10.1852,44.3408,22.9858,38.8323,20.0409,5.40661,45.2293,80.3962,0,2.40545,6.93464,114.27,39.3195,280.461,13.739,45.1005,25.574,3.05429,283.136,180.982,0,2.67508,19.3112,257.691,1.43029,0.794731,17.1511,8.38498,12.3827,4.57207,1.80903,40.9283,0,0.635984,1.55978,49.7521,
94,187.975,413.614,1241.31,0.45447,10.9225,73.2902,22.7156,32.4778,19.2617,4.92426,74.5803,76.2879,0,2.24469,7.9697,88.9394,47.3904,413.946,13.3231,7.26636,30.4324,1.30366,416.788,177.493,0,1.67283,28.1102,161.526,1.36977,0.794731,17.1678,9.75575,12.3827,4.56241,1.80903,42.6921,0,0.635984,1.55978,51.8445,
95,187.975,341.37,1018.71,0.55065,9.41398,55.3543,22.2119,32.7425,17.5925,4.88586,56.5407,56.0259,0,2.16633,4.23038,80.2052,44.3642,378.622,11.7141,2.72652,19.9623,1.45023,383.237,72.4992,0,1.41126,5.09097,147.225,1.43029,0.794731,17.1678,8.59373,12.3827,4.57818,1.80903,42.6921,0,0.635984,1.55978,51.8445,
96,187.975,285.082,680.365,0.659373,8.95064,23.5338,20.8776,32.6907,16.0906,5.07675,24.4117,54.212,0,1.94708,5.96005,91.331,40.01,200.819,3.75064,3.07891,7.16894,2.4322,201.171,81.3384,0,0.335614,15.9713,214.35,1.33703,0.794731,17.1678,9.09893,12.5422,4.57818,1.80903,31.9832,0,0.801829,1.55978,51.8445,
