Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1505.11,4438.37,987.307,0.339113,303.122,0,244.683,6.96731,359.992,2879.84,288.334,296.178,59.2626,384.816,3.00857e-05,283.341,7.08568,455.947,3064.63,315.669,371.562,62.9333,15.8692,0,9.77467,0.308715,18.9347,1210.8,37.0664,15.7967,3.18211,
1,1505.11,4195.07,1385.64,0.358782,354.667,0,204.074,6.99473,390.165,2451.96,387.965,350.684,48.5587,236.235,0,139.17,3.14304,256.171,1001.37,1134.54,232.757,32.5238,33.6683,0,9.18194,0.308715,15.6317,1210.8,37.0664,33.6371,3.18211,
2,1505.11,3717.54,754.968,0.404868,306.669,0,173.402,6.55705,349.426,2277.67,254.116,304.169,45.5357,190.63,0,131.951,3.20785,223.849,769.684,176.577,187.009,26.3325,21.9159,0,1.17809,0.308715,15.6317,1093.28,17.7862,21.7765,3.18211,
3,1505.11,3427.19,797.515,0.439168,295.546,0,165.095,6.02957,348.082,2020.71,259.652,293.935,38.1352,178.885,0,134.628,2.90756,197.517,639.125,157.644,177.311,23.8638,21.9159,0,0.948262,0.308715,15.6317,1093.28,17.7862,21.7765,3.18211,
4,1505.11,3126.54,813.938,0.481398,254.716,0,169.01,5.63291,308.754,1859.2,240.837,253.679,34.7154,207.796,0,137.62,2.7932,199.699,545.678,156.193,207.074,19.711,21.9159,0,0.948262,0.308715,7.26006,1093.28,25.7659,21.7765,3.18211,
5,1505.11,3001.31,833.712,0.501486,248.847,0,211.326,5.80924,276.265,1725.72,254.437,248.119,30.7817,169.729,0,165.129,2.94352,182.509,474.53,243.72,169.297,17.6858,21.9159,0,0.948262,0.501,7.26006,1093.28,25.7659,21.7765,3.18211,
6,1505.11,2836.34,692.924,0.530653,207.499,0,201.225,5.34002,229.381,1729.94,224.77,207.007,31.178,156.815,0,151.044,2.79079,150.625,617.924,146.229,156.372,20.2129,21.9159,0,0.948262,0.501,7.26006,1093.28,25.7659,21.7765,3.18211,
7,1505.11,2755.96,869.391,0.54613,191.202,0,203.192,5.40355,224.372,1667.52,245.211,190.64,28.4218,149.872,0,155.26,2.82838,143.8,539.204,310.091,149.464,18.7738,9.96181,0,0.948262,0.581519,7.26006,1093.28,8.59963,9.55762,2.4209,
8,1505.11,2665.56,1051.21,0.564652,199.383,0,204.543,5.46639,215.395,1596.19,219.157,199.023,26.3978,215.771,0,155.985,2.64616,163.747,531.543,150.33,215.77,18.4545,7.41343,0,0.948262,0.581519,7.26006,1093.28,8.59963,6.24504,2.4209,
9,1505.11,2618.01,1008.97,0.574906,172.452,0,197.172,5.35131,255.356,1566.71,226.873,170.426,23.6753,197.44,0,145.725,2.79898,260.746,437.19,180.332,194.315,13.9051,7.33284,0,0.948262,0.131485,7.26006,1093.28,8.59963,4.5711,2.4209,
10,1505.11,2495.05,1019.2,0.603239,156.485,0,200.032,4.82628,201.579,1546.22,206.182,155.452,24.2742,166.244,0,148.223,2.68948,217.126,621.228,154.463,165.1,18.2936,7.33284,0,0.948262,0.131485,7.26006,1093.28,8.59963,4.5711,2.4209,
11,1505.11,2428.47,1021.89,0.619779,167.97,0,202.93,4.95094,188.319,1473.37,201.718,167.407,21.7977,216.958,0,158.855,2.70193,183.96,393.844,155.747,216.127,14.3752,3.91744,0,0.948262,0.131485,7.26006,1189.13,8.59963,1.16264,2.4209,
12,1505.11,2348.08,1059.46,0.640997,152.368,0,184.874,4.55871,155.75,1485.59,190.914,151.074,22.9494,200.813,0,156.404,2.67144,163.637,555.841,109.428,198.024,17.146,3.91744,0,0.948262,0.131485,7.26006,1189.13,8.59963,1.16264,2.4209,
13,1468.16,2463.7,2133.99,0.595917,134.348,0,160.038,4.54177,156.874,1480.87,371.423,133.533,22.0816,226.563,0,152.327,2.6733,204.814,676.146,1275.88,224.809,19.0278,3.91744,0,0.948262,0.131485,7.26006,1189.13,8.59963,1.16264,2.4209,
