Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1143.64,3878.01,1051.12,0.294903,62.7951,0,274.462,281.583,7.35528,2070.11,277.178,542.919,361.606,71.8574,0,368.7,382.793,5.01758,2107.71,348.076,587.022,370.472,2.7483,0,2.05452,7.14931,0.067711,658.854,2.09182,9.25802,14.4142,
1,1143.64,3644.33,977.112,0.313812,59.2382,0,267.543,259.518,7.08624,1947.97,268.498,485.358,349.125,34.9414,0,207.931,210.881,3.81848,919.409,209.832,363.304,233.679,2.7483,0,2.05452,7.14931,0.067711,654.857,2.09182,9.25802,14.4142,
2,1143.64,3520.84,938.528,0.32482,55.4663,0,282.945,266.871,6.96633,1834.92,283.878,449.327,340.463,32.2506,0,215.347,207.799,3.72361,830.205,215.461,360,227.371,2.7483,0,2.05452,7.14931,0.067711,654.857,2.09182,9.25802,14.4142,
3,1143.64,3316.35,816.693,0.344848,51.3392,0,265.852,250.013,6.59245,1710.01,266.618,439.949,325.97,31.0789,0,187.06,178.256,3.66102,797.468,188.199,341.17,216.364,2.7483,0,9.25223,0.94526,0.067711,641.533,9.28087,9.25802,14.4142,
4,1143.64,3143.81,712.271,0.363775,47.2981,0,256.374,238.821,6.47942,1589.73,256.86,429.887,318.355,29.2074,0,152.487,150.552,3.70697,731.758,153.409,340.013,210.728,2.71055,0,5.0775,8.80845,0.067711,641.533,5.12479,9.25802,14.4142,
5,1143.64,3069.97,1278.12,0.372523,41.6684,0,272.549,252.078,6.45209,1446.08,273.309,417.289,360.552,27.1713,0,167.52,178.55,3.61496,654.422,167.227,334.478,854.387,2.71055,0,11.7035,13.9033,0.067711,641.533,11.7886,12.0305,14.4142,
6,1143.64,2928.09,824.691,0.390575,39.7373,0,267.108,232.876,6.26211,1382.65,267.612,431.266,300.57,25.6707,0,183.998,156.756,3.49707,617.652,184.915,350.707,230.53,2.71055,0,11.7035,7.71286,0.067711,641.533,11.7886,12.0305,14.4142,
7,1143.64,2875.59,1502.1,0.397706,35.3794,0,256.696,234.288,6.17109,1272.41,257.199,447.413,366.03,23.2521,0,153.297,152.682,3.34666,531.812,154.001,347.798,1152.14,2.71055,0,11.7035,4.62386,0.067711,641.533,11.7886,12.0305,14.4142,
8,1143.64,2699.69,701.338,0.423619,32.9885,0,253.183,223.214,6.21612,1211.83,253.684,447.979,270.593,22.389,0,169.356,150.708,3.37762,512.234,169.891,356.076,200.2,2.71055,0,4.30381,6.59639,0.077205,641.533,4.34769,12.0305,14.4142,
9,1143.64,2551.72,557.43,0.448182,30.1866,0,237.945,214.398,5.99096,1131.84,238.36,429.073,263.926,20.2499,0,144.156,133.79,3.27521,443.067,146.398,341.405,176.097,2.71055,0,4.30381,6.59639,0.077205,641.533,4.34769,12.0305,14.4142,
10,1143.64,2502.58,653.825,0.456983,30.9338,0,228.403,194.15,5.93225,1136.76,228.696,417.768,259.933,21.2362,0,144.462,129.752,3.26922,491.804,144.719,338.899,175.401,2.7483,0,4.30381,6.59639,0.077205,641.533,4.34769,12.0305,14.4142,
11,1143.64,2365.96,574.411,0.483371,27.2631,0,226.022,191.907,5.80568,1045.64,226.349,391.949,251.023,17.985,0,166.14,125.516,3.34548,376.921,166.094,288.727,181.094,2.7483,0,4.30381,6.59639,0.077205,641.533,4.34769,21.6521,14.4142,
12,1143.64,2246.65,493.743,0.509041,25.9912,0,204.266,177.95,5.38785,1012.36,204.584,377.03,239.085,16.097,0,134.596,123.303,3.25597,326.319,134.463,289.338,156.114,2.67902,0,0.702275,3.33907,0.077205,641.533,1.08418,21.6521,13.6273,
13,873.138,2153.05,538.117,0.405536,23.4826,0,194.324,172.722,5.28806,967.9,194.699,358.579,236.053,16.7004,0,133.314,122.84,3.08017,351.18,133.278,281.117,174.561,2.34618,0,0.702275,1.0544,0.077205,641.533,1.08418,21.6521,13.6273,
14,873.138,2075.07,526.475,0.420775,21.5527,0,190.352,172.449,5.1444,932.717,190.985,341.446,220.425,14.689,0,134.052,152.79,3.07454,291.358,134.737,274.816,142.616,2.34618,0,0.702275,3.33907,0.077205,641.533,1.08418,21.6521,13.6273,
15,873.138,2008.21,585.464,0.434783,20.4797,0,188.241,155.095,4.93059,907.744,188.597,335.988,207.139,15.0017,0,137.707,114.133,2.94961,299.748,137.644,285.472,124.531,2.34618,0,0.702275,1.76103,0.077205,641.533,1.08418,21.6521,13.6273,
16,873.138,1966.75,577.113,0.443949,20.15,0,184.783,157.737,4.98402,907.131,185.187,313.187,193.593,15.5628,0,143.432,122.385,2.9933,335.233,144.016,257.34,113.761,2.34618,0,0.647344,1.51207,0.077205,641.533,1.08418,21.6521,4.79595,
17,873.138,1898.4,500.324,0.459934,19.0605,0,172.999,147.556,4.93019,874.315,173.405,302.327,203.806,13.184,0,128.498,119.922,3.00841,255.815,126.883,234.486,122.275,2.34618,0,0.702275,1.76103,0.077205,641.533,1.08418,25.3084,4.79595,
18,873.138,1870.61,687.065,0.466766,18.5696,0,171.185,145.984,4.84023,866.651,171.71,291.789,199.882,12.4738,0,163.356,156.395,3.09013,276.479,164.562,234.644,114.947,2.34618,0,0.702275,1.76103,0.077205,641.533,1.08418,19.8661,4.79595,
19,873.138,1756.85,445.552,0.496992,17.266,0,153.667,131.068,4.78848,827.218,154.136,270.472,198.23,11.8048,0,124.383,103.321,3.0804,210.86,124.841,208.81,113.894,2.34618,0,0.702275,1.76103,0.077205,641.533,1.08418,19.8661,4.79595,
20,873.138,1797.03,844.764,0.485877,17.6106,0,154.01,135.023,4.81761,847.17,154.533,283.586,200.284,14.9798,0,171.502,145.096,2.97911,363.878,173.559,264.441,117.773,2.34618,0,0.702275,1.76103,0.091649,641.533,1.08418,19.8661,4.79595,
21,873.138,1679.19,475.159,0.519974,16.4364,0,136.529,122.845,4.76018,821.296,136.853,241.789,198.687,14.6876,0,107.97,103.326,2.90319,338.136,108.167,183.658,111.899,2.34618,0,0.702275,1.76103,0.091649,641.533,1.08418,19.8661,4.79595,
22,873.138,1658.67,501.29,0.526408,15.782,0,136.5,116.269,4.7227,804.028,136.798,241.454,203.118,12.5207,0,114.846,99.9972,2.94801,259.34,114.807,188.423,138.315,2.34618,0,0.702275,1.76103,0.091649,641.533,1.08418,17.4916,4.79595,
23,873.138,1623.87,711.889,0.53769,15.6491,0,130.272,116.314,4.73767,795.431,130.615,227.049,203.8,12.7689,0,144.227,117.268,2.87901,284.56,145.202,197.37,123.025,2.34618,0,0.702275,1.76103,0.091649,641.533,1.08418,17.4916,4.79595,
24,873.138,1693.38,1387.89,0.515618,16.5691,0,125.728,114.049,4.73442,811.963,126.056,215.749,278.533,13.5049,0,119.65,98.8174,2.9816,305.248,120.196,185.841,1069.41,2.50945,0,0.702275,1.76103,0.091649,641.533,1.08418,17.4916,4.79595,
