Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
145,31.0343,64.2233,162.29,0.483226,1.41284,1.16257,4.53961,0.631897,31.6139,0.361147,21.7624,0.995301,0.433776,1.30983,0.454594,0.448561,6.39807,2.18649,60.0327,1.26717,143.891,0.0149954,2.87005,1.9976,1.27955,1.02416,2.76437,0.00951427,9.48404,0.0155406,0.0134275,0.991757,8.13786e-05,0.780596,
146,31.0338,76.6132,207.245,0.405071,1.39638,1.12486,4.13945,0.570114,24.8764,0.358002,41.2346,0.99711,0.821268,1.09499,0.397155,0.278872,4.7163,1.98888,10.0024,1.4194,198.005,0.0284721,3.98641,1.17712,1.27934,0.994837,2.76431,0.00951427,9.43396,0.0155406,0.0134275,0.970855,8.21593e-05,0.780474,
147,31.0338,119.882,317.705,0.25887,1.42579,1.15615,4.01729,0.830521,34.0844,0.393598,74.2772,0.996707,1.46674,1.23326,0.439818,0.397172,4.30535,2.56973,67.8722,1.3536,297.471,0.0243442,5.86281,1.51454,1.27934,1.05034,2.76437,0.00951427,9.39328,0.0154913,0.0134275,0.961911,8.21593e-05,0.780552,
148,31.0337,120.097,316.791,0.258405,1.43152,1.0994,4.17236,0.884636,32.6775,0.53624,75.375,0.996545,1.49238,1.43145,0.457422,0.197744,4.6173,2.69931,57.4056,1.79787,300.576,0.0227982,5.93925,2.09748,1.27932,0.974565,2.76417,0.00951367,9.28094,0.015445,0.0134275,0.989854,8.17418e-05,0.780479,
149,31.0337,95.8542,304.55,0.323759,1.38538,1.16503,4.01343,0.741861,23.0415,0.153432,62.0581,0.99388,1.22287,1.07871,0.404243,0.446197,5.53352,2.53019,10.3499,0.750436,299.234,0.00812888,5.86331,1.14577,1.27924,0.78957,2.7644,0.00951166,1.01123,0.0155721,0.0133974,0.991757,8.17418e-05,0.780552,
150,31.0337,67.8992,164.267,0.457055,1.46358,1.22286,5.37909,0.850189,33.0811,0.215994,22.8354,0.998106,0.455124,1.39775,0.526412,0.579107,7.914,2.43047,71.944,0.618683,145.761,0.0198783,2.91285,1.88296,1.27924,1.06206,2.7644,0.00950577,10.4979,0.0155633,0.0132507,0.991758,8.17418e-05,0.780552,
151,31.0336,68.2925,184.404,0.454421,1.34387,1.13279,3.51584,0.272349,23.6016,0.0832164,35.6144,0.99147,0.709502,1.02747,0.315457,0.4193,4.09422,1.43249,9.80399,0.355958,175.424,0.0076404,3.49468,1.27952,1.27924,1.0714,2.7644,0.00950577,9.56745,0.0154329,0.0132507,0.966426,8.09394e-05,0.780552,
152,31.0336,90.6651,276.647,0.342288,1.43102,1.1615,4.59663,0.623739,24.3883,0.325739,54.7914,0.995937,1.07905,1.27174,0.453148,0.402703,6.3678,1.89075,7.94483,1.01612,267.114,0.0209981,5.24907,1.50799,1.27924,0.907606,2.7644,0.00950577,10.3522,0.0155416,0.0132507,0.968395,7.99463e-05,0.780552,
153,31.0335,87.312,250.388,0.355433,1.37969,1.19281,3.88317,0.753004,23.1726,0.209412,53.4171,0.991928,1.05821,1.254,0.403985,0.642564,5.01231,2.62966,3.43581,0.884749,243.374,0.0110069,4.81804,1.79194,1.24172,0.703164,1.8142,0.00950577,10.3215,0.0155416,0.0132507,0.951261,7.99463e-05,0.780552,
154,31.0333,101.682,315.711,0.305201,1.3637,1.12305,3.72806,0.448251,26.2237,0.205082,65.1165,0.994612,1.27914,1.19946,0.344063,0.272739,4.18043,1.78989,19.6441,0.790775,305.329,0.0162125,6.02857,1.65416,1.26173,0.879648,2.7644,0.00951487,4.72443,0.0155474,0.0132666,0.981187,7.99463e-05,0.780552,
155,31.0333,98.3283,267.297,0.315609,1.44657,1.13031,4.27045,0.688358,29.2209,0.391146,57.5857,0.998249,1.13775,1.4588,0.471533,0.247596,5.44049,1.87731,35.2068,1.13188,257.001,0.0253929,5.05346,1.92321,1.27923,0.915397,1.00631,0.00949371,12.3526,0.0155607,0.0131543,0.98952,7.99463e-05,0.780552,
