Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
188,31.0329,41.7397,43.0218,0.743485,1.3986,1.12293,4.23209,0.520501,30.9672,0.249654,1.01383,1.00015,0.0200053,1.21474,0.420816,0.201019,5.29428,1.86397,34.4244,0.900149,14.1758,0.0315164,0.376137,1.57845,1.27921,1.07157,2.76437,0.00950981,12.3258,0.0160868,0.0130351,0.991759,8.42819e-05,0.780622,
189,31.0329,53.6927,146.914,0.577971,1.34391,1.16168,3.61581,0.300452,23.6258,0.201121,21.0884,0.991783,0.419839,0.943937,0.319526,0.440312,4.32954,1.50168,7.72839,0.988786,140.583,0.00969358,2.84227,0.930023,1.27921,1.07157,2.76437,0.00950981,9.3967,0.01602,0.0130351,0.967219,8.47372e-05,0.7806,
190,31.0329,59.6927,200.619,0.519877,1.30811,1.0668,2.73461,0.102826,23.95,0.037468,28.0668,0.992237,0.554059,0.879833,0.20532,0.0647602,0.481333,0.655453,1.13968,0.20567,196.675,0.00337593,3.88316,0.695646,1.27921,0.832831,1.27584,0.00951132,16.2884,0.016014,0.0130472,0.991759,8.47964e-05,0.7806,
191,31.0329,38.9313,55.2888,0.797119,1.31259,1.07119,3.27343,0.0984576,23.8653,0.0407533,7.20426,0.99216,0.144076,0.929024,0.233692,0.00392566,3.55823,0.622967,1.69043,0.171521,52.9021,0.00280962,1.10801,1.04057,1.27921,1.05234,2.76437,0.00951132,12.0583,0.016014,0.0130472,0.991759,8.45026e-05,0.7806,
192,31.0329,98.6463,331.237,0.314587,1.33131,1.07993,2.81089,0.211551,24.0115,0.100727,65.9265,0.992832,1.29026,0.890813,0.257496,0.0900185,0.486056,0.996649,0.519921,0.418214,321.977,0.00554575,6.42365,0.585222,1.27921,0.881766,2.76437,0.00950834,20.8231,0.0162231,0.0130324,0.991759,8.45864e-05,0.780652,
193,31.0328,64.4878,234.184,0.481221,1.30955,1.06868,2.8329,0.165461,23.9478,0.0304822,32.5942,0.991873,0.638843,0.907935,0.212325,0.0231952,0.47965,1.09446,1.11145,0.121199,229.062,0.00124647,4.47098,0.891045,1.2792,0.926479,2.76437,0.00951257,16.1815,0.0162358,0.0130343,0.991759,8.40335e-05,0.780652,
194,31.0328,81.1985,249.627,0.382185,1.33515,1.14376,3.03994,0.305353,23.6372,0.195306,48.6204,0.992216,0.963145,0.966011,0.276479,0.385008,2.07854,1.46707,2.38619,0.897612,242.989,0.00838289,4.8182,1.09023,1.2792,1.07158,1.71025,0.00951257,9.58077,0.0162294,0.0130343,0.962819,8.47477e-05,0.780652,
195,31.0328,187.794,477.607,0.165249,1.42431,1.1877,3.07319,0.725628,23.5405,0.336117,152.306,0.994603,2.98846,1.21789,0.446123,0.374002,2.27522,2.16996,2.35593,1.16187,452.928,0.0118444,9.18958,1.52236,1.2792,1.07158,1.91597,0.00951241,9.72759,0.0162294,0.013032,0.971087,8.50268e-05,0.780652,
196,31.0328,117.202,295.888,0.26478,1.37961,1.19364,4.2962,0.925556,43.4932,0.208486,62.0793,0.9948,1.23397,1.39729,0.394224,0.504075,5.74596,3.01272,144.529,0.948363,255.117,0.0148216,5.16876,2.04208,0.944216,0.743633,0.598581,0.00951261,8.96084,0.0162294,0.013032,0.97724,8.54841e-05,0.780652,
197,31.0328,60.7945,162.654,0.510455,1.37785,1.08224,3.8711,0.583913,28.3182,0.191054,22.7888,0.999063,0.453006,1.12929,0.33526,0.155821,3.78557,2.04747,25.8082,0.669444,158.019,0.0300287,3.21823,1.41822,1.2792,0.930004,2.76437,0.00951006,6.15038,0.0162111,0.0130047,0.983814,8.56939e-05,0.780653,
198,31.0328,86.0028,272.454,0.360835,1.37315,1.07246,3.49158,0.354201,23.5251,0.180032,52.9109,0.994289,1.04284,1.05826,0.372983,0.0386261,4.35021,1.40862,5.44734,0.695858,264.157,0.0118352,5.21815,1.26214,1.2792,0.880525,2.76437,0.00951006,9.1047,0.0162282,0.0130047,0.991759,8.56939e-05,0.780653,
199,31.0328,87.5163,265.675,0.354594,1.37589,1.0992,3.20839,0.535997,24.2736,0.186352,53.6461,0.993333,1.05756,1.13995,0.385079,0.137814,2.7201,2.17158,3.44277,0.804865,255.924,0.00796366,5.02197,1.4838,1.2792,1.07158,2.67316,0.00951006,10.9836,0.0162282,0.0130047,0.989826,8.59676e-05,0.780653,
200,31.0328,75.885,200.169,0.408945,1.38145,1.0765,4.05507,0.459113,23.2893,0.248348,42.3572,0.992624,0.845777,1.17959,0.406375,0.0275505,5.2813,1.80144,3.22253,0.995858,191.546,0.00565075,3.82724,1.69841,1.27921,1.07158,2.76437,0.00950656,8.8706,0.0161726,0.0129689,0.986837,8.63e-05,0.780635,
