Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,56.675,455.985,172.178,0.124291,352.309,4.65938,26.2115,2.04237,1.20501,7.13036,0.43803,25.3965,1.48305,20.8413,10.8725,1.08494,2.31171,148.459,3.8244,24.1602,2.44374,1.01209,8.73868,0.45964,20.2444,1.93362,26.0441,11.0499,1.23727,2.10437,23.5943,2.67387,0.0916775,0.0305215,0.272442,0.213493,0.145902,0.795834,0.0928034,0.129848,7.30705,0.176148,0.209172,
1,56.675,371.412,93.8299,0.152594,256.696,5.42559,23.3829,1.80091,1.29004,3.24817,0.363736,26.6151,1.80891,37.4002,9.7293,1.10578,2.54532,105.793,2.72146,20.7627,1.39487,0.62374,4.45196,0.153271,18.7249,1.5812,43.8875,2.4634,0.563933,1.48588,23.5943,2.67387,0.0916775,0.0305215,0.395101,0.213493,0.0163283,0.795834,0.151263,0.129848,6.7436,0.176148,0.297243,
2,56.675,341.764,92.17,0.165831,215.006,5.46422,22.3235,1.86206,1.03553,3.14844,0.296202,31.198,1.88665,46.3264,10.1424,0.872107,2.20201,73.7924,2.56911,18.5273,1.33547,0.546941,2.20049,0.165641,18.3936,1.37519,53.6829,2.76107,0.580347,1.38445,23.5943,2.09052,0.0916775,0.0305215,0.139757,0.213493,0.00825022,2.15464,0.111278,0.129848,6.89018,0.0337815,0.369772,
3,56.675,314.324,69.7856,0.180308,198.78,5.76791,19.2775,1.68306,1.08323,3.40901,0.266179,28.5229,1.53488,40.1583,10.6285,0.956925,2.25578,57.415,3.78365,14.5993,1.306,0.552457,2.31985,0.133049,21.2271,1.24904,44.3784,4.53136,0.628176,1.38644,23.5943,2.09052,0.0916775,0.0305215,0.139757,0.111094,0.00825022,0.375036,0.151263,0.129848,6.89018,0.0748832,0.369772,
4,56.675,305.327,62.038,0.185621,189.728,5.53135,19.3627,1.82303,1.1389,3.9505,0.275412,26.5351,1.94649,41.778,10.3499,0.902982,2.00523,51.776,2.67635,12.8427,1.23666,0.565057,2.34406,0.124592,15.7835,1.51971,36.4735,2.7209,0.586548,1.38621,23.5943,2.09052,0.0916775,0.0305215,0.139757,0.111094,0.00825022,0.375036,0.147399,0.129848,6.89018,0.101428,0.184109,
5,56.675,306.031,106.727,0.185194,171.309,5.68908,17.9399,1.72214,1.07137,3.92504,0.261673,28.8631,1.73014,60.1774,10.6627,0.924157,1.75511,73.124,2.94596,11.3438,1.20667,0.696028,2.29817,0.164554,16.3516,1.44245,59.9885,5.49835,0.566473,1.12362,23.5943,1.16032,0.0916775,0.021112,0.139757,0.2001,0.0163283,2.15464,0.0769093,0.129848,0.612156,0.0123464,0.123545,
6,56.675,281.469,64.9927,0.201354,159.015,5.58992,16.4582,1.59434,0.972701,4.68319,0.254143,28.2856,1.90174,49.5403,10.6693,0.940677,1.56462,55.4987,3.09203,14.0772,1.23228,0.407707,2.59503,0.121682,14.2616,1.51759,55.8129,5.15498,0.530931,1.05073,23.5943,1.16032,0.0916775,0.021112,0.139757,0.277889,0.00530723,2.15464,0.147399,0.129848,0.612156,0.101428,0.184109,
7,56.675,255.633,46.0335,0.221705,151.939,5.15247,11.9802,1.59721,0.970392,4.98928,0.217901,24.9215,2.00129,38.968,10.5671,0.938566,1.39039,46.5168,2.68403,10.2157,1.25288,0.352148,2.23982,0.109166,14.7748,1.54352,33.9988,3.42578,0.524086,0.90892,23.5943,1.16032,0.0916775,0.021112,0.436592,0.627068,0.00530723,0.735938,0.0748419,0.129848,0.612156,0.101428,0.184109,
8,56.675,248.415,94.2273,0.228147,137.011,5.654,11.2431,1.57484,0.949195,4.34394,0.183186,27.6344,1.90663,44.1638,11.301,0.880641,1.56888,63.8793,3.5274,9.26868,1.25522,0.459005,2.5721,0.142384,18.8565,1.66964,40.0758,3.82764,0.53226,0.901496,13.7258,1.16032,0.0916775,0.021112,0.415144,0.0620286,0.00530723,0.624148,0.040293,0.129848,0.612156,0.0804337,0.360037,
9,56.675,224.852,50.2914,0.252055,123.286,5.91738,8.74972,1.49311,0.939326,4.19358,0.142915,28.0933,1.86903,36.2495,11.6409,0.840297,1.43603,43.2118,3.24479,7.70767,1.19257,0.328229,2.18287,0.108407,17.0272,1.64414,32.2232,3.7521,0.516986,0.734332,13.7258,1.16032,0.0916775,0.021112,0.437858,0.229096,0.00530723,0.735938,0.040293,0.129848,0.612156,0.0804337,0.547277,
