Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1883.87,5377,1410.3,0.350358,298.538,0,1141.18,7.1357,353.863,3010.99,212.882,289.807,62.5991,397.184,0,1375.48,7.73049,469.229,3210.44,248.989,378.979,70.9579,15.4317,0,87.7744,0.308715,18.6959,1210.8,11.2103,15.3887,3.18211,
1,1883.87,4825.78,1357.33,0.390377,306.491,0,891.784,6.75381,340.551,2716.67,203.942,302.747,56.8358,255.439,0,605.126,2.83003,262.431,1159.76,162.787,249.293,34.9752,14.4588,0,80.9565,0.308715,11.2511,1210.8,11.2103,14.306,3.18211,
2,1883.87,4454.92,1169.39,0.422875,307.653,0,880.962,6.73638,349.087,2376.18,184.194,302.794,47.3115,217.981,0,656.493,3.23825,257.192,961.501,132.457,214.984,30.7855,12.9892,0,80.9565,0.0262481,7.11945,1208.91,11.2103,6.23237,3.18211,
3,1883.87,4296.94,1557.5,0.438422,292.329,0,874.685,6.87137,304.471,2211.64,271.266,291.031,44.6489,212.758,0,710.777,3.15186,196.635,845.346,739.184,212.41,27.3566,12.9892,0,80.9565,0.0262481,7.11945,1208.91,11.2103,6.23237,3.18211,
4,1710.31,3801.86,924.748,0.449861,265.304,0,674.974,7.05903,307.602,2054.43,188.072,263.949,40.4706,204.281,0,561.062,2.96934,216.121,733.174,151.312,203.501,24.2716,11.0593,0,27.0628,0.0616322,7.11945,1208.91,19.9796,6.23237,4.6863,
5,1710.31,3597.93,1347.28,0.475359,244.158,0,642.405,6.703,265.713,1951.3,206.606,242.813,38.2306,197.296,0,573.466,3.22744,207.586,691.76,359.835,196.912,22.2846,11.0593,0,27.0628,0.0616322,7.11945,1208.91,21.4518,6.23237,3.69791,
6,1710.31,3308.31,1022.16,0.516975,222.709,0,599.725,6.78481,239.575,1791.94,192.693,221.566,33.3171,212.946,0,488.431,3.38517,195.199,666.195,183.847,212.407,21.7483,8.12398,0,27.0628,0.0616322,7.11945,1178.6,15.813,6.23237,2.74759,
7,1710.31,3130.82,1081.34,0.546281,209.872,0,593.432,6.52912,229.034,1661.87,192.09,208.471,29.5329,210.722,0,589.007,3.52368,201.995,458.824,145.001,210.428,16.7442,8.12398,0,27.0628,0.0434786,8.97374,1178.6,15.813,6.23237,2.74759,
8,1710.31,2961.85,1027.28,0.577447,183.422,0,568.597,5.85957,198.452,1597.89,198.474,182.265,26.8933,157.756,0,516.746,3.78139,185.709,428.343,162.637,157.543,15.89,7.37443,0,27.0628,0.00955031,5.44678,1178.6,9.76174,4.51637,2.68129,
9,1647.67,2832.29,1107.58,0.581744,160.886,0,532.686,5.92832,180.912,1563.68,204.722,159.199,24.2781,184.555,0,439.492,3.9554,223.448,536.163,179.939,182.919,16.801,4.49245,0,27.0628,0.00955031,5.44678,1178.6,9.76174,2.02573,2.67766,
