Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.00484105,33.587,5.31514,2.70795,15.6202,1.46567,0.78307,0.0278031,0,46.4468,1.01576,1.09103,0.0257013,36.5167,3.64014,
1,0.00488463,33.587,5.31514,2.70786,15.6203,1.46571,0.783144,0.0277826,0,46.4472,1.0158,1.09102,0.0256539,36.5166,3.63981,
2,0.00435745,33.5869,5.31511,2.7081,15.6192,1.46562,0.783126,0.0277572,0,46.4473,1.01571,1.0913,0.0261773,36.5176,3.63973,
3,0.00462469,33.587,5.31512,2.70799,15.6197,1.46567,0.783051,0.0278414,0,46.4471,1.01576,1.09116,0.0259131,36.5172,3.63994,
4,0.00488075,33.5871,5.31515,2.70775,15.6207,1.46573,0.78305,0.0278677,0,46.4474,1.01583,1.09092,0.0256354,36.5164,3.6396,
5,0.00478244,33.587,5.31515,2.70781,15.6205,1.46572,0.783178,0.0277457,0,46.4473,1.01581,1.09097,0.0257492,36.5165,3.63969,
6,0.00476011,33.587,5.31513,2.70813,15.6201,1.46561,0.783076,0.0277786,0,46.4473,1.0157,1.09107,0.0257582,36.5168,3.63973,
7,0.00479518,33.5869,5.31513,2.70816,15.6197,1.46561,0.783027,0.0278633,0,46.4472,1.0157,1.09116,0.0257692,36.5171,3.63979,
8,0.00449254,33.587,5.31513,2.70808,15.6198,1.46563,0.782993,0.0279007,0,46.4475,1.01572,1.09114,0.0260259,36.5171,3.63958,
9,0.00489747,33.587,5.31514,2.70837,15.6202,1.46554,0.783006,0.0278385,0,46.4471,1.01562,1.09104,0.025654,36.5167,3.63987,
