Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,30.6492,486.522,186.051,0.0629966,0.453335,25.7332,6.82755,1.70424,362.286,1.94742,29.6735,1.33193,19.0117,18.93,12.5906,3.56316,2.46901,0.472583,29.3746,8.62046,1.98456,336.316,1.16186,40.3883,1.53735,28.4629,28.3508,12.8715,2.7206,3.02768,0.201995,1.49587,0.0840479,0.204574,23.5943,0.0305215,0.0916775,0.0910468,0.102415,0.0903393,1.37793e-15,0.453262,0.209238,
1,30.6492,425.661,181.963,0.0720038,0.329854,29.4353,3.17602,1.80955,248.395,2.16595,21.8288,1.54425,48.8731,48.7934,13.8948,3.36107,2.05362,0.169085,25.692,2.89303,3.84153,114.683,1.12852,25.1261,1.01594,64.0081,75.3915,3.3603,1.8349,1.45453,0.0269076,1.49587,0.0840479,0.176959,23.5943,0.0305215,0.0916775,0.02048,0.102415,0.0903393,1.37793e-15,0.128176,0.103523,
2,30.6492,380.525,121.493,0.0805446,0.29522,29.6954,2.61117,1.11545,218.137,1.93061,24.3969,1.61942,41.0732,41.0439,13.9283,2.94386,1.73486,0.12942,23.875,1.8071,0.79827,72.8688,1.13288,22.1342,1.5328,50.5767,51.0568,2.374,1.85056,1.20434,0.0269076,1.49587,0.0840479,0.204574,23.5943,0.0305215,0.0916775,0.0356577,0.102415,0.0903393,1.37793e-15,0.128176,0.103523,
3,30.6492,353.942,99.9037,0.0865939,0.271294,24.0153,2.92593,1.05972,208.24,1.73839,18.3016,1.50406,38.5985,38.606,13.5261,3.45143,1.70378,0.119601,19.1299,2.15973,0.395122,66.4929,1.20727,17.2696,1.5072,45.207,45.0795,2.25088,2.13331,1.19507,0.00393946,1.49587,0.0241952,0.204574,23.5943,0.0305215,0.0916775,0.0158464,0.102415,0.0903393,1.37793e-15,0.128176,0.103523,
4,30.6492,328.826,99.5694,0.0932079,0.217521,24.6269,3.26058,0.92339,180.29,1.96502,16.9161,1.87082,40.0445,40.0334,13.184,3.62977,1.8644,0.129709,17.6512,2.64478,0.403161,71.4034,1.27459,15.1221,1.79925,45.6777,45.5403,2.51357,2.1525,1.47779,0.00393946,1.46841,0.0558151,0.149444,23.5943,0.0305215,0.0916775,0.0126402,0.102415,0.0903393,1.37793e-15,0.128176,0.103523,
5,30.6492,297.668,82.2102,0.102965,0.195041,25.4336,3.39407,0.936752,168.843,2.187,20.4485,2.02574,27.6913,27.6794,13.0379,3.77367,2.02215,0.120076,19.4942,2.79536,0.460969,56.6939,1.28989,19.1606,1.86587,24.7888,27.732,2.29651,2.1247,1.50207,0.00393946,1.46841,0.0558151,0.104899,23.5943,0.0305215,0.0916775,0.0158464,0.102415,0.0903393,1.37793e-15,0.128176,0.103523,
6,30.6492,282.746,80.037,0.108399,0.157671,19.263,4.47455,0.848901,149.526,2.17159,19.6825,2.09791,32.9413,32.9289,12.3785,4.21803,2.05713,0.10675,16.1389,3.07246,0.358727,49.9079,1.23794,19.9283,1.82579,27.2311,28.7018,2.68316,2.28734,1.39151,0.00393946,0.510645,0.0558151,0.104899,23.5943,0.0305215,0.0916775,0.0158464,0.129848,0.101361,1.37793e-15,0.128176,0.103523,
7,30.6492,243.93,49.9199,0.125648,0.118659,18.6315,5.13051,0.762309,126.919,2.39073,15.4883,2.31453,27.1897,27.071,12.1826,3.89597,1.83447,0.103635,13.5758,3.50433,0.239673,39.319,1.21838,13.5645,2.09689,26.381,25.6804,2.87598,2.3453,1.09681,0.000885723,0.510645,0.0558151,0.104899,23.5943,0.0305215,0.0916775,0.0356577,0.129848,0.101361,1.37793e-15,0.128176,0.103523,
8,30.6492,245.491,63.7463,0.124849,0.102811,17.3222,5.18915,0.758097,125.442,2.28265,19.9701,2.2477,26.8265,26.6764,12.7729,4.1691,1.73125,0.0812068,11.9269,3.79281,0.230828,31.7439,1.37089,19.9614,2.01442,28.0886,28.0953,3.5686,2.30799,1.00476,0.00393946,2.15464,0.0558151,0.104899,23.5943,0.0305215,0.0916775,0.0353982,0.129848,0.101361,1.37793e-15,0.128176,0.177337,
9,30.6492,222.44,53.539,0.137787,0.113789,14.4654,6.41331,0.810158,112.88,2.49587,14.178,2.05981,25.5298,25.4146,11.5677,4.57826,1.93277,0.103127,12.0277,3.5025,0.733611,39.6618,1.37074,10.1477,1.93121,26.4657,26.6423,6.0482,2.30485,0.941256,0.00644523,1.2142,0.315952,0.104899,22.4718,0.0305215,0.0916775,0.0353982,0.129848,0.101361,1.37793e-15,0.128176,0.409445,
10,30.6492,196.364,40.4883,0.156084,0.142487,12.9997,6.07493,0.770783,96.0367,2.01576,14.6404,1.68784,21.9495,21.8458,11.3002,4.85122,2.04861,0.127508,9.85237,3.22653,0.222375,43.4708,1.5214,8.36146,1.83835,20.0089,19.6289,9.94487,2.36527,0.820291,0.00640082,0.46391,0.315952,0.241398,12.8341,0.0305215,0.0916775,0.0353982,0.129848,0.101361,1.37793e-15,0.629661,0.409445,
