Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,5013.37,2638.41,0.22984,351.03,548.318,16.1821,0,20.0269,2314.62,554.197,610.193,598.8,389.352,737.363,18.9902,0,21.2227,2256.47,751.705,619.94,820.261,7.69588,5.74635,0.130142,0,3.83611,665.89,6.02952,19.8884,9.61256,
1,1152.27,4224.61,1550.36,0.272752,330.93,421.89,15.587,0,19.7674,1987.24,423.462,601.165,424.574,222.768,347.136,9.67999,0,7.928,979.993,350.822,406.145,378.165,24.032,5.74635,0.130142,0,3.83611,665.89,6.02952,19.8884,9.61256,
2,1152.27,3876.29,1431.08,0.297261,327.714,372.003,14.5224,0,20.0184,1854.84,373.168,555.565,358.467,225.446,305.997,9.17776,0,8.4013,901.87,308.244,398.294,331.91,24.032,5.74635,0.130142,0,3.14387,665.89,6.02952,19.8884,9.61256,
3,1152.27,3530.18,1133.46,0.326406,316.696,328.609,13.3827,0,20.4979,1691.96,329.257,526.56,303.222,219.176,238.086,8.56448,0,8.92984,838.999,238.046,391.187,237.242,24.032,5.74635,0.130142,0,3.14387,654.935,6.02952,19.8884,3.69986,
4,1152.27,3311.36,1199.84,0.347975,342.486,300.366,12.1194,0,20.6057,1550.46,300.928,507.697,276.695,405.708,216.715,8.01114,0,9.24834,750.862,216.94,380.155,214.671,24.032,5.74635,0.130142,0,3.14387,654.935,6.02952,19.8884,3.69986,
5,1152.27,3467.59,4446.31,0.332298,593.756,295.92,11.2994,0,20.4024,1474.68,296.651,505.367,269.511,4056.08,250.527,7.00841,0,9.55452,770.874,251.447,391.968,292.376,24.032,3.15209,0.130142,0,3.14387,654.935,3.2906,19.8884,3.69986,
6,1152.27,2930.93,892.34,0.393141,318.588,260.065,10.4906,0,21.2294,1356.98,260.627,476.46,226.497,426.721,196.097,6.37572,0,9.83795,578.867,198.563,367.265,176.745,24.032,3.15209,0.129224,0,3.14387,654.935,3.2906,26.9618,3.69986,
7,1152.27,2838.82,948.423,0.405898,293.779,270.339,9.77226,0,20.5161,1289.61,271.616,456.426,226.759,218.567,215.604,5.89212,0,9.98783,559.338,218.875,339.801,199.8,13.4847,3.15209,0.129224,0,3.05908,654.935,3.2906,26.9618,3.69986,
8,1152.27,2752.79,952.349,0.418583,283.937,261.216,9.28,0,20.8119,1234.04,262.042,457.119,224.341,207.586,228.397,5.15165,0,10.3474,463.425,230.622,348.593,227.29,13.4847,3.15209,0.129224,0,3.05908,654.935,3.2906,25.07,3.69986,
9,1152.27,2651.49,1455.89,0.434574,341.738,232.955,8.88455,0,20.9385,1169.93,233.597,454.155,189.295,1020.48,189.424,4.68028,0,10.3516,399.443,193.359,345.15,152.39,13.4847,3.15209,0.129224,0,3.05908,654.935,3.2906,25.07,3.69986,
10,929.472,2530.91,758.973,0.367248,276.121,223.207,8.62277,0,21.1038,1142.99,224.09,436.834,197.947,314.491,170.726,4.44229,0,10.2221,365.359,170.721,348.444,169.196,13.4847,3.15209,0.103135,0,3.05908,654.935,3.2906,25.07,3.69986,
11,929.472,2421.84,648.765,0.383788,253.223,214.02,8.19713,0,21.4449,1107.97,214.775,410.076,192.126,170.971,175.201,4.20407,0,10.3306,346.687,174.506,322.82,196.043,13.4847,3.15209,0.103135,0,3.14387,603.709,3.2906,25.07,3.69986,
12,929.472,2380.05,849.494,0.390526,259.152,213.858,7.83249,0,21.0636,1088.33,214.896,385.848,189.07,175.991,206.428,4.09026,0,10.6298,415.582,209.825,293.581,218.232,13.4847,3.15209,0.103135,0,3.14387,654.935,3.2906,25.07,3.69986,
13,929.472,2273.33,558.369,0.408859,260.761,193.32,7.85095,0,20.1914,1061.1,193.83,377.337,158.938,203.166,154.158,4.12486,0,11.2621,331.559,153.689,280.708,147.162,13.4847,3.15209,0.103135,0,2.97204,654.935,3.2906,25.07,3.69986,
14,925.151,2250.44,734.955,0.411098,251.557,188.225,7.55278,0,19.9508,1042.25,188.782,397.561,154.562,169.44,169.085,4.4102,0,11.4998,365.526,168.789,310.586,148.487,13.4847,3.15209,0.0939625,0,3.14387,654.935,3.2906,25.07,3.69986,
15,925.151,2101.66,448.209,0.440201,241.799,166.708,6.96246,0,20.1566,994.318,167.279,364.914,139.519,168.375,136.11,4.03945,0,11.4495,294.457,136.785,261.912,119.162,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,31.8888,3.69986,
16,925.151,2032.96,496.738,0.455076,233.89,166.222,6.49427,0,20.64,953.494,166.808,347.325,138.083,160.258,155.936,3.74351,0,11.4571,259.708,155.692,249.746,124.941,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,20.8544,3.69986,
17,925.151,1980.59,624.837,0.467109,219.728,161.756,6.2905,0,20.5022,942.68,162.337,332.37,134.924,147.83,160.616,4.14724,0,11.6954,324.613,160.37,249.688,124.907,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,16.4252,3.69986,
18,925.151,1975.54,1331.3,0.468302,215.865,158.775,5.90448,0,21.4146,961.915,159.583,302.848,149.236,152.333,203.965,3.82234,0,11.453,699.015,206.066,226.608,277.103,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,16.4252,3.69986,
19,925.151,1885.06,655.609,0.490781,216.901,148.119,5.89958,0,21.2487,916.159,148.7,298.847,129.181,170.785,125.682,4.12592,0,11.531,324.56,126.34,238.085,123.895,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,16.4252,3.69986,
20,925.151,1858.44,795.835,0.497809,226.357,147.624,5.53968,0,20.9457,895.553,148.201,294.993,119.23,335.771,132.122,4.19013,0,11.8324,318.813,131.779,232.009,107.814,13.4847,0.237116,0.0939625,0,3.09291,654.935,0.696099,16.4252,3.69986,
21,925.151,1757.57,492.018,0.526381,195.844,142.145,5.39542,0,21.3017,875.391,142.75,256.237,118.505,130.869,125.139,3.98835,0,11.826,303.742,125.538,187.661,102.143,10.281,0.237116,0.103135,0,3.09291,654.935,0.696099,16.4252,3.96181,
22,925.151,1870.92,1695.23,0.49449,272.125,141.924,5.53462,0,21.0943,896.744,142.571,266.431,124.496,1085.97,137.464,4.43344,0,11.8521,391.226,137.54,231.316,144.134,10.281,0.237116,0.103135,0,3.09291,654.935,0.696099,16.4252,3.96181,
23,925.151,1926.2,3450.02,0.480297,399.777,137.382,4.95773,0,21.5929,853.885,138.17,253.347,117.092,3006.75,178.709,3.90367,0,11.8408,335.432,179.001,234.028,145.797,10.281,0.237116,0.103135,0,3.09291,654.935,0.696099,14.9974,3.96181,
24,925.151,1722.69,1717.44,0.537037,267.975,123.212,4.74411,0,21.4873,835.998,123.97,242.933,102.376,1325.46,125.337,3.87649,0,12.0141,300.507,127.063,208.182,92.5481,10.281,0.237116,0.103135,0,3.08179,654.935,0.696099,14.9974,1.61532,
25,925.151,1683.55,1070.93,0.549522,193.859,127.543,4.89973,0,20.8331,860.998,128.333,241.84,105.248,305.243,144.225,4.9131,0,12.2072,435.123,143.129,223.549,114.431,10.281,0.237116,0.0753544,0,3.08179,656.631,0.696099,14.9974,1.61532,
26,925.151,1848.69,2863.2,0.500435,354.395,133.988,4.71672,0,20.2366,854.537,135.058,228.799,116.964,2379.5,207.477,4.17343,0,12.3774,423.381,208.9,210.389,209.856,3.30661,0.237116,0.0753544,0,2.89787,656.631,0.696099,14.9974,1.61532,
27,925.151,1728.19,2050.74,0.535329,266.291,118.828,4.69606,0,19.9789,848.861,119.638,251.191,98.706,1434.8,139.462,4.8058,0,12.5848,430.939,141.316,290.063,113.56,3.30661,0.237116,0.0753544,0,3.08179,656.631,0.696099,14.9974,1.61532,
28,838.312,1525.39,664.268,0.549571,167.95,98.8238,4.28386,0,19.43,821.923,99.6505,218.761,94.5698,179.39,96.3835,4.08294,0,12.9265,350.856,98.6099,204.114,96.7762,3.30661,0.237116,0.0753544,0,3.09291,656.631,0.696099,14.9974,1.61532,
29,838.312,1526.16,823.809,0.549294,153.993,115.18,3.81315,0,18.3904,794.035,116.207,221.801,102.743,121.459,167.673,3.17625,0,12.7665,266.256,166.341,235.148,163.732,3.30661,0.237116,0.0753544,0,3.03356,656.631,0.696099,14.9974,1.61532,
30,838.312,1479.53,709.331,0.566607,153.407,104.393,3.78501,0,18.3778,787.106,105.247,217.612,89.6026,131.696,130.69,3.57837,0,12.9421,289.308,131.976,212.796,102.656,3.30661,0.237116,0.0753544,0,3.03356,656.631,0.696099,14.9974,1.61532,
31,838.312,1504.41,1045.89,0.557238,158.879,100.986,3.93108,0,18.6629,805.929,101.846,220.748,93.4241,266.469,136.278,4.36894,0,12.9811,404.632,136.93,256.785,143.278,3.30661,0.237116,0.0753544,0,3.03356,656.631,0.696099,14.9974,1.61532,
32,838.312,1500.41,1870.91,0.558723,249.169,84.3155,3.539,0,18.3925,774.28,85.0538,209.14,76.5183,1338.96,83.0202,3.70262,0,13.1612,313.283,84.0225,237.943,82.2631,3.30661,0.237116,0.0753544,0,3.03356,656.631,0.696099,14.9974,1.61532,
