Individual,Heave.front.half_track_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_r,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.871181,0.00179417,0.175662,27.6331,0.000302037,0.0567825,21.8555,0.0558881,0.293048,
1,0.871179,0.00176175,0.175637,27.6331,0.000342575,0.0567808,21.8556,0.0559019,0.293046,
2,0.871315,0.00170113,0.177664,27.6349,0.00027816,0.0568748,21.8525,0.0550118,0.293204,
3,0.870999,0.00175352,0.17272,27.6305,0.000791749,0.0566586,21.8589,0.0582829,0.292912,
4,0.871077,0.00166515,0.173583,27.6315,0.000350395,0.0567132,21.8569,0.0588525,0.292969,
5,0.871018,0.00165134,0.172849,27.6308,0.000321347,0.0566718,21.8587,0.0586166,0.292943,
6,0.871045,0.0016251,0.173629,27.6311,0.000308909,0.05669,21.8579,0.058354,0.292963,
7,0.871018,0.00172172,0.173224,27.6309,0.000273268,0.0566712,21.8588,0.0581756,0.292931,
8,0.871149,0.00176323,0.175323,27.6326,0.000374668,0.0567605,21.8561,0.0565522,0.293029,
9,0.871075,0.0016172,0.173832,27.6317,0.000345025,0.0567103,21.8578,0.0576956,0.292978,
10,0.871008,0.00161894,0.17298,27.6307,0.000427111,0.0566647,21.8588,0.0586926,0.292943,
11,0.871024,0.00173335,0.173177,27.6309,0.0002989,0.0566759,21.8586,0.0585278,0.292945,
12,0.871025,0.00163966,0.172401,27.6309,0.00107668,0.0566762,21.8585,0.0586719,0.29293,
13,0.871025,0.00166838,0.173288,27.6308,0.000350637,0.0566769,21.8582,0.0588883,0.292959,
14,0.871051,0.00164965,0.173576,27.6312,0.000552145,0.056694,21.8578,0.0583684,0.292955,
15,0.870954,0.00162978,0.172285,27.63,0.000316733,0.0566271,21.8603,0.0587957,0.292925,
16,0.870881,0.00160704,0.171234,27.6292,0.000308929,0.0565766,21.8623,0.0588556,0.292899,
17,0.871029,0.00171446,0.173341,27.631,0.000298508,0.0566787,21.8585,0.0584457,0.292955,
18,0.871075,0.00177104,0.173911,27.6314,0.000425263,0.056711,21.8569,0.0587301,0.292979,
19,0.870943,0.00160247,0.171787,27.63,0.000502336,0.0566188,21.8609,0.0586449,0.292913,
20,0.871181,0.00180973,0.175309,27.6339,0.000711795,0.0567776,21.8583,0.0529201,0.293066,
21,0.871021,0.00164841,0.173153,27.6308,0.000454719,0.0566732,21.8585,0.0587247,0.29295,
22,0.871066,0.0016227,0.173921,27.6315,0.000288651,0.0567038,21.8578,0.058115,0.292978,
23,0.870978,0.00185182,0.172396,27.6304,0.00084304,0.0566427,21.8601,0.0578904,0.292905,
24,0.871177,0.00159031,0.175751,27.6325,0.000517254,0.0567826,21.8539,0.0587331,0.293062,
25,0.871182,0.00157456,0.175786,27.6329,0.000508438,0.0567844,21.8548,0.0574065,0.293077,
26,0.871029,0.00173573,0.173344,27.6309,0.00045639,0.0566794,21.8582,0.0587561,0.292955,
27,0.871177,0.00159018,0.175791,27.6325,0.000490056,0.0567826,21.8539,0.0587984,0.293067,
28,0.871007,0.00171049,0.172974,27.6307,0.000428542,0.056664,21.8589,0.0587577,0.292943,
29,0.870991,0.00160063,0.172885,27.6304,0.00037951,0.0566533,21.8591,0.0590698,0.292947,
30,0.404125,5.6132,2.39881,49.5079,0.587939,0.348626,57.7221,0.478674,3.32455,
31,1.71158,6.17245,0.075438,82.7298,21.8351,0.719877,8.4414,0.411356,2.12253,
32,2.37833,4.44024,0.72728,137.575,0.0987073,1.20108,11.1435,6.43862,1.40155,
33,2.0186,6.12856,3.41156,84.1345,21.434,0.73059,9.6474,0.348934,3.07701,
34,0.871186,0.00176548,0.175567,27.6331,0.000852266,0.0567862,21.8552,0.0565517,0.293044,
35,0.871023,0.0017528,0.173231,27.6309,0.000424786,0.0566747,21.8586,0.0586191,0.292954,
36,1.13144,4.12199,0.691302,25.4584,40.9259,0.280719,10.6667,7.75473,1.71078,
37,0.350204,4.03906,1.4543,54.2734,0.322359,0.391188,91.9981,4.64216,0.990411,
38,0.25017,4.52478,0.742303,64.6779,0.0518518,0.507354,598.939,6.31526,2.40445,
39,1.87343,4.7973,0.25654,95.1572,24.0606,0.83408,8.27556,5.39741,1.71306,
40,0.92317,2.66043,0.253931,23.1996,41.6362,0.261677,19.56,0.0565821,1.43882,
41,2.00447,5.8516,3.38114,82.399,22.0546,0.715877,9.53392,0.369696,2.50149,
42,0.228581,3.44387,2.10321,70.6307,0.512674,0.581448,170.076,5.91116,4.52064,
43,0.365788,6.16938,1.87869,51.7395,0.393176,0.372023,66.0456,0.381898,2.57892,
44,2.00814,4.74271,3.7628,78.6353,23.514,0.682895,10.0722,5.91157,2.31063,
45,0.871252,0.00170899,0.176612,27.6339,0.000464943,0.0568317,21.8536,0.0555849,0.293098,
46,0.871174,0.00165376,0.175623,27.633,0.000399164,0.0567777,21.8558,0.0558879,0.293044,
47,0.871173,0.00168364,0.175014,27.6329,0.00032744,0.056778,21.8553,0.0567735,0.293013,
48,0.871072,0.00178056,0.173533,27.6316,0.000343187,0.056709,21.8575,0.0584585,0.292971,
49,0.871111,0.00161418,0.174556,27.6321,0.000366352,0.0567346,21.8568,0.0572984,0.292993,
