Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.919272,35.1857,5.64752,1.24015,16.0273,2.52363,0.50893,1.84399,0,45.6679,1.98078,3.10231,1.19053,31.1284,6.62095,
1,1.45074,34.9923,5.62849,1.47356,14.6816,2.3886,0.941009,2.10847,0,47.1484,1.84801,4.26313,1.8685,31.1116,4.69047,
2,0.757671,35.0985,5.66342,1.18386,14.6689,2.74222,2.69257,0.834614,0,46.6168,2.19169,4.65458,1.09299,31.1081,5.83014,
3,1.01665,34.7008,5.54985,4.35837,14.2685,1.65187,0.98309,1.1669,0,46.587,1.09274,6.41785,1.11521,31.5495,5.7161,
4,0.789052,34.867,5.64217,0.889372,14.8037,2.29571,1.52966,3.92078,0,46.6782,1.74549,4.46982,1.28668,31.0537,6.73747,
5,1.41589,34.5794,5.5619,1.58697,14.2285,2.30255,1.19627,2.00505,0,46.7396,1.75918,5.9997,1.89205,31.4054,6.19669,
6,0.803261,35.0675,5.62305,3.20886,15.1751,2.08451,1.34145,0.945668,0,49.5978,1.5212,3.71915,1.8342,31.1502,5.278,
7,0.878171,34.82,5.63535,0.873741,15.579,2.41587,0.992206,2.46667,0,45.3968,1.87539,3.30313,1.88624,31.0572,10.1979,
8,0.991298,34.844,5.66794,2.96955,17.8683,2.27793,0.831453,3.86695,0,46.3889,1.74023,1.67586,1.15792,31.0462,6.39853,
9,0.59096,34.9318,5.59022,0.963248,14.2466,3.62724,0.241992,2.4893,0,44.5006,3.09891,4.95659,0.762682,31.2737,10.5695,
10,1.99541,34.5767,5.60418,2.78921,14.5871,1.89798,0.926573,4.04202,0,46.6903,1.33101,4.82096,2.2129,31.1017,5.2969,
