Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,6469.22,4848.06,0.178116,329.009,757.703,17.156,0,19.6936,3064.97,761.631,583.708,935.341,335.723,1017.51,19.918,0,15.3144,3893.05,920.178,506.307,1437.36,37.2027,17.5005,0.609342,0,3.78235,665.89,17.555,20.9071,12.6108,
1,1152.27,5127.9,2102.47,0.224706,331.357,595.095,17.0973,0,19.6022,2354.35,598.65,571.695,640.051,227.865,521.214,10.1372,0,7.85485,1272.14,526.09,364.461,664.222,38.3297,10.7778,0.609342,0,3.78235,665.89,11.3876,20.9071,2.9466,
2,1152.27,4647.65,1546.87,0.247925,328.995,502.59,17.222,0,19.5243,2192.58,504.695,560.175,521.87,216.745,417.096,9.43762,0,8.23028,905.683,420.098,370.58,468.071,38.3297,3.8507,0.665826,0,3.78235,665.89,4.99384,20.9071,2.9466,
3,1152.27,4287.88,1164.02,0.268728,323.825,428.423,17.0104,0,19.5428,2085.43,429.692,559.697,424.262,217.02,328.959,9.29465,0,8.78355,899.633,338.415,364.215,361.803,27.0133,3.8507,0.665826,0,3.78235,665.89,4.99384,20.9071,2.9466,
4,1152.27,4059.09,1181.29,0.283874,311.079,378.506,16.4072,0,20.2393,2010.19,379.73,566.674,376.258,204.612,295.253,9.37299,0,9.29576,925.971,300.735,382.715,324.565,27.0133,3.8507,0.665826,0,3.78235,665.89,4.99384,20.9071,2.9466,
5,1152.27,3787.32,992.371,0.304244,321.231,340.676,15.6651,0,20.4858,1891.56,341.574,522.034,334.094,214.581,247.802,8.85122,0,9.62601,869.642,250.421,359.154,261.436,27.0133,3.8507,0.665826,0,3.52634,665.89,4.99384,20.9071,2.9466,
6,1152.27,3629.63,928.162,0.317463,305.2,326.064,14.6889,0,20.2771,1785.18,327.06,524.903,326.25,208.655,217.764,8.3509,0,9.92865,812.714,218.732,362.807,248.224,27.0133,3.8507,0.19526,0,2.95908,665.89,4.99384,20.9071,2.9466,
7,1152.27,3592.26,1460.85,0.320765,297.502,342.026,13.5971,0,20.4675,1716.5,343.058,518.773,340.332,204.761,278.999,7.7953,0,10.1492,914.012,277.962,362.109,348.708,27.0133,3.8507,0.19526,0,2.95908,657.072,4.99384,20.9071,1.07569,
8,1152.27,3329.95,865.162,0.346033,295.645,305.727,12.728,0,20.7022,1575.74,306.589,510.684,302.135,207.632,215.963,7.36151,0,10.3408,705.211,216.393,368.827,227.793,27.0133,3.8507,0.19526,0,2.95908,657.072,4.99384,20.9071,1.07569,
9,1152.27,3233.61,1352.57,0.356342,287.925,303.214,11.6816,0,21.1458,1498.44,304.022,505.621,301.562,187.772,256.08,6.40544,0,10.5775,823.526,256.738,368.53,321.785,27.0133,3.8507,0.19526,0,2.95908,657.072,4.99384,20.9071,1.07569,
10,1152.27,3213.78,1904.89,0.358541,281.113,306.295,10.9137,0,20.7038,1473.04,307.339,505.693,308.68,168.013,309.964,6.10088,0,10.699,1047.36,312.672,370.347,402.928,27.0133,3.8507,0.19526,0,2.95908,657.072,4.99384,14.0215,1.07569,
11,1152.27,2894.71,814.643,0.398061,275.249,259.014,10.5459,0,20.8157,1324.13,259.728,499.541,245.686,169.894,192.287,5.36769,0,11.1039,520.937,189.337,382.082,210.723,21.9165,3.8507,0.19526,0,2.95908,657.072,4.99384,14.0215,1.07569,
12,1152.27,2933.82,1802.78,0.392755,275.762,269.215,10.0062,0,21.1717,1336.64,270.061,487.948,263.01,168.212,259.935,4.76338,0,11.1465,1068.16,261.117,377.299,349.07,21.9165,3.8507,0.19526,0,2.95908,657.072,4.99384,14.0215,1.07569,
13,1152.27,2659.88,604.856,0.433204,271.948,236.104,9.67973,0,21.7094,1221.4,236.634,449.068,213.339,143.287,173.309,4.39239,0,11.2081,385.612,174.669,347.342,175.079,21.9165,3.8507,0.19526,0,2.95908,657.072,4.99384,14.0215,1.07569,
14,1152.27,2598.92,884.088,0.443365,260.667,233.834,9.02147,0,22.0742,1181.85,234.43,429.29,227.752,136.685,200.958,4.37621,0,11.1233,427.471,201.456,331.038,239.633,21.9165,3.8507,0.134979,0,3.52634,657.072,4.99384,14.0215,1.07569,
