Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,187.467,1084.38,555.443,0.172879,7.46416,144.563,54.7212,72.7296,112.588,349.856,342.461,5.93867,174.625,61.0789,75.663,102.932,387.893,422.026,3.28221,25.8441,3.82824,31.0972,20.2382,12.7963,12.7372,
1,187.467,838.488,431.97,0.223577,6.88791,70.2165,68.078,80.3258,119.444,246.715,246.821,1.59004,83.6761,31.0866,29.1704,45.9212,233.505,231.011,3.28221,24.7313,3.82824,29.7235,20.2382,12.7963,12.7372,
2,187.467,715.537,477.984,0.261994,7.03775,54.5913,74.8082,87.1298,105.868,193.227,192.876,1.74688,71.9461,27.7187,28.9091,46.0417,211.574,219.067,2.73067,24.7313,3.82824,31.0972,20.2382,12.7963,12.7372,
3,187.467,728.433,639.261,0.257356,6.91466,55.1525,77.5079,90.1998,116.66,191.049,190.949,1.69519,55.517,29.4999,30.1619,66.8742,299.774,299.39,3.28221,24.6938,3.82824,31.0972,4.71735,2.97498,2.75002,
4,187.467,820.013,698.624,0.228614,7.21402,59.2761,71.8491,84.9398,108.134,244.495,244.105,1.94437,73.2406,31.9302,32.1723,69.258,320.171,319.347,2.24919,24.2315,3.82824,31.0972,20.2382,2.97498,2.75002,
5,187.467,661.162,395.174,0.283541,6.47976,45.3094,73.6092,86.757,118.651,165.299,165.057,1.67007,38.0199,32.1838,32.7692,74.6032,193.989,207.537,3.28221,24.6938,3.82824,31.0972,20.2382,2.97498,2.75002,
6,187.467,638.214,577.621,0.293736,6.89903,54.0885,71.1777,84.0544,101.349,160.62,160.025,1.7503,69.6834,34.2111,35.7288,62.1922,244.796,244.017,3.28221,25.4873,3.82824,31.0972,31.1182,3.4062,3.02818,
7,187.467,484.062,240.035,0.387278,6.98534,46.363,59.3564,71.9724,99.4515,100.143,99.7904,1.63341,23.5727,37.3124,36.9741,38.4632,140.357,132.157,3.28221,25.2652,3.82824,29.9123,31.1182,3.4062,3.02818,
8,187.467,660.243,508.536,0.283936,7.09784,52.5609,70.0471,83.4577,108.726,169.434,168.92,1.93875,43.1127,36.6816,36.3001,51.269,238.785,230.303,2.61325,25.2652,3.82824,28.1923,31.1182,3.4062,3.02818,
9,187.467,623.583,502.938,0.300628,6.96915,51.0511,62.8626,75.3583,94.9955,166.593,165.754,1.8329,51.6968,34.3844,36.329,42.8148,226.695,226.808,2.24798,25.0569,3.82824,31.0972,28.2045,3.4062,3.02818,
10,187.467,584.974,511.171,0.32047,6.73522,50.4481,67.4272,80.3817,99.1614,140.7,140.12,1.89679,35.1159,34.8434,35.8379,58.9447,237.716,236.685,2.72253,24.9598,3.82824,31.0972,16.8781,3.4062,3.02818,
11,187.467,653.96,620.825,0.286664,7.21889,63.4883,61.9924,75.7352,79.0617,183.623,182.84,2.18903,80.6672,34.8313,35.5259,35.5137,278.334,278.206,2.23315,25.2652,3.82824,27.1832,8.88549,3.4062,3.02818,
12,187.467,729.289,721.875,0.257054,7.50357,70.9365,61.7514,75.1316,89.4579,213.296,211.213,1.9355,75.3113,32.2062,32.7299,53.2029,314.944,320.023,3.40174,25.2652,3.82824,31.0972,8.88549,3.4062,3.02818,
13,187.467,431.129,300.971,0.434827,7.11934,47.5462,52.6485,64.662,85.6737,87.1342,86.3448,2.05447,38.3689,31.4783,32.3461,42.6631,175.39,188.907,2.18665,25.109,3.82824,30.3233,8.88549,3.4062,3.02818,
14,187.467,480.156,461.711,0.390429,7.07699,49.5485,45.7235,57.6772,82.9878,119.09,118.052,2.00608,46.6416,25.7792,24.9434,33.1193,209.48,209.275,2.94742,25.8344,3.82824,31.0972,8.88549,7.66306,4.34674,
15,162.792,397.889,341.364,0.40914,7.19819,53.2176,40.8281,52.3549,69.889,87.841,86.5598,2.08732,37.2234,20.7924,20.4817,34.4332,161.693,164.112,2.15861,25.9574,3.82824,31.0734,7.16874,5.71376,1.85818,
16,162.792,591.135,842.253,0.275389,6.90495,85.7271,37.951,50.8764,85.9303,162.969,160.776,2.38078,118.642,19.8782,23.2253,74.1883,334.034,331.59,2.09832,26.3523,3.82824,31.0972,14.8552,5.71376,1.85818,
17,162.792,471.654,521.159,0.345151,6.78022,64.7908,33.8068,46.0868,85.2242,118.586,116.379,2.43281,67.8094,11.8854,12.1154,73.3415,225.78,216.779,2.15861,26.2482,3.82824,30.7551,19.0207,5.71376,1.85818,
18,162.792,526.502,679.339,0.309195,7.07833,68.8677,33.9527,47.3746,75.663,149.204,144.361,2.08681,90.3766,16.4967,16.071,66.1128,289.641,283.113,2.20043,26.2482,3.82824,30.6327,14.8856,5.71376,1.85818,
19,152.499,568.86,935.313,0.268079,7.05015,76.0863,40.5189,53.8765,79.6701,157.507,154.151,2.17308,111.664,27.8582,28.991,56.9979,383.851,379.42,2.40747,24.929,3.82824,31.0972,18.3481,1.44109,0.952057,
20,152.499,635.371,858.076,0.240016,6.84748,84.865,34.6752,49.505,78.6523,195.187,185.639,2.41113,111.881,18.5101,22.0166,77.5146,348.336,332.146,2.43425,25.1431,3.82824,31.0972,14.8557,5.71376,1.85818,
21,152.499,544.217,781.766,0.280217,6.34124,59.913,34.0059,46.8374,58.2547,170.27,168.595,2.11388,69.1656,21.0483,20.8262,44.9305,349.072,347.107,2.43425,25.1337,3.82824,31.0972,18.3481,5.71376,1.85818,
