Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,2138.12,5460.5,1092.37,0.391562,273.719,0,1144.93,6.76611,335.524,3076.22,297.848,269.366,56.1165,338.943,0,1450.79,6.96734,411.538,2605.14,264.984,336.744,63.5971,14.9851,0,48.389,0.308665,73.4056,1245.86,95.7878,14.9403,3.88896,
1,2138.12,4957.98,1147.44,0.431249,259.376,0,745.004,6.20411,291.41,3059.81,282.401,257.71,56.0631,186.986,0,769.763,2.81771,182.906,795.322,145.636,183.234,21.2505,35.235,0,48.389,0.308665,85.1363,1245.86,95.7878,35.2174,3.88896,
2,2138.12,4413.51,1057.93,0.484449,223.449,0,554.284,5.8205,249.804,2839.16,267.334,223.411,50.2482,215.077,0,555.91,2.88331,130.813,734.89,121.881,214.975,19.6522,7.66309,0,48.389,0.308665,76.2558,1245.86,95.7878,6.99943,2.69772,
3,2138.12,4279.84,1328.98,0.499579,230.078,0,644.495,5.08356,203.866,2654.7,265.699,230.049,45.8785,233.392,0,672.264,3.15528,110.2,720.011,127.352,232.378,19.598,4.08339,0,59.1202,0.268134,72.3716,1245.86,55.97,3.96712,2.69772,
4,2138.12,4401.32,1584.08,0.485791,242.427,0,724.039,5.50481,240.679,2593.74,309.88,241.843,43.2131,285.811,0,761.976,3.54299,187.437,869.52,175.756,284.049,23.7134,5.61727,0,36.9179,0.204495,71.6704,1245.86,41.0195,5.06474,2.69772,
5,2138.12,4483.24,2445.55,0.476914,267.448,0,650.196,5.04872,261.984,2705.13,281.28,266.108,46.0535,350.398,0,801.987,3.4317,341.26,1058.07,125.79,348.397,26.1853,3.36815,0,59.1202,0.204495,70.3595,1245.86,72.8014,3.75201,2.69772,
6,2138.12,3909.91,1564.75,0.546846,219.055,0,491.531,4.69631,171.266,2454.84,309.209,219.212,40.1072,273.096,0,656.059,3.25796,136.557,865.746,105.893,273.755,24.3457,2.24802,0,34.5051,0.540164,71.9233,1245.86,119.692,2.06957,2.69772,
7,2138.12,3757.9,1926.05,0.568967,284.773,0,381.199,5.43322,223.111,2223.5,321.939,284.335,33.6056,302.775,0,530.099,3.59993,268.588,948.041,167.323,300.095,24.6978,5.06145,0,43.9021,0.257189,70.0368,1210.52,72.7526,5.38162,2.69772,
8,2033.63,3593.67,1782.66,0.565893,240.279,0,505.599,5.48486,159.479,2131.47,280.031,240.43,30.8905,280.963,0,702.57,3.77343,109.386,1000.49,135.01,280.687,26.2505,10.4107,0,43.9021,0.19087,70.0368,1210.52,72.7526,10.2521,1.99409,
9,2033.63,3416.75,1930.81,0.595194,213.221,0,543.018,5.00193,149.823,1957.76,309.383,212.289,26.2545,221.902,0,797.601,3.64522,117.878,899.625,152.425,220.24,24.7023,2.73843,0,43.9021,0.156146,69.7445,1196.58,72.7526,2.60881,1.99409,
10,2033.63,3390.29,1988.41,0.599839,265.85,0,569.948,5.72649,189.242,1784.41,288.053,265.114,21.9561,238.947,0,836.595,3.32083,205.888,908.626,173.219,237.161,23.9878,1.0011,0,43.9021,0.580546,70.0368,1196.58,58.5463,0.340204,1.99409,
11,2033.63,3473.53,2675.15,0.585465,266.36,0,548.794,5.14147,230.335,1838.49,298.756,263.704,21.9444,199.489,0,933.99,3.43262,515.829,1230.4,187.886,192.965,27.3047,12.5622,0,32.9215,0.580546,70.0368,1187.61,58.5463,12.3822,1.99409,
12,1802.97,3371.35,2500.17,0.534793,294.735,0,518.918,5.77762,221.606,1758.22,258.438,293.165,20.4883,283.839,0,765.733,3.76024,333.674,1058.39,128.618,284.98,26.0221,28.0461,0,43.9483,0.580546,65.2621,1196.58,58.5463,27.7497,1.99409,
13,1802.97,3423.47,2613.46,0.526651,295.483,0,564.049,4.67746,245.537,1739.76,261.691,291.845,20.4272,289.897,0,1011.56,3.43532,305.828,1035.22,91.7766,286.957,26.2807,28.0461,0,32.3154,0.349838,70.0368,1195.85,58.5463,27.7497,1.99409,
14,1802.97,3446.29,2279.23,0.523163,322.975,0,550.474,5.21545,216.636,1726.69,281.189,322.18,20.9297,387.505,0,858.538,3.68154,241.185,1002.51,161.908,385.841,26.8704,28.0461,0,43.9483,0.349838,70.0368,1195.85,44.1775,27.7497,2.12526,
15,1802.97,2921.03,1878.09,0.617238,275.245,0,421.43,4.67526,186.737,1520.47,225.917,272.398,14.1611,298.932,0,726.51,3.77167,194.658,650.848,99.3776,289.303,17.4378,28.0461,0,43.9483,0.349838,70.0368,1195.85,58.5463,27.7497,2.63902,
16,1695.98,2981.88,2154.89,0.568761,199.437,0,565.035,4.6845,200.451,1575.38,222.363,198.582,15.9475,210.434,0,987.743,3.35138,232.565,886.649,142.916,208.859,23.4664,5.60437,0,40.6611,0.349838,70.0368,1195.85,48.4619,5.44583,2.68303,
17,1571.71,2924.32,2223.39,0.537461,231.841,0,457.807,4.40377,174.651,1596.57,213.295,229.424,16.3274,287.808,0,820.144,3.31734,201.167,832.946,122.938,283.463,22.1407,7.25712,0,43.9483,0.245989,72.1897,1195.85,13.2795,4.6922,2.68303,
18,1571.71,3509.48,2604.94,0.447847,251.901,0,713.639,4.45449,231.781,1831.36,201.652,252.776,21.9157,321.918,0,1073.79,3.49418,288.01,1134.23,107.596,322.931,29.7595,7.25712,0,43.9483,0.357158,71.8743,1205.59,44.8412,4.6922,2.68303,
19,1548.06,2388.4,1758.05,0.648158,146.943,0,229.158,3.66016,128.051,1506.28,214.194,146.752,13.3601,278.742,0,644.673,2.65241,168.247,731.51,114.316,279.193,22.0451,3.31915,0,43.9483,0.283962,70.5669,1220.78,54.026,2.21199,2.4036,
20,1548.06,2861.34,2458.72,0.541027,196.46,0,381.225,4.75282,198.942,1640.57,227.175,194.581,17.6316,394.038,0,726.874,2.96918,323.588,892.425,149.704,389.158,23.7337,2.23847,0,44.354,0.109218,70.5669,1220.78,76.0467,1.36814,2.4036,
21,1548.06,3360.02,2939.32,0.460729,211.607,0,687.937,4.10073,240.802,1724.86,263.799,208.057,18.8665,337.065,0,1153.86,2.46347,335.9,1011.02,205.504,332.018,25.9335,2.23847,0,44.7599,0.109218,66.5835,1220.78,76.0467,1.36814,2.70393,
22,1548.06,2784.64,2244.02,0.555928,177.539,0,368.497,4.25125,162.916,1670.23,207.558,175.662,17.9876,319.679,0,746.971,2.94725,267.648,950.534,134.017,315.148,25.0822,1.39188,0,44.7599,0.109218,70.4246,1220.78,63.9281,1.36814,2.45908,
23,1528.06,3096.34,2794.03,0.493505,216.483,0,556.779,4.30809,233.106,1624.15,231.031,213.666,16.8131,384.187,0,994.294,2.71179,326.035,877.897,141.339,382.275,22.1564,1.39188,0,44.7599,0.0162357,70.9258,1220.35,63.9281,1.33142,2.45908,
24,1528.06,2837.72,2567.43,0.53848,158.649,0,545.362,4.82696,188.105,1520.57,247.688,157.044,15.4777,321.561,0,1065.65,2.94983,273.608,767.393,201.432,317.897,20.567,1.39188,0,44.7599,0.0162357,67.635,1220.97,61.6951,1.33142,2.45908,
