Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1883.87,5278,1242.59,0.356929,269.721,0,1066.36,7.00564,320.943,3007.28,278.03,264.471,64.1928,354.424,2.27209e-05,1301.62,3.25752,420.602,3145,282.455,342.363,73.9517,3.67152,0,46.4008,0.308715,10.3318,1210.8,2.51075,3.59725,3.18211,
1,1883.87,4773.1,950.138,0.394685,264.342,0,843.591,6.82105,279.169,2797.01,257.679,263.315,61.1759,182.54,0,665.866,2.97759,196.912,1024.49,136.389,180.952,32.2138,10.8002,0,46.4008,0.308715,7.70135,1210.8,2.51075,10.4254,3.18211,
2,1883.87,4445.41,765.899,0.423779,269.072,0,712.014,6.81459,278.355,2618.43,235.162,268.343,57.2176,183.568,0,593.796,2.84047,193.091,855.756,136.552,182.771,27.7677,10.8002,0,18.3238,0.0250837,7.70135,1210.8,2.51075,10.4254,3.18211,
3,1883.87,4387.58,1329.93,0.429365,288.634,0,725.994,6.53035,273.05,2511.44,239.443,287.633,54.853,262.401,0,678.207,2.87514,230.275,791.156,147.294,260.805,24.2314,3.31105,0,18.3238,0.0250837,7.70135,1210.8,2.51075,2.71017,3.18211,
4,1883.87,4035.13,747.709,0.466868,245.037,0,550.671,6.6572,229.666,2469.28,233.486,244.825,55.5086,167.766,0,479.413,2.70913,146.984,674.206,134.515,167.446,21.1361,3.31105,0,18.3238,0.308715,7.70135,1210.8,10.5343,2.71017,3.18211,
5,1883.87,3829.62,705.292,0.491922,215.216,0,550.436,6.4234,208.313,2357.68,223.538,215.123,52.8894,152.88,0,451.194,2.75707,136.687,653.501,116.593,152.927,19.8316,3.31105,0,18.3238,0.308715,4.3485,1210.8,10.5343,2.71017,4.6863,
6,1738.38,3679.81,1129.99,0.472411,202.493,0,562.53,6.49591,189.173,2248.8,218.769,202.37,49.1791,142.286,0,610.008,2.53711,142.539,755.532,110.894,142.369,22.7732,3.31105,0,18.3238,0.308715,4.9647,1210.8,14.1505,2.71017,3.70722,
7,1738.38,3352.93,925.534,0.518465,212.186,0,495.224,6.63593,177.755,1979.34,228.553,211.977,41.2624,180.84,0,424.376,2.60567,151.393,638.64,125.173,181.198,20.5675,3.31105,0,23.037,0.308715,7.1838,1205.58,14.1505,2.71017,3.65076,
8,1569.13,3015.9,578.045,0.520288,210.129,0,445.817,6.51858,139.947,1759.91,208.921,210.184,34.4669,159.439,0,332.985,2.34498,109.106,528.928,98.9035,159.69,18.2562,3.31105,0,23.037,0.308715,4.28558,1205.58,14.1505,2.71017,3.65076,
9,1569.13,2978.53,809.169,0.526815,201.115,0,474.388,6.98648,124.274,1725.72,214.138,199.112,32.7967,168.205,0,368.384,2.29541,137.568,534.368,127.458,162.932,17.7234,5.54824,0,23.037,1.0675,1.8204,1205.58,14.1505,4.64907,3.65076,
