Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.158845,14.0058,0.040072,0.00151999,1204.68,0,12.0454,0.0101072,9.55084,
1,0.151546,14.3645,0.0415373,0.0053188,1204.68,0,11.6969,0.0153204,9.54773,
2,0.157143,14.0836,0.0438379,0.00307313,1204.69,0,11.9692,0.0114103,9.5503,
3,0.158919,14.3225,0.039128,0.00345199,1204.69,0,11.7357,0.00993547,9.54964,
4,0.150476,14.3241,0.0411314,0.0012249,1204.68,0,11.7407,0.016345,9.54898,
5,0.160484,14.5903,0.0435918,0.00133559,1204.68,0,11.4675,0.0104804,9.5496,
6,0.159204,14.8005,0.0391102,0.00292993,1204.68,0,11.2629,0.00990482,9.54881,
7,0.148041,13.9825,0.0427241,0.00462868,1204.69,0,12.0732,0.019533,9.54946,
8,0.15045,14.5642,0.0425579,0.00605745,1204.68,0,11.4914,0.0176315,9.5496,
9,0.160988,14.5581,0.0438605,0.000977874,1204.68,0,11.4969,0.0102928,9.55073,
10,0.157563,14.5986,0.042649,0.00572271,1204.68,0,11.4577,0.0110668,9.54965,
11,0.162658,14.1883,0.0415466,0.00219029,1204.69,0,11.8657,0.0107703,9.55046,
12,0.161015,14.5247,0.0408959,0.00152544,1204.68,0,11.5345,0.0102729,9.55088,
13,0.157015,14.6488,0.0440537,0.00224055,1204.68,0,11.4088,0.0117751,9.55059,
14,0.154425,13.9792,0.0439842,0.00618813,1204.68,0,12.0761,0.0124846,9.55088,
15,0.14418,14.5041,0.0429227,0.00403962,1204.68,0,11.5563,0.0244734,9.54882,
16,0.146502,14.4569,0.0445799,0.00547526,1204.68,0,11.6002,0.0218986,9.54954,
17,0.159479,14.6693,0.0401324,0.00210692,1204.68,0,11.3922,0.00977906,9.55068,
18,0.166558,14.536,0.0416828,0.00148069,1204.68,0,11.5189,0.0123923,9.54891,
19,0.159673,14.7235,0.0401995,0.00256347,1204.69,0,11.3378,0.00970721,9.54954,
20,0.161778,14.5831,0.0403081,0.00685007,1204.68,0,11.4744,0.00987662,9.54961,
21,0.156605,14.7104,0.0418388,0.00570142,1204.68,0,11.3499,0.0113169,9.54947,
22,0.161181,14.4974,0.0455978,0.000597352,1204.68,0,11.5622,0.0112478,9.54962,
23,0.153521,14.453,0.0451894,0.00176569,1204.69,0,11.6074,0.0131448,9.55107,
24,0.143684,14.4616,0.0476131,0.00599781,1204.68,0,11.5954,0.0251004,9.54961,
25,0.158261,14.1521,0.0515837,0.00101247,1204.68,0,11.8977,0.0160368,9.54961,
26,0.165332,13.9989,0.0433809,0.00444346,1204.69,0,12.0526,0.0110268,9.5496,
27,0.145827,14.3885,0.0470244,0.00208734,1204.69,0,11.6692,0.0221875,9.55021,
