Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.0170402,2.16256,0,4.65706,663.937,46.7183,0.102343,0.536734,0.0238342,
1,0.0183971,2.16254,0,4.65723,663.937,46.7204,0.101121,0.534478,0.0238698,
2,0.0173216,2.16256,0,4.65719,663.937,46.7182,0.102162,0.536704,0.0238993,
3,0.0178598,2.16255,0,4.65703,663.937,46.7209,0.101652,0.534251,0.0238755,
4,0.0158197,2.1626,0,4.65718,663.937,46.7218,0.103614,0.533129,0.0239257,
5,0.0167415,2.16257,0,4.65737,663.937,46.7206,0.10268,0.534441,0.0238986,
6,0.0173125,2.16258,0,4.65724,663.937,46.7197,0.102128,0.535197,0.0238703,
7,0.0163557,2.16257,0,4.65721,663.937,46.7189,0.103062,0.536296,0.0239143,
8,0.0163965,2.16256,0,4.65718,663.937,46.7197,0.103077,0.535434,0.0239867,
9,0.0163262,2.16262,0,4.6572,663.937,46.7205,0.103093,0.534382,0.0239138,
10,0.0174297,2.16256,0,4.65709,663.937,46.7214,0.10209,0.5336,0.0239412,
11,0.0164373,2.16256,0,4.65703,663.937,46.7185,0.103031,0.536627,0.0239895,
12,0.0157988,2.16258,0,4.65714,663.938,46.7199,0.103651,0.535028,0.0239204,
13,0.0167987,2.16256,0,4.65724,663.937,46.7212,0.102636,0.533859,0.0238985,
14,0.017626,2.16257,0,4.65725,663.937,46.7212,0.101861,0.533668,0.0238689,
15,0.0174269,2.16256,0,4.6571,663.937,46.7228,0.102029,0.532285,0.0238635,
16,0.0159897,2.16259,0,4.6572,663.937,46.7202,0.103462,0.534712,0.0239397,
17,0.0176108,2.16257,0,4.65715,663.937,46.72,0.101914,0.534957,0.0239055,
18,0.0171198,2.16257,0,4.65737,663.937,46.7202,0.102262,0.53487,0.0238334,
19,0.017783,2.16255,0,4.65741,663.937,46.7202,0.101683,0.534951,0.02384,
20,0.0155191,2.16256,0,4.6572,663.937,46.7205,0.103953,0.534554,0.0239243,
21,0.0167783,2.16258,0,4.65716,663.937,46.7215,0.102653,0.53357,0.0238989,
22,0.0175423,2.16257,0,4.65733,663.937,46.7205,0.101936,0.534433,0.0238836,
23,0.0177052,2.16255,0,4.65718,663.937,46.7216,0.101775,0.533621,0.0238675,
24,0.0163575,2.16257,0,4.65727,663.937,46.7192,0.103113,0.535768,0.0239447,
25,0.0161053,2.16262,0,4.65727,663.938,46.7179,0.1033,0.536863,0.0238809,
26,0.0168012,2.16261,0,4.65721,663.938,46.7182,0.102609,0.536863,0.0238805,
27,0.0159431,2.1626,0,4.65725,663.937,46.7201,0.103438,0.535137,0.0238746,
28,0.0162968,2.1626,0,4.65704,663.937,46.7174,0.103104,0.537938,0.0239029,
29,0.0169009,2.16259,0,4.65695,663.938,46.7188,0.102636,0.536241,0.0239803,
30,0.0155485,2.16257,0,4.65714,663.937,46.7216,0.103973,0.533394,0.0239839,
31,0.0160794,2.16261,0,4.65719,663.938,46.7198,0.103361,0.535155,0.0239245,
32,0.0169687,2.16255,0,4.65746,663.937,46.7218,0.102471,0.53322,0.0238996,
33,0.0157405,2.1626,0,4.65744,663.937,46.7213,0.103633,0.533736,0.0238618,
34,0.0164133,2.16262,0,4.65721,663.938,46.7198,0.102965,0.53521,0.023863,
35,0.0166529,2.16256,0,4.65733,663.938,46.7195,0.102764,0.535543,0.023884,
36,0.0166324,2.1626,0,4.65731,663.938,46.7201,0.102722,0.534928,0.0238302,
37,0.0169205,2.16256,0,4.65743,663.937,46.7205,0.102427,0.534569,0.0238163,
38,0.0168286,2.1626,0,4.65741,663.937,46.7211,0.102503,0.534072,0.0238151,
39,0.0170535,2.16261,0,4.6574,663.938,46.7201,0.102342,0.53475,0.0238388,
40,0.0166425,2.16262,0,4.65735,663.937,46.721,0.102759,0.534071,0.0238915,
41,0.0180362,2.16258,0,4.65738,663.937,46.7201,0.101453,0.535023,0.0238737,
42,0.0163502,2.16256,0,4.65698,663.938,46.7215,0.103148,0.533681,0.0239713,
43,0.0172632,2.1626,0,4.65717,663.937,46.7222,0.102206,0.532886,0.0239204,
44,0.017804,2.16258,0,4.65729,663.937,46.7211,0.101698,0.534137,0.0238956,
45,0.0155764,2.1626,0,4.65714,663.938,46.7204,0.10386,0.534706,0.0239296,
46,0.0170216,2.16259,0,4.65725,663.938,46.7217,0.102377,0.533467,0.0238496,
47,0.0160711,2.16262,0,4.65715,663.938,46.7208,0.103315,0.53422,0.023905,
48,0.0167757,2.16256,0,4.65736,663.937,46.7206,0.102659,0.534609,0.0238975,
49,0.0170187,2.1626,0,4.65732,663.937,46.7183,0.10244,0.536734,0.0239149,
50,0.0184903,2.16256,0,4.65743,663.937,46.7193,0.101092,0.53583,0.0238935,
51,0.0151638,2.1626,0,4.65724,663.937,46.7173,0.104298,0.537836,0.0238705,
52,0.0159497,2.16264,0,4.65727,663.938,46.719,0.103465,0.535888,0.0239097,
53,0.015788,2.16262,0,4.6571,663.938,46.7231,0.10363,0.531898,0.0239085,
54,0.017388,2.16256,0,4.65752,663.937,46.7204,0.102103,0.534618,0.0239101,
55,0.0166528,2.16256,0,4.65703,663.937,46.7219,0.102858,0.533402,0.0239636,
56,0.0168985,2.16259,0,4.65727,663.938,46.7221,0.102498,0.532916,0.02386,
57,0.0169378,2.16259,0,4.65725,663.937,46.7227,0.102479,0.532517,0.0238787,
58,0.0169094,2.16263,0,4.65723,663.938,46.7214,0.102498,0.533643,0.0238782,
59,0.0167019,2.16257,0,4.65728,663.937,46.7181,0.102715,0.537129,0.0238833,
60,0.0157886,2.16258,0,4.65718,663.937,46.7206,0.103664,0.534647,0.0239526,
61,0.0170359,2.16261,0,4.65716,663.938,46.7197,0.102468,0.535337,0.0239498,
62,0.0172569,2.16258,0,4.65737,663.937,46.7222,0.102193,0.533008,0.0238939,
63,0.0174746,2.16262,0,4.6572,663.938,46.7181,0.102003,0.536975,0.0238941,
64,0.0171992,2.16258,0,4.65722,663.938,46.7212,0.10224,0.533945,0.0238637,
65,0.0168194,2.16258,0,4.65711,663.938,46.7179,0.102675,0.537288,0.0239674,
66,0.0175613,2.1626,0,4.65734,663.937,46.7169,0.101927,0.538225,0.023898,
67,0.0154933,2.16262,0,4.65714,663.938,46.7202,0.103937,0.534816,0.0239116,
68,0.0172131,2.16258,0,4.65726,663.937,46.7199,0.102221,0.535381,0.0238699,
69,0.0168201,2.16258,0,4.65714,663.938,46.7207,0.102632,0.534472,0.0239142,
70,0.0170415,2.16254,0,4.65725,663.937,46.7216,0.102403,0.533811,0.0238917,
71,0.0177057,2.1626,0,4.65721,663.937,46.7209,0.101746,0.534416,0.023849,
72,0.0179721,2.16256,0,4.6574,663.937,46.7236,0.101573,0.531614,0.0239089,
73,0.0157302,2.16258,0,4.65716,663.937,46.7211,0.103705,0.534237,0.0239873,
74,0.0154457,2.16261,0,4.65743,663.937,46.7234,0.103977,0.53169,0.0239256,
75,0.0173537,2.16257,0,4.65721,663.938,46.7213,0.102076,0.53396,0.0238446,
76,0.0181678,2.16254,0,4.65742,663.937,46.7238,0.101359,0.531336,0.023853,
