Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,2204.68,6745.49,2164.88,0.326838,57.9567,0,309.137,318.126,7.02307,2660.95,313.688,2687.53,391.077,68.8408,0,397.707,414.217,7.6141,2920.19,393.508,2513.32,373.97,3.18211,0,15.3887,15.8028,0.493028,878.472,15.4129,538.489,8.30208,
1,2204.68,5890.23,1534.68,0.374295,52.6835,0,292.924,285.896,6.52682,2361.63,294.218,2239.03,357.317,33.9205,0,211.894,212.714,3.19779,1154.15,213.842,1483.18,227.499,3.18211,0,15.3887,6.80183,0.171561,876.462,15.4129,323.262,6.86776,
2,1987.79,5460.56,2755.77,0.364027,49.0164,0,284.768,260.095,6.46024,2176.09,285.564,1850.42,548.144,30.9586,0,204.531,183.627,3.31138,1069.39,205.763,1344.47,1541.13,3.18211,0,10.3481,6.80183,0.171561,876.462,11.5921,323.262,9.04538,
3,1987.79,5002.11,1688.46,0.39739,43.2403,0,303.225,263.136,6.29211,1928.46,303.974,1756.01,397.784,26.0801,0,262.798,185.837,3.28508,918.026,262.528,1223.03,299.956,3.18211,0,4.49112,3.12363,0.171561,876.462,4.10904,323.262,9.04538,
4,1987.79,4681.26,1280.33,0.424627,42.3318,0,253.891,241.15,6.15223,1889.65,254.317,1539.66,454.113,25.3849,0,176.09,163.133,3.36589,889.357,176.724,1000.22,312.58,3.18211,0,4.49112,3.12363,0.171561,874.617,4.10904,323.262,9.04538,
5,1987.79,4326.63,1325.59,0.459432,36.9777,0,278.477,233.208,5.73091,1680.38,278.838,1403.23,409.784,23.6216,0,268.844,158.429,3.3833,822.317,269.242,822.582,299.649,4.39266,0,4.49112,3.12363,0.131302,874.617,4.10904,511.569,12.8047,
6,1987.79,3802.51,844.794,0.522758,31.8919,0,227.117,206.711,5.35592,1488.29,227.404,1211.55,404.195,17.7507,0,158.333,143.888,3.37919,568.629,159.328,609.232,288.449,4.39266,0,4.83991,3.12363,0.171561,874.617,7.36793,499.884,12.8047,
7,1987.79,3615.43,1423.48,0.549808,28.8045,0,219.087,181.798,4.81753,1373.31,219.331,1197.15,391.14,16.084,0,199.832,122.148,3.24439,498.688,199.892,921.94,269.777,4.39266,0,2.49629,3.12363,0.171561,858.67,4.73039,445.431,12.8047,
8,1987.79,3996.88,6293.05,0.497336,27.1229,0,225.161,196.871,4.5725,1351.25,225.801,1099.94,866.158,19.5473,0,204.543,203.32,3.15661,693.713,204.679,788.346,4955.47,3.83123,0,2.49629,3.12363,0.171561,858.67,4.73039,430.962,7.43522,
9,1987.79,3608.49,2898.51,0.550865,26.278,0,206.797,169.658,4.31644,1328.73,207.164,1199.7,465.846,18.6043,0,243.082,178.418,3.1206,610.191,245.285,1194.97,1261.07,3.83123,0,2.49629,3.12363,0.159174,858.67,4.73039,430.962,12.8047,
10,1913.47,3136.93,1389.39,0.609982,24.0947,0,188.513,149.951,4.32525,1259.67,188.947,977.388,344.035,18.2398,0,246.038,180.112,3.10471,602.942,247.998,577.894,267.092,3.54086,0,2.49629,3.12363,0.103159,858.67,4.73039,383.326,13.8225,
11,1854.5,3555.77,3460.05,0.521548,23.2562,0,192.316,173.317,4.75986,1257.66,195.504,1147.7,561.259,17.9912,0,219.74,204.259,3.14494,683.044,229.555,1278.89,1819.37,3.83123,0,2.49629,2.54833,0.103159,858.67,4.73039,204.953,13.8225,
12,1644.16,3811.43,8317.64,0.431376,23.8017,0,174.476,148.872,4.27034,1287.56,174.956,992.844,1004.64,23.1538,0,248.474,208.402,3.07598,825.291,252.494,1051.68,7160.64,2.67001,0,1.70624,3.15738,0.103159,858.67,3.87178,204.953,17.7204,
13,1644.16,2972.11,1997,0.553197,20.0486,0,178.425,140.775,4.35674,1143.75,179.088,1000.43,305.231,15.2577,0,235.276,144.299,2.93849,501.36,235.526,1132.97,561.257,2.67001,0,1.70624,3.15738,0.103159,858.67,3.87178,204.953,17.7204,
14,1644.16,2543.1,950.672,0.646519,18.2129,0,121.584,113.62,4.05091,1090.36,121.775,787.184,286.309,13.6155,0,131.975,87.1551,2.66678,447.945,131.601,433.679,227.603,2.67001,0,1.70624,2.43798,0.103159,858.67,3.87178,204.953,17.7204,
15,1644.16,2830.62,1872.34,0.580848,21.1545,0,163.31,137.42,4.59239,1214.12,164.839,831.564,293.619,20.4431,0,260.398,163.421,3.01289,721.039,258.155,620.099,224.055,2.67001,0,0.845916,2.43798,0.103159,858.67,0.98737,204.953,17.7204,
