Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,487.254,2652.75,1488.89,0.183679,47.7205,149.996,32.491,4.19747,126.696,8.96559,372.52,334.984,0,569.742,3.44244,56.3699,47.7308,675.681,222.213,63.0699,173.388,70.7163,4.90037,154.185,11.1067,640.422,697.704,3.04865e-05,623.387,3.8004,58.658,52.7826,831.077,245.503,0.459834,20.3507,11.6221,0.828003,12.4363,0.0795775,0.000377273,0.000434748,0,16.8132,0.161637,1.79885,1.09295,32.6503,18.8758,
1,487.254,2904.5,3251.3,0.167759,153.769,126.404,36.6308,4.03144,127.032,6.87388,308.928,447.298,0,445.394,3.40435,56.3916,153.816,491.791,542.733,339.491,82.868,63.018,2.61739,86.7599,4.72873,393.471,804.596,0,318.153,2.76715,44.72,315.614,376.453,2552.87,0.459834,20.3507,5.8599,0.787226,12.4363,0.0795775,0.000377273,0.000434748,0,16.8132,0.0409956,1.4802,1.09295,32.6503,18.8758,
2,487.254,2599.41,1638.36,0.187448,135.874,135.555,29.219,3.89783,121.748,6.23568,292.851,489.565,0,445.707,3.21913,55.5071,135.866,469.389,274.774,230.653,87.8219,19.1925,2.35587,84.7857,4.19821,318.821,966.578,0,324.071,2.46202,44.4434,232.379,337.84,288.204,0.459834,20.3507,12.7023,0.828003,12.4363,0.0795775,0.000377273,0.000434748,0,16.8132,0.161637,1.79885,1.09295,30.1293,18.8758,
3,487.254,2594.7,1541.94,0.187789,165.163,129.126,32.6349,3.65207,112.618,5.93321,271.632,516.45,0,437.817,3.03934,53.325,165.179,407.678,290.449,306.759,85.6534,20.5823,2.34983,85.213,4.1307,335.064,873.768,0,313.144,2.47262,45.5379,307.086,307.531,217.279,1.68288,9.56171,1.63457,0.828003,12.4363,0.0719304,0.000377273,0.000434748,0,16.8132,0.161637,1.79885,1.71591,31.1898,18.8758,
4,487.254,2344.58,1001.89,0.207822,126.307,122.639,32.5781,3.61202,108.793,6.15548,228.286,419.19,0,427.868,2.96232,53.4585,126.257,409.175,277.298,171.273,82.236,18.8714,2.43142,83.1577,4.13676,201.309,608.648,0,298.512,2.51415,43.8649,171.125,316.137,158.433,1.68288,20.3507,12.7043,0.828003,12.4363,0.0795775,0.000377273,0.000434748,0,16.8132,0.0582274,1.69895,1.71591,32.493,18.8758,
5,487.254,2382.32,1117.73,0.20453,147.285,118.84,32.3063,3.57521,113.803,5.8345,253.374,441.349,0,402.908,2.93851,52.9204,147.236,398.453,261.492,214.509,80.5285,18.8695,2.40758,80.6025,4.03707,245.644,608.764,0,283.94,2.49235,41.9669,211.494,307.057,152.886,1.68288,20.3507,12.7043,0.828003,12.4363,0.135697,0.000377273,0.000434748,0,16.8132,0.161637,2.40303,1.71591,32.6503,18.8758,
6,487.254,2398.71,1183.28,0.203132,152.78,115.273,35.4974,3.78568,97.9825,6.28725,256.825,440.795,0,408.457,3.13515,48.4962,152.722,408.799,267.875,268.847,85.4266,32.8644,2.41521,75.9567,4.05749,222.819,612.968,0,291.792,2.5158,37.6636,267.692,321.508,143.426,1.68288,8.57282,11.9855,0.714375,12.4363,0.135697,0.000377273,0.000434748,0,16.8132,0.161637,2.1084,1.71591,31.6341,18.8758,
7,487.254,2510.36,2233.52,0.194097,133.204,118.175,34.262,3.9763,106.697,6.08457,307.045,579.723,0,396.539,3.30566,55.4944,133.167,366.649,266.04,178.197,81.1373,18.5795,2.47034,74.9199,3.92379,563.206,1486.65,0,284.154,2.54435,39.6524,180.378,306.281,141.445,1.68288,16.3336,12.7043,0.828003,12.4363,0.135697,0.000377273,0.000434748,0,16.8132,0.161637,2.40303,1.71591,32.2728,18.8758,
8,487.254,2752.56,2168.19,0.177019,211.078,114.105,32.1363,3.8708,98.3634,6.45604,337.621,574.852,0,403.307,3.2025,47.3298,211.027,434.747,274.464,391.024,82.5389,21.0708,2.3979,75.098,4.53107,560.569,1202.65,0,304.825,2.4981,37.2961,380.777,345.517,142.465,1.68288,3.59098,7.69843,0.828003,12.4363,0.110958,0.000377273,0.000434748,0,16.8132,0.161637,2.10787,1.71591,27.2332,18.8758,
9,487.254,2449.01,1415.42,0.198959,152.231,113.118,31.1919,3.9692,100.68,6.06408,289.541,451.477,0,397.373,3.32704,48.3824,152.18,424.859,274.622,271.932,82.205,18.3302,2.5486,74.3169,4.62026,358.854,686.66,0,275.59,2.62411,37.5051,283.239,347.08,195.726,1.68288,16.3336,10.9699,0.828003,12.4363,0.135697,0.000377273,0.000434748,0,16.8132,0.161637,2.40303,1.71591,32.6503,18.8758,
