Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Steering.front.tie_rod_angle_front_view_l.best,
16,64.5928,113.725,24.2771,0.567972,6.40861,2.43672,64.159,0.730115,2.08576,5.90218,0.34613,25.2211,1.43972,2.45695,2.53898,7.03655,1.99134,19.2279,0.481063,0.679587,7.58128,0.0747009,12.9375,0.456232,0.814053,1.46827,0.0961765,0.0277505,24.3195,0.0184124,0.485343,0.149539,0.124375,1.11903,0.126829,0.721238,0.753842,
17,64.5928,113.598,24.3783,0.568608,6.48312,2.42737,63.949,0.730459,2.07808,5.872,0.346432,25.2776,1.42962,2.44894,2.55552,7.46441,1.99302,18.8121,0.485327,0.672249,7.45496,0.071785,13.0421,0.451232,0.811392,1.55778,0.0961765,0.0277505,24.3195,0.0184124,0.485343,0.149539,0.124375,1.11903,0.126829,0.721238,0.753842,
18,64.5928,113.571,24.3697,0.568744,6.47152,2.42911,63.9604,0.731345,2.07851,5.86184,0.346202,25.2665,1.42779,2.4444,2.55331,7.46896,1.9926,18.8168,0.486142,0.672355,7.45126,0.0720455,13.0455,0.451314,0.807654,1.55815,0.0961765,0.0277505,24.3195,0.0184124,0.485343,0.149539,0.124375,1.11903,0.126829,0.721238,0.753842,
19,64.5928,117.021,145.55,0.551974,5.63773,2.14324,59.051,0.689949,1.90042,5.30137,0.3707,35.6336,1.42228,2.35652,2.51468,8.48697,1.91633,18.5589,0.466812,0.663379,6.13276,0.0742152,145.812,0.584095,0.715072,1.60032,0.396159,0.0203967,25.449,0.0445109,0.621503,0.0773272,0.0899354,8.5519,0.558057,0.683934,0.713995,
20,64.5928,118.241,146.366,0.546281,5.65051,2.18441,59.5659,0.695467,1.91843,5.93467,0.371351,35.6626,1.38877,2.32568,2.54315,7.98243,2.04992,19.9575,0.485478,0.710804,9.59636,0.0786539,145.467,0.452996,0.709117,1.71732,0.396159,0.0203967,25.449,0.0445109,0.621503,0.0773272,0.0257657,8.5519,0.308569,0.683934,0.713995,
21,64.5928,117.829,146.201,0.548191,5.55355,2.14334,59.3169,0.686123,1.90839,5.93122,0.371921,35.6904,1.39259,2.32814,2.50641,7.70457,1.9516,19.7956,0.466698,0.704738,9.65351,0.0788723,145.47,0.453422,0.706995,1.61973,0.396159,0.0203967,25.449,0.0445109,0.621503,0.0773272,0.0257657,8.5519,0.308569,0.683934,0.713995,
22,64.5928,106.367,36.4094,0.607261,5.12279,1.85532,55.5902,0.638049,1.77373,5.49027,0.392011,29.4924,1.37455,2.33015,2.30787,8.86563,1.66805,19.0699,0.430086,0.662568,10.0265,0.0932867,16.6542,0.531963,0.50964,1.25619,0.330809,0.00534814,20.1015,0.0702463,0.645249,0.0771723,0.250834,2.58533,0.603699,0.689495,0.809388,
23,64.5928,105.7,34.7608,0.611096,4.93914,1.84558,55.4054,0.635341,1.76729,5.23498,0.390608,29.4979,1.36012,2.33063,2.2928,8.36519,1.64221,18.5248,0.424953,0.647053,8.82854,0.0875615,15.4597,0.473823,0.50962,1.21558,0.330809,0.00534814,20.1015,0.0702463,0.645249,0.0771723,0.250834,2.58533,0.603699,0.689495,0.809388,
24,64.5928,104.844,30.0553,0.616085,4.8735,1.76758,55.2227,0.631836,1.76225,5.2431,0.39024,28.9351,1.37473,2.35104,2.29184,8.2118,1.41661,18.5905,0.382872,0.649293,8.37447,0.0861511,12.2981,0.527126,0.55841,1.22808,0.330809,0.00534814,20.1015,0.0702463,0.645249,0.0771723,0.250834,2.58533,0.603699,0.689495,0.809388,
25,64.5928,104.789,30.0603,0.61641,4.86879,1.76533,55.2326,0.627334,1.76275,5.24471,0.390282,28.8957,1.37419,2.3507,2.27622,8.20695,1.41507,18.5855,0.379664,0.649064,8.37459,0.0861736,12.273,0.527231,0.558409,1.21162,0.330809,0.00534814,20.1015,0.0702463,0.645249,0.0771723,0.250834,2.58533,0.603699,0.689495,0.809388,
