Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,55.3974,104.124,39.7702,0.532033,3.52669,0.971713,2.02161,65.3837,24.0985,2.41477,2.73974,0.505568,0.962312,1.49938,3.13735,1.0529,2.00726,73.1582,35.5345,2.93467,3.81407,0.601184,1.11371,1.55661,0.106102,0.113807,0.0305215,26.4488,10.4521,0.0700962,0.0200151,0.0322852,0.173768,0.347012,
1,55.3974,91.9607,46.9185,0.602402,2.20828,0.989627,2.16098,44.7638,21.3441,1.73741,16.1118,0.300986,0.919577,1.42424,2.045,0.338716,1.21791,24.5928,16.011,1.45802,34.8262,0.292566,0.630581,0.547752,0.085009,0.267703,0.0305215,21.7268,7.17644,0.0134755,0.0303583,0.029777,0.188898,0.567178,
2,55.3974,104.444,62.8857,0.530402,2.4749,0.996723,2.35299,50.6835,23.0102,1.88013,20.0976,0.339339,0.993048,1.61561,2.01713,0.435514,1.47508,27.1698,33.7754,1.66494,34.4492,0.235687,0.681801,0.588746,0.0684875,0.169044,0.0305215,26.4488,0.125263,0.0257545,0.0303583,0.0322852,0.188898,0.567178,
3,55.3974,86.5981,33.8121,0.639707,2.5337,0.900283,2.3254,39.2005,19.979,1.8625,17.2882,0.245753,0.808238,1.45449,2.21652,0.388746,1.37981,14.4145,8.59591,1.59888,28.9191,0.183363,0.58931,0.625707,0.0829966,0.149961,0.0305215,23.8698,7.2268,0.0257545,0.0303583,0.0270771,0.171341,0.567178,
4,55.3974,96.6259,71.7394,0.573318,2.61344,0.934881,2.4761,39.7277,30.4606,1.23612,16.5442,0.233601,0.909113,1.49015,2.33765,0.4,1.7256,15.7355,58.9161,1.2047,28.1345,0.164664,0.694314,0.664852,0.0829966,0.267703,0.0305215,19.5305,11.3952,0.0257545,0.0303583,0.0170363,0.188898,0.345561,
5,55.3974,92.9223,50.2049,0.596169,2.81215,0.817687,1.97801,42.1124,21.3222,1.61635,19.4533,0.24539,1.04885,1.5159,2.19643,0.414209,1.49903,25.4623,14.0874,1.2981,35.1637,0.21559,0.833777,0.539524,0.0829966,0.0831401,0.0305215,25.3658,5.60235,0.0257545,0.0303583,0.0170363,0.188898,0.646752,
6,55.3974,83.4172,38.325,0.6641,2.80873,0.99278,1.98837,39.9763,19.7654,1.58959,13.6008,0.24435,0.949754,1.50113,2.58889,0.432539,1.49068,18.4956,7.43983,1.49763,24.7787,0.198698,0.873744,0.544206,0.377025,0.267703,0.0305215,26.4444,8.57403,0.0257545,0.0303583,0.0170363,0.188898,0.646752,
7,52.0872,73.7831,27.9545,0.70595,1.98963,0.987604,1.87789,36.4341,19.0681,1.24421,9.73157,0.202742,0.759994,1.48733,1.72423,0.306769,1.40728,17.1661,4.61961,1.17055,15.8152,0.158289,0.675797,0.506097,0.034155,0.326752,0.0305215,25.8991,6.94846,0.0199575,0.0303583,0.0151892,0.188898,0.646752,
8,52.0872,89.7592,52.1811,0.580299,1.95869,1.03369,1.77931,39.704,26.0777,1.5484,15.1358,0.206731,0.839347,1.47553,1.95389,0.357194,1.28319,22.5668,23.5969,1.55213,29.632,0.183209,0.758503,0.707602,0.077472,0.326752,0.0305215,26.4488,11.6999,0.0253215,0.0303583,0.026243,0.170345,0.406303,
9,48.8169,99.2745,106.821,0.491737,1.52749,1.03875,1.72789,40.3937,34.6612,1.40616,16.3046,0.205203,0.711765,1.29778,1.57474,0.414918,1.37664,24.8837,66.0911,1.23157,37.5761,0.225366,0.542528,0.525063,0.0722925,0.326752,0.0305215,25.945,4.7788,0.0253215,0.0303583,0.0262804,0.174502,0.503042,
10,48.8169,71.144,23.9201,0.686171,1.05287,0.985112,1.96258,34.7949,21.3489,0.987994,7.85185,0.180314,0.580623,1.39883,0.983482,0.341235,1.19543,16.1002,17.1669,1.15607,12.6905,0.180892,0.452814,0.522026,0.0722925,0.326752,0.0305215,25.945,11.3009,0.0142262,0.0303583,0.0262804,0.174502,0.68329,
11,48.8169,70.05,34.6501,0.696887,1.2111,1.08217,1.71638,32.8191,20.4743,1.09379,9.53869,0.147146,0.587761,1.37965,1.70174,0.372876,1.15001,15.4321,6.72123,1.14031,20.5019,0.166732,0.551361,0.548601,0.0722925,0.382123,0.0305215,25.7762,3.01754,0.0142262,0.0303583,0.0243443,0.174502,0.68329,
12,48.8169,70.42,34.3574,0.693225,0.938693,1.16612,1.7633,32.8018,19.7524,1.14158,10.8596,0.152923,0.550801,1.29288,1.4967,0.375992,1.19987,11.5206,8.09559,0.990024,24.4319,0.154644,0.50663,0.377658,0.0722925,0.382123,0.0305215,25.8923,5.30356,0.0142262,0.0303583,0.0243443,0.174502,0.68329,
13,48.8169,94.7653,106.375,0.515135,1.28544,1.14913,1.78336,38.8489,32.0716,1.04449,16.5472,0.2118,0.650989,1.17239,1.70118,0.364057,1.27684,28.3329,90.5967,0.917236,31.2791,0.254714,0.606025,0.437262,0.0722925,0.382123,0.0305215,22.0627,3.80458,0.0142262,0.0303583,0.0243443,0.168642,0.378063,
14,48.8169,70.8299,45.9733,0.689214,0.906554,1.15537,1.69588,34.9734,23.172,1.18286,5.57096,0.185864,0.642901,1.34418,1.32757,0.326355,1.26856,21.9242,30.4338,1.10962,18.1804,0.235018,0.637381,0.590332,0.0722925,0.382123,0.0305215,25.945,6.23776,0.0253215,0.0303583,0.0243443,0.174502,0.624211,
15,48.8169,69.4974,38.7706,0.702428,1.04619,1.18095,1.39189,33.689,19.6176,0.936768,9.70023,0.157459,0.567632,1.20972,1.697,0.323295,1.27738,20.8163,7.47911,0.924129,21.9997,0.205007,0.472775,0.400028,0.0722925,0.489322,0.0215646,25.6125,8.57221,0.0253215,0.0303583,0.0267123,0.174502,0.68329,
16,48.8169,78.1227,66.5537,0.624875,0.896446,1.2368,1.26047,33.8781,26.5803,0.973362,11.4111,0.145156,0.528465,1.2126,1.04915,0.353374,1.43859,20.6076,44.1533,1.15141,35.2647,0.199122,0.442573,0.485943,0.051635,0.460253,0.0215646,22.081,10.7599,0.0253215,0.0303583,0.0267123,0.173,0.284659,
17,48.8169,77.7205,78.0785,0.628109,1.38311,1.24339,1.44783,36.4885,23.9561,1.07337,10.0762,0.158024,0.708681,1.1853,2.23605,0.378392,1.39666,26.5365,37.7554,1.16819,29.2806,0.258983,0.778364,0.443695,0.051635,0.303604,0.0215646,25.6125,8.65739,0.0253215,0.0469956,0.0267123,0.174502,0.413232,
18,48.8169,72.8473,56.1229,0.670127,0.820945,1.27599,1.20569,32.8893,19.4164,1.00041,14.3291,0.152869,0.585246,1.17132,1.04785,0.361437,1.24046,24.4041,7.95571,1.34846,43.0924,0.24138,0.589505,0.486342,0.051635,0.489322,0.0190679,11.9777,8.78728,0.0253215,0.0469956,0.0247967,0.174502,0.336027,
19,48.8169,70.4913,53.0963,0.692525,0.852005,1.16444,0.966445,33.5684,22.38,0.755213,9.11756,0.148938,0.471882,1.06636,1.30666,0.289447,0.923793,23.8646,31.1175,0.675808,29.7799,0.227201,0.379059,0.279212,0.051635,0.477921,0.0190679,24.7797,0.482131,0.0253215,0.0469956,0.0261781,0.174502,0.51302,
20,48.8169,74.9988,58.5339,0.650903,1.14493,1.24107,1.27352,34.8977,22.3799,0.826651,11.3264,0.173489,0.582631,1.15236,2.20649,0.292887,1.4102,22.513,33.4612,0.856552,30.0528,0.227534,0.621712,0.317818,0.051635,0.477921,0.0190679,13.5226,9.4585,0.0253215,0.0469956,0.025577,0.174502,0.602146,
21,48.8169,82.3178,84.9851,0.593031,1.19518,1.16016,1.19274,33.8453,30.303,0.817096,11.9015,0.165233,0.625244,1.11225,1.93911,0.324669,1.49259,18.9698,64.7811,0.842368,35.1973,0.19635,0.704803,0.500848,0.051635,0.477921,0.0427476,23.7393,9.10998,0.111818,0.0469956,0.025577,0.185597,0.192154,
22,48.8169,71.2198,53.921,0.68544,1.13639,1.08414,1.03673,32.5956,22.9738,0.776245,9.81123,0.153035,0.542082,1.11053,2.03238,0.239897,1.18168,18.0646,31.347,0.59259,27.8558,0.184653,0.536176,0.294706,0.051635,0.489322,0.0271898,19.7883,7.41815,0.0785662,0.0469956,0.025577,0.202749,0.536258,
23,48.6314,76.8699,59.9972,0.632645,1.63034,1.22561,0.970034,37.2171,22.0875,0.919871,10.8765,0.201339,0.594524,1.14713,3.14517,0.335861,1.17404,30.5423,22.8152,1.09883,33.7647,0.291832,0.503423,0.293467,0.051635,0.489322,0.00491716,24.7813,9.06868,0.032642,0.0469956,0.025577,0.202749,0.536258,
24,48.4084,71.4694,46.8005,0.677331,0.984131,1.18783,1.11591,36.1494,17.9574,0.806551,11.2167,0.196145,0.639402,1.21585,1.43331,0.317536,1.11696,24.5327,9.04262,0.953113,30.976,0.262126,0.569312,0.477819,0.0907502,0.489322,0.0488075,25.5318,0.656963,0.096295,0.0878938,0.025577,0.202749,0.426015,
25,47.178,131.853,433.857,0.357808,1.0394,1.1768,1.01884,34.8249,79.5684,0.667846,11.6431,0.163771,0.571355,1.17857,1.59375,0.315569,1.28463,19.536,431.765,0.700597,32.587,0.206399,0.536027,0.409973,0.0907502,0.439454,0.0488075,25.3365,2.92318,0.0459796,0.176162,0.0204674,0.202749,0.536258,
26,46.5397,86.5297,126.665,0.537846,0.989712,1.17608,0.842096,37.0095,35.1402,0.676608,8.80466,0.187743,0.563644,1.13946,1.67093,0.309343,1.05124,28.506,108.062,0.957149,33.609,0.274955,0.517368,0.439447,0.0907502,0.489322,0.0488075,25.3365,8.275,0.0212395,0.176162,0.025577,0.251689,0.641937,
27,46.5397,65.8073,46.8238,0.707211,1.15384,1.17235,0.896543,33.7936,17.0187,0.820828,9.01197,0.1693,0.547965,1.22223,2.2065,0.311458,1.20035,25.1114,18.1439,1.3667,31.7195,0.246714,0.509697,0.593437,0.0907502,0.489322,0.0533366,11.5643,9.25242,0.0212395,0.176162,0.0261114,0.251689,0.688776,
28,46.2228,67.5534,92.7591,0.68424,1.06716,1.14163,0.734141,30.1742,29.2423,0.676118,2.62052,0.123278,0.577738,1.19633,1.83028,0.236986,1.0949,17.0607,83.7764,1.12963,10.6009,0.132921,0.434716,0.578807,0.0907502,0.489322,0.0353902,25.253,0.563307,0.0289792,0.176162,0.022741,0.276384,0.723716,
29,45.7531,87.7057,78.6925,0.521666,1.89094,1.19673,1.25165,36.0154,18.0778,0.712641,26.4053,0.20557,0.853533,1.09616,3.04028,0.359248,1.59561,26.098,19.1268,1.04825,52.2164,0.273613,0.894171,0.356516,0.0907502,0.489322,0.043382,19.5465,0.473009,0.0289792,0.176162,0.0215131,0.276384,0.687334,
30,45.7531,64.0135,41.1812,0.714741,1.36992,1.12975,0.800497,33.012,17.3748,0.63543,7.80245,0.163908,0.586253,1.13849,2.63853,0.29496,1.20355,23.5283,5.4835,1.04536,29.6867,0.223876,0.562937,0.516863,0.0974887,0.489322,0.00108233,23.889,1.3431,0.0289792,0.176162,0.0406974,0.276384,0.640532,
31,45.7531,65.7469,45.8877,0.695896,1.10825,1.20571,0.932919,36.3847,17.2333,0.658176,6.37403,0.195609,0.575957,1.07828,1.84774,0.291296,1.27398,29.1639,10.1353,1.28062,22.8386,0.288055,0.53338,0.426962,0.0974887,0.830023,0.00108233,25.1767,0.886621,0.0160298,0.256912,0.0406974,0.28305,0.603912,
