Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
123,12.2993,60.4282,336.677,0.203535,2.38948,3.7182,1.15681,6.39457,0.932075,1.545,20.9684,20.8939,2.42985,10.9475,13.4741,1.2737,8.33875,0.096477,8.77904,147.479,146.374,1.49763,0.798018,1.77883,0.935353,5.19511,0.258044,0.263721,0.0557217,0.0165344,2.20975,
124,12.2993,105.655,426.071,0.11641,5.08885,10.3768,1.50213,7.5508,0.922131,1.70935,38.1621,38.0004,2.3421,16.8272,34.7723,2.16415,9.4952,0.119611,7.49146,184.38,183.889,1.16992,0.798018,1.77883,0.935353,5.19511,0.321474,0.263721,0.0557217,0.0165344,0.928583,
125,12.2992,201.338,666.311,0.0610871,5.35224,8.58505,1.36229,7.61609,0.906901,3.59728,86.0747,85.2512,2.59228,16.2368,29.108,1.49988,9.27187,0.150727,13.8443,298.273,305.349,1.64112,0.798018,1.78571,0.935353,5.19609,0.275136,0.269557,0.0557217,0.0165344,1.75488,
126,12.2903,72.693,319.04,0.169071,5.00354,7.62885,1.60695,9.07437,0.909559,2.10875,22.0226,21.9333,2.40505,16.7607,28.0873,2.54085,15.2977,0.144436,8.87364,152.063,154.865,0.874217,0.798018,1.78571,0.955715,5.19485,0.258485,0.27158,0.0558473,0.0166939,2.20962,
127,12.289,68.1811,322.315,0.18024,3.736,7.30862,1.15767,6.51716,0.988023,1.3727,22.3976,22.2866,2.41671,14.4185,27.3078,1.11205,7.48769,0.41243,5.92817,140.153,139.628,1.15659,0.797876,1.78582,0.948234,5.19544,0.258289,0.271623,0.0558473,0.0166939,2.21113,
128,12.289,164.207,584.683,0.0748382,5.82715,7.40811,1.60253,8.81444,0.895983,1.42364,68.1381,67.5663,2.53109,18.0688,25.3298,2.30074,13.6431,0.192902,5.5037,265.944,272.062,1.77053,0.797876,1.78738,0.953679,5.19544,0.280319,0.275828,0.0558473,0.0166939,0.887298,
129,12.289,108.801,383.386,0.112949,8.9833,14.709,1.82913,9.1541,1.12909,3.57243,33.3939,33.1884,2.84169,22.6355,40.2915,2.5739,11.4016,1.25979,12.0004,161.545,159.011,1.91127,0.796314,1.78954,0.953044,5.19599,0.289894,0.275828,0.0558473,0.017581,2.21185,
130,12.2706,24.4262,84.9027,0.502354,2.47144,4.10953,1.16301,5.27842,0.962871,0.333122,3.86153,3.82076,2.42546,11.6636,19.2774,1.41213,3.91519,0.204457,2.24575,36.9468,39.3524,1.51402,0.790699,1.78702,0.953679,5.19599,0.945738,0.275828,0.0558473,0.017072,2.21201,
131,12.2706,49.6417,232.929,0.247182,2.58718,3.54487,1.13349,6.93679,0.944031,1.05592,15.4841,15.4371,2.51828,9.59063,9.0715,0.925608,10.918,0.114408,3.86891,105.62,105.578,1.6261,0.786059,1.78863,0.952736,5.19675,0.337254,0.272508,0.0556155,0.0167596,2.2131,
132,12.2706,52.2879,229.692,0.234673,4.28673,4.18082,1.16939,7.74295,0.976131,1.41305,14.9799,14.9488,2.59024,15.9953,9.73743,0.836255,11.81,0.39877,4.61227,100.923,100.973,1.70608,0.786059,1.79084,0.946539,5.19675,0.33648,0.27078,0.0556155,0.0167596,2.21341,
133,12.2631,86.8588,471.963,0.141184,3.26133,3.00273,1.13135,8.77083,0.91467,1.54693,33.3146,32.5549,2.36145,11.8435,5.23224,0.773053,15.5827,0.141342,5.15535,231.496,226.178,0.618736,0.783307,1.79117,0.946539,5.19675,0.336888,0.2713,0.0554722,0.0163562,2.21341,
134,12.2631,131.42,556.439,0.0933123,6.39965,3.80273,1.36517,7.7739,0.950556,1.37494,54.0661,53.2365,2.45016,18.8546,10.5359,1.734,9.49718,0.183631,4.26524,269.449,264.892,1.01529,0.783307,1.79117,0.952736,5.19705,0.255713,0.2713,0.0554722,0.0163562,2.21327,
135,12.2623,86.6269,477.761,0.141553,3.18572,2.87883,1.19029,7.21299,0.9278,2.28674,33.6707,32.8756,2.39824,12.2715,5.7849,1.22745,11.2599,0.0965423,12.7636,234.868,228.195,1.07153,0.781388,1.7919,0.945378,5.19705,0.340285,0.272508,0.0554722,0.0163562,2.21406,
136,12.2623,24.1123,58.79,0.508549,3.74589,4.80945,1.25805,7.32503,0.945354,1.80657,0.924299,0.887418,2.41029,14.5869,15.668,1.4553,11.4141,0.119079,8.48526,13.3812,31.9816,0.953084,0.781388,1.7919,0.945378,5.19727,0.343475,0.272508,0.0554722,0.0163562,2.21439,
137,12.2612,244.837,745.561,0.0500792,9.8753,13.1463,1.79929,8.44977,8.06743,4.17908,98.9113,97.4276,2.98062,22.8905,37.1209,2.29759,8.98822,49.7195,13.2102,339.037,340.829,2.35412,0.778897,1.7919,0.940848,5.19786,0.272401,0.272508,0.0554722,0.0163562,0.862292,
138,12.2611,33.9026,126.658,0.361656,3.31722,3.80867,1.21395,7.17134,0.991749,1.97346,6.56231,6.53108,2.33281,14.4565,14.3239,1.39947,11.3122,7.01604,9.44421,44.5283,100.305,0.942505,0.778897,1.79107,0.943885,5.19786,0.336377,0.267363,0.055589,0.0163671,2.21537,
139,12.2572,75.7305,269.639,0.161853,6.28249,15.6897,1.34165,9.14496,1.03045,2.71501,18.5126,18.4253,2.58832,18.7557,48.9123,1.58755,15.0482,0.848802,9.97073,107.24,106.926,1.62748,0.776282,1.79116,0.943885,5.19801,0.328514,0.267363,0.055589,0.0163671,1.10284,
140,12.2563,94.3902,474.216,0.129847,5.07927,6.35338,1.39918,6.83466,2.20171,2.55265,34.0752,33.3439,2.55035,16.296,22.9509,1.59687,6.17754,8.39044,10.3541,228.414,224.83,1.61658,0.776282,1.79289,0.939879,5.19801,0.419421,0.276517,0.0552155,0.0162503,1.67119,
141,12.2552,145.913,561.264,0.0839898,6.53457,10.1437,1.94187,9.18344,0.904361,1.86584,56.6843,55.9282,2.72636,18.4437,28.1632,2.94799,13.0957,1.29395,8.31135,267.408,262.335,1.91537,0.776282,1.79154,0.943885,5.19801,0.257285,0.274457,0.0552155,0.0162503,1.21425,
142,12.2536,135.107,530.922,0.0906956,6.82876,8.07852,1.46124,9.98678,0.900347,3.0776,51.5354,50.7667,2.47174,18.8577,25.0035,1.59446,17.0163,0.15057,9.97446,250.115,244.872,1.50005,0.776282,1.79154,0.945378,5.19801,0.315468,0.275782,0.0552155,0.0162503,1.39025,
143,12.2536,134.928,530.565,0.0908163,6.34633,6.49063,1.44007,7.36902,0.968159,2.01834,54.2426,53.5795,2.47287,19.1426,18.0147,1.93158,8.12719,0.412986,8.14615,250.213,246.146,1.43808,0.776282,1.79143,0.956082,5.19819,0.39047,0.272996,0.0552155,0.0162503,0.888196,
144,12.251,66.3146,322.105,0.18474,3.25182,5.70713,1.32634,6.53681,0.924514,0.915305,22.7429,22.6198,2.2899,12.8174,19.1856,1.90191,7.10016,0.11629,4.31942,145.233,144.513,0.794831,0.776214,1.79154,0.956082,5.19819,0.280985,0.274235,0.0552155,0.0162503,0.574727,
145,12.251,77.3627,332.212,0.158358,5.35261,2.52953,1.28038,7.03986,1.61971,1.93091,27.7021,27.6135,2.29411,18.1143,4.58008,1.46946,8.42918,4.71899,7.43848,150.87,150.474,0.590512,0.776133,1.79198,0.942165,5.19815,0.256718,0.271376,0.0552155,0.0162503,1.71909,
146,12.2508,66.6593,233.655,0.183782,4.84253,7.40443,1.37902,6.87561,1.08222,3.19007,19.6851,19.6594,2.54093,16.3721,27.3372,1.70062,8.56794,0.969369,12.2875,92.8629,93.5904,1.58747,0.776133,1.79325,0.942165,5.19815,0.32044,0.271376,0.0552155,0.0162503,2.21576,
147,12.249,79.7001,472.123,0.153689,1.94935,2.45763,1.09339,5.67923,0.934542,0.620456,32.6966,32.0711,2.19782,8.30953,6.73376,0.965837,3.36146,0.166573,3.22206,229.262,224.75,0.366668,0.775054,1.79347,0.948132,5.19815,0.378579,0.271376,0.0545835,0.01624,1.23775,
148,12.249,183.781,608.638,0.0666499,10.1786,14.1472,2.01677,10.3085,0.950633,4.70669,69.7116,68.9251,2.83611,23.554,39.925,2.86178,14.0428,0.288384,13.7245,278.3,270.714,1.94058,0.774992,1.79394,0.948132,5.19837,0.266678,0.271376,0.0545757,0.01624,1.68662,
149,12.2479,34.7645,108.008,0.352311,5.07573,4.21687,1.29989,6.53529,1.24276,0.978735,6.54351,6.50788,2.3638,17.5864,14.9187,1.90799,6.35283,1.91155,4.88405,51.7746,69.7411,0.90927,0.774229,1.79379,0.951696,5.19836,0.945859,0.27803,0.05431,0.0161255,2.21642,
150,12.2456,89.1973,510.9,0.137287,3.27695,5.30784,1.19294,7.47691,0.925343,2.34431,33.5608,32.8119,2.30025,12.4558,21.4964,1.27948,11.9116,0.330928,12.5911,233.543,230.495,0.638649,0.774219,1.79379,0.946898,5.19828,0.335429,0.27803,0.05431,0.0160886,1.85208,
151,12.2448,158.757,597.765,0.0771294,5.04272,5.67583,1.29498,9.56439,0.900669,2.81942,65.86,65.0339,2.56518,15.0841,16.3676,1.38137,15.4913,0.159773,10.4605,278.932,273.697,1.88286,0.774082,1.79379,0.951381,5.19829,0.26502,0.278035,0.0535227,0.0160886,0.707215,
152,12.2448,280.758,784.639,0.0436135,8.88797,6.01035,1.91084,9.2486,0.976529,4.05949,124.06,122.925,2.6786,21.9131,17.6613,2.63805,12.84,0.700053,12.6083,371.331,370.277,1.75439,0.773861,1.79357,0.951381,5.19826,0.24597,0.278035,0.0529592,0.0160015,2.21631,
153,12.2432,89.8554,382.499,0.136254,3.81556,6.75539,1.27365,6.73745,0.921445,1.1937,33.3727,33.2423,2.54319,15.5277,26.5085,1.79654,8.02998,0.131903,6.3585,180.672,189.765,1.63188,0.773191,1.79379,0.952696,5.19802,0.320159,0.27783,0.0529592,0.0158186,2.21572,
154,12.2432,161.085,615.431,0.0760045,4.74201,9.54859,1.22558,7.61591,0.914656,1.26403,67.1755,66.2465,2.35223,15.8592,32.8471,1.36062,9.81846,0.128364,4.82248,285.68,281.057,0.840656,0.772959,1.79461,0.952696,5.19802,0.297396,0.27783,0.0529592,0.0158186,1.1156,
155,12.243,60.5044,307.994,0.202348,3.11706,2.56595,1.16049,7.82799,0.919769,1.43551,20.6414,20.562,2.27424,11.9027,8.06784,0.986069,13.1114,0.128502,5.65043,146.375,145.902,0.337881,0.772272,1.79464,0.94829,5.19837,0.245623,0.276798,0.0523063,0.0158186,2.21631,
156,12.2418,60.6643,317.109,0.201796,2.72718,3.15445,1.1102,6.82,0.948619,1.83342,20.879,20.7988,2.39268,10.716,6.95397,0.749567,8.67085,0.155991,9.28544,144.854,144.568,1.18427,0.771665,1.79504,0.94829,5.19837,0.249684,0.276798,0.0523063,0.0158186,2.21633,
157,12.2418,64.3392,311.721,0.19027,3.55624,4.96802,1.12249,7.66176,0.920924,1.17808,21.3964,21.3148,2.2205,13.7591,21.7062,0.825064,12.1872,0.126234,4.54558,143.059,142.69,0.381157,0.771665,1.79504,0.94888,5.19837,0.256238,0.276616,0.052646,0.0158186,0.605816,
158,12.2412,46.7753,116.249,0.261702,7.79235,7.25042,1.84654,9.52186,0.995072,2.4312,7.3029,7.26921,2.36577,21.5036,21.4074,2.80554,14.8358,0.342579,8.84449,35.7405,36.5993,0.659011,0.770546,1.79458,0.944902,5.19837,0.339377,0.273935,0.0520281,0.0158186,1.42065,
159,12.241,57.0778,313.844,0.214461,2.22369,2.02284,1.15292,6.23872,0.932095,1.15455,20.5833,20.4883,2.28151,10.158,5.40834,1.5003,7.98686,0.115218,6.176,142.962,143.938,0.461162,0.770294,1.79492,0.944902,5.19844,0.2551,0.275414,0.0524563,0.0158186,2.21633,
160,12.2403,87.2863,341.261,0.140231,6.96201,4.38698,1.72199,9.17197,0.981565,3.66295,29.0256,28.8915,2.48179,19.571,11.8412,2.57225,13.2369,0.30717,12.8176,150.777,151.291,1.2838,0.770096,1.03167,0.944902,5.19844,0.259773,0.276798,0.0524563,0.0158186,0.575444,
161,12.2396,134.027,552.09,0.0913217,5.82423,6.39558,1.56224,8.67879,0.898337,2.10903,53.5186,52.7988,2.24124,17.232,21.6581,2.16303,14.7624,0.181948,8.27855,268.171,263.718,0.409273,0.769129,1.79492,0.944865,5.19844,0.295618,0.275942,0.0524563,0.0158951,1.1968,
162,12.2394,160.002,588.89,0.0764951,4.96159,9.44325,1.43895,7.59169,0.902853,0.939498,66.4517,65.9759,2.29657,16.7755,31.6958,2.17963,9.57145,0.17185,4.45713,264.355,264.458,0.672505,0.768937,1.79483,0.944865,5.19842,0.103397,0.275942,0.0524563,0.0159317,1.40838,
163,12.2392,79.709,453.627,0.153548,2.92005,3.36345,1.35923,6.06826,0.9661,0.892151,31.1538,30.598,2.38804,10.7268,11.4237,1.95786,4.52917,0.247301,4.0745,221.821,218.577,1.45111,0.768865,1.79503,0.946362,5.19842,0.362121,0.275942,0.0524125,0.0158829,0.599791,
164,12.2373,32.5109,84.8242,0.376405,5.21042,7.34245,1.42411,6.81457,1.06422,2.10552,3.03622,2.98412,2.52926,17.8076,29.6548,2.0286,7.70705,0.654926,8.95989,26.9979,29.2389,1.44626,0.767016,1.79504,0.946791,5.19842,0.358207,0.277009,0.0523214,0.0159317,2.21649,
165,12.2373,68.3419,331.767,0.179059,5.41804,7.90112,1.3011,7.09658,0.958418,2.54903,20.4364,20.2275,2.4538,18.4376,31.126,1.42004,7.71649,0.17343,10.2477,137.592,136.552,1.20622,0.767016,1.79436,0.955353,5.19847,0.36189,0.276106,0.0523214,0.0159317,1.96888,
166,12.2373,199.749,650.197,0.0612631,6.92977,8.91804,1.30623,9.42835,0.882088,3.66488,83.5025,82.6749,2.44248,18.9324,28.2453,1.368,15.0287,0.211982,12.0325,300.134,308.505,0.832026,0.767016,1.794,0.725282,5.19847,0.0339612,0.275964,0.0524125,0.0159317,1.96209,
167,12.2373,147.511,506.622,0.0829584,6.44235,9.1136,1.3468,8.5458,0.905696,2.16665,58.3127,58.1354,2.54179,19.5006,28.505,1.36063,11.5838,0.158417,6.94591,228.877,228.306,1.37129,0.767016,1.794,0.955353,5.19847,0.246494,0.276076,0.0524125,0.0158784,2.21639,
168,12.2353,160.59,667.488,0.0761896,5.99969,7.19812,1.6229,8.01224,0.940716,3.62522,66.009,64.6915,2.49105,17.9517,24.5217,2.28059,11.0942,0.241843,11.9336,318.25,312.123,1.23068,0.76526,1.79436,0.955725,5.19847,0.369448,0.276106,0.052537,0.0158784,1.49417,
169,12.2353,160.54,589.799,0.0762137,8.14294,5.51133,1.45273,9.09002,0.950984,3.50704,64.9518,64.2601,2.67251,22.2034,11.6016,1.59664,13.7919,0.394038,11.9212,276.07,272.399,1.6984,0.76526,1.79436,0.955595,5.19854,0.263613,0.275971,0.052537,0.0158784,2.21639,
170,12.2353,73.284,277.139,0.166958,3.47015,5.83385,1.3302,6.76561,1.06591,0.696595,25.8563,25.8002,2.46511,12.8361,16.7836,1.78734,8.84648,0.917785,2.56655,130.327,129.394,1.19455,0.76526,1.7951,0.950808,5.19841,0.314693,0.275971,0.0522944,0.0158784,2.21632,
171,12.2353,91.1875,481.156,0.134178,3.18126,5.2144,1.38655,5.76555,0.964607,1.32337,35.7843,35.1324,2.43502,11.8644,19.3742,2.08047,3.43958,0.241274,6.48004,231.152,226.863,1.11698,0.76526,1.79523,0.950036,5.19841,0.415576,0.276426,0.0522944,0.0159082,2.21632,
172,12.2353,84.9629,478.119,0.144008,3.34797,2.89531,1.21083,7.24426,0.921397,1.89868,32.8982,32.2855,2.26083,12.6456,5.85543,1.31113,11.3235,0.127623,8.77732,228.095,224.128,0.461511,0.764668,1.7953,0.947174,5.19841,0.33044,0.276426,0.0522944,0.015844,1.47182,
173,12.2343,61.83,313.329,0.197871,3.62976,3.12178,1.01226,7.78229,0.919817,1.24708,20.9272,20.8419,2.34798,14.1747,8.84559,0.315269,12.8113,0.12817,5.81627,144.908,143.64,0.740781,0.764119,1.7953,0.947174,5.19841,0.24609,0.276974,0.0522944,0.0157676,2.21629,
174,12.234,150.433,665.768,0.0813253,3.6131,4.16141,1.29072,6.66759,0.952091,1.04434,65.9118,64.5246,2.2673,11.5744,10.8379,1.66874,5.93428,0.192809,3.30902,325.552,318.862,0.380258,0.763848,1.79523,0.947174,5.19837,0.465114,0.276319,0.0522944,0.0157676,1.68026,
175,12.2335,223.353,705.252,0.0547721,6.86285,8.88701,1.66366,8.39181,2.25124,2.04996,95.5836,94.7363,2.92613,19.2069,27.2505,2.39615,10.4069,9.6089,8.73097,329.195,330.085,2.4191,0.763516,1.79523,0.94617,5.19837,0.164156,0.276319,0.0522944,0.0157346,2.21618,
176,12.2335,183.154,656.286,0.0667934,7.82009,4.56685,1.56179,9.02872,0.927523,2.39428,77.558,76.5595,2.73735,21.316,12.7063,1.94742,13.8198,1.34342,8.16266,312.368,308.321,2.09527,0.763516,1.79523,0.94617,5.1984,0.0643553,0.276319,0.0523798,0.0157346,0.901425,
177,12.233,74.8742,374.738,0.163381,4.16106,5.18093,1.33131,7.79769,0.934329,0.889703,26.2017,25.9564,2.4211,15.2864,18.7458,1.81254,11.5789,0.19383,3.35146,183.983,182.361,1.37443,0.762941,1.79523,0.94617,5.1984,0.0590029,0.276319,0.0523798,0.0157346,2.21618,
178,12.2318,159.715,665.719,0.0765853,3.82353,4.26568,1.45859,6.25134,0.947187,1.2052,70.2814,69.0078,2.47458,12.3453,9.93271,2.05163,5.01047,0.19748,3.95494,317.851,317.535,1.15415,0.761829,1.79579,0.950803,5.19833,0.382913,0.279321,0.0525884,0.0156092,2.21603,
179,12.2318,165.939,632.493,0.0737129,4.85049,8.87306,1.39474,7.71352,0.916052,1.27694,69.8632,68.8959,2.15517,16.1948,28.9773,1.84156,10.2567,0.132058,4.76483,290.888,286.149,0.407468,0.761829,1.79595,0.950803,5.19818,0.278656,0.279655,0.0523897,0.0156092,0.788735,
180,12.2318,20.6705,41.3349,0.591753,3.66364,3.30989,1.2787,7.16431,0.981871,0.860635,0.510404,0.470286,2.4308,14.3956,9.55319,1.70638,11.2689,0.355426,3.44921,2.77078,36.5508,1.20708,0.761829,1.79595,0.950803,5.19818,0.336722,0.277716,0.0520547,0.0155684,2.21589,
181,12.2318,88.9712,380.573,0.137481,2.82176,6.29481,1.11886,6.51774,0.92188,1.16364,33.9756,33.8389,2.31801,10.8768,23.6738,0.784151,6.87335,0.132949,4.30965,167.297,166.136,0.924715,0.761829,1.79613,0.952965,5.19818,0.26921,0.277551,0.0520197,0.0155684,0.895266,
182,12.231,75.5548,326.107,0.161883,6.56663,10.7581,1.34252,8.59557,0.940364,2.0325,21.49,21.321,2.508,19.4833,33.2375,1.51078,12.7131,0.152575,7.06199,137.014,136.364,1.11483,0.761554,1.7956,0.95293,5.19822,0.334111,0.277093,0.0520197,0.0155894,2.21601,
183,12.231,201.638,730.39,0.0606583,5.6981,9.1526,1.42278,8.48416,0.89865,2.00886,86.4803,85.1571,2.33576,16.9196,29.072,1.87295,12.411,0.166488,7.56191,353.429,346.31,0.850524,0.761342,1.79554,0.956302,5.19821,0.263062,0.276639,0.0517312,0.0155894,1.88036,
184,12.231,156.989,601.574,0.0779103,8.55678,9.15197,1.65128,11.2454,0.912857,4.2754,59.8459,58.8775,2.4716,20.7004,29.2914,2.07022,17.9962,0.24987,11.2306,288.511,286.093,1.5664,0.761342,1.79529,0.955813,5.19821,0.181199,0.276046,0.0515949,0.0155381,0.663274,
185,12.231,122.934,503.796,0.099493,7.62253,10.0509,1.65955,8.03068,1.00038,2.44379,45.2111,44.4104,2.50415,20.791,33.2526,2.34688,11.109,0.402028,9.06869,243.01,236.247,1.12086,0.761342,1.79529,0.955813,5.19821,0.38555,0.275827,0.0515949,0.0155189,1.15153,
186,12.2305,96.3805,482.485,0.126898,4.58484,6.0602,1.26787,8.63622,0.913794,1.03264,36.1395,35.4381,2.30735,15.3558,20.5633,1.6026,14.6624,0.154928,3.45304,231.295,225.487,0.462558,0.761296,1.7951,0.955813,5.19822,0.336003,0.274973,0.0515949,0.0155005,2.21577,
187,12.2304,63.149,315.624,0.193675,3.86199,6.45657,1.05285,6.41795,1.15004,0.704105,20.6262,20.4957,2.38361,15.2228,22.9102,0.519995,6.9906,1.54646,2.11212,139.258,139.629,1.20843,0.761195,1.79491,0.954005,5.19822,0.272525,0.270149,0.051152,0.0155005,1.97852,
188,12.2299,174.181,651.879,0.0702141,3.43741,5.17318,1.30235,7.31406,0.912012,2.14416,76.3008,75.3445,2.25212,13.0488,16.0645,1.5138,8.63847,0.27638,8.34338,306.874,304.834,0.53454,0.76107,1.79491,0.955813,5.19824,0.238679,0.270149,0.051152,0.0155005,0.587922,
189,12.2298,228.28,752.326,0.0535735,6.5368,5.36093,1.4264,8.88826,0.962826,1.73677,101.076,99.5663,2.72648,18.5579,13.8422,1.67093,12.4436,0.438958,4.69617,361.504,355.24,1.78509,0.760872,1.79529,0.952535,5.19834,0.258679,0.275192,0.0519169,0.0155843,2.21589,
190,12.2294,124.233,559.859,0.0984392,3.34325,5.47082,1.22299,6.53147,0.926544,1.6816,51.8157,50.9556,2.28471,13.146,23.622,1.39602,7.06105,0.104712,7.57829,262.889,261.623,0.640791,0.760872,1.79542,0.955917,5.19834,0.333819,0.275192,0.0518825,0.0155843,2.21589,
191,12.2294,72.2743,306.094,0.169208,5.18009,5.80257,1.30381,7.45546,4.55639,2.68153,21.4633,21.3673,2.46389,17.0917,19.1514,1.19691,8.74274,25.1431,8.83649,142.909,143.709,1.22696,0.761056,1.79579,0.955917,5.19826,0.24379,0.275782,0.0518513,0.0154398,1.91843,
192,12.2294,188.303,615.446,0.0649453,8.63524,10.7715,1.58205,9.12223,0.941188,4.36865,75.5601,74.774,2.54767,21.9493,31.4534,1.87869,12.7526,3.47861,12.9689,279.405,284.949,1.33162,0.761056,1.79579,0.955917,5.19826,0.299123,0.275782,0.0517795,0.0154398,1.95268,
193,12.2292,126.307,569.504,0.0968213,3.14819,3.565,1.21441,5.76734,0.916548,0.581779,54.6777,53.8689,2.56727,12.9195,12.0854,1.47025,4.20939,0.151084,2.85311,273.572,271.733,1.74834,0.761056,1.79611,0.956809,5.19823,0.0168627,0.276171,0.0517795,0.0154398,2.21576,
194,12.2289,64.763,314.318,0.188826,3.67333,4.75178,1.17555,6.59202,1.98123,1.8507,21.17,21.0956,2.47276,14.2606,17.6159,1.16321,7.93197,7.42643,9.20833,147.984,146.017,1.28077,0.761012,1.79611,0.956731,5.19823,0.243825,0.276171,0.0517245,0.0153945,2.21563,
195,12.2289,168.889,611.832,0.0724081,7.21335,9.2028,1.47558,9.57802,0.943349,2.15164,68.2544,67.4657,2.60375,19.6057,28.6768,1.80905,14.722,1.10116,6.06614,287.836,283.941,1.60343,0.760974,1.79642,0.955147,5.19823,0.266456,0.277279,0.0517245,0.0153945,0.687967,
196,12.2289,132.98,565.397,0.0919604,3.89332,6.69804,1.2765,6.95175,0.9971,2.9592,54.216,53.4875,2.50034,14.3034,28.5191,1.36204,8.85707,0.550069,11.6244,266.169,263.117,1.41364,0.760839,1.79642,0.95271,5.19821,0.244094,0.276825,0.0515365,0.0153945,2.21563,
197,12.2287,84.0862,473.453,0.145431,3.47104,3.6263,1.40939,6.02556,0.995405,0.510278,33.2084,32.5044,2.33544,13.4086,9.64672,2.19634,4.13131,0.419847,2.70897,230.177,225.831,0.649635,0.760839,1.79664,0.95457,5.19821,0.469728,0.276825,0.0515365,0.0153945,2.21563,
198,12.2285,107.951,452.401,0.113278,3.73588,3.1272,1.18531,6.83284,0.96454,1.19357,44.3162,44.0515,2.54441,14.2258,6.12919,0.930209,8.03911,0.371325,3.71971,215.996,215.877,1.5191,0.760839,1.79631,0.95598,5.19814,0.166649,0.274233,0.0515365,0.015393,2.21562,
199,12.2284,20.6843,59.1881,0.591189,1.98519,5.08782,1.15036,6.58842,0.93446,0.53161,1.03383,0.997868,2.37479,8.61157,23.1201,1.31567,9.736,0.0855406,1.80635,43.3755,43.5993,1.12478,0.760839,1.79631,0.95598,5.19814,0.373727,0.274233,0.0513804,0.015393,2.21562,
200,12.2284,199.133,669.33,0.0614081,5.21009,10.4622,1.42654,7.7332,0.907023,3.59434,84.2664,83.1723,2.36076,15.4869,43.9667,1.75452,9.18493,0.139407,13.1534,312.093,311.851,0.706591,0.760842,1.79631,0.953142,5.19814,0.276779,0.274233,0.0512551,0.015393,1.74467,
