Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
76,13.1849,85.6953,478.022,0.153858,4.20475,3.67963,1.44315,6.08739,0.980885,1.15411,33.2201,32.5111,2.41425,13.4981,10.4159,1.71752,4.74291,0.332308,3.91901,231.97,227.143,1.32086,1.12019,1.68426,0.789838,5.13062,0.428042,0.204666,0.0258222,0.0115714,2.08963,
77,13.1849,58.3783,314.254,0.225852,2.87054,3.92841,1.15673,6.11653,0.932191,0.887782,20.1878,20.0558,2.24262,10.7193,15.1021,0.435378,6.37246,0.105378,2.13983,140.735,140.078,0.208421,1.12019,1.67134,0.830894,5.16049,0.277383,0.204666,0.0258222,0.0141428,2.13091,
78,13.1849,169.826,632.314,0.0776375,5.3661,6.94385,1.3282,7.49162,0.911928,1.52622,72.3542,71.422,2.48197,16.3111,24.0591,0.895765,9.52967,0.14006,3.71322,300.118,295.629,1.39925,1.12019,1.67802,0.750096,5.17158,0.26025,0.204666,0.0620237,0.0264652,1.79434,
79,13.1035,33.7809,89.9517,0.387897,4.68285,6.32344,1.69067,6.73142,1.01028,2.59727,4.1538,4.08851,2.50266,14.0596,19.0808,2.18658,6.13457,0.370678,10.3032,71.3047,70.4832,1.39205,1.12019,1.68426,0.750096,5.17064,0.94223,0.193302,0.0160089,0.00910625,1.7367,
80,13.0159,89.9274,503.022,0.144738,3.78035,6.04355,1.38689,6.23823,1.02895,1.82397,34.0327,33.2581,2.33456,12.6444,21.6202,1.14459,5.34187,0.643278,7.82753,233.356,231.02,0.909405,1.12019,1.68426,0.830894,5.15424,0.554893,0.204666,0.0160089,0.00910625,1.04141,
81,13.0159,44.3989,182.521,0.293158,4.05569,3.1054,1.53218,6.92772,0.962883,1.32226,12.0245,11.9852,2.48307,13.7507,7.49151,1.80506,10.7654,0.234227,6.0766,83.497,83.4415,1.47043,1.11665,1.6726,0.793061,5.1693,0.340156,0.186645,0.0160089,0.00910625,2.16155,
82,12.9717,85.6008,346.684,0.151537,5.84874,4.42567,1.81822,6.72673,0.984782,1.58802,30.9948,30.9005,2.3133,18.2766,12.7652,2.35647,7.70962,0.42256,7.63827,157.515,157.558,0.623983,1.06659,1.6726,0.776717,5.17693,0.256511,0.156733,0.0160089,0.00910625,1.11413,
83,12.9717,84.4072,471.979,0.15368,3.90704,3.62932,1.5092,6.11109,0.97956,1.14105,32.6898,32.0146,2.42564,13.332,9.61332,1.7636,4.55442,0.32796,4.49828,226.691,222.283,1.33999,1.05363,1.67205,0.762501,5.17693,0.380691,0.181019,0.0160089,0.00910625,2.17394,
84,12.8224,124.083,533.015,0.103337,5.24139,6.92983,1.64928,6.59375,0.945984,2.20083,49.3265,48.6502,2.54548,15.9636,23.4119,1.96515,5.76182,0.117056,8.49708,252.557,248.822,1.54801,1.01315,1.67205,0.762501,5.18632,0.368338,0.181019,0.0160089,0.00910625,2.17394,
85,12.7838,81.9454,481.822,0.156004,2.27086,2.49924,1.4236,5.66405,0.934243,2.1152,32.7077,32.0494,2.28119,8.03459,6.89544,1.04141,3.37818,0.0804301,12.2639,229.817,224.357,0.523619,1.01315,1.67205,0.734701,5.17245,0.377405,0.176809,0.0160089,0.00910625,2.17099,
86,12.7838,171.487,642.543,0.0745467,5.14155,2.64749,1.5736,7.809,0.912944,3.25923,74.2084,73.3185,2.61646,16.4355,5.4425,1.61332,10.6599,0.14073,13.1391,298.313,301.176,1.88652,1.01315,1.66994,0.622455,5.17738,0.252542,0.181019,0.0160089,0.00910625,2.17394,
87,12.7838,88.1003,458.518,0.145105,3.85274,3.9743,1.68465,6.1569,0.94576,0.75678,34.4171,33.8833,2.42875,13.6385,12.3684,2.13722,4.93052,0.127532,3.21042,220.246,220.142,1.09234,1.01315,1.67205,0.823164,5.1828,0.337558,0.181019,0.0389035,0.0208309,2.17394,
88,12.7838,221.97,731.864,0.0575926,7.7106,8.40417,1.99662,8.68784,0.896349,2.77529,95.0788,93.7256,2.69454,19.7669,27.4897,2.48127,12.9853,0.165147,9.21743,352.56,349.258,1.73264,1.00054,1.67205,0.6747,5.18131,0.252295,0.181019,0.0208031,0.00983327,2.17394,
89,12.7397,88.5301,472.736,0.143903,3.06259,5.22037,1.50779,7.06106,0.927245,1.6527,33.7169,32.9887,2.3927,10.7727,22.168,1.47606,10.3818,0.0959486,7.08552,232.864,223.514,1.09767,0.999286,1.67205,0.6747,5.18131,0.39671,0.181019,0.0208031,0.00983327,2.17394,
90,12.6416,34.1378,98.6284,0.370309,4.34896,4.04395,1.88367,6.48468,1.22785,0.852763,6.49201,6.46155,2.3424,14.9254,10.2023,2.57661,5.24798,1.67222,2.64488,44.701,47.8684,0.691329,0.986669,1.68724,0.883566,5.18131,0.943884,0.182164,0.00819306,0.00269618,2.19023,
91,12.6149,25.5875,63.8464,0.49301,3.62213,6.12888,1.27509,6.22333,1.04401,1.96101,1.45464,1.4311,2.44727,13.1197,22.3741,0.828004,5.22472,0.678207,9.53505,8.32186,8.61255,1.1654,0.916306,1.69799,0.827243,5.18131,0.944223,0.190774,0.00819306,0.00269618,2.18193,
92,12.6118,189.595,572.18,0.0665193,8.39758,10.1794,1.74851,8.93379,1.02506,1.77812,77.515,77.2887,2.72925,22.296,33.2973,1.96692,12.0985,0.941218,5.72421,252.181,258.696,1.74643,0.916306,1.69799,0.827243,5.18393,0.250661,0.190774,0.00819306,0.00269618,2.18193,
