Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.half_track_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.560311,0.386094,1.183,39.4489,0.0574217,39.248,2.27025,0.52568,
1,0.159494,1.48818,1.5221,48.5001,0.0228548,31.1714,0.559605,0.466898,
2,1.12667,0.06716,1.3084,42.7988,0.967898,35.5556,1.78643,1.63052,
3,0.233403,1.11351,1.30842,42.7796,1.3233,35.7748,2.17953,0.906608,
4,1.12015,0.12371,1.56495,49.6172,0.739764,29.5924,2.61878,0.535578,
5,0.526489,2.3914,1.06638,36.4787,0.0518898,44.3209,1.3579,0.593241,
6,0.166909,5.27523,1.21239,40.246,0.639598,38.8716,0.203219,0.707872,
7,1.14398,0.0550039,1.78657,55.4268,1.89063,26.6434,0.0466811,0.848256,
8,3.79295,0.120869,1.5831,48.9449,1.22632,29.2433,1.39792,2.54967,
9,3.5531,1.47411,1.14752,37.7916,0.370929,40.8285,1.90699,1.79844,
10,2.45999,1.01438,1.75071,54.4674,0.265283,26.3976,1.01021,1.69574,
11,0.127441,1.49399,1.68055,52.7323,4.57631,27.5418,0.556017,0.396934,
12,0.73925,0.365222,1.37919,44.136,4.89815,32.7081,3.81744,1.1398,
13,2.13216,1.71416,1.2685,41.5563,0.236924,37.6357,2.43025,2.23401,
14,0.0932956,4.85677,1.63259,51.4427,1.9543,28.5136,0.51114,0.501216,
15,2.68302,1.46225,1.35301,39.938,8.68332,31.0945,2.03146,2.33412,
16,1.94861,3.76198,1.30899,43.1124,3.88123,33.8991,0.382951,1.29519,
17,1.25842,0.299983,1.80026,55.9832,1.64446,27.1502,0.342662,1.43236,
18,0.446746,1.72952,0.960277,33.1171,8.40466,43.1799,1.13672,1.11254,
19,1.94,3.98932,1.18784,39.7943,1.70081,41.2013,0.740972,0.609796,
20,1.77035,1.31533,1.03218,35.5179,0.177364,47.3471,1.84785,2.24451,
21,0.353407,5.17927,1.20375,40.081,2.09185,40.7227,0.932753,0.932927,
22,0.320017,3.57069,0.96507,33.9804,0.978847,49.835,0.801862,1.29818,
23,0.48705,3.36536,1.48739,47.5826,3.00614,33.0022,2.22739,0.85836,
24,3.34177,1.03597,1.60124,49.7605,1.38545,30.4842,1.49801,3.31125,
25,0.210635,0.0305215,2.11101,64.7584,0.0259696,23.5829,1.47142,0.251865,
26,2.35001,0.969131,1.18944,40.0545,2.53548,41.9875,3.17343,0.902901,
27,0.74122,2.59454,1.48472,47.6075,1.63305,34.1525,4.59137,0.991636,
28,0.241344,2.69016,1.09539,37.5073,1.90261,46.3328,3.36075,0.70079,
29,0.421653,0.890139,0.959081,33.9002,2.55968,49.6989,4.61621,0.813968,
30,1.31472,2.40308,5.32621,156.762,20.585,8.20837,0.620132,2.54416,
31,3.73774,3.18755,0.541924,25.1822,4.08445,224.971,3.30204,4.31947,
32,2.69253,4.10039,5.45571,160.91,20.7348,8.04361,3.66387,3.65305,
33,4.62149,3.22144,4.94901,143.525,17.2088,9.91258,2.73944,1.54182,
34,2.68415,0.493435,1.47368,46.2881,1.71602,31.6723,0.494948,1.90789,
35,6.91468,3.03526,4.91793,136.735,20.0741,8.0091,3.75928,4.23655,
36,1.8856,2.5816,0.605129,25.2718,0.179484,1787.49,2.44139,3.16077,
37,0.932616,0.506402,2.01937,61.923,3.25279,23.5447,1.78057,0.946932,
38,1.01019,2.65153,5.58083,164.156,17.6519,9.00679,1.97348,2.59183,
39,6.07522,2.41472,6.16628,183.221,0.608602,12.4116,2.14367,3.29896,
40,2.02444,2.49822,1.28158,42.3968,3.81254,34.6663,1.28526,0.95661,
41,5.78509,4.56237,4.88802,139.684,20.4552,9.38327,6.20376,2.25017,
42,0.209024,0.547257,1.85802,57.6565,1.9297,25.1037,1.85246,0.374002,
43,1.62783,0.0680008,1.4755,47.3722,2.46179,31.1696,2.03773,0.763849,
44,2.83536,5.90976,0.730319,27.5747,0.346222,78.1958,0.662946,1.57267,
45,8.00202,5.33158,4.85329,133.973,20.1127,9.43681,1.05514,4.37042,
46,0.502781,0.342839,1.60382,50.1012,5.61349,27.2237,1.83482,0.363165,
47,0.95415,1.48049,1.09956,37.2948,0.108878,43.0998,0.661698,0.327385,
48,0.993126,4.77746,2.03853,62.4968,2.20975,23.305,1.19703,0.910015,
49,1.48034,0.924,1.57491,49.751,0.155425,29.2614,2.29986,0.789749,
