Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.0264072,0.151795,0.310431,1.91847,0.00562341,0.224166,0.0722032,27.9905,0.363135,65.0764,0.289344,1.33932,0.551867,
1,0.0266422,0.151783,0.310698,1.91851,0.00567946,0.224195,0.072127,27.9915,0.363125,65.0751,0.289297,1.33931,0.551839,
2,0.0264684,0.151929,0.309614,1.91851,0.0057415,0.224298,0.0721674,27.9895,0.363136,65.0781,0.289258,1.33966,0.551789,
3,0.0270152,0.151886,0.309675,1.91851,0.00571969,0.224745,0.0721848,27.9884,0.363142,65.0786,0.28931,1.33941,0.551755,
4,0.0268384,0.15184,0.309505,1.91848,0.00566645,0.224866,0.0722304,27.9895,0.363138,65.078,0.28933,1.33953,0.551726,
5,0.026567,0.151783,0.310937,1.91854,0.0057444,0.225115,0.0721679,27.9916,0.363125,65.0746,0.289294,1.33929,0.551864,
6,0.0268605,0.151975,0.309984,1.9185,0.00568654,0.224684,0.0721332,27.9881,0.363144,65.0792,0.289261,1.33937,0.551785,
7,0.0267167,0.151714,0.309698,1.91853,0.00576428,0.225268,0.0721882,27.9909,0.363127,65.0761,0.28934,1.33961,0.55171,
8,0.0265459,0.151866,0.30989,1.91848,0.00567572,0.224672,0.0721087,27.9884,0.363144,65.0793,0.289321,1.33956,0.551782,
9,0.0268333,0.151803,0.31043,1.9185,0.00568146,0.225016,0.0721319,27.9913,0.363127,65.0755,0.289298,1.33933,0.551792,
10,0.0264619,0.151835,0.310174,1.91851,0.00571317,0.22523,0.072197,27.9901,0.363133,65.0768,0.2893,1.3394,0.551854,
11,0.0270141,0.151679,0.310511,1.91852,0.00572371,0.225248,0.0720997,27.9918,0.363124,65.0747,0.289344,1.3393,0.551752,
12,0.0266619,0.151932,0.310019,1.91847,0.00565849,0.225248,0.0723205,27.9878,0.363146,65.0791,0.289292,1.3393,0.551838,
13,0.0264649,0.151885,0.309691,1.91852,0.00572476,0.225011,0.0721304,27.9892,0.363138,65.0784,0.289291,1.33966,0.551789,
14,0.0264579,0.151705,0.309929,1.9185,0.00564882,0.225036,0.0720804,27.9919,0.363125,65.0758,0.289346,1.3397,0.551784,
15,0.026594,0.151771,0.310186,1.91849,0.00569526,0.225068,0.0721401,27.9895,0.363137,65.0778,0.289338,1.33941,0.55181,
16,0.0266508,0.151699,0.310662,1.91854,0.00575111,0.225253,0.0721575,27.9921,0.363122,65.0745,0.289327,1.33937,0.551815,
17,0.0269448,0.151759,0.309976,1.91851,0.00571859,0.224873,0.0720861,27.9913,0.363127,65.0762,0.289325,1.33951,0.551713,
18,0.0267622,0.151973,0.309515,1.91848,0.00567623,0.225094,0.0723364,27.9866,0.363152,65.0809,0.289293,1.33943,0.551781,
19,0.0267412,0.152019,0.308692,1.91848,0.00574523,0.225468,0.0726308,27.9852,0.363158,65.082,0.289277,1.33978,0.551766,
20,0.02621,0.151757,0.310242,1.91854,0.0057593,0.225227,0.0721037,27.991,0.363128,65.0763,0.289322,1.33964,0.551842,
21,0.0263965,0.151878,0.310909,1.91851,0.00567364,0.225272,0.0721415,27.9917,0.363125,65.075,0.289245,1.3393,0.551906,
22,0.026535,0.151751,0.309983,1.9185,0.00566389,0.225286,0.072168,27.9911,0.363128,65.0762,0.289326,1.33962,0.551778,
23,0.0264333,0.151674,0.310479,1.91851,0.00572304,0.225241,0.0721018,27.992,0.363123,65.0751,0.289345,1.33947,0.551829,
24,0.0264681,0.151849,0.310356,1.91847,0.00561762,0.225272,0.0722211,27.9912,0.363132,65.076,0.289314,1.33934,0.551858,
25,0.0268966,0.151765,0.310146,1.91851,0.00572111,0.225195,0.0721183,27.9908,0.363129,65.0763,0.289316,1.33945,0.551726,
26,0.0269315,0.151747,0.309466,1.91851,0.00570116,0.225256,0.072106,27.9913,0.363126,65.0763,0.289323,1.33967,0.55168,
27,0.0264881,0.151785,0.310204,1.91849,0.00563936,0.225604,0.0721788,27.9917,0.363125,65.0753,0.289307,1.33943,0.551839,
28,0.0266559,0.151879,0.309957,1.91855,0.00582333,0.225575,0.072171,27.9887,0.363139,65.0782,0.289285,1.33942,0.551801,
29,0.0264523,0.151788,0.310211,1.91852,0.00570469,0.225064,0.0720526,27.9901,0.363133,65.0775,0.289317,1.33954,0.551821,
30,0.0266731,0.151861,0.30961,1.91849,0.00568283,0.224884,0.0724757,27.9896,0.363136,65.0766,0.2893,1.33962,0.551751,
31,0.0268337,0.151867,0.309744,1.91851,0.00572645,0.224716,0.0722027,27.9883,0.363143,65.079,0.289317,1.33941,0.551764,
32,0.0266782,0.151878,0.309792,1.91849,0.0056964,0.225471,0.0720758,27.9886,0.363142,65.0794,0.289308,1.33952,0.551806,
33,1.14006,1.31362,44.3951,2.50533,38.516,2.45786,281.276,233.59,0.179078,40.9255,2.55513,0.341583,0.895336,
34,3.67597,8.28142,123.41,35.4803,150.586,1.10187,143.99,355.934,1.36227,255.322,2.26065,7.16971,7.04516,
35,0.0271005,0.151807,0.310209,1.91853,0.00574805,0.224346,0.0721054,27.9917,0.363123,65.0748,0.289278,1.33936,0.551736,
36,0.0268515,0.15173,0.31068,1.91851,0.00570681,0.225568,0.0721284,27.9914,0.363126,65.0752,0.289329,1.33927,0.551795,
37,0.0267598,0.151728,0.310372,1.9185,0.00572614,0.224998,0.0722159,27.989,0.363139,65.0777,0.289358,1.3393,0.551803,
