Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,487.254,2975.24,2447.87,0.16377,44.5559,137.495,175.668,5.26734,130.681,10.7772,457.615,381.338,0,519.36,4.76183,53.6966,44.6032,755.952,253.468,56.0953,144.389,1147.03,6.65804,160.975,13.307,1071.34,959.291,0,448.118,6.33688,63.5297,51.5379,860.564,415.532,2.05648,3.5672,10.6911,0.984279,11.3231,0.116802,0.000377273,0.000434748,0,16.8112,0.0704047,1.09684,2.05562,34.331,13.7183,
1,487.254,2644.46,1309.03,0.184255,83.9181,118.642,44.0337,5.30734,124.742,7.59161,368.636,497.394,0,448.045,4.85947,52.0465,83.9078,532.415,272.922,134.218,90.3901,192.924,4.03672,86.304,6.94771,330.892,663.839,0,303.91,4.31948,40.2826,132.602,523.123,353.665,2.52769,3.5672,11.3527,0.837226,11.6698,0.116802,0.000377273,0.000434748,0,16.8112,0.152559,1.09684,3.04038,34.331,13.7183,
2,487.254,2556.54,1320.81,0.190591,155.582,110.352,45.7123,5.45611,128.72,7.03124,350.549,431.996,0,412.204,5.0696,53.8239,155.548,446.974,247.524,302.918,85.5202,141.699,4.53079,87.3302,5.03185,349.086,600.55,0,285.474,4.82993,40.4323,297.114,420.28,168.561,2.52769,3.5672,11.6078,0.98235,11.6698,0.116802,0.000377273,0.000434748,0,16.8112,0.0777019,1.09684,3.04038,31.5239,13.7183,
3,487.254,2367.52,1044.76,0.205808,135.432,105.237,46.4291,5.08497,124.965,6.134,307.993,430.215,0,371.506,4.73396,53.172,135.432,399.507,241.674,248.976,80.3754,141.561,3.87012,81.7162,4.76053,284.657,550.563,0,257.593,4.13891,40.3267,251.898,369.729,153.624,2.52769,3.5672,9.01403,0.784415,11.6698,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.09684,3.04038,32.7904,13.7183,
4,487.254,2694.53,1986.2,0.180831,187.093,93.9229,46.9528,5.12048,109.896,6.33116,350.541,557.025,0,395.152,4.75735,47.5703,187.327,391.653,311.184,401.05,80.3377,141.553,3.88391,81.7997,4.59807,388.003,812.788,0,285.151,4.16957,40.0666,395.428,368.727,530.028,2.52769,1.74487,10.0642,0.833072,11.208,0.0607821,0.000377273,0.000434748,0,16.8112,0.0658473,0.435279,3.04038,32.7904,13.7183,
5,487.254,2420.3,1234.83,0.20132,172.496,89.5896,48.2246,5.13397,117.134,6.04561,311.476,455.582,0,379.248,4.7288,49.6935,172.481,349.325,259.136,304.648,80.1336,141.373,3.86427,82.2943,4.23483,277.894,543.642,0,259.61,4.15409,39.7865,308.159,337.612,161.403,2.52769,3.5672,9.27003,0.971793,12.8298,0.116802,0.000377273,0.000434748,0,15.8594,0.0658473,1.07632,3.04038,31.9054,13.7183,
6,487.254,2401.71,1252.58,0.202878,150.527,86.3661,46.5337,4.93301,116.519,5.75031,315.919,490.143,0,357.973,4.56161,51.0211,150.475,381.563,239.428,240.964,66.3796,141.532,3.60483,83.8759,4.10173,294.783,579.205,0,263.333,3.8888,39.2383,243.526,316.946,148.075,2.52769,3.5672,12.0657,0.984279,12.6226,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.09684,3.04038,32.7904,13.7183,
7,487.254,2415.18,1411.26,0.201746,184.3,81.7171,47.61,5.0508,117.258,5.32599,312.731,442.623,0,386.835,4.69293,52.1843,184.303,316.932,273.618,351.3,62.6938,141.38,3.54309,83.66,4.03114,327.412,592.214,0,263.907,3.8165,45.3384,350.394,305.739,191.364,2.52769,3.5672,11.5559,0.921229,12.5065,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.09684,3.04038,31.8367,13.7183,
8,487.254,2520.05,2239.46,0.193351,134.1,86.0534,34.172,5.0713,113.135,5.03336,350.933,644.823,0,372.876,4.71198,48.8864,134.069,302.032,284.159,192.646,71.266,31.9894,4.12896,79.8136,3.72232,448.617,1361.8,0,273.029,4.42157,42.6061,199.824,274.926,375.362,2.52769,3.5672,12.5138,0.984279,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.09684,3.04038,32.7904,8.28655,
9,487.254,2519.33,1813.39,0.193407,216.887,85.8747,34.5455,4.35543,116.574,5.30055,314.972,531.227,0,355.409,3.92466,51.6474,217.168,307.006,274.433,417.449,62.7978,29.3098,3.25571,89.5016,3.68894,396.7,907.129,0,250.843,3.41666,44.8849,399.635,280.995,259.344,2.52769,3.5672,12.5138,0.927636,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.09684,3.04038,32.7904,13.7183,
10,487.254,2188.12,988.495,0.222682,139.549,83.2012,36.0668,4.61483,121.3,5.22566,265.063,447.028,0,359.855,4.22166,53.869,139.525,273.95,254.65,184.693,63.4594,29.0814,3.11847,91.628,3.5221,235.629,549.177,0,295.453,3.36233,49.027,199.687,260.24,149.741,2.52769,3.5672,12.5138,0.900297,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,3.04038,32.7904,13.7183,
11,487.254,2217.24,1150.24,0.219758,113.415,78.2018,39.5755,4.32839,108.753,5.52298,286.524,542.5,0,337.559,3.8762,48.6279,113.425,245.151,289.776,122.527,62.0195,34.1857,3.1726,81.7128,3.57981,289.94,727.369,0,242.077,3.41518,43.307,125.278,245.926,171.677,2.52769,2.41369,12.5138,0.717851,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,3.04038,31.1776,13.7183,
12,487.254,2191.33,1589.58,0.222356,107.27,75.2736,173.725,4.5505,113.921,5.72936,247.066,456.185,0,336.615,4.19946,50.8255,107.29,237.752,270.926,108.402,58.6578,1344.83,3.11248,86.1363,3.71503,214.306,526.853,0,247.12,3.40191,43.2212,108.826,235.986,161.634,2.3667,3.5672,12.5138,0.911468,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,2.55108,31.3082,13.7183,
13,487.254,2082.46,1016.17,0.233981,119.938,74.2079,36.9986,4.41014,97.686,5.23484,251.799,526.88,0,297.013,4.01549,42.7388,119.929,237.751,263.853,144.371,61.3964,83.7515,3.12185,74.5594,3.4165,254.7,705.139,0,236.259,3.40179,35.75,142.027,233.016,153.098,0.681259,1.54071,12.5138,0.786658,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0329603,0.987901,1.32093,32.7904,13.7183,
14,487.254,2303.44,1488.89,0.211533,180.158,71.399,39.7257,4.39144,91.6062,5.27896,295.084,513.263,0,341.856,3.95824,42.1016,180.127,237.236,297.259,271.687,60.4505,38.5535,3.19127,70.3623,3.36038,336.727,608.821,0,251.123,3.44776,36.5222,254.261,214.526,343.768,0.681259,3.5672,14.0409,0.625236,12.251,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,1.32093,30.4097,13.7183,
15,487.254,2047.39,944.278,0.237988,127.003,77.515,37.4029,4.06644,89.7539,5.06302,270.241,511.704,0,300.388,3.63208,40.3103,126.983,213.216,240.113,193.402,67.2606,28.6117,2.82226,66.4194,3.12216,322.173,657.698,0,228.545,3.03182,34.5634,197.24,196.935,154.619,0.681259,3.5672,14.0409,0.848201,12.3998,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,1.32093,32.7904,13.7183,
16,487.254,2129.09,1379.75,0.228856,153.748,74.4593,35.827,4.22721,84.4431,5.05564,285.648,505.589,0,282.912,3.82442,38.3244,153.717,253.975,247.337,222.341,64.6588,28.8994,2.87603,64.6364,3.21704,338.075,673.573,0,223.841,3.13155,32.3121,215.978,227.053,173.084,0.681259,3.5672,14.0409,0.803576,12.2205,0.0899658,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,1.32093,32.7904,13.7183,
17,487.254,1913.93,812.793,0.254583,101.263,77.4862,38.46,4.18763,77.8167,5.57638,247.335,453.059,0,305.65,3.82091,35.9979,101.284,202.365,259.626,122.427,66.6938,21.4004,2.84079,62.0883,3.05555,283.376,551.535,0,233.288,3.10769,32.1748,122.298,201.973,150.634,0.681259,1.40007,14.0409,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,1.08984,31.3288,13.7183,
18,487.254,2026.46,1100.15,0.240446,118.786,82.2773,41.3338,3.78374,75.1536,5.35458,270.481,547.611,0,273.991,3.29899,35.5684,118.852,199.591,250.382,215.926,73.0822,57.9199,2.53443,62.5047,3.1119,282.972,706.355,0,209.632,2.69631,32.8733,214.039,210.951,152.934,0.681259,1.40007,9.55779,0.789602,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0501742,0.987901,1.32093,33.5096,18.8758,
19,487.254,1869.45,853.947,0.26064,116.403,71.4373,35.5125,3.95654,76.1245,4.98683,227.963,456.002,0,259.452,3.61759,34.3527,116.397,194.027,269.22,125.078,64.3212,17.7188,2.65264,61.7519,2.85589,217.191,583.106,0,221.943,2.82656,31.5446,125.28,177.358,147.457,0.681259,1.40007,14.0409,0.816216,12.4574,0.116369,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,1.32093,33.5096,18.8758,
20,487.254,1916.5,928.943,0.254242,126.748,74.7565,33.4065,3.88967,86.16,4.95082,242.343,418.201,0,280.477,3.57061,39.8548,126.723,213.978,261.443,147.556,63.2961,12.0506,2.88519,72.0821,3.97681,240.929,463.117,0,260.964,3.07828,34.4529,145.242,271.686,144.443,2.3667,1.40007,10.924,0.816216,11.798,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,2.55108,31.2827,18.8758,
21,487.254,1921.53,1086.28,0.253576,141.898,71.7545,35.3335,4.00961,78.789,5.42943,239.18,425.8,0,265.992,3.67331,36.3675,141.865,209.999,261.444,172.57,61.1454,13.5129,2.57532,59.8306,3.72879,263.437,523.08,0,243.704,2.78387,31.2132,169.133,257.79,151.332,2.3667,1.40007,11.8774,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,0.987901,2.55108,31.2827,18.8758,
22,487.254,2162.9,1751.89,0.225279,168.93,74.2766,34.7928,3.86214,83.4015,5.13598,261.272,542.696,0,249.72,3.55245,37.4392,168.875,203.07,325.873,219.086,61.4054,13.2125,2.53933,63.826,2.77601,333.451,871.542,0,191.533,2.75311,31.8154,218.593,194.648,395.445,2.3667,1.40007,14.0409,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.5076,0.0658473,0.987901,2.55108,31.2827,18.8758,
23,487.254,2009.85,1380.04,0.242434,120.098,79.2874,34.589,4.11389,78.6213,5.56734,246.858,498.866,0,270.144,3.75297,36.6243,120.097,235.395,275.832,151.408,69.5586,13.3411,3.48787,64.334,4.48419,323.515,778.91,0,206.412,3.70006,32.8057,156.539,315.96,166.7,0.996652,1.40007,11.4605,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.14541,31.2827,18.8758,
24,487.254,1949.67,2249.76,0.249916,102.21,68.3471,38.2303,3.78346,86.6758,5.40322,282.625,515.875,0,250.863,3.40917,40.4954,102.269,171.965,277.52,104.684,57.7885,19.4568,2.66932,68.899,2.8712,803.177,1397.06,0,185.426,2.85666,37.3492,105.97,174.141,143.841,2.3667,1.29104,14.0409,0.543155,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.55108,31.2827,18.8758,
25,487.254,1937.97,1899.28,0.251425,101.368,70.7991,36.4476,3.87083,90.6455,5.10052,270.84,519.372,0,259.067,3.46378,42.3382,101.384,167.049,266.223,93.9047,56.1036,12.9716,2.50845,73.3815,2.85195,646.617,1266.29,0,188.45,2.73354,36.9613,93.8851,156.067,144.247,2.3667,1.40007,14.0409,0.816216,12.4574,0.0952837,0.000377273,0.000434748,0,16.8112,0.0550537,1.73731,2.55108,31.2827,18.8758,
26,487.254,1909.98,1274.22,0.25511,138.537,67.8062,35.0811,4.14408,89.3722,5.12661,227.882,424.925,0,274.762,3.73232,39.786,138.847,188.105,271.872,332.964,59.3289,12.1922,2.78109,78.3255,2.84846,267.324,586.729,0,212.407,2.972,35.4764,330.709,190.982,143.415,2.22084,1.40007,14.0409,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.17706,31.2827,18.8758,
27,487.254,1857.14,996.604,0.262368,107.839,62.5423,37.3197,3.95313,86.8213,5.44086,241.948,500.529,0,244.942,3.55398,40.9467,107.848,155.626,257.831,108.133,56.3804,13.3223,2.59122,66.0825,2.71358,280.255,660.782,0,175.556,2.75335,34.4208,109.232,157.687,142.043,2.22084,1.40007,14.0409,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0514366,1.73731,2.17706,31.3756,18.8758,
28,487.254,1793.58,917.299,0.271666,105.638,70.7637,38.9066,3.70942,86.7383,5.45872,212.694,456.992,0,238.028,3.2836,41.5873,105.637,174.631,249.509,108.506,64.1174,18.0344,2.57755,68.347,3.00643,219.723,614.539,0,181.249,2.7369,36.2348,108.582,160.859,146.754,2.22084,0.672774,14.0409,0.729081,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.055494,1.73731,2.17706,31.3756,18.8758,
29,487.254,1815.25,1621.62,0.268422,112.578,62.8965,36.2075,3.94508,86.9548,5.20817,241.881,440.564,0,244.042,3.54207,39.2189,112.577,167.905,257.733,112.965,56.7337,12.1698,2.6663,62.6268,2.79803,511.208,977.289,0,180.146,2.83201,32.2911,114.26,157.944,149.543,2.22084,1.40007,14.0409,0.73445,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.17706,31.3756,18.8758,
30,487.254,1892.99,1309.04,0.257399,153.217,66.5215,35.3912,4.0817,84.0704,5.08749,230.739,457.276,0,239.427,3.70266,38.0612,153.516,162.541,259.356,345.481,56.4365,11.6362,2.91611,68.0021,2.64323,279.422,651.606,0,199.744,3.06971,32.5469,342.024,162.775,144.998,2.22084,1.40007,14.0409,0.698205,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0120285,1.73731,2.17706,31.3756,18.8758,
31,487.254,1737.19,1022.79,0.280484,92.9378,61.1107,36.0784,4.26137,88.151,5.17589,205.853,435.084,0,247.481,3.86756,40.6531,92.9644,154.344,269.228,109.505,56.4159,11.7108,2.56456,69.9739,2.61178,235.686,646.456,0,199.024,2.69558,35.5749,109.455,156.144,186.327,2.22084,1.00058,14.0409,0.816216,12.4574,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.17706,31.3756,18.8758,
32,487.254,1577.33,622.643,0.308911,99.8951,57.3866,34.5147,3.98096,80.3062,4.90646,164.249,333.069,0,227.252,3.58761,36.6481,99.9005,161.718,269.915,103.348,48.5218,10.765,2.62347,61.476,2.54151,154.097,405.687,0,181.592,2.74734,31.3101,103.091,161.639,145.739,2.22084,1.00058,14.0409,0.714682,12.8298,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.17706,31.3756,18.8758,
33,487.254,1695.65,1024.69,0.287355,112.149,62.6748,33.5505,4.07596,85.038,4.69876,217.071,399.506,0,187.666,3.63619,40.077,112.163,183.358,249.989,140.874,54.5887,11.0372,2.7722,64.9835,2.60699,277.422,595.085,0,141.302,2.84958,33.3371,138.625,179.946,138.743,2.22084,1.00058,14.0409,0.634757,12.8298,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.73731,2.17706,31.3756,18.8758,
34,487.254,1681.44,1236.49,0.289784,87.3409,66.4038,34.0047,3.85,81.2212,4.73379,220.795,439.789,0,187.432,3.47989,37.4941,87.3639,152.487,275.045,88.359,50.6617,9.6613,2.68576,62.0036,2.38579,362.576,766.971,0,146.835,2.78439,31.2975,88.2632,155.953,213.781,2.22084,1.00058,14.0409,0.816216,12.8298,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.71289,2.17706,31.8329,18.8758,
35,487.254,1519.99,630.218,0.320564,83.3295,57.8554,38.9917,3.88004,84.4063,5.27166,189.234,338.484,0,185.704,3.52234,38.1383,83.3624,154.555,253.255,89.6101,46.6469,34.4674,2.9831,62.8517,2.66414,198.703,432.511,0,142.898,3.12882,31.2768,89.713,158.669,131.339,2.22084,1.00058,14.0409,0.816216,12.8298,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.71289,2.17706,31.3515,18.8758,
36,487.254,1658.34,958.391,0.293821,100.819,63.4817,35.8563,4.00075,89.7194,5.05997,203.353,394.739,0,215.878,3.6152,40.9686,100.852,151.978,248.017,106.929,53.2163,13.0276,2.67739,72.8735,2.63857,242.358,522.683,0,178.54,2.82117,34.2055,103,154.585,128.676,2.22084,1.00058,14.0409,0.816216,12.2892,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.71289,2.17706,31.0033,18.8758,
37,487.254,1513.14,746.278,0.322016,88.9909,53.8744,35.9572,3.74207,81.0015,5.22327,181.694,342.509,0,195.911,3.3695,36.51,89.0221,134.537,260.794,94.7712,45.9876,10.2198,2.14814,62.0508,2.42961,207.381,461.115,0,150.921,2.27765,30.4685,94.6549,139.853,125.531,2.22084,1.00058,14.0409,0.794113,12.8298,0.116802,0.000377273,0.000434748,0,16.8112,0.0658473,1.0955,2.17706,31.1182,18.8758,
