Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.477243,32.8906,5.01952,18.4092,1.92505,0.00575926,0.00904775,0.00667589,0,46.2795,1.38441,1.08726,1.11779,47.7337,4.35575,
1,0.482612,32.8922,5.01999,18.4238,1.92761,0.00208835,0.00938057,0.00648574,0,46.2695,1.38697,1.08427,1.12086,47.7138,4.36412,
2,0.472329,32.8894,5.01908,18.3997,1.92527,0.0091391,0.0104527,0.00384893,0,46.281,1.38465,1.08918,1.11535,47.7529,4.35177,
3,0.481873,32.8912,5.01969,18.4177,1.92508,0.00450747,0.0105429,0.00366076,0,46.2768,1.38443,1.0854,1.12054,47.7265,4.3577,
4,0.475811,32.8912,5.01978,18.4337,1.9234,0.0108748,0.00910023,0.00486531,0,46.2909,1.38271,1.08097,1.11654,47.7235,4.34375,
5,0.471595,32.8853,5.01787,18.3357,1.9241,0.0126152,0.0127746,0.00279405,0,46.2457,1.38347,1.1061,1.11496,47.8033,4.39204,
6,0.475734,32.891,5.01962,18.4298,1.92546,0.00423413,0.00959188,0.0041813,0,46.2758,1.38482,1.08199,1.11697,47.7301,4.35928,
7,0.470683,32.8895,5.01929,18.4248,1.92419,0.00335431,0.00933325,0.00387443,0,46.2584,1.38347,1.08406,1.1137,47.7446,4.37958,
8,0.478305,32.8895,5.01927,18.4145,1.92528,0.00200356,0.00996465,0.00355582,0,46.2776,1.38465,1.08619,1.1182,47.7446,4.35592,
9,0.476233,32.891,5.01972,18.434,1.92316,0.0101427,0.0107904,0.003189,0,46.3028,1.38244,1.0813,1.11715,47.7262,4.33237,
10,0.474893,32.8886,5.01895,18.4031,1.92531,0.00329412,0.0108056,0.00326647,0,46.2897,1.38468,1.08889,1.11624,47.7583,4.34559,
