Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,31.1826,437.016,175.442,0.0713535,351.202,26.1698,2.09961,1.39381,6.74419,24.9786,1.30131,1.68358,17.9953,1.04471,2.40268,193.424,24.8643,2.39547,0.996515,8.92376,21.902,1.37588,2.08024,24.8315,1.20108,2.74162,23.5943,0.0916775,0.0305215,0.215594,0.145672,0.795487,0.640103,0.0720194,0.129848,0.1856,0.553849,
1,31.1826,352.957,107.613,0.0883467,255.336,23.1807,1.96333,1.21669,3.00077,27.9585,1.03132,1.64506,34.3649,1.12518,2.13482,101.374,20.2727,0.849142,0.55913,2.21977,19.7322,0.468458,1.31775,49.4891,0.630705,1.52179,23.5943,0.0916775,0.0305215,0.215594,0.0921904,0.795487,0.146322,0.0720194,0.129848,0.163082,0.390153,
2,31.1826,301.933,81.7984,0.103277,197.7,16.7637,1.68528,1.24332,2.87462,32.1409,0.751517,1.83816,43.7027,1.02204,2.21103,73.1187,16.2088,1.03963,0.474685,2.5351,21.0114,0.4339,1.35471,56.1199,0.621684,1.38342,16.4413,0.0916775,0.0305215,0.215594,0.0907653,0.628013,0.0276142,0.0199447,0.129848,0.163082,0.18639,
3,31.1826,279.014,81.6607,0.11176,182.974,15.229,1.5596,1.32537,2.8964,28.7597,0.712969,1.66971,40.8688,0.997985,2.02039,61.3022,11.7145,1.06278,0.539428,2.41656,24.0232,0.317628,1.4423,48.0005,0.618693,1.26112,16.4413,0.0916775,0.0305215,0.251504,0.11496,0.628013,0.0276142,0.0357791,0.129848,0.0998719,0.170553,
4,31.1826,274.964,92.5164,0.113406,170.035,16.6684,1.54118,1.35625,3.12375,34.6516,0.680599,1.72559,42.0807,0.895315,2.20524,65.552,14.256,0.970711,0.463845,2.4786,27.6578,0.368587,1.49343,39.9566,0.588864,1.14266,13.2767,0.0916775,0.0305215,0.251504,0.112217,0.370253,0.0190854,0.0357791,0.129848,0.116946,0.18639,
5,31.1826,212.387,62.1592,0.14682,118.671,17.4771,1.7147,1.19773,3.15556,22.8211,0.666066,1.71716,41.7142,1.00582,2.2473,75.4508,14.7512,1.25648,0.476932,2.63706,19.4199,0.472616,1.47684,42.9158,0.737885,1.26314,10.6999,0.0916775,0.0305215,0.251504,0.11496,0.370253,0.0190854,0.019378,0.129848,0.106709,0.18639,
6,31.1826,176.402,46.5368,0.17677,78.0732,20.2217,2.22447,1.2394,2.78243,22.9401,0.803407,1.83659,42.5154,1.15218,2.61365,58.3411,14.944,1.47186,0.511778,2.58369,20.491,0.651565,1.7044,29.9161,0.791138,1.48558,10.5844,0.0916775,0.0305215,0.338064,0.233778,0.628013,0.0190854,0.0134563,0.129848,0.106709,0.278257,
7,31.1826,167.543,54.0746,0.186117,73.6503,23.1659,2.13936,1.18568,3.56163,19.7386,0.742706,1.35366,37.7224,1.39087,2.89209,40.8945,15.4005,1.40717,0.476488,2.77017,17.4067,0.566828,1.35226,29.1604,0.865131,1.66331,10.5844,0.0916775,0.0305215,0.443851,0.336623,0.628013,0.0276142,0.0134563,0.129848,0.106709,0.216447,
8,31.1826,141.614,41.5639,0.220194,58.2728,19.9764,2.25998,1.15091,2.94212,18.601,0.960028,1.43747,31.7442,1.34122,2.92805,35.595,13.6776,1.39311,0.487693,2.48985,17.594,0.611605,1.256,26.5912,0.830963,1.45701,5.84388,0.0916775,0.0305215,0.443851,0.219845,0.677563,0.0572645,0.0134563,0.129848,0.124171,0.278257,
9,31.1826,118.4,29.4728,0.263366,54.5795,16.6708,1.96881,1.03109,3.21447,14.3813,0.928065,1.09558,20.7036,1.45357,2.37372,30.3959,13.2021,1.43191,0.458784,2.32264,12.7976,0.401665,1.03723,17.3749,0.84652,1.42168,10.6999,0.0916775,0.0305215,0.443851,0.156427,0.578844,0.0572645,0.0134563,0.129848,0.124171,0.146135,
10,31.1826,106.604,28.5776,0.29251,43.6289,14.4883,2.03008,0.847431,2.95524,11.3218,1.12087,0.850945,25.2621,1.46876,2.62928,27.714,11.2345,1.45739,0.374524,2.11386,10.3595,0.453937,0.791447,18.0532,0.910561,1.42813,11.7839,0.0916775,0.0305215,0.144596,0.156427,0.376533,0.267811,0.00667318,0.129848,0.124171,0.146135,
11,31.1826,96.3233,28.9208,0.323729,40.2531,14.1252,1.8113,1.00489,2.95646,11.0362,1.24436,0.920382,18.7957,1.53614,2.63946,22.7403,11.3176,1.33336,0.451999,2.07022,10.9579,0.439585,0.883824,16.2672,0.978355,1.31949,11.1024,0.0916775,0.0305215,0.144596,0.156427,0.376533,0.49937,0.0478813,0.129848,0.124171,0.146135,
12,31.1826,89.3137,29.3939,0.349136,35.4335,11.9446,1.62416,1.33487,3.27127,13.1102,1.33703,0.741455,16.608,1.63828,2.2704,20.2261,8.74647,1.1859,2.46802,2.10869,10.8218,0.381962,0.595933,14.6383,0.981482,1.13134,11.1024,0.0916775,0.0305215,0.144596,0.373377,0.376533,0.57344,0.0478813,0.129848,0.0763055,0.146135,
13,31.1826,89.1772,43.7918,0.34967,34.6454,11.6566,1.99771,0.926488,3.56098,10.2042,1.43852,0.641127,19.6535,1.90851,2.54414,25.3808,10.3091,1.25607,0.521765,2.24115,7.93674,0.475351,0.568976,17.7205,0.862634,1.12411,10.134,0.0916775,0.0305215,0.144596,0.373377,0.376533,0.769436,0.0222301,0.129848,0.124171,0.473822,
14,31.1826,70.8355,19.3268,0.440212,25.3798,8.21521,2.10865,0.860384,3.988,11.194,1.36815,0.568835,13.0796,1.87795,2.19505,12.7437,7.52738,1.22433,0.461193,2.09133,8.83691,0.309344,0.507167,11.2238,0.798014,0.958656,10.134,0.0916775,0.0305215,0.144596,0.373377,0.376533,0.89536,0.0222301,0.129848,0.100702,0.929197,
15,31.1826,70.8519,30.3305,0.44011,28.5322,8.29422,2.07847,0.880306,3.55535,8.23812,1.34819,0.566049,13.9467,1.7607,1.65153,20.3107,5.88782,1.15561,0.403231,2.01062,6.92142,0.391113,0.489257,11.9695,0.83324,1.00556,10.134,0.0916775,0.0305215,0.144596,0.373377,0.971778,0.531515,0.0222301,0.129848,0.100702,0.399261,
16,31.1826,86.4582,89.2464,0.360667,28.7472,11.6965,2.19527,0.874615,3.12905,14.4802,1.27133,1.01517,19.6903,1.37096,1.98762,30.9005,15.5636,1.40396,0.427815,2.31115,14.2367,0.436625,1.10866,36.6089,0.869215,1.49699,9.85495,0.0916775,0.0305215,0.144596,0.1198,0.990408,0.652206,0.0215805,0.129848,0.100702,0.295848,
17,31.1826,63.5487,21.364,0.490688,22.1055,7.8103,2.20387,0.990389,3.41036,9.70639,1.25999,0.669859,12.2108,1.47864,1.70263,13.2113,6.66696,1.212,1.41444,2.11424,8.10601,0.307969,0.679758,14.0963,0.841561,0.790464,10.134,0.0916775,0.0305215,0.0580876,0.104051,1.20119,0.630334,0.0243139,0.129848,0.100702,0.110565,
18,31.1826,65.793,83.9012,0.473951,25.6664,7.59816,1.83212,0.681407,4.21553,11.681,1.21758,0.630661,8.79459,1.67285,1.80274,52.0058,9.92456,1.18952,0.372505,2.47835,13.7482,0.269965,0.570874,12.2268,0.782561,0.751054,9.50205,0.0916775,0.0305215,0.128566,0.627068,0.496296,0.177351,0.0243139,0.129848,0.100702,0.646028,
19,30.3216,71.7342,94.809,0.422693,26.7141,7.15822,1.88236,0.707123,3.67828,13.199,1.18999,0.760822,13.0254,1.5371,1.88174,38.0292,6.83743,1.22525,0.441595,2.25784,21.0741,0.297482,0.756889,34.3398,0.826829,0.615239,10.134,0.0916775,0.0305215,0.128566,0.0914491,0.738387,0.0764943,0.0101325,0.129848,0.0873198,0.646028,
20,30.3216,72.9848,130.553,0.41545,28.165,8.61234,1.60539,0.712431,3.50618,9.90993,1.1896,0.811284,15.1772,1.46447,1.83107,56.655,14.8998,1.35201,0.439132,2.10554,15.5625,0.236455,0.701084,46.904,0.813762,0.599358,10.134,0.0916775,0.0305215,0.128566,0.216231,0.104937,0.482543,0.0260604,0.119636,0.0353342,0.430738,
21,30.3216,77.0752,125.98,0.393402,31.1444,9.14782,1.35776,0.725609,3.44585,15.7621,1.21687,0.987128,10.0571,1.36034,1.87019,82.9162,16.359,1.19657,0.556434,2.08616,19.7556,0.327403,0.846123,20.8889,0.819417,0.751155,7.69563,0.0916775,0.0305215,0.128566,0.216231,0.104937,0.338541,0.0260604,0.119636,0.0353342,0.430738,
22,30.3216,73.0295,94.0642,0.415196,26.8124,6.43514,1.48593,0.71259,3.15415,13.4808,1.13947,0.980929,15.7407,1.32496,1.76238,43.9509,9.02033,1.16443,0.419413,1.97921,16.8395,0.281678,0.846349,39.6735,0.793552,0.523612,10.134,0.0916775,0.0195904,0.128566,0.305313,0.104937,0.166392,0.0260604,0.119636,0.0353342,0.430738,
23,30.3216,69.9144,75.9523,0.433695,30.0414,8.11167,1.24364,0.700124,3.41783,9.86838,1.27768,0.67442,11.3469,1.50978,1.72265,30.2885,12.6682,1.06812,0.36622,1.82748,11.539,0.417158,0.555265,34.4218,0.846379,0.745343,10.134,0.0916775,0.0305215,0.115173,0.321685,0.104937,0.61896,0.0260604,0.119636,0.0353342,0.126571,
24,28.0329,50.5318,42.5761,0.554757,20.9099,6.22043,1.39289,0.660417,3.3189,7.65812,1.23255,0.849061,5.22385,1.38079,1.68488,26.0286,7.99289,1.20453,0.266149,2.04963,9.72523,0.204615,0.739544,7.84237,0.858041,0.504375,10.134,0.0916775,0.0305215,0.128566,0.0471307,0.104937,0.938625,0.00901675,0.0686994,0.0353342,0.430738,
25,27.599,80.6872,162.632,0.342049,34.5356,8.5334,1.54992,0.734193,3.64431,14.8344,1.25311,0.786984,11.731,1.39827,1.68596,95.4918,16.455,1.25082,0.563135,2.61765,27.4322,0.202464,0.56394,30.176,0.782018,0.741104,8.10992,0.0916775,0.0305215,0.128566,0.321685,0.104937,0.910761,0.0101856,0.119636,0.0353342,0.16399,
26,27.599,62.9441,113.756,0.438468,28.3374,7.14431,1.2021,0.650155,2.93379,7.52392,1.27105,0.745487,10.1295,1.2084,1.79795,67.8598,8.32324,1.19527,0.342947,1.92135,9.05595,0.281252,0.750975,36.6085,0.766449,0.813072,10.134,0.0916775,0.0305215,0.0863982,0.133362,0.104937,0.757914,0.0260604,0.119636,0.0353342,0.527879,
27,27.599,61.4491,102.53,0.449135,24.4958,7.27052,1.04274,0.700301,2.81963,9.79561,1.18638,0.811042,10.6558,1.13368,1.5376,53.1697,7.56195,1.03083,0.426806,2.05498,14.3788,0.164499,0.641996,41.8685,0.824644,0.542809,9.92826,0.0916775,0.0305215,0.128566,0.110385,0.104937,0.842596,0.0260604,0.119636,0.0353342,0.366248,
28,21.6557,110.124,196.94,0.196649,61.3536,10.5824,1.61249,0.74702,2.95139,14.5982,1.24955,0.733956,13.5532,1.03929,1.70271,140.672,17.3397,1.4871,0.44217,2.15241,27.2951,0.471415,0.575491,33.2822,0.780531,0.741234,10.1384,0.0916775,0.0305215,0.128566,0.149709,0.104937,0.536902,0.0152857,0.119636,0.0353342,0.553153,
29,21.6557,38.2293,9.19866,0.56647,14.1993,4.85017,1.11041,0.789276,2.34752,5.01695,1.19448,0.66585,5.45253,0.858961,1.74384,3.72174,5.31055,1.2291,0.360899,1.79042,3.65335,0.114583,0.433974,8.67928,0.724106,0.434815,10.1384,0.0916775,0.0305215,0.134363,0.149709,0.104937,0.973156,0.0260604,0.119636,0.027433,0.888041,
30,21.6557,55.2541,96.2317,0.39193,22.1912,5.17009,1.08613,0.709028,2.3591,8.26131,1.15231,0.787262,10.8908,0.828516,1.81836,48.6806,5.17962,1.13098,0.28865,2.38199,11.5646,0.181778,0.483183,38.2175,0.663696,0.489616,9.84326,0.0916775,0.0305215,0.172984,0.149709,0.104937,0.238958,0.0260604,0.119636,0.0353342,0.615352,
31,21.6557,37.2137,24.3532,0.581928,13.8052,5.44138,1.39434,0.741277,2.0076,4.86095,1.16606,0.70314,4.4768,0.766263,1.85074,6.49223,9.60355,1.33451,0.371615,1.48082,7.82062,0.0948857,0.980375,7.76359,0.609446,0.798834,10.1384,0.0916775,0.0305215,0.172984,0.260034,0.104937,0.960512,0.0260604,0.119636,0.0353342,1.13382,
