Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,
202,752.388,1154.28,1632.52,0.651822,14.2671,115.004,3.72499,26.6314,23.8248,3.52102,115.585,750.832,93.7353,0,2.82725,4.33133,44.9227,531.101,15.955,3.82289,55.2033,3.34112,534.405,459.111,226.406,0,0.930069,16.8212,4.41258,0.00394509,0.2496,8.81884,14.0269,2.85558,0.0168708,653.961,33.7155,0,2.5963,1.07092,
203,752.388,960.725,1188.7,0.783146,8.86423,59.5723,2.88808,26.9473,21.4574,3.25432,59.6563,711.149,59.4939,0,2.96158,4.48032,29.2288,343.876,14.8995,3.37052,44.1847,2.76368,344.205,376.7,137.888,0,1.89446,21.3326,4.41258,0.00394509,0.250963,6.44769,14.0269,2.85571,0.016886,654.018,33.7331,0,2.5963,1.07092,
204,752.388,1113.15,1589.88,0.67591,15.6325,125.327,3.22833,28.2216,24.5829,3.23512,126.236,701.418,78.0473,0,2.97922,4.24073,48.4534,592.453,16.3477,12.3929,53.6809,2.35658,597.237,279.738,173.97,0,1.67488,14.7262,4.45009,0.00394509,0.250963,9.00859,14.0269,1.10173,0.016886,654.018,22.9543,0,2.5963,1.07092,
205,752.388,1013.15,1192.45,0.742626,14.5361,52.0785,2.86518,49.0634,26.5341,3.64799,52.3189,714.813,88.326,0,2.82921,6.13266,42.9836,354.831,12.1614,166.08,55.8966,3.07595,356.644,262.223,213.401,0,0.960567,24.6063,4.46884,0.00394509,0.255253,6.34696,14.0248,2.85583,0.016886,654.018,33.0209,0,0.388864,1.06917,
206,752.388,1046.45,1276.35,0.718993,18.8871,75.4077,3.33039,29.301,26.2099,3.45496,75.7478,719.002,84.9195,0,3.10042,7.08571,56.9508,397.573,16.6371,24.8403,53.1724,2.8603,400.178,326.175,212.079,0,2.77828,30.3975,4.43161,0.00394509,0.251027,10.0797,14.0248,0.809807,0.016886,654.018,24.1458,0,0.4776,1.06917,
207,752.388,1198.45,1588.51,0.627801,26.3863,104.043,3.99456,51.0918,25.1367,3.79903,104.5,756.528,112.297,0,3.06079,7.61238,72.3625,490.381,16.3512,182.74,48.0334,3.65324,492.805,463.291,265.965,0,1.84122,27.1852,4.38046,0.00394509,0.253133,3.61411,14.0248,2.85564,0.0169351,369.718,22.9421,0,2.5963,1.0679,
208,752.388,966.605,996.186,0.778381,15.3246,41.7483,5.43537,28.5019,26.1842,3.26732,41.8575,701.75,90.0044,0,3.1023,9.42943,52.2087,233.156,25.3785,24.9764,58.2264,2.63079,233.467,322.042,203.124,0,2.19214,40.0842,4.393,0.00394509,0.253133,8.60287,14.0248,0.214616,0.0169351,654.018,44.5746,0,2.5963,1.06917,
209,752.388,1090.79,1479.95,0.689765,13.5808,61.8305,2.76961,32.3327,19.0405,3.82662,61.9453,767.137,120.835,0,3.07009,4.42117,43.6723,341.18,12.2807,40.4183,29.6921,3.9964,343.767,493.125,303.344,0,1.95287,17.8853,4.393,0.00346105,0.253133,8.2283,14.0085,2.85358,0.0169351,654.018,44.7081,0,2.5963,1.05257,
210,752.388,1159.07,1426.35,0.649132,25.8329,105.101,5.21476,28.823,29.0799,3.69801,105.363,743.402,101.567,0,3.08979,7.89642,68.5313,437.707,18.5104,14.2312,55.4396,3.2962,439.331,422.83,202.612,0,1.81196,27.9622,4.393,0.00346105,0.253133,7.35255,14.0248,2.16912,0.0169351,498.871,24.524,0,2.5963,1.06917,
211,752.388,1232.89,1812.86,0.610264,18.2355,126.261,3.96584,26.4177,25.0738,3.79403,126.682,789.163,104.898,0,2.96133,5.43742,55.6039,515.963,17.2745,4.84588,53.9527,3.94442,518.206,548.282,255.702,0,1.6452,21.6862,4.393,0.00346105,0.253133,7.07197,14.0248,2.85539,0.0172484,654.072,34.1025,0,2.5963,1.06917,
212,752.382,1064.89,1388.78,0.706537,19.3238,59.691,5.68209,32.3561,24.335,3.81086,60.0133,744.12,105.896,0,3.14715,6.5114,58.8591,385.136,24.942,28.6131,42.0001,4.13043,387.346,483.001,257.467,0,2.69107,25.0204,4.43161,0.00346105,0.253133,8.60859,14.0248,2.85583,0.0172484,654.072,31.3097,0,2.5963,1.06917,
