Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,
246,752.232,1019.14,1138.23,0.738103,15.2431,62.0276,3.54874,28.7333,27.1098,3.75782,62.0914,742.211,64.6822,0,3.08368,6.65369,46.6509,323.558,15.4679,11.3779,56.7704,3.86323,324.151,459.24,154.054,0,2.12085,24.7172,4.17513,0.0035989,0.250571,4.33236,14.0558,2.85711,0.0169264,581.037,24.5964,0,2.55598,1.09298,
247,752.232,1049.98,1264.62,0.716428,17.0665,58.9261,4.76691,34.0767,25.1078,3.83965,59.2384,747.021,90.1802,0,3.12508,6.62753,52.5643,379.121,24.2322,51.9296,43.6668,4.17171,381.528,477.616,185.075,0,3.00339,23.8202,4.15296,0.00587699,0.250571,6.46195,14.0607,2.85671,0.0169264,654.048,44.7437,0,2.55598,1.09813,
248,752.232,1103.21,1472.83,0.681857,20.16,86.4602,4.45515,29.4604,21.3719,3.64807,86.5793,751.407,91.7611,0,3.0045,4.90277,63.5505,405.669,21.1105,24.4084,38.3593,3.54829,406.447,458.59,219.452,0,1.75028,17.5408,4.15296,0.00587699,0.250571,0.275737,14.0509,1.1045,0.0169264,653.971,23.7257,0,2.55598,1.08442,
249,752.212,928.211,1102.2,0.810389,11.0941,53.0022,1.7048,28.2735,21.0312,3.15563,53.3843,686.17,64.5805,0,2.76055,3.05463,39.8474,378.701,10.2429,10.2153,43.4614,2.00653,381.661,226.068,111.203,0,1.02601,12.4545,4.15296,0.00587699,0.250571,9.37251,14.0623,2.85764,0.0169264,654.048,44.5575,0,2.52963,1.09675,
250,752.212,893.405,768.995,0.841962,11.7396,20.8569,3.67207,29.3155,23.6816,3.46066,20.8983,699.622,71.138,0,2.91969,6.10077,38.9337,168.876,20.8079,11.324,45.6663,2.84436,168.345,286.348,129.144,0,1.73017,25.7992,4.15296,0.00517643,0.250571,9.81758,14.0623,2.85764,0.0169264,654.048,22.6968,0,2.52963,1.09675,
251,752.189,1084.43,1322.94,0.693627,22.4259,87.6884,3.06108,46.518,23.7876,3.66497,88.3679,715.634,84.6414,0,3.04936,5.59116,66.2462,503.262,12.0061,122.905,40.2662,3.17726,507.525,269.991,210.419,0,1.90211,17.9423,4.15296,0.00517643,0.24818,7.78366,14.0623,2.85764,0.0169264,654.006,18.3579,0,2.52963,1.09675,
252,752.18,1072.29,1425.87,0.701469,18.0814,92.7127,2.74723,31.8523,21.9397,3.54099,93.0923,731.945,68.4244,0,2.92282,5.03316,59.0273,465.038,12.4486,39.8283,40.0287,2.97324,467.24,362.917,120.472,0,1.69196,17.2412,4.15296,0.00517643,0.24818,7.64901,14.0623,2.85764,0.0169264,654.034,22.8921,0,2.52963,1.09675,
253,752.18,1079.57,1411.07,0.696743,19.1863,88.7963,3.52147,32.915,22.7398,3.42901,89.4419,703.885,104.214,0,3.0273,8.41081,57.6384,488.004,16.9511,48.4431,44.6522,2.52899,491.897,247.723,259.889,0,2.01643,35.8904,4.15296,0.00517643,0.24818,9.42841,14.0645,2.85748,0.0169264,654.034,25.8322,0,1.78756,1.1006,
254,752.18,1108.11,1442.92,0.678795,14.8393,96.7673,3.58777,31.785,19.8102,3.64795,97.2241,737.473,94.8711,0,3.25715,4.84835,43.5881,452.977,15.6506,39.2395,30.0404,3.19841,455.681,382.95,223.114,0,3.24658,23.1776,4.15296,0.00517643,0.249972,7.22188,14.0596,2.85764,0.0169264,653.946,31.489,0,2.52963,1.09221,
255,752.18,1097.32,1429.81,0.685471,15.9602,96.1056,5.09669,29.1922,24.5264,3.64677,96.5804,737.173,78.7197,0,3.26665,7.05108,51.132,469.15,23.8444,13.631,49.3316,3.25142,471.835,390.419,173.16,0,3.61574,27.3396,4.15296,0.00517643,0.249972,8.53188,14.0673,2.85764,0.0169264,654.011,33.6831,0,2.52963,1.10215,
256,752.18,1301.17,1860.59,0.578078,22.4379,127.854,5.39268,27.5841,30.8243,4.15239,128.228,816.371,126.006,0,3.29298,9.02912,62.3872,504.845,19.199,9.5598,63.3482,4.78964,501.812,612.426,272.215,0,2.57475,29.8217,4.15296,0.00517643,0.247954,7.89058,14.0649,2.85725,0.0169264,654.023,44.7158,0,2.52963,1.09894,
257,752.18,1590.32,5180.07,0.472974,19.0254,73.0057,1.7709,516.123,23.4594,3.83884,73.4185,751.583,120.525,0,2.85293,4.71556,56.3976,423.752,7.83248,4815.24,39.86,4.09826,426.461,474.627,290.639,0,1.24689,21.1618,4.2131,0.00517643,0.247954,8.67524,14.0519,2.85595,0.0169264,654.004,44.7572,0,2.52963,1.08519,
258,752.18,998.123,1202.13,0.753595,13.7908,41.0188,1.51678,31.0736,18.4763,3.69865,41.1165,747.831,92.7694,0,2.84865,3.98275,46.6445,279.375,5.88858,483.81,25.8835,3.84773,279.997,467.982,245.859,0,1.18923,16.8369,4.2131,0.00517643,0.246793,8.23648,14.0665,2.85798,0.0169264,654.023,31.604,0,2.52963,1.09959,
259,752.18,857.84,530.25,0.87683,8.01921,13.2042,2.29043,45.3526,18.6258,3.29422,13.2254,675.94,72.303,0,2.7911,2.79361,21.3072,124.183,11.0387,145.655,26.3851,2.37572,124.23,155.831,168.898,0,1.32224,10.8065,4.2131,0.00397427,0.246793,26.6471,14.0665,2.85826,0.0175866,538.66,29.7797,0,0.945713,1.09959,
260,752.18,1130.53,1425.44,0.665335,16.943,95.6768,4.05081,35.8721,21.5902,3.67689,95.7949,749.088,99.2783,0,3.05812,5.49949,51.6458,405.92,15.9317,66.347,34.972,3.20739,409.411,402.797,200.092,0,1.93531,19.1444,4.25926,0.00397427,0.246793,8.89944,14.0673,0.825642,0.0175866,580.216,44.8272,0,2.55208,1.10061,
261,752.18,1068.06,1345.69,0.70425,14.9079,74.895,3.52466,30.5034,21.7292,3.7508,75.0006,750.814,84.4068,0,3.14307,5.38255,48.2496,364.314,14.6716,26.0362,35.6889,3.42728,364.813,394.027,182.957,0,2.87143,19.2633,4.25926,0.00397427,0.246793,7.01915,14.0636,2.85787,0.0175866,653.978,32.838,0,2.55208,1.09773,
262,752.173,1127.78,1614.67,0.666952,16.6659,82.9917,1.95462,27.3801,21.4412,3.83397,83.1156,780.74,101.659,0,2.93173,5.0621,55.6152,396.704,7.66029,8.70403,35.6702,4.01249,398.322,546.731,264.837,0,1.42792,19.3085,4.25926,0.00397427,0.246743,8.30938,14.0673,2.85826,0.0175866,654.023,18.0021,0,2.55208,1.10168,
263,752.165,1005.48,1158.03,0.748066,16.8372,66.3542,3.61057,31.101,21.5201,3.44793,66.7897,707.872,79.7149,0,2.90232,5.32926,51.3395,413.337,17.3614,23.9484,37.4923,2.83882,416.436,321.137,169.957,0,1.65368,21.9157,4.25926,0.00397427,0.246743,1.20515,14.0673,2.85826,0.0175866,654.023,44.7516,0,2.55208,1.10029,
264,752.165,1005.1,1164.92,0.748345,17.9189,63.8762,1.70887,35.4914,18.3382,3.38479,64.1712,694.029,100.264,0,2.81876,3.10166,58.0295,381.704,8.04748,71.9051,20.4262,2.35768,383.973,246.944,252.972,0,1.01294,10.6062,4.25926,0.00397427,0.237217,8.464,14.0626,2.85803,0.0175866,627.706,25.8707,0,2.55172,1.09553,
265,752.153,1133.78,1408.89,0.663405,17.4595,87.8558,4.88457,32.3968,22.8838,4.13067,88.2024,787.924,78.2748,0,3.30121,6.4638,51.0886,436.442,19.7038,37.5548,41.9219,4.56914,438.664,537.261,172.969,0,3.16857,21.3508,4.30569,0.00397427,0.246669,8.68042,13.3872,2.85803,0.0175866,654.023,25.0296,0,2.55172,1.09553,
266,752.153,1221,1740.77,0.616012,16.5093,121.483,5.73143,28.7906,26.1518,3.92912,121.561,790.849,95.8428,0,3.34412,6.81251,49.6664,473.241,23.529,22.3398,50.4181,3.8684,473.442,521.911,221.738,0,3.21585,27.6796,4.31652,0.00397427,0.246669,6.86582,14.0626,2.85803,0.0175866,654.023,32.9271,0,2.53224,1.09553,
267,752.153,1007.03,1161,0.746899,12.0244,54.2503,1.09732,27.2754,19.5858,3.62108,54.3418,741.381,85.993,0,2.82272,4.64099,41.4235,307.416,6.20679,5.36768,34.3742,3.7576,307.891,472.984,214.758,0,1.25426,19.8986,4.29401,0.00397427,0.246525,9.82572,14.0544,2.85737,0.0178427,476.689,23.5092,0,2.53224,1.08797,
268,752.127,1167.49,1545.03,0.644225,22.2284,104.303,5.79574,66.0941,22.9862,3.73326,105.041,723.255,104.915,0,3.21102,5.92899,65.32,502.962,25.3345,224.856,41.3138,3.12502,498.531,307.831,212.447,0,2.77773,28.5384,4.31652,0.00397427,0.246669,7.68638,14.0626,2.85803,0.0178427,520.414,31.7381,0,1.06446,1.09553,
269,752.127,1023.03,1280.62,0.735196,13.1657,70.2284,2.62874,33.8449,18.837,3.5977,70.6055,745.628,58.9932,0,2.88551,2.61412,41.7999,419.631,14.3568,76.157,33.1423,3.64262,418.556,473.345,104.857,0,1.61936,10.2177,4.31652,0.00434259,0.246669,8.21045,14.0626,2.85803,0.0178427,654.023,31.7294,0,2.53224,1.09553,
270,752.127,1017.81,1019.41,0.738965,15.8593,59.4622,2.3846,29.9817,26.5603,3.64255,59.7852,719.923,88.9925,0,2.9143,8.30619,45.9716,356.893,11.3316,18.1375,50.4486,3.17472,359.782,341.94,219.66,0,1.69612,28.4153,4.31652,0.00434259,0.246656,12.0215,12.945,2.85803,0.0178767,653.902,25.9771,0,2.20977,1.09553,
271,752.127,1057.22,1171.51,0.711422,20.5475,44.5311,4.39715,31.4167,27.6866,4.10589,44.6814,783.916,82.3755,0,3.11535,10.4424,59.1013,273.97,18.0893,28.0179,52.727,4.40385,274.943,514.021,176.634,0,2.63099,34.1168,4.15454,0.00434259,0.24654,9.44392,14.0626,2.85803,0.0178767,653.993,31.6867,0,2.51732,1.09553,
272,752.127,1130.52,1597.62,0.665291,11.6785,86.3182,3.98196,26.8996,23.7795,3.76192,86.4352,773.618,105.605,0,2.94344,5.50293,35.7959,396.594,19.5255,6.46311,40.6719,3.79426,397.103,523.958,252.545,0,1.92232,22.9944,4.31652,0.00434259,0.246381,7.51506,14.0621,2.85838,0.0178767,653.993,44.8464,0,1.61072,1.09824,
273,752.127,942.584,1040.94,0.797941,10.2182,40.7678,1.75314,42.2697,19.0707,3.45785,40.9071,709.489,67.7698,0,2.82258,4.05861,32.1975,283.275,8.10894,126.671,26.0098,2.6679,284.051,303.169,122.227,0,1.11087,18.3425,4.30952,0.00434259,0.246381,8.75096,14.0673,2.85848,0.0190893,653.993,32.8577,0,2.51732,1.09824,
274,752.127,969.548,1165.52,0.77575,18.9312,58.479,1.70794,32.4115,19.5191,3.33501,58.811,693.087,76.6866,0,2.86293,3.71717,64.0333,380.465,8.55581,35.6496,33.4477,2.40411,383.234,253.459,169.335,0,1.64213,15.2108,4.30952,0.00434259,0.246381,8.14869,14.072,2.85848,0.0184703,653.993,22.7026,0,2.51732,1.09824,
275,752.127,1017.28,1129.19,0.739352,17.4538,51.8093,4.46596,46.367,22.381,3.53248,51.8637,717.596,92.583,0,2.94443,6.2827,57.1001,293.242,21.4932,155.535,32.9409,2.94696,293.619,324.236,221.667,0,1.96687,23.8201,4.30952,0.00380058,0.246217,7.36458,14.072,0.184121,0.0173795,653.993,22.794,0,2.51732,1.09824,
276,752.127,1165.57,1482.96,0.645288,18.024,105.339,2.4335,28.5541,28.9461,3.69144,105.594,734.245,126.233,0,3.01406,9.49256,51.2227,456.555,9.59795,20.6115,57.6295,3.10863,457.922,324.934,288.618,0,1.78406,30.0781,4.34789,0.00380058,0.246217,2.03124,14.072,0.507539,0.0173795,547.461,31.7935,0,2.54067,1.09824,
277,752.127,1242.66,1741.55,0.605257,17.9997,122.1,3.65271,26.4304,24.8822,4.12241,122.263,822.246,88.2988,0,3.03829,7.62373,55.3614,454.591,15.1606,4.89388,51.9843,4.5917,455.219,629.124,208.948,0,1.99734,27.8366,4.34789,0.00380058,0.246217,8.40406,14.072,2.85848,0.0173795,653.993,23.1081,0,2.54067,1.09824,
278,752.127,1132.25,1519.11,0.664277,19.3663,92.0123,4.10016,31.1562,23.0988,3.72626,92.0759,755.217,102.901,0,2.98363,5.61138,57.6814,398.725,15.9718,34.2601,46.5763,3.30053,399.024,432.152,239.024,0,1.79334,20.7213,4.34789,0.00380058,0.2461,8.17793,13.1505,2.85848,0.0173795,653.993,32.3589,0,2.54067,1.09824,
279,752.127,836.908,843.118,0.898698,6.93368,32.4475,0.388603,27.4207,15.2671,2.87396,32.7455,657.23,57.4111,0,2.60387,1.58522,27.2564,328.109,3.93422,3.88498,13.2162,0.858757,330.777,102.232,128.611,0,0.341249,5.42665,4.34789,0.00324022,0.2461,16.8,14.0783,2.85848,0.0170227,653.993,44.8464,0,2.54067,1.09824,
280,752.127,1155.6,1928.98,0.650853,18.5381,34.733,4.69725,191.458,21.9153,3.89677,34.7776,752.34,85.3049,0,3.17995,4.76029,57.917,235.342,19.7462,1591.94,35.1685,4.16819,235.496,442.07,214.869,0,2.89407,16.9951,4.339,0.00324022,0.2461,8.42099,14.0783,2.85848,0.0170227,653.993,22.863,0,2.54067,1.09824,
281,752.114,1053.38,1271.9,0.714,18.4328,48.0919,2.13289,29.5348,24.1199,4.10034,48.1734,790.658,77.5227,0,2.74918,7.86521,55.3085,285.884,9.13848,100.176,47.0294,4.71257,286.206,561.929,170.273,0,0.92638,30.8798,4.339,0.00324022,0.2461,8.77054,14.0783,2.85887,0.0170227,653.993,24.7172,0,2.4545,1.10459,
282,752.114,979.148,1117.54,0.768131,16.4713,58.9774,3.13827,39.5255,21.2126,3.34444,59.0943,691.213,78.8718,0,2.95666,4.34204,51.3646,330.755,13.6501,112.11,39.989,2.50601,331.327,269.489,199.509,0,1.89344,17.4095,4.339,0.00324022,0.2461,4.0911,12.1416,2.62582,0.0170227,476.157,32.48,0,2.54633,1.10459,
283,752.114,1153.75,1387.37,0.651886,19.4978,66.4432,4.19757,96.4533,24.1209,4.05428,66.6815,769.378,93.8126,0,3.40383,5.70699,51.9298,370.698,16.8366,526.242,40.2797,4.35241,372.081,519.881,214.161,0,3.06858,19.6778,4.339,0.00324022,0.246217,3.93917,14.0847,2.04568,0.0170227,525.133,23.4939,0,2.54633,1.10459,
284,752.111,1052.52,1254.81,0.71458,14.9271,77.5058,2.28516,33.2654,19.7954,3.57234,77.824,746.512,69.917,0,2.939,3.97961,46.234,403.286,9.78036,90.0513,26.068,3.43816,405.665,446.367,161.039,0,1.89394,15.4123,4.29508,0.00324022,0.246217,8.48252,14.0828,2.85887,0.0170227,653.993,24.8178,0,2.53801,1.10459,
285,752.111,1059.76,1299.21,0.709703,15.0914,65.4302,2.48238,27.1649,23.9994,3.74715,65.561,771.399,75.9723,0,2.97009,5.9373,53.1597,321.481,9.94464,5.86121,45.5124,4.03435,322.243,541.197,158.637,0,1.87821,24.6414,4.29508,0.00324022,0.246217,10.1709,14.0847,2.85941,0.0170227,653.993,23.8315,0,2.53801,1.11095,
286,752.108,996.021,986.409,0.755112,18.6372,12.4774,3.91763,100.853,23.7479,3.7184,12.4866,721.032,91.8553,0,3.04834,4.2472,55.2992,101.846,17.2298,487.796,46.0424,3.74237,102.058,373.121,220.963,0,2.43517,17.8056,4.29508,0.00324022,0.246217,11.3827,14.081,1.47881,0.0168448,653.993,23.7391,0,2.54633,1.11128,
287,752.099,1099.92,1331.09,0.683778,20.3402,62.2219,4.338,37.1351,27.4152,3.82801,62.2822,767.716,104.663,0,3.10691,6.86881,59.9968,313.817,18.5119,108.668,58.0712,4.31955,312.399,542.849,233.245,0,2.10875,28.0415,4.22052,0.00324022,0.246217,7.76044,14.0907,0.58765,0.0168448,568.902,33.6951,0,2.54647,1.11217,
288,752.099,849.92,527.825,0.884905,8.11341,22.6348,2.88174,30.8977,19.0398,3.0532,22.6684,663.545,70.6579,0,2.82987,3.59859,22.6005,169.589,17.8201,25.8526,35.69,1.69,169.827,122.888,131.736,0,1.55052,14.4585,4.22052,0.00434259,0.246217,15.3834,13.2714,1.04064,0.0168448,639.229,44.845,0,2.54647,1.11217,
289,752.099,994.202,1076.05,0.756485,14.7168,43.2316,1.96777,28.7734,22.3391,3.72554,43.2546,744.509,83.4309,0,2.90353,5.34993,45.8347,254.808,11.4024,10.7779,39.6651,3.72335,254.916,450.19,165.722,0,1.88427,18.5729,4.22052,0.00398779,0.246217,9.66471,14.0907,2.85961,0.0168448,654.037,44.8857,0,2.5455,1.11217,
290,752.085,1044.43,1217.93,0.720093,19.1471,56.1491,3.80935,31.0325,22.6884,4.01891,56.4835,771.703,70.7416,0,3.19749,5.45841,54.3145,378.757,17.3927,21.3876,34.6074,4.42596,381.428,531.965,129.729,0,3.01323,17.8604,4.22052,0.00398779,0.246217,8.24994,14.0916,2.85963,0.0168448,654.012,23.7275,0,1.09741,1.11217,
291,752.085,949.899,1137.15,0.791753,15.0393,48.7318,2.13609,27.8979,18.8888,3.33656,48.7718,704.848,73.8898,0,2.76698,3.59198,54.3955,284.31,10.7237,7.35334,35.8426,2.65334,284.541,340.258,164.236,0,1.11126,14.245,4.22052,0.00398779,0.246033,8.93991,11.9012,2.85963,0.0168448,654.037,44.8857,0,2.5455,1.11367,
292,752.085,1127.12,1465.88,0.667264,16.1032,82.5165,2.42493,26.3463,17.3659,3.7931,82.6756,789.635,98.7117,0,2.91361,4.63161,50.1928,395.751,11.3066,4.71733,13.5248,4.2162,396.597,569.528,226.411,0,1.7316,16.241,4.22052,0.00398779,0.246033,3.53995,14.0916,2.85963,0.0168448,654.037,24.0927,0,2.5455,1.11367,
293,752.085,951.351,1026.98,0.790545,16.8298,36.9949,3.16409,36.2786,24.1322,3.44939,37.3043,702.13,81.0469,0,2.90796,7.11229,54.1893,324.417,18.9179,66.9982,47.7596,2.88886,327.447,325.856,180.823,0,1.45322,30.4309,4.22052,0.00398779,0.246033,13.2694,14.0916,2.85984,0.0168448,653.988,32.8794,0,2.5455,1.11367,
294,752.085,907.044,708.636,0.829161,14.2366,15.6771,3.892,33.8438,20.3726,3.4823,15.6893,706.727,85.4449,0,3.06067,4.61678,43.9022,124.905,19.1039,40.4193,29.3143,3.19005,124.997,330.535,196.143,0,2.70817,17.1757,4.22052,0.00398779,0.246033,13.397,14.0912,0.193017,0.0168448,499.373,32.7252,0,2.5455,1.11367,
295,752.084,1077.52,1268.55,0.697979,19.5701,66.1927,4.83414,54.6402,20.8895,3.7972,66.5568,734.591,98.0767,0,3.15248,5.21511,58.3984,399.56,20.3724,213.898,35.7732,3.70602,402.088,406.428,228.092,0,2.64051,19.9662,4.22052,0.00398779,0.246236,11.0587,12.9154,2.85984,0.0168448,651.69,28.6021,0,2.5455,1.11367,
296,752.084,949.941,910.413,0.791717,15.6515,29.0166,2.74953,28.4344,22.4518,3.52511,29.0086,719.222,92.5271,0,2.80661,4.54744,52.0522,163.391,14.2698,27.72,39.7532,3.34836,163.313,398.541,221.425,0,1.16662,20.7392,4.26782,0.00398779,0.246236,10.5972,14.0892,2.85977,0.0168448,573.656,44.9338,0,2.5455,1.11064,
297,752.084,942.158,1014.15,0.798257,9.86668,26.2514,0.862294,53.3532,17.8432,3.38001,26.3125,712.407,85.551,0,2.68848,3.64281,31.8916,203.61,4.68244,261.367,20.0246,3.02317,204.034,382,212.491,0,0.736198,14.7763,4.26782,0.00398779,0.246236,9.51257,14.0892,2.85977,0.0168448,595.233,44.8829,0,2.21943,1.11064,
298,752.084,916.194,915.436,0.820878,16.4286,35.0825,2.21496,33.6519,21.6273,3.34031,35.3332,676.226,84.1719,0,2.81414,5.30341,51.9521,315.889,8.76619,41.4016,33.8727,2.07377,318.312,104.59,207.81,0,1.10607,19.489,4.26782,0.00398779,0.246255,12.4432,14.0892,2.85977,0.0168448,654.013,33.0038,0,2.5455,1.11064,
299,752.084,1040.79,1271.49,0.722611,13.4011,49.092,4.94821,32.7554,21.5783,3.93522,49.1171,761.693,95.8973,0,3.11568,5.25258,37.6751,292.998,24.7007,36.3424,33.9256,4.36174,293.06,542.983,242.007,0,3.13082,16.8863,4.26782,0.00516545,0.246255,6.9688,14.0892,2.85977,0.0168448,654.037,32.9215,0,2.5455,1.11064,
300,752.066,927.363,925.986,0.810972,10.8056,29.007,2.44722,29.6746,22.4048,3.49539,29.0413,721.145,72.2996,0,2.81764,4.22497,37.958,214.604,12.409,22.588,47.7072,3.44698,214.795,423.271,168.024,0,1.41652,18.7996,4.26782,0.00493586,0.246255,8.56216,14.0892,2.85995,0.0168448,654.037,41.5934,0,2.53878,1.11476,
