Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,2542.59,6410.58,1880.2,0.396624,305.185,0,2123.21,2889.18,422.456,6.96752,306.545,297.535,59.4914,394.268,3.04647e-05,2524.49,2443.72,396.655,6.34911,315.429,376.833,69.966,15.4317,0,253.092,1210.8,21.8119,0.308715,53.4305,15.3887,3.18211,
1,2542.59,5662.85,1440.97,0.448995,279.448,0,1621.01,2742.35,391.815,6.68764,285.233,277.537,58.769,204.658,0,1192.69,1045.21,272.253,3.00969,176.751,201.587,32.7941,15.4317,0,157.743,1210.8,21.8119,0.308715,53.4305,8.42645,3.18211,
2,2490.57,6276.01,8523.05,0.39684,306.797,0,1432.93,2749.25,379.642,6.79482,1035.49,304.718,60.3802,305.42,0,1069.88,983.375,314.43,3.00068,7676.98,300.865,29.6403,2.1989,0,140.752,1210.8,4.34965,0.308715,53.4305,1.96239,3.18211,
3,2490.57,5032.7,1507.78,0.494877,289.689,0,1283.41,2478.26,363.712,7.01593,268.807,288.523,53.2718,212.144,0,1127.3,881.913,255.422,2.92711,187.78,210.766,26.9924,10.0907,0,140.752,1210.8,19.4143,0.308715,27.9258,8.42645,3.18211,
4,2308.66,4692.87,1465.61,0.491951,280.017,0,1111.68,2322.05,363.377,6.90241,280.331,278.819,49.6886,197.195,0,975.448,792.011,246.677,3.15274,233.732,196.783,24.2896,8.20145,0,135.141,1210.8,15.3377,0.040598,27.9258,7.64351,3.18211,
5,2308.66,4696.42,2947.66,0.491578,264.468,0,1031.55,2269.59,359.009,6.54654,455.377,261.946,47.9367,202.547,0,935.795,812.232,290.252,3.20699,2028.84,194.038,21.1743,8.20145,0,135.141,1210.8,7.78746,0.040598,27.9258,7.64351,3.4419,
6,2251.51,4096.42,1159.54,0.549628,239.384,0,875.653,2109.84,348.726,6.78589,233.999,238.4,43.6364,175.377,0,698.21,654.362,261.506,3.1472,267.66,175.142,21.502,8.20145,0,135.141,1183.8,7.78746,0.116783,5.13032,7.64351,3.24463,
7,2251.51,4051.21,1562.03,0.555762,253.516,0,855.95,2049.6,349.676,6.78775,242.187,251.86,41.6349,212.247,0,970.515,655.231,309.455,3.38598,200.105,211.312,19.8784,8.20145,0,125.466,1183.8,7.78746,0.116783,5.13032,7.29673,3.24463,
8,2251.51,4085.82,2241.6,0.551055,256.877,0,962.831,1923.44,324.213,6.51547,317.168,255.897,38.8746,240.351,0,1078.04,513.662,241.913,3.4476,920.111,239.372,17.1084,8.20145,0,125.466,1183.8,6.7829,0.116783,5.13032,7.64351,3.24463,
9,1936.33,3745.5,1983.08,0.516975,228.347,0,788.181,1889.35,265.87,6.52648,301.506,227.643,38.0775,199.723,0,811.146,584.331,207.223,3.62938,923.33,198.83,18.7302,8.20145,0,116.955,1183.8,7.08347,0.116783,5.13032,7.64351,3.15365,
10,1936.33,3614.82,1214.39,0.535665,223.344,0,852.652,1795.83,258.981,6.32838,220.833,222.548,34.3025,156.628,0,764.771,561.567,227.411,3.62401,273.003,156.22,19.0271,13.2477,0,116.955,1183.8,7.08347,0.0639962,5.13032,8.42645,3.15365,
11,1936.33,3287.4,842.431,0.589016,209.19,0,666.118,1736.16,232.043,6.71354,195.068,208.703,33.3963,165.056,0,488.859,482.33,160.006,3.86431,144.475,165.489,16.7916,8.31784,0,116.955,1183.8,4.03632,0.0639962,5.13032,7.66077,3.15365,
12,1936.33,3387.79,1717.56,0.571561,222.9,0,734.799,1670.94,238.542,6.0389,262.45,221.949,30.1718,193.336,0,868.653,352.96,192.449,3.92717,739.954,193.308,15.0474,8.31784,0,44.821,1173.27,4.03632,0.0639962,5.13032,7.66077,2.87342,
13,1785.28,3275.14,1631.34,0.545101,203.705,0,710.417,1716.35,226.418,6.25271,177.326,203.097,31.5778,180.864,0,724.407,639.423,233.818,4.04321,167.693,180.528,19.1323,6.1952,0,44.821,1183.8,4.03632,0.0639962,5.13032,6.10004,3.15365,
14,1785.28,3510.53,4386.19,0.50855,196.751,0,775.869,1634.64,215.501,6.10352,457.182,195.356,29.1354,224.782,0,1105.21,440.303,248.861,4.07035,3044.31,223.559,14.9792,8.31784,0,44.821,1111.26,4.03632,0.420209,5.13032,7.66077,3.15365,
15,1785.28,3078.5,1681.63,0.579919,185.901,0,683.623,1623.36,185.877,6.19547,178.436,185.457,29.6561,186.919,0,1016.64,375.959,137.702,4.00785,418.134,187.141,14.6746,7.3761,0,44.821,1183.8,4.03632,0.420209,5.13032,4.81548,3.15365,
16,1740.87,3192.59,2232.61,0.545285,189.789,0,717.977,1635.07,220.01,6.01537,205.698,189.301,28.729,219.037,0,1182.06,522.767,201.215,4.26981,650.969,218.892,16.6013,7.84053,0,44.821,1183.8,4.03632,0.351391,5.13032,7.66077,3.15365,
17,1740.87,3240.05,2874.64,0.537297,174.52,0,652.137,1661.83,244.719,5.66491,294.039,177.497,29.649,202.234,0,1093.69,626.961,543.155,4.19005,996.67,207.005,18.5447,8.31784,0,44.821,1183.8,4.03632,0.248278,5.13032,7.66077,3.24463,
18,1740.87,3091.93,2388.03,0.563038,186.127,0,649.059,1676.59,202.294,5.49655,156.308,185.576,30.4754,242.103,0,1197.2,740.475,234.535,4.04669,223.351,241.391,21.5419,8.31784,0,44.821,1183.8,4.03632,0.0332082,5.13032,7.66077,3.24463,
19,1740.87,2913.89,1815.13,0.597439,162.031,0,677.386,1547.58,191.013,5.29034,143.67,160.778,26.141,162.293,0,1191.72,493.234,187.44,3.86739,108.852,160.938,15.4042,2.49458,0,44.821,1183.8,4.03632,0.0332082,12.1389,2.35621,3.24463,
20,1635.66,3136.68,3024.82,0.521463,186.812,0,746.479,1539.25,181.559,4.94411,265.897,186.37,25.3691,214.105,0,1436.1,599.752,188.595,3.95157,1130.52,214.383,17.6197,8.31784,0,41.5751,1183.8,4.03632,0.0332082,20.4422,6.94213,3.24463,
21,1635.66,2861.78,2733.3,0.571554,152.245,0,574.104,1457.2,157.578,4.99924,341.192,151.818,22.645,122.947,0,909.325,412.743,156.32,4.05981,1793.33,123.38,14.4787,8.31784,0,44.821,1164.59,4.06271,0.0332082,20.7119,6.94213,3.24463,
22,1635.66,2868.39,1979.63,0.570237,162.978,0,610.462,1572.42,176.432,4.91668,153.682,162.405,25.0871,186.342,0,1084.77,745.746,255.643,4.00299,227.493,185.826,20.9788,4.18866,0,44.821,1164.59,4.06271,0.0332082,20.7119,1.18692,2.70895,
23,1630.71,2763.35,2366.06,0.590118,170.695,0,452.902,1507.29,160.969,4.8506,273.709,169.167,23.7682,215.486,0,595.764,634.622,231.014,4.01654,1256.24,209.815,17.5339,8.31784,0,44.821,1183.8,3.45708,0.0332082,20.7119,6.94213,2.9893,
24,1630.71,2649.74,1789.41,0.615422,177.753,0,532.9,1417.86,159.398,4.99102,159.313,177.181,20.3454,219.131,0,904.777,326.628,221.646,4.23114,284.072,218.363,12.0675,8.31784,0,44.821,1183.8,3.45708,0.0332082,20.7119,6.94213,2.9893,
25,1463.3,2610.85,1770.65,0.56047,184.452,0,480.541,1435.55,146.465,4.59248,154.341,184.016,20.8964,242.189,0,793.142,513.549,186.511,4.12452,201.875,241.723,16.4468,1.24683,0,44.821,1183.8,2.03316,0.0332082,20.7119,0.821675,2.9893,
26,1463.3,2566.47,2042.63,0.570163,172.676,0,424.583,1445.15,129.832,4.5964,196.603,172.331,20.7012,186.16,0,849.127,574.903,178.742,4.12006,805.051,185.801,17.8505,8.36488,0,43.229,1195.07,1.40121,0.0332082,20.7119,2.55212,2.9893,
27,1463.3,2385.27,1597.63,0.613474,162.756,0,414.217,1381.52,110.702,4.17974,131.949,162.392,17.5561,193.221,0,829.848,461.723,174.429,3.9702,171.904,191.982,15.6782,1.54007,0,43.229,1177.5,1.40121,0.0332082,25.9852,1.12921,1.94564,
28,1463.3,2656.75,3049.58,0.550788,155.919,0,422.529,1443.28,88.1514,4.16782,367.716,155.845,19.1401,163.669,0,879.046,657.034,127.416,3.8483,1817.87,163.627,20.453,2.04807,0,43.229,1177.5,1.40121,0.0332082,25.9852,1.87121,2.75265,
29,1463.3,2841.47,2724.74,0.514981,224.868,0,509.36,1500.45,144.096,3.96313,215.631,222.861,20.2382,337.49,0,1046.61,760.768,299.304,3.69084,588.217,332.126,21.9347,8.36488,0,43.229,1177.5,1.40121,0.0332082,25.9852,2.55212,2.69802,
30,1439.56,2514.13,3215.59,0.572587,156.026,0,393.294,1385.45,100.395,3.48624,302.776,155.636,17.0716,207.417,0,935.204,528.662,179.724,3.28325,2078.02,207.393,15.8756,8.36488,0,17.3351,1177.5,1.40121,0.0332082,14.7029,2.55212,2.69802,
31,1439.56,2669.74,2768.72,0.539213,172.043,0,422.29,1511.44,148.305,3.90847,222.066,170.347,19.3335,230.551,0,917.448,831.973,331.976,3.54047,875.398,224.183,23.071,6.52936,0,17.3351,1177.5,1.40121,0.0332082,14.7029,2.55212,2.69802,
32,1439.56,2307.88,2143.49,0.623758,154.08,0,443.991,1337.6,99.8469,3.61594,100.277,153.957,14.5072,222.356,0,1223.23,464.502,202.412,3.34174,166.27,222.105,15.5693,6.52936,0,17.3351,1195.07,1.40121,0.0332082,14.7029,2.55212,2.69802,
33,1439.56,2224.5,2011.66,0.647139,129.721,0,311.862,1426.46,98.0266,3.30925,109.564,129.203,16.3509,168.677,0,816.474,837.063,287.64,3.07671,173.416,166.695,21.3857,3.48769,0,17.3351,1195.07,1.40121,0.0847529,14.7029,2.55212,2.69802,
34,1439.56,2714.87,3368.42,0.53025,168.412,0,444.297,1460.35,152.963,3.51137,297.029,171.281,17.0234,269.685,0,1079.23,771.549,383.891,3.31167,1517.89,274.087,21.1042,6.52936,0,17.3351,1195.77,2.03316,0.0847529,14.7029,2.55212,2.69802,
35,1439.56,2607.68,2858.89,0.552045,158.09,0,508.535,1478.71,111.269,3.17129,171.869,157.815,18.2235,259.691,0,1273.77,717.288,234.299,3.05478,510.816,259.34,22.6144,6.52936,0,17.3351,1195.77,2.03316,0.0847529,14.7029,2.55212,2.69802,
36,1439.56,2337.91,2241.31,0.615747,134.285,0,425.056,1413.43,58.4061,2.86346,153.047,134.207,16.6101,212.442,0,1015.81,605.935,104.691,2.8918,465.294,212.602,20.2589,6.52936,0,17.3351,1195.77,2.03316,0.0675628,13.8137,2.55212,2.69802,
37,1418.24,2543.65,2771.63,0.55756,160.075,0,503.508,1396.84,125.476,3.12903,181.921,158.115,14.5897,286.263,0,1208.18,525.149,303.741,3.10561,852.824,282.662,14.9212,5.85872,0,17.3351,1195.77,2.03316,0.0509484,13.8137,1.87141,2.69802,
38,1406.53,2311.19,2031.45,0.608576,125.912,0,439.958,1411.01,89.9146,2.67755,100.875,125.132,15.7081,191.253,0,1105.7,585.126,174.477,2.4495,148.985,189.668,18.816,5.85872,0,18.1266,1202.39,2.03316,0.0509484,13.8137,1.87141,2.69802,
39,1366.7,2569.87,2853.07,0.531819,140.024,0,502.95,1442.16,118.639,2.6366,208.638,138.812,16.0035,262.169,0,1200.65,793.518,295.909,2.53834,921.023,257.434,21.8568,2.76515,0,18.1266,1202.39,1.19166,0.0509484,13.8137,1.87141,2.69802,
40,1366.7,2183.86,2137.51,0.625819,106.519,0,369.736,1324.78,86.124,2.52244,175.367,105.961,12.8488,191.145,0,1036.53,313.287,152.485,2.2988,712.062,191.072,11.8358,4.03098,0,12.2278,1202.39,1.19166,0.0509484,13.8137,1.87141,2.69802,
