Individual,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center.z,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,
0,2.67035,0.908037,0.108382,0.166934,0.0110095,
1,2.67026,0.908035,0.108456,0.167009,0.0109539,
2,2.67044,0.90802,0.108075,0.167192,0.0109912,
3,2.67035,0.908035,0.108309,0.166969,0.0110853,
4,2.67053,0.90802,0.107949,0.167093,0.0111661,
5,2.67026,0.908031,0.108556,0.166935,0.0109967,
6,2.67034,0.908016,0.108354,0.166953,0.0111383,
7,2.67043,0.908026,0.10826,0.166958,0.0111656,
8,2.67027,0.908025,0.108528,0.166847,0.0111686,
9,2.67047,0.908021,0.108087,0.167027,0.0112389,
10,2.67029,0.908018,0.108403,0.167049,0.011107,
11,2.6702,0.908029,0.108664,0.16684,0.0111809,
12,2.67032,0.908022,0.108363,0.167055,0.0111608,
13,2.67031,0.908026,0.108466,0.166857,0.0113598,
14,2.67058,0.908033,0.107912,0.167036,0.0114581,
15,2.67029,0.908024,0.10848,0.166901,0.0113639,
16,2.6702,0.908008,0.108632,0.166931,0.0113491,
17,2.67051,0.908025,0.107932,0.167197,0.0114548,
18,2.67091,0.908036,0.10731,0.167196,0.0118208,
19,2.67079,0.908002,0.107593,0.167089,0.0118094,
20,2.67032,0.908014,0.108536,0.166787,0.0117343,
21,2.67055,0.908027,0.107886,0.167164,0.0117725,
22,2.67053,0.90802,0.107923,0.167166,0.0119326,
23,2.67031,0.908029,0.108331,0.167078,0.0118456,
24,2.6708,0.908025,0.107561,0.167081,0.0121805,
25,2.6703,0.908038,0.108489,0.166853,0.0120032,
26,2.67076,0.908009,0.107514,0.167255,0.0121852,
27,2.67074,0.90802,0.107434,0.167416,0.012143,
28,2.67029,0.908008,0.108516,0.166862,0.0121548,
29,2.67027,0.908031,0.108537,0.166933,0.0120917,
30,2.67067,0.90802,0.107742,0.167121,0.0125128,
31,9.25586,11.7047,130.799,11.5813,0.29718,
32,4.83949,49.9055,41.0888,15.4827,3.8894,
33,12.4418,44.4404,117.273,15.1092,0.600216,
34,10.2116,117.934,0.755446,0.240149,6.37254,
35,3.78648,92.5315,108.638,17.701,4.17077,
36,3.13612,12.3016,24.758,16.1092,6.05505,
37,5.36425,118.447,0.413449,0.0653283,3.05174,
38,9.90149,67.6977,164.079,24.8689,3.10222,
39,5.23105,10.8343,137.689,14.0645,1.08299,
40,2.67054,0.908022,0.108,0.167038,0.0111349,
41,3.73309,115.137,79.027,20.2679,1.22453,
42,2.67059,0.908023,0.107931,0.166962,0.0128784,
43,2.67016,0.908024,0.10873,0.166876,0.0112239,
44,2.67019,0.908024,0.108691,0.166821,0.0112976,
45,2.67043,0.908028,0.10827,0.166886,0.0112217,
46,2.6707,0.908018,0.107694,0.167127,0.0112294,
47,2.67036,0.908031,0.108388,0.166925,0.0112236,
48,2.67032,0.908027,0.10842,0.166905,0.0112262,
49,2.67035,0.908021,0.108402,0.166874,0.0109967,
