Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,
0,0.330631,5.68283,2.75223,0.0581808,1.21807,4.46476,1.03072,2.65746,0.0432789,0.248226,
1,0.330631,3.96344,1.805,0.0834203,1.13267,2.83078,0.784325,2.30739,0.0824051,0.242615,
2,0.185014,2.69627,1.30628,0.0686187,0.792665,1.9036,0.553968,1.6633,0.0824051,0.0241457,
3,0.185014,2.12856,1.11075,0.08692,0.835794,1.29276,0.460564,1.22975,0.0801734,0.0241457,
4,0.185014,1.55969,0.7507,0.118622,0.754147,0.805547,0.476013,0.792197,0.0801734,0.0241457,
5,0.185014,1.30654,0.687068,0.141606,0.547638,0.758907,0.388546,0.612629,0.0801734,0.0241457,
6,0.185014,2.62695,4.50583,0.0704292,0.911185,1.71577,1.33567,3.15267,0.0801734,0.0241457,
7,0.185014,1.17783,0.744833,0.15708,0.46067,0.717164,0.563291,0.966111,0.0728353,0.0241457,
8,0.185014,1.06039,0.99011,0.174478,0.469143,0.591243,0.623665,0.61118,0.0728353,0.0241457,
9,0.185014,1.35861,3.00466,0.136179,0.422522,0.936084,0.399537,2.77786,0.0824051,0.0241457,
10,0.139389,1.14896,1.90501,0.121318,0.395734,0.753227,0.367235,1.7621,0.0824051,0.0224564,
11,0.139389,0.909304,0.971438,0.153292,0.416237,0.493067,0.396623,0.780446,0.0824051,0.0224564,
12,0.139389,1.38524,2.4504,0.100625,0.468906,0.916331,0.579282,2.02725,0.0824051,0.0224564,
13,0.139389,1.41099,3.18999,0.0987884,0.421039,0.989947,0.46596,2.80657,0.0824051,0.0224564,
14,0.131477,0.692036,0.951495,0.189987,0.362686,0.329349,0.585681,0.904209,0.0824051,0.0219572,
15,0.131477,0.978857,2.10079,0.134317,0.338742,0.640114,0.554822,1.63273,0.0824051,0.0219572,
16,0.131477,2.31403,4.14036,0.0568176,0.728456,1.58557,1.36552,3.08715,0.0824051,0.0219572,
17,0.131477,1.77741,3.81837,0.0739714,0.454818,1.32259,0.801925,3.26513,0.0824051,0.0219572,
18,0.131477,1.0084,2.37548,0.130382,0.38639,0.622012,1.12333,2.01138,0.0824051,0.0219572,
19,0.126072,1.96784,3.73924,0.0640665,0.636693,1.33114,1.18677,2.956,0.0824051,0.0219572,
20,0.126072,1.15528,3.05615,0.109127,0.358678,0.796601,0.842054,2.51408,0.0906065,0.0219572,
