Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
70,697.752,946.374,978.587,0.737289,1.59842,3.11412,45.4827,4.88277,32.975,9.71522,7.51031,45.7619,693.165,24.7412,77.4277,0,2.51027,4.31682,220.481,14.4203,8.28297,0.654715,21.7321,221.386,502.366,24.5651,211.983,0,0.615135,1.87887,0.125646,0.310045,8.60015,7.83188,1.26242,0.27316,591.852,11.5467,22.9181,0,
71,697.752,898.741,940.951,0.776366,1.57276,2.84785,35.1104,4.27454,36.1547,9.84114,8.38719,35.3527,664.525,23.0166,77.6573,0,2.9068,3.49427,186.561,10.8365,39.9552,0.957412,27.0792,187.564,385.551,21.8699,215.049,0,0.605473,1.69114,0.125646,0.310045,6.85201,8.02347,1.26242,0.27316,592.547,11.5467,31.9431,0,
72,696.257,898.823,787.637,0.774632,1.4986,2.77945,43.6032,4.49099,38.1471,9.71012,7.70047,43.949,646.196,23.698,77.0494,0,2.50894,2.76076,228.255,12.9594,40.4376,0.773496,20.5466,230.762,291.39,24.3801,186.995,0,0.604979,1.87887,0.125646,0.290068,6.11294,8.02347,1.26242,0.27316,592.547,10.9913,26.4352,0,
73,696.257,960.857,1419.61,0.724621,1.23226,2.83958,14.3761,4.99074,155.285,9.74915,6.14871,14.557,646.672,22.8343,82.1709,0,1.3125,2.78475,104.344,17.3068,1075.7,0.719101,16.5879,104.61,243.473,22.8186,229.244,0,0.605068,1.85789,0.125646,0.290068,9.85312,6.91198,1.26242,0.27316,592.547,10.9913,26.2457,0,
74,696.257,1002.91,1105.76,0.694234,1.61928,3.48093,42.5042,7.68285,34.1341,9.77427,11.4683,42.747,741.236,26.2462,82.0207,0,2.71601,5.44777,185.668,22.5592,122.788,1.05888,34.8592,186.073,623.848,31.8803,211.815,0,0.595672,1.74447,0.125646,0.290068,7.32921,4.59854,1.26242,0.27316,592.822,10.9913,22.8933,0,
75,696.257,853.915,650.129,0.81537,1.21006,2.61826,30.3225,5.18822,36.1347,10.0989,5.46501,30.655,634.838,20.8037,76.5805,0,1.21695,2.40014,185.038,20.9496,27.3955,2.5189,15.7416,187.616,232.214,15.4556,186.485,0,0.602583,0.413885,0.125646,0.290068,9.91575,5.10588,1.26242,0.27316,592.822,10.9913,32.4965,0,
76,696.257,767.481,383.675,0.907198,1.15535,2.37966,9.09739,3.59827,33.1091,9.92223,4.60733,9.25255,617.42,19.7898,57.1488,0,1.07082,1.58067,62.4298,11.0088,8.03972,0.87591,12.4951,62.0842,173.591,17.0985,118.094,0,0.602026,1.87887,0.0742565,0.290068,14.9973,8.02347,1.26242,0.17319,592.707,10.9913,32.5115,0,
77,696.257,836.145,665.1,0.832699,1.4524,2.72513,12.9933,3.49566,33.4037,9.98205,9.68404,13.2088,657.091,21.3484,70.7606,0,2.54262,3.39167,72.6975,8.71758,9.77711,1.01609,37.2792,73.079,389.837,21.6271,176.454,0,0.602026,0.426081,0.0742565,0.275035,13.3198,6.89053,1.26242,0.17319,592.567,10.9913,24.7367,0,
78,696.257,972.178,1037.93,0.716183,1.43921,3.27916,43.0734,2.83491,31.8303,9.81669,9.47162,43.2904,722.14,21.1662,83.8351,0,1.92111,4.81664,201.525,5.95258,7.94018,0.769418,24.864,197.744,560.612,19.7366,195.922,0,0.602026,1.92007,0.0742565,0.275035,2.05533,7.72405,1.26242,0.17319,378.49,10.9913,23.7571,0,
79,694.031,931.765,1083.37,0.744856,1.21905,3.07416,41.6209,4.69523,34.5468,9.8728,4.55787,41.8335,697.306,21.3606,71.6784,0,1.03339,4.05478,196.747,16.9037,28.2227,1.01831,11.4731,196.886,480.24,24.3391,206.71,0,0.602026,1.95507,0.0742565,0.275035,7.02186,8.1352,1.26242,0.17319,592.567,5.8413,23.884,0,
80,694.031,881.481,766.911,0.787346,1.29262,3.0451,13.1882,3.11777,47.0625,9.77556,6.70929,13.3694,676.684,24.7409,82.4961,0,1.52862,3.79408,106.824,10.1888,94.4023,0.75277,19.6284,106.111,418.827,31.0917,164.301,0,0.602026,1.88932,0.0742565,0.275035,8.33439,8.54669,1.26242,0.17319,592.567,5.8413,32.5115,0,
81,694.031,920.051,946.785,0.754339,1.44362,2.88591,46.5194,5.57456,34.7185,10.0319,8.69048,46.9265,671.001,21.1634,71.0957,0,2.17659,3.13611,222.433,20.5567,25.0479,2.25399,33.1757,222.562,355.282,22.4109,179.642,0,0.602026,1.95507,0.0742565,0.275035,7.64125,7.33807,1.22351,0.17319,592.567,5.8413,29.1954,0,
82,694.031,934.246,1018.34,0.742878,1.25241,3.04569,48.517,5.53086,35.3661,10.1341,5.44617,48.8929,688.372,21.7632,65.9254,0,1.63646,3.90889,234.481,21.9012,32.3951,2.31078,15.9649,235.762,440.95,23.475,163.158,0,0.599832,1.94239,0.0742565,0.275035,7.83537,8.22223,1.26242,0.17319,592.101,5.8413,31.6612,0,
83,694.031,906.059,881.369,0.765988,1.45113,2.71079,42.1036,2.84613,57.9304,9.8073,6.54671,42.4711,649.677,21.221,69.2938,0,2.31629,2.92979,210.219,8.87885,251.301,0.976603,19.1149,212.098,331.458,24.0828,139.918,0,0.602026,1.41508,0.0742565,0.230845,9.78065,8.01603,0.665705,0.17319,586.838,5.8413,28.993,0,
84,694.031,881.76,890.836,0.787097,1.32756,2.85917,30.8263,2.60664,32.4375,9.73243,6.77029,31.1406,667.069,20.1679,76.8228,0,1.99264,3.60659,183.295,10.3188,18.3258,1.15471,23.3488,182.746,400.517,20.9089,202.263,0,0.602026,1.93172,0.0742565,0.275035,9.09183,4.98742,1.2544,0.17319,592.121,5.8413,31.6094,0,
85,694.031,936.62,1006.36,0.740995,1.51775,2.96112,43.642,3.01291,44.0719,9.75275,5.55044,44.0251,680.216,21.648,80.2221,0,2.72078,3.76245,220.251,8.20193,118.727,0.799678,18.8834,220.658,434.832,25.467,214.104,0,0.602026,1.95101,0.0742565,0.226381,8.48761,8.05346,1.2544,0.17319,592.378,5.8413,23.9254,0,
86,694.031,949.44,954.955,0.730989,1.22281,2.75408,68.7278,2.60376,31.8412,9.62623,6.50387,69.4101,659.5,22.1142,75.1361,0,1.51962,3.16834,299.026,7.22277,11.7813,0.657265,23.014,298.927,368.659,23.6565,207.321,0,0.602026,1.83608,0.0742565,0.255921,8.51499,7.49692,1.2544,0.17319,591.694,5.8413,25.0593,0,
87,694.031,892.162,756.542,0.77792,1.3245,3.05903,13.9169,4.56966,44.5138,9.70286,4.42935,14.0996,685.971,21.7824,88.793,0,1.73937,4.27038,90.3502,13.8859,84.3463,0.925846,11.3212,91.2609,474.378,25.1334,222.361,0,0.602026,1.81246,0.0742565,0.255921,10.6563,7.91889,0.853144,0.17319,591.694,7.35353,24.6559,0,
