Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
190,686.094,1045.71,1218.36,0.656102,1.74829,3.64468,60.5033,4.80158,32.5641,8.81614,5.4491,61.2595,755.904,11.3946,99.6273,0,3.37432,5.84098,295.62,19.9291,14.0507,2.41042,19.7925,298.183,668.134,28.2948,225.575,0,0.829381,2.11152,0.154808,0.252244,7.56577,3.46813,1.22107,0.303764,592.739,2.32477,24.7103,0,
191,686.094,1028.09,1195.24,0.667348,1.60763,3.5327,50.2009,3.86346,53.1114,8.78509,6.56077,50.821,742.388,14.4656,92.7541,0,3.03681,5.34398,253.172,14.7584,182.58,0.810492,25.9311,256.28,617.195,36.3144,207.216,0,0.77404,2.11161,0.154808,0.252244,9.1997,8.39768,1.2225,0.303764,592.712,2.32477,22.6879,0,
192,686.094,891.074,887.15,0.769963,1.55094,3.17553,12.0424,1.15712,66.4765,8.73342,5.33048,12.3274,694.705,8.35859,77.2168,0,3.02703,4.5514,112.661,6.39676,318.026,0.764002,20.5941,112.765,494.67,24.932,178.142,0,0.82683,2.11161,0.154808,0.252244,11.1518,8.30714,1.22249,0.364625,592.712,2.19836,23.7236,0,
193,686.094,914.517,995.795,0.750225,1.30508,2.89019,46.1365,2.69528,31.9546,8.6272,4.67738,46.5923,679.608,8.5704,81.46,0,2.0307,3.85352,219.538,10.73,33.8365,1.12503,18.9326,220.721,453.007,24.724,217.218,0,0.822991,0.256316,0.154808,0.252244,8.86227,1.67232,1.22249,0.364625,583.571,2.19836,23.2719,0,
194,686.094,954.63,1033.12,0.718701,1.291,2.84678,60.2334,4.09497,32.4528,8.72366,8.36037,60.7806,667.294,10.4484,98.1044,0,1.92301,3.04087,236.535,20.8886,13.0622,0.97805,33.7316,240.565,354.365,29.1816,226.281,0,0.684785,2.10757,0.16652,0.252244,8.71306,6.16362,1.22249,0.390933,508.39,2.1624,23.8495,0,
195,686.094,802.088,604.627,0.855385,1.46116,2.50573,19.9123,1.98342,37.931,8.68517,7.50091,20.2634,620.73,10.5735,70.5415,0,3.0403,1.84783,147.506,8.03223,39.148,1.06454,32.2018,150.382,153.633,30.7063,166.806,0,0.822991,1.55165,0.16652,0.252244,1.97296,2.71573,1.22224,0.390933,592.712,2.19836,22.8854,0,
196,686.032,901.284,867.035,0.761172,1.57097,2.56029,49.5764,7.08148,32.9621,8.97485,10.2588,50.1624,633.584,9.61396,94.938,0,2.95356,2.25103,249.88,27.3464,8.9391,1.88953,41.811,251.85,247.369,24.4757,221.137,0,0.822991,1.01281,0.16652,0.252244,7.71247,6.71704,1.21679,0.390933,582.448,2.19836,31.1156,0,
197,685.922,976.089,1184.88,0.702725,1.1954,3.13626,46.9022,1.81613,32.095,8.64865,5.4962,47.3856,706.682,9.94526,112.786,0,1.82485,4.4498,229.608,10.5753,10.6591,0.806936,23.3995,230.768,509.982,29.3811,282.101,0,0.81643,2.10856,0.16652,0.252244,7.34103,7.8791,1.21797,0.390933,592.712,2.19836,42.7853,0,
198,685.922,861.769,774.003,0.795947,1.43895,2.53739,43.5072,2.56375,33.2853,8.60854,7.94738,44.1555,626.374,7.43427,83.9169,0,2.4368,1.80443,243.937,12.2858,9.56762,1.11412,34.1183,246.085,192.905,20.722,190.048,0,0.822991,2.11066,0.16652,0.252244,15.1907,1.70872,1.21797,0.363693,592.739,2.19836,42.8866,0,
199,685.922,1005.8,1158.57,0.681963,1.35579,3.74535,31.9812,5.32104,37.045,8.7537,8.36925,32.3578,773.115,8.95523,94.806,0,2.07424,6.26393,176.891,22.9476,54.5529,0.992465,29.5608,177.387,722.118,22.7527,222.349,0,0.822991,2.11066,0.16652,0.252244,1.33445,8.19168,1.21547,0.363693,592.739,2.23258,34.2126,0,
200,685.922,818.363,678.127,0.838164,1.1562,2.69567,23.7963,2.09259,33.7034,8.59553,5.42125,24.1091,648.159,8.49824,60.1353,0,1.38851,3.05726,142.994,14.6251,14.2648,1.17968,19.9322,143.165,354.999,26.7909,105.023,0,0.821134,2.11066,0.168131,0.252244,7.16681,0.479384,1.21797,0.363693,592.631,2.23408,33.7091,0,
201,685.922,916.379,916.585,0.748514,1.58511,2.99523,30.1334,4.32427,49.13,8.62926,8.04649,30.4,684.768,12.0016,84.3654,0,3.05606,3.97254,149.657,16.7416,170.004,1.08664,30.2061,149.636,461.59,32.3454,215.563,0,0.782587,2.10323,0.168131,0.252244,7.48398,0.931133,1.21797,0.363693,592.657,2.23408,22.967,0,
202,685.922,884.432,798.629,0.775551,1.32213,2.90618,20.6247,3.77163,36.2733,8.89655,5.37032,20.9149,663.835,10.0504,110.467,0,1.8515,3.20765,120.608,18.3681,27.9646,2.49241,17.7028,121.8,323.979,27.7954,255.271,0,0.821134,2.11066,0.168131,0.252244,9.73435,6.51641,1.21797,0.363693,589.04,2.23408,42.6175,0,
203,685.922,923.253,920.104,0.74294,1.63704,2.80028,43.6614,3.65844,32.9277,8.73503,9.65541,44.1133,655.466,12.6871,107.911,0,2.98607,3.03398,216.145,13.7261,10.076,0.992715,32.8615,213.412,305.341,34.0255,228.915,0,0.821134,2.11066,0.168131,0.252244,7.6966,8.11325,1.21797,0.363693,592.657,2.23408,42.6175,0,
204,685.922,1023.94,1153.28,0.669882,1.78932,3.83622,32.6447,5.81182,40.3785,8.92101,10.469,32.9227,759.98,8.62088,118.57,0,3.16678,5.59812,164.063,25.9863,53.3527,1.43832,31.5895,164.11,612.194,18.7488,256.945,0,0.821134,2.11066,0.168131,0.252244,8.28017,7.9871,1.21797,0.363693,592.657,2.23408,31.3221,0,
205,685.922,816.802,747.142,0.839765,0.991875,2.37504,42.4329,1.19678,31.8057,8.53286,3.76149,43.0797,618.721,6.99235,56.9129,0,1.29827,2.156,245.934,9.02993,8.91036,0.141714,19.5936,248.232,233.04,21.8812,112.847,0,0.57663,2.11249,0.168131,0.251926,12.2959,8.38797,1.21797,0.363693,592.657,2.42091,25.057,0,
206,685.912,827.081,638.116,0.829317,1.42514,2.59984,13.2283,1.77912,57.0455,8.54021,7.50235,13.5601,628.397,10.5665,82.4364,0,2.43593,2.05188,101.816,9.92629,232.236,0.725034,28.764,102.374,192.755,30.3734,180.652,0,0.821134,2.11249,0.178341,0.251926,13.2277,3.64765,1.21797,0.422124,592.657,2.21646,31.4862,0,
207,685.912,895.683,1005.96,0.765798,1.11878,2.6799,33.4697,1.42051,90.691,8.56692,4.17153,34.0941,643.131,7.64445,68.6946,0,1.53398,3.07672,229.233,7.00042,572.611,0.393656,16.3297,231.589,332.711,21.6009,159.348,0,0.8195,2.11026,0.178341,0.251271,13.1265,7.86152,1.21797,0.422124,592.657,2.31534,32.8356,0,
208,685.912,872.717,918.291,0.78595,1.36213,2.75423,31.4483,1.88818,33.2609,8.55276,8.03506,31.8159,664.549,4.93987,84.1104,0,2.71517,3.25672,170.26,11.183,59.0409,0.668739,38.539,170.692,383.701,8.98568,185.372,0,0.835726,2.11269,0.178341,0.251271,8.72649,5.86212,1.21711,0.421029,592.657,2.29808,42.9997,0,
209,685.912,858.509,791.041,0.798957,1.3804,2.85481,20.0544,2.51224,34.6335,8.71001,6.92322,20.3298,664.263,9.35647,87.4911,0,2.34453,3.45647,115.296,9.47783,17.9327,0.977229,26.5888,115.304,390.946,26.7195,197.716,0,0.83462,2.1147,0.178341,0.251195,8.07245,8.38797,1.21711,0.421029,592.657,2.27208,33.9023,0,
210,685.905,785.302,626.294,0.873427,1.02054,2.43476,28.9188,2.64065,31.8132,8.7358,1.82365,29.3325,624.603,6.30456,47.6746,0,1.34726,2.2263,189.458,15.1178,3.30617,1.99626,6.5078,189.966,257.212,20.3689,41.5276,0,0.674348,2.1147,0.173293,0.251271,8.65624,8.38797,1.21711,0.412601,592.676,2.29808,23.8616,0,
211,685.896,784.579,581.25,0.874221,1.09096,2.65655,5.74913,2.83707,33.7294,8.56486,4.6905,6.03526,642.422,7.15565,69.6477,0,1.45185,3.63971,49.072,16.4792,14.125,0.546064,20.5715,49.8206,412.661,21.4239,124.423,0,0.723582,2.1147,0.173293,0.251271,10.8253,8.36883,1.21711,0.376484,592.676,2.29808,42.922,0,
212,685.886,889.872,881.356,0.770769,1.18368,2.86913,44.0636,3.10533,32.1671,8.58122,3.71701,44.4655,670.272,9.55932,69.8885,0,1.6172,3.40816,216.904,13.5388,6.9266,0.558676,14.4094,213.986,382.584,28.867,129.328,0,0.838697,2.1147,0.173293,0.251271,8.68051,8.09661,1.21711,0.412464,592.676,2.29808,22.789,0,
213,685.879,976.358,1058.22,0.702487,1.64076,3.89179,14.3165,5.91282,34.7308,8.793,10.5124,14.6324,787.41,13.1204,81.3968,0,3.19203,6.79697,109.8,26.6,27.131,1.22173,39.8726,109.603,763.904,35.9078,179.927,0,0.838697,2.1147,0.173293,0.251271,10.7302,8.36883,1.21711,0.412464,592.676,2.26686,23.7651,0,
214,685.845,837.02,867.077,0.819389,1.22546,2.64876,27.1782,2.31622,32.4165,8.51212,3.52142,27.4614,648.388,9.07226,74.2801,0,2.10656,3.36079,156.63,14.421,8.43004,0.793036,13.2673,156.633,372.192,29.8044,168.285,0,0.838697,2.1147,0.173293,0.250861,7.06862,4.7015,1.21711,0.412601,520.259,2.26686,42.922,0,
215,685.845,1007.67,1092.82,0.680625,1.30321,3.41775,36.7875,3.3255,38.1021,8.64942,5.49247,37.0417,740.688,11.8442,121.019,0,1.62004,5.1991,165.449,11.916,62.838,0.994948,17.1703,165.369,591.084,30.396,267.157,0,0.838697,0.0853316,0.173293,0.250515,7.8761,7.86889,1.21632,0.412601,592.698,2.26686,43.1363,0,
216,685.834,924.785,1051.11,0.741614,1.08796,3.1314,36.8297,2.86872,31.3077,8.76514,6.18735,37.277,708.824,7.21581,81.2909,0,1.13741,4.99203,210.7,17.8,7.99791,1.98966,23.6488,211.985,588.7,21.9926,187.627,0,0.838697,2.11856,0.173293,0.250515,8.65001,8.36883,1.21632,0.412601,592.785,2.26686,43.1363,0,
217,685.83,857.113,710.18,0.800163,1.40377,2.86707,23.8463,5.67557,38.2166,8.5288,6.62728,24.0969,660.856,8.44233,76.5525,0,2.41179,3.16783,133.74,24.455,37.0564,1.07052,30.2224,134.168,322.719,23.0907,143.713,0,0.839731,2.11856,0.173293,0.250515,7.28052,3.00607,1.21632,0.412601,592.771,2.26686,31.3531,0,
218,685.83,875.029,1006.98,0.78378,1.08678,2.76886,9.15223,2.28548,97.4247,8.56801,3.35528,9.42775,646.677,9.3563,84.9262,0,1.25566,2.96025,83.2133,11.1223,603.941,0.568663,12.2072,83.2187,290.859,29.2159,213.785,0,0.784183,2.11856,0.173293,0.250515,9.84371,8.36883,1.21632,0.412601,592.771,2.09698,23.6858,0,
219,685.768,867.902,916.851,0.790145,1.22365,2.90296,28.2212,1.61348,32.1814,8.55566,2.72613,28.5042,679.203,5.30654,77.463,0,2.0302,3.84103,160.227,7.83553,65.3387,0.704832,9.51846,158.022,445.709,15.4191,175.853,0,0.854095,2.12052,0.173293,0.249665,8.49609,8.36515,1.21632,0.412601,592.771,2.26686,43.355,0,
220,685.716,857.697,786.115,0.799486,1.1093,2.75548,23.984,3.23363,34.5621,8.67366,5.61749,24.315,658.063,8.40554,86.9777,0,1.43063,2.74675,135.375,15.4025,24.853,1.23515,24.8786,135.914,302.506,26.1478,195.782,0,0.663371,2.12052,0.173293,0.249665,9.40965,7.74375,1.21568,0.412601,592.771,2.26686,43.355,0,
221,685.716,875.365,857.672,0.783349,1.32255,3.26024,12.1438,3.14546,33.9865,8.5535,4.96374,12.4158,714.97,10.3098,70.2943,0,2.38604,5.28219,105.759,19.4501,22.7573,0.682202,23.6221,105.772,592.965,31.6194,163.359,0,0.771911,2.12052,0.173293,0.249665,8.9936,8.36883,1.21568,0.412601,592.771,2.31992,22.9815,0,
222,685.716,979.439,1001.58,0.700112,1.76001,3.11144,68.993,4.03028,36.8334,8.85507,12.697,69.7642,692.996,14.8587,65.5397,0,3.40047,3.90659,304.905,16.9144,46.6275,2.60372,44.8229,307.395,436.906,36.0671,111.273,0,0.754306,1.14634,0.173293,0.249665,10.7051,2.305,1.21596,0.412601,592.771,2.31992,22.6609,0,
223,685.716,962.918,1041.26,0.712123,1.26269,3.45845,40.3377,4.22776,33.264,8.45615,4.59634,40.7522,734.445,7.93564,84.1817,0,1.93122,5.32457,221.247,20.1422,19.003,0.920342,20.1981,219.076,605.117,21.1295,210.477,0,0.863833,2.12521,0.173293,0.249665,8.12689,3.12963,1.21596,0.412601,592.753,2.31992,30.8999,0,
224,685.716,936.327,1136.47,0.732347,1.53701,2.82612,59.4837,2.20166,31.2227,8.4905,4.51915,60.0671,671.928,8.76449,85.287,0,3.17558,3.48935,271.347,11.869,4.69947,0.880264,16.2436,273.088,417.265,26.7586,235.605,0,0.863833,2.12521,0.173293,0.249665,5.51717,5.21535,1.21596,0.412601,592.762,2.31992,28.8796,0,
225,685.716,1004.83,1117.46,0.682422,1.62896,3.36169,58.8533,5.43523,34.4886,8.73966,8.88365,59.3294,718.312,9.0729,96.7213,0,2.85178,4.44476,255.576,19.551,19.534,1.4544,27.929,256.681,498.436,22.5053,225.259,0,0.858225,2.12521,0.198116,0.249665,8.13067,3.33342,1.21596,0.460525,592.762,2.27177,31.6432,0,
226,685.716,952.73,1035.67,0.719738,1.57184,2.79476,67.6435,2.8376,32.6037,8.65351,5.96393,68.2626,661.075,10.512,90.8115,0,2.77786,3.26133,282.403,12.0507,10.746,0.85403,18.7219,283.923,374.266,29.1682,197.157,0,0.861329,0.841322,0.198116,0.249665,8.86538,8.37105,1.21359,0.460525,481.341,2.31992,32.7445,0,
227,685.631,920.746,909.964,0.744648,1.40815,3.18588,26.3195,3.91731,33.7186,8.6903,6.77979,26.732,700.078,12.6207,97.2952,0,2.06822,4.87041,175.231,20.8307,14.2402,1.29443,23.7899,176.583,534.511,34.4646,205.963,0,0.863393,1.4311,0.194189,0.249665,11.1793,6.22133,1.21359,0.458947,536.503,2.31992,23.7037,0,
228,685.631,865.108,777.584,0.792538,1.3068,2.72767,42.1284,3.08428,42.4082,8.7249,5.82483,42.4734,656.03,8.81432,51.5854,0,2.08383,2.88009,206.796,19.0814,107.613,2.43267,21.1814,204.971,331.381,26.7937,80.3133,0,0.85528,1.32324,0.194189,0.249665,3.73215,7.69148,1.21359,0.458947,486.572,2.31992,24.3812,0,
229,685.631,914.021,1023.2,0.750127,1.42848,2.97791,45.7483,1.86603,33.775,8.68827,6.97446,46.2323,681.364,7.73596,77.2295,0,2.60646,3.77434,227.965,9.46262,22.6761,1.2945,28.9172,228.665,414.68,21.3159,176.764,0,0.85528,2.12123,0.194189,0.247999,9.05894,8.35349,1.21359,0.458947,592.783,2.45155,26.9631,0,
230,685.631,888.526,909.865,0.77165,1.31376,2.8188,27.6634,4.50798,37.5962,8.54384,8.29372,28.1326,664.063,7.2333,98.3594,0,2.27329,3.43049,187.027,23.3163,42.8141,0.841252,37.615,188.54,386.562,21.2293,247.542,0,0.85528,2.12123,0.19369,0.247999,11.0811,6.79282,1.21359,0.458947,592.783,2.45155,32.0785,0,
231,685.631,959.691,932.342,0.714429,1.59696,3.12187,50.0457,2.27233,45.7373,8.60669,4.83154,50.6555,683.628,11.0482,98.1465,0,2.74937,4.08349,252.32,14.8117,110.691,0.850831,14.6586,257.083,447.537,29.7416,230.617,0,0.85528,2.12123,0.19369,0.246391,8.47908,8.35162,1.21359,0.458947,564.722,2.45155,25.0457,0,
232,685.589,935.224,864.857,0.733074,1.49485,3.00666,55.8732,6.19746,37.4536,8.60145,7.36187,56.658,663.804,15.4288,79.3446,0,2.24757,3.52894,281.886,25.4775,28.0444,1.12778,21.641,283.857,363.892,38.6856,149.167,0,0.85528,2.12123,0.19369,0.248294,11.3829,4.32045,1.21359,0.457827,567.372,2.50365,23.6733,0,
233,685.589,932.79,905.964,0.734988,1.45431,2.85075,48.5878,4.92048,36.1232,8.52408,7.70167,49.1852,649.046,11.1597,113.237,0,2.35941,2.76971,248.88,21.5581,27.1828,1.00659,25.2905,252.168,265.016,30.5443,271.229,0,0.85528,2.12123,0.19369,0.248294,8.68681,3.42555,1.21222,0.457827,592.783,2.50365,23.5975,0,
234,685.589,854.419,803.435,0.802404,1.19967,2.65439,37.8311,2.4345,31.8464,8.512,4.99662,38.1848,648.363,8.07559,70.3205,0,1.84791,2.97529,188.077,13.5551,6.97422,0.636383,21.8697,189.949,334.196,25.5338,139.923,0,0.800224,2.12123,0.19369,0.248294,8.48183,7.75604,1.21222,0.457827,524.066,2.50365,24.1455,0,
235,685.589,978.905,1199.35,0.700363,1.53392,2.9267,39.9385,2.50759,95.854,8.53409,10.7853,40.3626,679.933,11.6196,84.9092,0,2.84799,3.28181,190.069,10.6224,638.427,0.846766,40.8135,190.948,382.484,34.6232,234.756,0,0.85528,2.12123,0.191361,0.247574,8.64612,6.89884,1.21222,0.455612,592.783,2.50365,22.8778,0,
236,685.583,904.544,986.519,0.757932,1.01019,3.09088,27.0296,1.2845,32.8061,8.44767,2.25042,27.4347,699.318,9.22632,92.6455,0,0.968081,4.78601,190.022,5.2976,64.4633,0.460903,9.97021,192.194,556.297,28.2795,242.873,0,0.762167,2.12123,0.191361,0.247574,8.06887,7.75172,1.21222,0.455612,592.783,2.50365,43.6336,0,
237,685.583,870.312,851.868,0.787745,1.46719,2.73559,35.5173,3.89762,33.2059,8.42849,7.54543,35.8544,654.178,9.94103,77.5404,0,2.79993,3.2579,191.766,17.3685,10.7551,1.05281,29.7591,192.023,378.564,30.1539,177.618,0,0.85528,2.12123,0.191361,0.247574,8.30656,2.44634,1.21112,0.455612,592.785,2.50365,22.7159,0,
238,685.583,1001.55,1253.33,0.684521,1.22869,3.39181,45.3786,4.16773,30.9358,8.37028,5.54128,45.7925,740.817,10.4511,105.477,0,1.75333,5.21793,223.485,19.8701,5.65934,0.921997,21.7749,222.983,604.311,30.2804,256.386,0,0.863393,2.12383,0.191361,0.247574,8.23201,1.87165,1.21112,0.455612,592.785,2.52254,43.6991,0,
239,685.583,909.309,979.337,0.753961,1.43019,3.00933,36.2549,4.26732,34.2012,8.52857,5.36777,36.5486,688.337,7.59569,83.7684,0,2.71601,4.02962,176.632,19.4437,25.2406,1.01741,22.9793,177.842,460.46,22.1857,188.302,0,0.769709,1.33058,0.191361,0.24751,7.92395,7.17111,1.21112,0.455612,592.785,2.52254,23.9106,0,
240,685.557,902.72,852.558,0.759435,1.24164,2.77866,44.9244,2.90671,33.9307,8.49927,6.06052,45.3601,653.792,8.0935,95.1327,0,1.75228,2.7018,211.073,15.5802,20.4422,1.12131,20.8407,212.295,283.359,23.0729,222.352,0,0.565425,2.12812,0.19369,0.247817,9.52999,3.57129,1.21112,0.458947,572.51,2.52254,23.6976,0,
241,685.557,832.814,781.337,0.823182,1.12113,2.68279,11.6497,3.26452,68.8891,8.84548,3.72283,11.9587,640.099,6.68357,73.8963,0,1.33889,2.73514,110.315,20.4214,359.71,3.37714,14.6467,109.902,251.748,21.4183,181.617,0,0.871259,2.12812,0.19369,0.248294,5.67455,7.85982,1.21112,0.458947,592.785,2.50069,24.1628,0,
242,685.543,908.873,986.055,0.754278,1.45649,2.90454,43.7899,2.43834,33.0752,8.44214,6.58175,44.1999,673.643,6.9085,85.4331,0,2.52459,3.45352,218.325,13.2163,37.8393,1.17229,24.1607,219.111,389.675,19.4844,214.269,0,0.87353,2.12952,0.194189,0.24863,10.4508,0.932513,1.21112,0.458947,592.766,2.50069,34.3957,0,
243,685.528,895.001,857.174,0.765952,1.15482,2.83172,41.9282,4.90402,53.8389,8.59012,5.78083,42.5857,652.027,7.90817,73.4514,0,1.5556,2.62533,240.582,19.7225,134.496,1.12399,25.2384,242.746,245.838,18.7625,144.869,0,0.55987,2.12952,0.193401,0.24863,9.9878,8.16497,1.21112,0.458802,592.766,2.56292,32.7186,0,
244,685.528,947.295,1071.58,0.723669,1.10434,3.32115,25.8653,2.65235,36.9839,8.52091,4.96293,26.1606,729.559,9.64769,98.5167,0,1.29724,5.1352,145.82,11.6729,60.4119,0.953748,17.9961,145.664,591.089,28.4975,252.374,0,0.748522,2.13067,0.193401,0.24863,8.59175,7.84288,1.2121,0.458802,592.766,2.42454,24.6795,0,
245,685.522,917.764,954.143,0.746949,1.46285,2.96492,53.3925,4.51729,36.5319,8.46,6.39283,54.1026,681.823,7.93899,60.1766,0,2.68729,4.08645,269.733,22.3537,51.2099,1.27315,31.299,270.549,482.329,25.3642,127.034,0,0.877013,1.34615,0.193401,0.24863,8.70673,2.80495,1.2121,0.457986,183.579,2.42454,22.9208,0,
246,685.499,890.538,927.445,0.769759,1.26082,2.70014,51.1429,3.2522,33.5639,8.42985,6.06422,51.7255,648.199,7.04147,77.1579,0,2.19908,2.41816,250.373,13.7846,20.5084,0.700443,21.5089,252.194,267.035,17.8318,173.761,0,0.683352,2.13067,0.193401,0.248837,8.16163,8.22465,1.2121,0.457986,592.756,2.42454,32.7486,0,
247,685.499,1018.16,1597.84,0.673271,1.2216,2.82667,44.6657,2.98747,155.986,8.54649,5.7887,45.0214,662.103,9.40637,79.61,0,1.73781,3.14217,191.464,12.0316,1214.78,1.17598,25.3718,192.485,324.79,28.2746,175.741,0,0.877013,0.803037,0.193401,0.248837,5.30487,7.43017,1.2121,0.457986,592.756,2.47856,23.8555,0,
248,685.499,892.717,911.833,0.76788,1.43599,2.87161,35.5352,3.04087,35.7802,8.53429,7.12781,35.9605,663.471,11.1946,87.7645,0,2.48744,3.21032,200.303,16.8369,123.047,1.03352,28.3718,201.54,357.336,32.2457,188.344,0,0.877013,2.13067,0.193401,0.248747,9.26026,8.24148,1.2121,0.457986,592.756,2.47856,22.766,0,
249,685.48,829.915,679.742,0.825964,1.32387,2.61161,27.8903,1.5693,32.4817,8.34005,6.33592,28.1838,643.693,6.76636,70.7184,0,2.12301,2.80505,144.341,6.93305,7.39778,0.959118,22.7823,144.469,330.519,19.1318,167.655,0,0.861889,1.58957,0.193401,0.248747,8.44419,2.09261,1.2121,0.457986,590.704,2.47856,23.8912,0,
250,685.48,938.371,1032.85,0.7305,1.34728,3.00655,60.0281,3.01316,31.6606,8.48772,5.4226,60.6315,687.478,7.40264,69.8923,0,2.03565,3.91521,273.905,12.9057,6.19889,0.798487,22.3503,275.684,445.118,19.9214,127.556,0,0.876733,2.13067,0.193912,0.245263,8.5654,8.2389,1.21168,0.457986,592.756,2.47856,30.4521,0,
251,685.48,1022.35,1154.91,0.670497,1.46513,3.90006,28.1242,7.50476,35.7489,8.7009,7.46516,28.4116,779.624,12.2788,109.122,0,2.5201,6.29271,150.807,27.285,27.3425,2.62438,24.7394,150.952,720.566,30.6034,265.545,0,0.789895,2.13067,0.193912,0.245263,8.51779,0.897732,1.21125,0.457986,588.198,2.66755,23.6639,0,
252,685.48,920.765,978.226,0.744468,1.25746,2.83483,53.2817,3.33712,34.0226,8.42042,6.82886,53.8068,663.626,8.90567,84.443,0,1.61295,3.2816,239.895,17.4367,18.5716,0.910461,24.2647,241.481,385.816,27.4099,216.95,0,0.877244,2.13067,0.193912,0.245263,8.75039,6.96905,1.21125,0.457986,459.53,2.66755,22.9125,0,
253,685.48,954.031,1029.14,0.718509,1.52725,3.05107,65.6781,1.11015,36.1253,8.43519,8.73586,66.1795,691.884,7.65266,63.652,0,2.79686,3.69012,264.951,4.77513,50.4852,0.867815,32.2893,266.064,428.957,20.0242,117.589,0,0.878553,2.13086,0.193912,0.245263,9.3695,6.23123,1.21125,0.457986,592.74,2.66755,31.5416,0,
254,685.48,965.727,1057.77,0.709807,1.47325,2.99998,58.6324,4.5266,35.7212,8.54739,5.73712,59.2146,679.265,12.6007,97.0091,0,2.43874,4.17353,264.785,18.7039,37.819,1.07239,20.3565,267.638,475.738,32.1531,224.216,0,0.703859,0.637838,0.203324,0.245263,9.70602,7.8704,1.21125,0.481619,523.045,2.66755,24.9289,0,
255,685.475,904.647,847.929,0.757726,1.84892,2.71186,48.714,3.11627,35.6318,8.38547,9.23391,49.3218,631.591,9.20002,104.892,0,3.41488,2.3681,248.612,13.9607,26.4785,1.01767,31.0967,251.73,179.252,25.087,257.386,0,0.879446,2.13086,0.203324,0.245263,10.8936,1.72535,1.21125,0.481619,592.74,2.66755,27.3489,0,
256,685.475,857.878,847.571,0.799035,1.13119,2.52712,54.842,1.43182,31.4429,8.39482,3.54635,55.5191,634.984,6.31922,57.7387,0,1.84396,2.07462,273.146,8.07139,5.79641,0.660961,18.2321,275.363,234.064,18.3617,105.706,0,0.758959,2.13086,0.203324,0.245263,1.5343,8.21924,1.21125,0.481619,592.74,2.58078,34.8258,0,
257,685.475,1025.27,1166.64,0.668579,1.56362,3.47054,44.3001,4.2472,31.8305,8.62047,7.08323,44.6105,738.576,12.5922,128.377,0,2.84872,4.97916,181.345,18.1365,7.10818,2.61851,24.1512,181.506,547.336,33.9365,293.636,0,0.879446,2.13156,0.203324,0.248747,7.00287,0.289665,1.21125,0.481619,592.74,2.58078,43.7493,0,
258,685.475,934.537,882.923,0.733491,1.46718,2.76474,44.3762,6.00316,40.7629,8.83135,9.71792,44.9661,635.022,9.41299,131.212,0,2.19344,2.41295,235.588,23.688,56.6669,2.67631,31.4406,237.787,179.628,24.5537,301.96,0,0.852219,2.13148,0.206697,0.248747,16.8974,8.21924,1.21125,0.489991,592.74,2.58078,43.7493,0,
259,685.475,959.976,1005.02,0.714054,1.44382,3.12115,40.327,5.59405,38.3377,8.49641,7.77012,40.7951,690.471,10.1415,113.477,0,2.30961,3.84114,212.164,22.6892,55.3098,1.77183,30.9642,213.385,410.4,26.4494,266.434,0,0.879374,2.13106,0.206697,0.251665,6.61472,5.35907,1.21125,0.489991,592.74,2.58078,43.7251,0,
260,685.458,876.328,861.732,0.782193,1.37927,2.77312,52.1965,3.72031,32.2921,8.17763,5.60578,52.8175,660.244,7.29415,49.8271,0,2.25214,3.0097,259.264,18.3057,11.3661,0.662272,24.6467,262.406,332.76,21.8536,65.1535,0,0.879059,2.13106,0.205451,0.251665,8.83322,3.02826,1.21125,0.489196,592.731,2.58078,24.7337,0,
