Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.half_track_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.671169,0.140834,0.55967,20.958,0.948272,0.438301,0.138666,0.336178,
1,0.535677,0.239042,0.54559,20.8393,0.960503,0.711435,0.0809478,0.487692,
2,0.673343,0.245554,0.543854,20.6705,0.952759,0.923818,0.0704861,0.347527,
3,0.631208,0.238188,0.529495,20.4224,1.04254,1.10379,0.107087,0.35512,
4,0.569241,0.0702826,0.551324,20.895,0.916112,0.635739,0.34167,0.45836,
5,0.565622,0.174809,0.58589,21.737,0.624261,0.293902,0.0816128,0.386667,
6,0.641987,0.303885,0.531911,20.389,1.1794,0.511841,0.478145,0.421061,
7,0.594592,0.157908,0.518983,20.1247,1.40789,0.568765,0.61413,0.515392,
8,0.636594,0.380235,0.562821,21.1095,0.859271,0.520336,0.103949,0.369877,
9,0.639901,0.116527,0.566184,21.1263,0.964641,0.323237,0.425704,0.403915,
10,0.516069,0.407469,0.515344,20.2168,0.985501,1.18617,0.24235,0.55138,
11,0.610447,0.261036,0.580298,21.5356,0.776022,0.493756,0.134191,0.340625,
12,0.618535,0.111438,0.573455,21.3703,0.849969,0.845614,0.0994999,0.351055,
13,0.674985,1.17019,0.516427,20.0886,0.98292,0.938021,0.0924755,0.390179,
14,0.486877,0.146266,0.540923,20.8195,0.900536,1.23657,0.166912,0.585174,
15,0.600648,0.0633793,0.544393,20.6647,1.11785,1.02312,0.444886,0.425632,
16,0.575576,0.300547,0.555914,20.9872,0.960325,0.675184,0.289186,0.570049,
17,0.49114,0.357462,0.519106,20.3603,0.699231,1.64756,0.2866,0.586615,
18,0.484869,0.166808,0.591908,21.9336,0.673585,0.216138,0.277483,0.612873,
19,0.609483,0.369371,0.55101,20.8057,1.03025,0.95615,0.266811,0.442443,
20,0.509937,0.0431878,0.52335,20.4688,0.842406,1.7777,0.31705,0.642647,
21,0.579724,0.272861,0.603025,22.0507,0.723696,0.224814,0.286894,0.463328,
22,0.529447,0.14415,0.564009,21.2871,0.605856,1.28474,0.381895,0.458989,
23,0.561126,0.538927,0.508005,20.0015,1.09937,2.00032,0.0752878,0.482387,
24,0.454998,1.82491,0.545144,20.9919,0.594928,0.246086,0.0168658,0.624962,
25,0.537119,0.925456,0.579428,21.5296,0.871204,0.220872,0.0936749,0.552734,
26,0.511088,1.26956,0.543935,20.8817,0.737966,0.658654,0.1691,0.551171,
27,0.514564,0.185062,0.58255,21.7952,0.666294,0.994214,0.129382,0.456633,
28,0.676642,0.657496,0.585509,21.512,0.816714,0.577199,0.1536,0.397391,
29,0.640498,0.221096,0.555786,20.8989,0.871232,1.81837,0.0783052,0.335536,
30,0.637528,0.0253165,0.573281,21.3311,0.869409,0.844353,0.10209,0.371878,
31,2.26201,2.56618,3.92114,116.612,23.2968,29.7465,6.83895,1.82095,
32,0.567584,0.265828,0.567495,21.4573,0.776781,5.85741,0.518517,0.510812,
33,0.563577,0.0836733,0.513918,20.1885,0.977049,1.15786,0.360583,0.584355,
34,0.60625,2.48815,1.02552,39.0204,0.548371,126.492,1.56759,1.97355,
35,0.643516,0.183987,0.517506,20.0368,1.14927,3.26495,0.239431,0.447861,
36,0.578249,2.3149,5.12984,154.204,18.8505,21.3329,1.98674,1.53671,
37,0.566203,0.33335,0.598325,22.1568,0.863834,7.15176,0.102305,0.401911,
38,1.39029,1.15933,3.59333,107.089,19.123,30.1801,1.67937,1.52505,
39,1.01649,1.74635,3.45895,94.4559,30.2916,2.00477,4.63451,0.963885,
40,0.652794,0.246097,0.549658,20.9395,0.794543,3.93924,0.0730763,0.392743,
41,0.423218,2.26246,4.98374,150.683,21.1855,23.9609,4.74198,0.66263,
42,0.601144,0.3416,0.577717,21.6014,0.866488,5.32727,0.133179,0.419395,
43,0.587288,0.184922,0.62022,22.5341,0.841182,4.59962,0.128783,0.426794,
44,0.512575,0.0431512,0.551281,20.9746,1.06947,1.55475,0.326344,0.573107,
45,0.492218,0.200903,0.557878,21.2755,0.943416,5.81092,0.700911,0.681367,
46,1.93675,2.33002,2.5273,77.6528,4.00605,28.8523,4.79281,0.64091,
47,3.11716,1.17817,4.86873,146.093,6.00081,29.4375,7.01661,1.1535,
48,0.555662,0.0103181,0.587619,21.8071,0.753766,2.43159,0.429452,0.529014,
49,0.492285,2.61311,1.61282,49.9006,1.25591,84.5112,1.31912,1.78926,
