Individual,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.187679,0.173639,0.0173888,0.0117183,0.149006,12.4421,0.601593,19.7074,0.449154,0.185162,1.63834,0.0351987,1.50796,
1,0.187766,0.173688,0.0173285,0.0120163,0.148942,12.4425,0.601598,19.7073,0.449155,0.184833,1.63818,0.0350193,1.50804,
2,0.187331,0.173512,0.0174586,0.0116467,0.148939,12.4425,0.601698,19.7072,0.449153,0.185065,1.63913,0.0350921,1.50795,
3,0.187519,0.173454,0.017469,0.0116625,0.148941,12.4434,0.601602,19.707,0.449148,0.185131,1.63863,0.0350988,1.50796,
4,0.187779,0.173754,0.0172878,0.0116103,0.148936,12.4442,0.601647,19.7069,0.449145,0.184813,1.63799,0.0350521,1.50802,
5,0.187463,0.173739,0.0173608,0.0116376,0.148929,12.4437,0.601803,19.7068,0.449149,0.184792,1.63878,0.0350115,1.50799,
6,0.18775,0.173721,0.0174611,0.0116562,0.148948,12.4441,0.601565,19.7066,0.449143,0.184947,1.63812,0.0350997,1.50795,
7,0.18768,0.173819,0.0173342,0.0116643,0.148918,12.4432,0.601733,19.7075,0.44915,0.184939,1.63822,0.0350255,1.50798,
8,0.18763,0.173757,0.0174715,0.0116384,0.148972,12.4437,0.601717,19.707,0.449149,0.18472,1.63851,0.0350982,1.50796,
9,0.187548,0.173532,0.0174631,0.0116419,0.148944,12.4442,0.601612,19.7066,0.449146,0.184913,1.63861,0.0351,1.50796,
10,0.187877,0.173465,0.017424,0.0121582,0.148975,12.4442,0.60151,19.7069,0.449143,0.184921,1.63781,0.0349516,1.50806,
11,0.188014,0.173527,0.0173385,0.0113976,0.149129,12.445,0.601731,19.7065,0.44914,0.185076,1.63755,0.0350185,1.50804,
12,0.18733,0.173603,0.0174626,0.0116995,0.148935,12.444,0.601465,19.707,0.449147,0.184899,1.63903,0.035096,1.50791,
13,0.187942,0.173196,0.0174343,0.0123211,0.148951,12.4434,0.601742,19.7074,0.449147,0.1853,1.63768,0.0349439,1.50808,
14,0.187153,0.17349,0.01748,0.0116292,0.149336,12.4438,0.601616,19.7067,0.449149,0.184851,1.6395,0.0350772,1.50792,
15,0.187248,0.173486,0.0174731,0.0122757,0.149126,12.4432,0.601637,19.707,0.44915,0.184997,1.63923,0.0350861,1.50796,
16,0.18808,0.173479,0.0173704,0.011635,0.149194,12.4446,0.601796,19.707,0.449141,0.185014,1.63737,0.0350689,1.50806,
17,0.187955,0.173917,0.0174682,0.0116285,0.148939,12.4454,0.601752,19.7062,0.449137,0.184836,1.63764,0.0350553,1.50792,
18,0.18824,0.173429,0.0174654,0.011326,0.149196,12.4463,0.601654,19.7063,0.449131,0.185013,1.63698,0.0348775,1.50804,
19,0.187961,0.173731,0.01748,0.0117985,0.148945,12.4457,0.601753,19.706,0.449135,0.184938,1.63758,0.0350326,1.50793,
20,0.187509,0.173379,0.0175291,0.0116334,0.148933,12.4444,0.60177,19.7072,0.449146,0.184932,1.63871,0.0350741,1.50799,
21,0.187627,0.173794,0.017402,0.0115909,0.149255,12.4459,0.601709,19.706,0.449135,0.184591,1.63829,0.0349968,1.508,
22,0.18771,0.173645,0.0173146,0.0120869,0.148958,12.4449,0.601731,19.7064,0.449141,0.184961,1.63815,0.0353599,1.50799,
23,0.187594,0.173427,0.0173801,0.0115966,0.149055,12.444,0.601697,19.7083,0.449145,0.185113,1.63842,0.0345751,1.50805,
24,0.187757,0.173392,0.0173616,0.0115971,0.14895,12.4454,0.601905,19.7071,0.449137,0.185025,1.63795,0.0350341,1.50808,
25,0.187249,0.173788,0.0173753,0.0120805,0.148861,12.4444,0.601694,19.7071,0.449146,0.184661,1.63926,0.0350946,1.50796,
26,0.187326,0.173757,0.0175113,0.0119632,0.149191,12.4429,0.602044,19.7079,0.449155,0.184885,1.63916,0.0350632,1.50788,
27,0.187166,0.173,0.0174573,0.0120924,0.148873,12.4431,0.601847,19.7084,0.449152,0.185303,1.63939,0.0351027,1.50805,
28,0.187494,0.173715,0.0172963,0.0114502,0.149189,12.4431,0.602063,19.709,0.449156,0.184568,1.63879,0.0348731,1.50811,
29,0.187724,0.172777,0.0174659,0.0121794,0.149146,12.4447,0.601956,19.7071,0.449142,0.185209,1.63816,0.0350769,1.50818,
30,0.188554,0.173824,0.0173367,0.0117211,0.148953,12.4452,0.601772,19.7066,0.449134,0.185353,1.63626,0.0350625,1.50798,
31,0.18738,0.173297,0.0173254,0.0116607,0.149238,12.4434,0.601626,19.7073,0.449148,0.185118,1.63886,0.0350438,1.50805,
32,4.47817,65.1429,3.84389,122.979,2.96308,410.424,311.121,17.2143,0.534716,310.727,10.8947,3.85926,0.762888,
33,0.18753,0.173688,0.0174779,0.0116657,0.1489,12.4433,0.601781,19.7073,0.449152,0.184798,1.63875,0.0351279,1.50796,
34,0.186963,0.173625,0.0173293,0.0116775,0.148912,12.4438,0.60156,19.7068,0.449151,0.184467,1.63994,0.0351714,1.50802,
35,0.187506,0.173677,0.0174775,0.011635,0.148921,12.4436,0.601668,19.707,0.449146,0.185037,1.63863,0.0350964,1.50794,
36,0.187353,0.173498,0.0174354,0.0116338,0.148943,12.4445,0.601722,19.7069,0.449146,0.184897,1.63895,0.0350393,1.50794,
37,0.187542,0.173775,0.0173996,0.0116698,0.148942,12.4452,0.601592,19.706,0.449141,0.184565,1.63863,0.0350831,1.50798,
38,0.188056,0.173691,0.0173589,0.011603,0.148935,12.4454,0.60157,19.7061,0.449137,0.184856,1.63741,0.0350075,1.50801,
39,0.187882,0.173681,0.0173179,0.0117021,0.148916,12.4444,0.601689,19.7067,0.449143,0.185077,1.63779,0.0350567,1.50799,
40,0.187184,0.173579,0.0174579,0.0115369,0.148953,12.4446,0.601792,19.7069,0.449146,0.184633,1.63939,0.0351092,1.50797,
41,0.187138,0.173547,0.0174868,0.0116802,0.148902,12.4435,0.601604,19.7068,0.449151,0.184794,1.63949,0.03499,1.50793,
42,0.187871,0.173693,0.0174788,0.0115738,0.148949,12.4441,0.601689,19.7068,0.449144,0.184998,1.63787,0.0351244,1.50793,
43,0.187908,0.173672,0.0174767,0.0114424,0.148944,12.4445,0.60171,19.7067,0.449141,0.185098,1.6377,0.0350871,1.50793,
44,0.188167,0.173622,0.0172974,0.0113919,0.149234,12.4441,0.601759,19.7074,0.449142,0.185376,1.6371,0.0350495,1.50801,
45,0.188037,0.173757,0.0173081,0.0114511,0.148993,12.4447,0.601651,19.7065,0.449139,0.185042,1.63745,0.0352159,1.50801,
46,0.187552,0.173718,0.0175179,0.011623,0.148916,12.4442,0.601644,19.7069,0.449146,0.184858,1.6385,0.0350822,1.50789,
47,0.186996,0.173136,0.0174709,0.0119382,0.14895,12.4426,0.601598,19.7076,0.449155,0.185304,1.63978,0.0348863,1.50796,
48,0.187661,0.173721,0.0174631,0.0116361,0.14917,12.4434,0.601736,19.7072,0.449149,0.184933,1.63838,0.0351012,1.50795,
49,0.187676,0.173738,0.0173248,0.011642,0.148995,12.4439,0.601735,19.707,0.449146,0.185073,1.63827,0.0350896,1.50796,
