Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
37,53.9714,84.8184,126.157,0.636317,23.9963,2.96328,4.77246,0.611195,0.952714,1.40469,0.437622,7.1023,1.67233,9.28205,29.7759,0.23236,1.61523,47.507,4.03664,16.8279,0.808366,2.60629,3.64768,0.0764875,17.6597,0.929021,46.5698,3.65331,0.332759,0.665221,10.897,0.357689,0.0916775,0.0305215,0.223263,0.0877554,0.206561,0.172175,0.121345,0.129848,21.3707,0.0291517,0.980798,
38,53.9714,168.447,305.616,0.320406,88.1444,3.70148,8.20694,0.831341,0.955544,1.81016,0.502394,12.0569,1.56142,19.7239,28.6935,0.407796,1.85131,207.144,5.65679,21.5941,1.38001,1.34058,2.84465,0.25372,24.4957,0.888205,58.9583,4.96578,0.739908,1.01941,10.897,0.563547,0.0916775,0.0305215,0.166468,0.158763,0.346894,0.215402,0.386686,0.129848,12.2359,0.0291517,0.729845,
39,53.4117,88.2327,115.289,0.60535,25.6954,3.80139,5.16469,0.518688,0.645762,0.941248,0.433869,10.7273,1.3462,8.61729,28.5263,0.287589,1.52696,75.0468,5.31484,14.1317,0.914476,0.560278,0.752666,0.0811972,21.6644,0.49355,36.4628,5.89831,0.484312,0.318884,9.29455,0.563547,0.0916775,0.0305215,0.166468,0.31161,0.1815,0.215402,0.153278,0.115301,8.21905,0.0291517,0.729845,
40,50.6229,151.618,290.2,0.333884,59.1663,4.00212,10.9012,0.660382,0.951885,1.31851,0.458809,14.6585,1.70889,27.903,27.8579,0.36681,1.66417,126.329,9.42246,28.4786,1.17874,1.60136,1.69314,0.10116,41.6455,0.78505,87.6538,6.68805,0.597608,0.755712,10.4379,0.345498,0.0916775,0.0305215,0.166468,0.161293,0.344218,0.215402,0.405502,0.0915056,3.86127,0.0609112,0.377989,
41,50.6229,98.3817,167.906,0.514556,40.9663,2.50574,2.83527,0.467492,0.686468,1.5422,0.454902,6.57508,1.56261,9.59753,29.3968,0.263884,1.52745,109.744,5.37265,10.4688,0.771563,0.664508,2.64627,0.0501297,20.3219,0.727587,45.2756,6.18716,0.402564,0.227128,10.8579,0.345498,0.0916775,0.0305215,0.166468,0.482059,0.382207,0.0981106,0.257663,0.0915056,1.02265,0.0609112,1.1672,
42,50.6229,77.4882,109.314,0.653299,28.3488,1.29871,4.28302,0.464051,0.546619,1.02348,0.444942,2.74307,1.71975,4.92113,29.8868,0.233722,1.57414,74.2656,0.921662,14.0465,0.630554,0.360424,0.723522,0.0430475,6.23268,1.2775,22.0341,4.72807,0.340557,0.435963,10.3255,0.329022,0.0916775,0.0305215,0.166468,0.420109,0.299331,0.092454,0.20579,0.0414405,8.78871,0.101642,1.10626,
43,50.6229,83.4069,144.265,0.606939,27.799,1.96312,2.88349,0.411403,0.702782,1.04121,0.441111,4.43859,1.46547,10.8207,29.6687,0.237348,1.53391,68.8696,4.61034,9.8775,0.605903,0.707242,0.86897,0.0416818,14.9802,0.664251,50.8608,4.835,0.34359,0.645754,11.004,0.329022,0.228653,0.0171537,0.166468,0.280516,0.194343,0.0638056,0.20579,0.0414405,8.47349,0.101642,1.04668,
44,50.6229,106.642,210.748,0.4747,35.5949,2.74536,5.32587,0.444994,0.669617,1.44144,0.438825,10.0106,1.25448,16.9106,29.9683,0.291697,1.54523,87.2976,7.438,16.6042,0.718833,0.48371,2.83138,0.0663171,34.7146,0.591946,65.6754,4.02823,0.471643,0.54501,10.7807,0.329022,0.228653,0.0347029,0.212059,0.280516,0.0910012,0.0522262,0.0555188,0.0414405,9.94884,0.101642,1.04668,
45,49.9521,84.4183,156.467,0.591721,29.4313,1.49443,3.60727,0.488629,0.633914,1.1334,0.445578,3.52583,1.05587,10.8574,30.0313,0.263556,1.44978,88.5349,3.49076,12.9376,1.05937,0.489757,1.48082,0.0654303,12.6737,0.656019,51.1925,3.27283,0.378471,0.261577,11.451,0.329022,0.217957,0.0114201,0.212059,0.280516,0.13726,0.0443621,0.0210703,0.0915056,15.454,0.101642,0.830638,
46,49.9521,116.347,205.021,0.429338,49.4664,2.04621,4.32827,0.571447,0.71039,1.26113,0.451879,9.22853,0.882719,16.7712,28.8056,0.416736,1.40613,120.555,5.47326,10.8949,1.10137,0.58436,1.42641,0.103039,25.601,0.626899,59.5334,5.97674,0.714626,0.372784,11.3968,0.329022,0.18425,0.0119635,0.212059,0.280516,0.0430508,0.0443621,0.0210703,0.0915056,8.79267,0.120453,0.174281,
